timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743472800,700000000.0,691022022.0,1,1,2025-04-01 02:00:00,3rd age wand,12422
1743480000,,700000000.0,0,1,2025-04-01 04:00:00,3rd age wand,12422
1743519600,,715000000.0,0,1,2025-04-01 15:00:00,3rd age wand,12422
1743526800,704000000.0,,1,0,2025-04-01 17:00:00,3rd age wand,12422
1743541200,704000000.0,,1,0,2025-04-01 21:00:00,3rd age wand,12422
1743624000,,700000001.0,0,1,2025-04-02 20:00:00,3rd age wand,12422
1743660000,,691022055.0,0,1,2025-04-03 06:00:00,3rd age wand,12422
1743663600,720000000.0,691022055.0,1,1,2025-04-03 07:00:00,3rd age wand,12422
1743710400,,691501000.0,0,1,2025-04-03 20:00:00,3rd age wand,12422
1743760800,699899000.0,,2,0,2025-04-04 10:00:00,3rd age wand,12422
1743771600,,706000000.0,0,1,2025-04-04 13:00:00,3rd age wand,12422
1743789600,719669420.0,681022022.0,1,1,2025-04-04 18:00:00,3rd age wand,12422
1743811200,710000000.0,,1,0,2025-04-05 00:00:00,3rd age wand,12422
1743814800,,686666666.0,0,1,2025-04-05 01:00:00,3rd age wand,12422
1743822000,,684000000.0,0,2,2025-04-05 03:00:00,3rd age wand,12422
1743825600,699999996.0,,2,0,2025-04-05 04:00:00,3rd age wand,12422
1743832800,,682501000.0,0,1,2025-04-05 06:00:00,3rd age wand,12422
1743840000,698999999.0,682222222.0,1,1,2025-04-05 08:00:00,3rd age wand,12422
1743886800,,681022022.0,0,1,2025-04-05 21:00:00,3rd age wand,12422
1743894000,690500000.0,,1,0,2025-04-05 23:00:00,3rd age wand,12422
1743912000,,682052000.0,0,1,2025-04-06 04:00:00,3rd age wand,12422
1743915600,,682052000.0,0,1,2025-04-06 05:00:00,3rd age wand,12422
1743969600,,664100100.0,0,1,2025-04-06 20:00:00,3rd age wand,12422
1743994800,,668000000.0,0,1,2025-04-07 03:00:00,3rd age wand,12422
1743998400,676000000.0,,3,0,2025-04-07 04:00:00,3rd age wand,12422
1744009200,675999990.0,,1,0,2025-04-07 07:00:00,3rd age wand,12422
1744027200,,668000000.0,0,1,2025-04-07 12:00:00,3rd age wand,12422
1744077600,,674800000.0,0,1,2025-04-08 02:00:00,3rd age wand,12422
1744120800,,672000000.0,0,1,2025-04-08 14:00:00,3rd age wand,12422
1744142400,,671000000.0,0,1,2025-04-08 20:00:00,3rd age wand,12422
1744149600,650000000.0,650000000.0,2,1,2025-04-08 22:00:00,3rd age wand,12422
1744200000,669999999.0,,1,0,2025-04-09 12:00:00,3rd age wand,12422
1744232400,658000000.0,,1,0,2025-04-09 21:00:00,3rd age wand,12422
1744257600,,660000000.0,0,2,2025-04-10 04:00:00,3rd age wand,12422
1744315200,668999985.0,,1,0,2025-04-10 20:00:00,3rd age wand,12422
1744398000,,665022022.0,0,2,2025-04-11 19:00:00,3rd age wand,12422
1744448400,666000000.0,643000000.0,4,1,2025-04-12 09:00:00,3rd age wand,12422
1744459200,,646587253.0,0,2,2025-04-12 12:00:00,3rd age wand,12422
1744506000,664000000.0,,1,0,2025-04-13 01:00:00,3rd age wand,12422
1744509600,,603168168.0,0,1,2025-04-13 02:00:00,3rd age wand,12422
1744538400,,612621690.0,0,1,2025-04-13 10:00:00,3rd age wand,12422
1744560000,647387690.0,,1,0,2025-04-13 16:00:00,3rd age wand,12422
1744581600,630709552.0,617000000.0,2,2,2025-04-13 22:00:00,3rd age wand,12422
1744617600,639000000.0,,1,0,2025-04-14 08:00:00,3rd age wand,12422
1744624800,,633000000.0,0,2,2025-04-14 10:00:00,3rd age wand,12422
1744628400,,635000000.0,0,2,2025-04-14 11:00:00,3rd age wand,12422
1744642800,644998998.0,,1,0,2025-04-14 15:00:00,3rd age wand,12422
1744646400,648552337.0,650000000.0,2,1,2025-04-14 16:00:00,3rd age wand,12422
1744650000,654999980.0,,1,0,2025-04-14 17:00:00,3rd age wand,12422
1744668000,,636000000.0,0,1,2025-04-14 22:00:00,3rd age wand,12422
1744768800,645000000.0,637500000.0,1,2,2025-04-16 02:00:00,3rd age wand,12422
1744822800,643000000.0,,1,0,2025-04-16 17:00:00,3rd age wand,12422
1744848000,642777000.0,631631631.0,1,1,2025-04-17 00:00:00,3rd age wand,12422
1744858800,642499999.0,,2,0,2025-04-17 03:00:00,3rd age wand,12422
1744927200,659999998.0,650000000.0,1,1,2025-04-17 22:00:00,3rd age wand,12422
1744930800,650000000.0,,1,0,2025-04-17 23:00:00,3rd age wand,12422
1744934400,699722474.0,,4,0,2025-04-18 00:00:00,3rd age wand,12422
1745017200,674444000.0,,2,0,2025-04-18 23:00:00,3rd age wand,12422
1745064000,,660000000.0,0,1,2025-04-19 12:00:00,3rd age wand,12422
1745067600,,654000283.0,0,1,2025-04-19 13:00:00,3rd age wand,12422
1745114400,660000000.0,660000000.0,1,1,2025-04-20 02:00:00,3rd age wand,12422
1745157600,689899899.0,,2,0,2025-04-20 14:00:00,3rd age wand,12422
1745179200,665000000.0,,1,0,2025-04-20 20:00:00,3rd age wand,12422
