timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2498716,2465871,28,26,2025-04-01 00:00:00,Abyssal dagger (p++),13271
1743469200,2491287,2453225,25,27,2025-04-01 01:00:00,Abyssal dagger (p++),13271
1743472800,2497461,2443463,40,20,2025-04-01 02:00:00,Abyssal dagger (p++),13271
1743476400,2492950,2453288,26,15,2025-04-01 03:00:00,Abyssal dagger (p++),13271
1743480000,2476390,2434598,18,14,2025-04-01 04:00:00,Abyssal dagger (p++),13271
1743483600,2493491,2452648,24,26,2025-04-01 05:00:00,Abyssal dagger (p++),13271
1743487200,2501887,2468648,10,10,2025-04-01 06:00:00,Abyssal dagger (p++),13271
1743490800,2507086,2469444,15,8,2025-04-01 07:00:00,Abyssal dagger (p++),13271
1743494400,2494010,2434801,4,7,2025-04-01 08:00:00,Abyssal dagger (p++),13271
1743498000,2460594,2433901,10,7,2025-04-01 09:00:00,Abyssal dagger (p++),13271
1743501600,2478448,2438056,7,13,2025-04-01 10:00:00,Abyssal dagger (p++),13271
1743505200,2462157,2435377,9,18,2025-04-01 11:00:00,Abyssal dagger (p++),13271
1743508800,2474054,2435938,18,14,2025-04-01 12:00:00,Abyssal dagger (p++),13271
1743512400,2487265,2449919,12,15,2025-04-01 13:00:00,Abyssal dagger (p++),13271
1743516000,2486704,2450439,15,32,2025-04-01 14:00:00,Abyssal dagger (p++),13271
1743519600,2479188,2442084,20,16,2025-04-01 15:00:00,Abyssal dagger (p++),13271
1743523200,2472662,2439635,17,13,2025-04-01 16:00:00,Abyssal dagger (p++),13271
1743526800,2468970,2434643,23,25,2025-04-01 17:00:00,Abyssal dagger (p++),13271
1743530400,2459625,2427683,25,35,2025-04-01 18:00:00,Abyssal dagger (p++),13271
1743534000,2465736,2432947,40,18,2025-04-01 19:00:00,Abyssal dagger (p++),13271
1743537600,2462651,2426854,45,41,2025-04-01 20:00:00,Abyssal dagger (p++),13271
1743541200,2463825,2426800,34,22,2025-04-01 21:00:00,Abyssal dagger (p++),13271
1743544800,2467781,2433913,33,19,2025-04-01 22:00:00,Abyssal dagger (p++),13271
1743548400,2471857,2432613,24,24,2025-04-01 23:00:00,Abyssal dagger (p++),13271
1743552000,2473266,2437512,29,31,2025-04-02 00:00:00,Abyssal dagger (p++),13271
1743555600,2458865,2425464,26,45,2025-04-02 01:00:00,Abyssal dagger (p++),13271
1743559200,2461053,2426272,30,25,2025-04-02 02:00:00,Abyssal dagger (p++),13271
1743562800,2459598,2424628,30,25,2025-04-02 03:00:00,Abyssal dagger (p++),13271
1743566400,2465586,2428769,22,26,2025-04-02 04:00:00,Abyssal dagger (p++),13271
1743570000,2463261,2426881,26,13,2025-04-02 05:00:00,Abyssal dagger (p++),13271
1743573600,2461509,2423071,7,9,2025-04-02 06:00:00,Abyssal dagger (p++),13271
1743577200,2459258,2419607,18,11,2025-04-02 07:00:00,Abyssal dagger (p++),13271
1743580800,2466531,2434704,15,8,2025-04-02 08:00:00,Abyssal dagger (p++),13271
1743584400,2467813,2429876,18,10,2025-04-02 09:00:00,Abyssal dagger (p++),13271
1743588000,2462948,2420589,8,11,2025-04-02 10:00:00,Abyssal dagger (p++),13271
1743591600,2464529,2414576,7,12,2025-04-02 11:00:00,Abyssal dagger (p++),13271
1743595200,2472636,2433841,21,37,2025-04-02 12:00:00,Abyssal dagger (p++),13271
1743598800,2476856,2447541,32,26,2025-04-02 13:00:00,Abyssal dagger (p++),13271
1743602400,2456989,2421887,18,29,2025-04-02 14:00:00,Abyssal dagger (p++),13271
1743606000,2457293,2426004,17,15,2025-04-02 15:00:00,Abyssal dagger (p++),13271
1743609600,2473640,2442083,26,22,2025-04-02 16:00:00,Abyssal dagger (p++),13271
1743613200,2467551,2430867,52,23,2025-04-02 17:00:00,Abyssal dagger (p++),13271
1743616800,2444451,2413189,35,27,2025-04-02 18:00:00,Abyssal dagger (p++),13271
1743620400,2441860,2409828,35,36,2025-04-02 19:00:00,Abyssal dagger (p++),13271
1743624000,2440326,2404663,27,25,2025-04-02 20:00:00,Abyssal dagger (p++),13271
1743627600,2448764,2411584,38,30,2025-04-02 21:00:00,Abyssal dagger (p++),13271
1743631200,2449934,2413527,33,43,2025-04-02 22:00:00,Abyssal dagger (p++),13271
1743634800,2442112,2408738,24,20,2025-04-02 23:00:00,Abyssal dagger (p++),13271
1743638400,2445874,2411304,28,26,2025-04-03 00:00:00,Abyssal dagger (p++),13271
1743642000,2445389,2409892,35,30,2025-04-03 01:00:00,Abyssal dagger (p++),13271
1743645600,2433710,2398734,33,30,2025-04-03 02:00:00,Abyssal dagger (p++),13271
1743649200,2418276,2386168,26,21,2025-04-03 03:00:00,Abyssal dagger (p++),13271
1743652800,2419352,2380453,1,23,2025-04-03 04:00:00,Abyssal dagger (p++),13271
1743656400,2419224,2380526,23,8,2025-04-03 05:00:00,Abyssal dagger (p++),13271
1743660000,2417031,2385807,20,13,2025-04-03 06:00:00,Abyssal dagger (p++),13271
1743663600,2418321,2351588,8,14,2025-04-03 07:00:00,Abyssal dagger (p++),13271
1743667200,2397038,2362188,12,15,2025-04-03 08:00:00,Abyssal dagger (p++),13271
1743670800,2422541,2391561,16,27,2025-04-03 09:00:00,Abyssal dagger (p++),13271
1743674400,2395050,2365523,13,7,2025-04-03 10:00:00,Abyssal dagger (p++),13271
1743678000,2427639,2374147,20,10,2025-04-03 11:00:00,Abyssal dagger (p++),13271
1743681600,2421857,2387642,16,23,2025-04-03 12:00:00,Abyssal dagger (p++),13271
1743685200,2422646,2389755,17,9,2025-04-03 13:00:00,Abyssal dagger (p++),13271
1743688800,2428996,2403344,25,28,2025-04-03 14:00:00,Abyssal dagger (p++),13271
1743692400,2444267,2405658,22,11,2025-04-03 15:00:00,Abyssal dagger (p++),13271
1743696000,2443405,2407409,29,25,2025-04-03 16:00:00,Abyssal dagger (p++),13271
1743699600,2426970,2392102,32,24,2025-04-03 17:00:00,Abyssal dagger (p++),13271
1743703200,2417245,2374711,22,37,2025-04-03 18:00:00,Abyssal dagger (p++),13271
1743706800,2411063,2371448,31,32,2025-04-03 19:00:00,Abyssal dagger (p++),13271
1743710400,2427235,2399640,38,19,2025-04-03 20:00:00,Abyssal dagger (p++),13271
1743714000,2464284,2431279,33,25,2025-04-03 21:00:00,Abyssal dagger (p++),13271
1743717600,2431306,2421986,21,25,2025-04-03 22:00:00,Abyssal dagger (p++),13271
1743721200,2438411,2400858,18,33,2025-04-03 23:00:00,Abyssal dagger (p++),13271
1743724800,2416652,2360888,44,52,2025-04-04 00:00:00,Abyssal dagger (p++),13271
1743728400,2396158,2357595,38,26,2025-04-04 01:00:00,Abyssal dagger (p++),13271
1743732000,2388827,2322746,38,27,2025-04-04 02:00:00,Abyssal dagger (p++),13271
