timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1852148,1835002,83,207,2025-04-01 00:00:00,Abyssal whip,4151
1743469200,1855021,1831223,178,137,2025-04-01 01:00:00,Abyssal whip,4151
1743472800,1864868,1840195,134,153,2025-04-01 02:00:00,Abyssal whip,4151
1743476400,1852414,1830218,64,196,2025-04-01 03:00:00,Abyssal whip,4151
1743480000,1849487,1828360,89,111,2025-04-01 04:00:00,Abyssal whip,4151
1743483600,1856158,1836386,44,58,2025-04-01 05:00:00,Abyssal whip,4151
1743487200,1859385,1837570,41,58,2025-04-01 06:00:00,Abyssal whip,4151
1743490800,1862859,1836139,62,47,2025-04-01 07:00:00,Abyssal whip,4151
1743494400,1858612,1840607,58,80,2025-04-01 08:00:00,Abyssal whip,4151
1743498000,1858114,1839989,39,49,2025-04-01 09:00:00,Abyssal whip,4151
1743501600,1863853,1843010,63,65,2025-04-01 10:00:00,Abyssal whip,4151
1743505200,1853688,1848289,66,43,2025-04-01 11:00:00,Abyssal whip,4151
1743508800,1859377,1842571,73,73,2025-04-01 12:00:00,Abyssal whip,4151
1743512400,1847654,1835697,60,59,2025-04-01 13:00:00,Abyssal whip,4151
1743516000,1850048,1832429,98,144,2025-04-01 14:00:00,Abyssal whip,4151
1743519600,1849077,1835309,111,74,2025-04-01 15:00:00,Abyssal whip,4151
1743523200,1851171,1838414,52,98,2025-04-01 16:00:00,Abyssal whip,4151
1743526800,1820453,1830359,119,115,2025-04-01 17:00:00,Abyssal whip,4151
1743530400,1846509,1825897,105,76,2025-04-01 18:00:00,Abyssal whip,4151
1743534000,1843936,1819181,139,228,2025-04-01 19:00:00,Abyssal whip,4151
1743537600,1839125,1818618,119,164,2025-04-01 20:00:00,Abyssal whip,4151
1743541200,1843836,1823880,171,190,2025-04-01 21:00:00,Abyssal whip,4151
1743544800,1837349,1824067,67,123,2025-04-01 22:00:00,Abyssal whip,4151
1743548400,1839620,1821106,108,124,2025-04-01 23:00:00,Abyssal whip,4151
1743552000,1840748,1820697,100,160,2025-04-02 00:00:00,Abyssal whip,4151
1743555600,1840513,1820945,182,121,2025-04-02 01:00:00,Abyssal whip,4151
1743559200,1839632,1827000,129,197,2025-04-02 02:00:00,Abyssal whip,4151
1743562800,1840842,1818721,158,140,2025-04-02 03:00:00,Abyssal whip,4151
1743566400,1834123,1815061,80,137,2025-04-02 04:00:00,Abyssal whip,4151
1743570000,1831704,1811677,99,111,2025-04-02 05:00:00,Abyssal whip,4151
1743573600,1829709,1808676,54,75,2025-04-02 06:00:00,Abyssal whip,4151
1743577200,1826408,1803820,19,66,2025-04-02 07:00:00,Abyssal whip,4151
1743580800,1824260,1803204,50,83,2025-04-02 08:00:00,Abyssal whip,4151
1743584400,1792944,1803411,48,57,2025-04-02 09:00:00,Abyssal whip,4151
1743588000,1825686,1803641,24,46,2025-04-02 10:00:00,Abyssal whip,4151
1743591600,1830367,1815012,43,46,2025-04-02 11:00:00,Abyssal whip,4151
1743595200,1823386,1800262,95,149,2025-04-02 12:00:00,Abyssal whip,4151
1743598800,1836553,1823710,71,105,2025-04-02 13:00:00,Abyssal whip,4151
1743602400,1829975,1810545,80,128,2025-04-02 14:00:00,Abyssal whip,4151
1743606000,1829760,1804210,150,76,2025-04-02 15:00:00,Abyssal whip,4151
1743609600,1829941,1806709,105,114,2025-04-02 16:00:00,Abyssal whip,4151
1743613200,1827046,1805045,149,137,2025-04-02 17:00:00,Abyssal whip,4151
1743616800,1826094,1807935,143,154,2025-04-02 18:00:00,Abyssal whip,4151
1743620400,1828358,1807772,190,162,2025-04-02 19:00:00,Abyssal whip,4151
1743624000,1824562,1803565,182,156,2025-04-02 20:00:00,Abyssal whip,4151
1743627600,1827064,1804156,148,133,2025-04-02 21:00:00,Abyssal whip,4151
1743631200,1830530,1808418,237,145,2025-04-02 22:00:00,Abyssal whip,4151
1743634800,1828567,1807993,244,101,2025-04-02 23:00:00,Abyssal whip,4151
1743638400,1830986,1810716,112,98,2025-04-03 00:00:00,Abyssal whip,4151
1743642000,1830062,1807721,156,148,2025-04-03 01:00:00,Abyssal whip,4151
1743645600,1830556,1810082,59,82,2025-04-03 02:00:00,Abyssal whip,4151
1743649200,1831007,1821247,47,169,2025-04-03 03:00:00,Abyssal whip,4151
1743652800,1824488,1807138,70,154,2025-04-03 04:00:00,Abyssal whip,4151
1743656400,1822995,1802807,70,85,2025-04-03 05:00:00,Abyssal whip,4151
1743660000,1825759,1799935,43,47,2025-04-03 06:00:00,Abyssal whip,4151
1743663600,1813394,1788241,71,37,2025-04-03 07:00:00,Abyssal whip,4151
1743667200,1824367,1806766,58,36,2025-04-03 08:00:00,Abyssal whip,4151
1743670800,1830166,1814338,60,43,2025-04-03 09:00:00,Abyssal whip,4151
1743674400,1849276,1829764,55,53,2025-04-03 10:00:00,Abyssal whip,4151
1743678000,1834974,1812238,66,39,2025-04-03 11:00:00,Abyssal whip,4151
1743681600,1829731,1812210,101,70,2025-04-03 12:00:00,Abyssal whip,4151
1743685200,1835472,1812710,58,77,2025-04-03 13:00:00,Abyssal whip,4151
1743688800,1833671,1817355,97,99,2025-04-03 14:00:00,Abyssal whip,4151
1743692400,1835613,1814366,99,109,2025-04-03 15:00:00,Abyssal whip,4151
1743696000,1850507,1832141,122,85,2025-04-03 16:00:00,Abyssal whip,4151
1743699600,1853137,1831939,105,78,2025-04-03 17:00:00,Abyssal whip,4151
1743703200,1849934,1830797,81,147,2025-04-03 18:00:00,Abyssal whip,4151
1743706800,1841032,1822720,86,141,2025-04-03 19:00:00,Abyssal whip,4151
1743710400,1835594,1824273,28,109,2025-04-03 20:00:00,Abyssal whip,4151
1743714000,1843772,1822875,143,243,2025-04-03 21:00:00,Abyssal whip,4151
1743717600,1839249,1824832,85,181,2025-04-03 22:00:00,Abyssal whip,4151
1743721200,1829776,1820675,86,147,2025-04-03 23:00:00,Abyssal whip,4151
1743724800,1858224,1834271,122,158,2025-04-04 00:00:00,Abyssal whip,4151
1743728400,1851606,1831768,142,170,2025-04-04 01:00:00,Abyssal whip,4151
1743732000,1840110,1825259,73,233,2025-04-04 02:00:00,Abyssal whip,4151
1743735600,1878785,1836041,47,105,2025-04-04 03:00:00,Abyssal whip,4151
1743739200,1851741,1830841,63,97,2025-04-04 04:00:00,Abyssal whip,4151
1743742800,1849718,1827606,80,82,2025-04-04 05:00:00,Abyssal whip,4151
1743746400,1877662,1850898,43,72,2025-04-04 06:00:00,Abyssal whip,4151
1743750000,1870683,1851155,48,51,2025-04-04 07:00:00,Abyssal whip,4151
1743753600,1884167,1859855,39,44,2025-04-04 08:00:00,Abyssal whip,4151
1743757200,1909433,1892341,34,46,2025-04-04 09:00:00,Abyssal whip,4151
1743760800,1901768,1878554,84,59,2025-04-04 10:00:00,Abyssal whip,4151
1743764400,1891054,1859698,53,48,2025-04-04 11:00:00,Abyssal whip,4151
1743768000,1887360,1861656,54,85,2025-04-04 12:00:00,Abyssal whip,4151
1743771600,1883379,1860873,63,58,2025-04-04 13:00:00,Abyssal whip,4151
1743775200,1883575,1861966,61,86,2025-04-04 14:00:00,Abyssal whip,4151
1743778800,1883226,1861036,81,137,2025-04-04 15:00:00,Abyssal whip,4151
1743782400,1881302,1857447,110,115,2025-04-04 16:00:00,Abyssal whip,4151
1743786000,1875799,1852364,100,122,2025-04-04 17:00:00,Abyssal whip,4151
1743789600,1866313,1848979,96,74,2025-04-04 18:00:00,Abyssal whip,4151
1743793200,1855932,1835930,89,95,2025-04-04 19:00:00,Abyssal whip,4151
1743796800,1888286,1864247,153,197,2025-04-04 20:00:00,Abyssal whip,4151
1743800400,1881256,1860694,130,169,2025-04-04 21:00:00,Abyssal whip,4151
1743804000,1882836,1864244,76,217,2025-04-04 22:00:00,Abyssal whip,4151
1743807600,1880281,1855227,163,153,2025-04-04 23:00:00,Abyssal whip,4151
1743811200,1885872,1859928,79,132,2025-04-05 00:00:00,Abyssal whip,4151
1743814800,1878090,1854163,160,130,2025-04-05 01:00:00,Abyssal whip,4151
1743818400,1949777,1907839,87,147,2025-04-05 02:00:00,Abyssal whip,4151
1743822000,1984964,1952614,120,132,2025-04-05 03:00:00,Abyssal whip,4151
1743825600,1986703,1953670,116,101,2025-04-05 04:00:00,Abyssal whip,4151
1743829200,1960445,1938196,52,105,2025-04-05 05:00:00,Abyssal whip,4151
1743832800,1933765,1912785,89,104,2025-04-05 06:00:00,Abyssal whip,4151
1743836400,1930497,1925481,37,97,2025-04-05 07:00:00,Abyssal whip,4151
1743840000,1984394,1957859,22,64,2025-04-05 08:00:00,Abyssal whip,4151
1743843600,1946847,1916093,34,64,2025-04-05 09:00:00,Abyssal whip,4151
1743847200,1919309,1888435,84,53,2025-04-05 10:00:00,Abyssal whip,4151
1743850800,1907438,1881703,44,76,2025-04-05 11:00:00,Abyssal whip,4151
1743854400,1917774,1891077,73,74,2025-04-05 12:00:00,Abyssal whip,4151
1743858000,1930835,1904663,87,199,2025-04-05 13:00:00,Abyssal whip,4151
1743861600,1940806,1918026,100,146,2025-04-05 14:00:00,Abyssal whip,4151
1743865200,1936709,1915172,92,145,2025-04-05 15:00:00,Abyssal whip,4151
1743868800,1908189,1917576,129,118,2025-04-05 16:00:00,Abyssal whip,4151
1743872400,1940376,1921772,107,172,2025-04-05 17:00:00,Abyssal whip,4151
1743876000,1938361,1913258,195,178,2025-04-05 18:00:00,Abyssal whip,4151
1743879600,1929896,1910672,248,289,2025-04-05 19:00:00,Abyssal whip,4151
1743883200,1927801,1908550,30,238,2025-04-05 20:00:00,Abyssal whip,4151
1743886800,1925296,1904195,109,185,2025-04-05 21:00:00,Abyssal whip,4151
1743890400,1916486,1899899,151,175,2025-04-05 22:00:00,Abyssal whip,4151
1743894000,1929925,1915469,119,170,2025-04-05 23:00:00,Abyssal whip,4151
1743897600,1982612,1952596,92,128,2025-04-06 00:00:00,Abyssal whip,4151
1743901200,1963419,1930687,173,137,2025-04-06 01:00:00,Abyssal whip,4151
1743904800,1963766,1940606,144,98,2025-04-06 02:00:00,Abyssal whip,4151
1743908400,1970326,1942888,142,152,2025-04-06 03:00:00,Abyssal whip,4151
