timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1241.0,1229,43715,4976,2025-04-01 00:00:00,Air orb,573
1743469200,1228.0,1219,77148,5972,2025-04-01 01:00:00,Air orb,573
1743472800,1224.0,1221,37420,19509,2025-04-01 02:00:00,Air orb,573
1743476400,1224.0,1209,47134,4793,2025-04-01 03:00:00,Air orb,573
1743480000,1226.0,1218,48531,12961,2025-04-01 04:00:00,Air orb,573
1743483600,1218.0,1200,24906,1509,2025-04-01 05:00:00,Air orb,573
1743487200,1220.0,1198,5617,8321,2025-04-01 06:00:00,Air orb,573
1743490800,1222.0,1223,6281,16638,2025-04-01 07:00:00,Air orb,573
1743494400,1225.0,1220,19170,15575,2025-04-01 08:00:00,Air orb,573
1743498000,1219.0,1206,6851,14401,2025-04-01 09:00:00,Air orb,573
1743501600,1209.0,1188,36220,8497,2025-04-01 10:00:00,Air orb,573
1743505200,1212.0,1194,28826,44132,2025-04-01 11:00:00,Air orb,573
1743508800,1211.0,1197,44992,35909,2025-04-01 12:00:00,Air orb,573
1743512400,1205.0,1201,45646,3593,2025-04-01 13:00:00,Air orb,573
1743516000,1204.0,1188,36286,39183,2025-04-01 14:00:00,Air orb,573
1743519600,1213.0,1199,37454,23171,2025-04-01 15:00:00,Air orb,573
1743523200,1218.0,1210,51928,4771,2025-04-01 16:00:00,Air orb,573
1743526800,1220.0,1212,13917,16497,2025-04-01 17:00:00,Air orb,573
1743530400,1224.0,1214,33558,31031,2025-04-01 18:00:00,Air orb,573
1743534000,1225.0,1221,38211,30456,2025-04-01 19:00:00,Air orb,573
1743537600,1224.0,1211,21178,18037,2025-04-01 20:00:00,Air orb,573
1743541200,1224.0,1213,25760,25005,2025-04-01 21:00:00,Air orb,573
1743544800,1224.0,1206,67809,8434,2025-04-01 22:00:00,Air orb,573
1743548400,1225.0,1208,72073,2722,2025-04-01 23:00:00,Air orb,573
1743552000,1225.0,1215,22155,15861,2025-04-02 00:00:00,Air orb,573
1743555600,1224.0,1201,68253,16502,2025-04-02 01:00:00,Air orb,573
1743559200,1211.0,1198,88677,28302,2025-04-02 02:00:00,Air orb,573
1743562800,1209.0,1199,44759,13280,2025-04-02 03:00:00,Air orb,573
1743566400,1208.0,1198,42813,23114,2025-04-02 04:00:00,Air orb,573
1743570000,1207.0,1201,65576,15891,2025-04-02 05:00:00,Air orb,573
1743573600,1211.0,1200,70471,13551,2025-04-02 06:00:00,Air orb,573
1743577200,1211.0,1200,38350,12646,2025-04-02 07:00:00,Air orb,573
1743580800,1211.0,1204,30538,37913,2025-04-02 08:00:00,Air orb,573
1743584400,1206.0,1196,15745,22938,2025-04-02 09:00:00,Air orb,573
1743588000,1194.0,1177,10872,5242,2025-04-02 10:00:00,Air orb,573
1743591600,1196.0,1194,17742,9231,2025-04-02 11:00:00,Air orb,573
1743595200,1207.0,1177,43859,27529,2025-04-02 12:00:00,Air orb,573
1743598800,1203.0,1172,39659,17048,2025-04-02 13:00:00,Air orb,573
1743602400,1192.0,1173,26708,63726,2025-04-02 14:00:00,Air orb,573
1743606000,1189.0,1174,72605,3249,2025-04-02 15:00:00,Air orb,573
1743609600,1202.0,1191,64795,6892,2025-04-02 16:00:00,Air orb,573
1743613200,1209.0,1205,5464,26024,2025-04-02 17:00:00,Air orb,573
1743616800,1211.0,1197,87046,31635,2025-04-02 18:00:00,Air orb,573
1743620400,1205.0,1190,33252,13995,2025-04-02 19:00:00,Air orb,573
1743624000,1211.0,1204,35963,30184,2025-04-02 20:00:00,Air orb,573
1743627600,1211.0,1203,31981,21674,2025-04-02 21:00:00,Air orb,573
1743631200,1207.0,1189,49157,18188,2025-04-02 22:00:00,Air orb,573
1743634800,1210.0,1205,38002,11575,2025-04-02 23:00:00,Air orb,573
1743638400,1211.0,1205,24141,27012,2025-04-03 00:00:00,Air orb,573
1743642000,1209.0,1204,42591,35933,2025-04-03 01:00:00,Air orb,573
1743645600,1206.0,1200,24794,5575,2025-04-03 02:00:00,Air orb,573
