timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2478270,2444641.0,98,110,2025-04-01 00:00:00,Amulet of fury,6585
1743469200,2489550,2456213.0,82,92,2025-04-01 01:00:00,Amulet of fury,6585
1743472800,2490339,2450313.0,114,88,2025-04-01 02:00:00,Amulet of fury,6585
1743476400,2495005,2460415.0,85,75,2025-04-01 03:00:00,Amulet of fury,6585
1743480000,2495280,2457631.0,107,69,2025-04-01 04:00:00,Amulet of fury,6585
1743483600,2493090,2457155.0,77,80,2025-04-01 05:00:00,Amulet of fury,6585
1743487200,2493287,2458090.0,64,63,2025-04-01 06:00:00,Amulet of fury,6585
1743490800,2484292,2453204.0,39,42,2025-04-01 07:00:00,Amulet of fury,6585
1743494400,2487383,2456296.0,49,53,2025-04-01 08:00:00,Amulet of fury,6585
1743498000,2481658,2451846.0,47,23,2025-04-01 09:00:00,Amulet of fury,6585
1743501600,2482430,2447697.0,51,40,2025-04-01 10:00:00,Amulet of fury,6585
1743505200,2486130,2454816.0,65,41,2025-04-01 11:00:00,Amulet of fury,6585
1743508800,2474552,2448682.0,55,58,2025-04-01 12:00:00,Amulet of fury,6585
1743512400,2478754,2447994.0,57,46,2025-04-01 13:00:00,Amulet of fury,6585
1743516000,2487066,2462967.0,72,52,2025-04-01 14:00:00,Amulet of fury,6585
1743519600,2482346,2457417.0,82,51,2025-04-01 15:00:00,Amulet of fury,6585
1743523200,2483800,2461405.0,83,56,2025-04-01 16:00:00,Amulet of fury,6585
1743526800,2489983,2465461.0,106,103,2025-04-01 17:00:00,Amulet of fury,6585
1743530400,2484257,2460247.0,99,96,2025-04-01 18:00:00,Amulet of fury,6585
1743534000,2479348,2457190.0,132,126,2025-04-01 19:00:00,Amulet of fury,6585
1743537600,2468758,2438236.0,123,124,2025-04-01 20:00:00,Amulet of fury,6585
1743541200,2467910,2440749.0,140,111,2025-04-01 21:00:00,Amulet of fury,6585
1743544800,2486145,2461023.0,99,79,2025-04-01 22:00:00,Amulet of fury,6585
1743548400,2491665,2460637.0,131,108,2025-04-01 23:00:00,Amulet of fury,6585
1743552000,2493988,2467461.0,100,75,2025-04-02 00:00:00,Amulet of fury,6585
1743555600,2499180,2464855.0,150,92,2025-04-02 01:00:00,Amulet of fury,6585
1743559200,2481697,2454657.0,135,86,2025-04-02 02:00:00,Amulet of fury,6585
1743562800,2475184,2447946.0,117,92,2025-04-02 03:00:00,Amulet of fury,6585
1743566400,2478380,2452565.0,52,65,2025-04-02 04:00:00,Amulet of fury,6585
1743570000,2476940,2452652.0,74,74,2025-04-02 05:00:00,Amulet of fury,6585
1743573600,2475147,2449222.0,49,42,2025-04-02 06:00:00,Amulet of fury,6585
1743577200,2477560,2456827.0,34,40,2025-04-02 07:00:00,Amulet of fury,6585
1743580800,2477102,2447411.0,39,29,2025-04-02 08:00:00,Amulet of fury,6585
1743584400,2501887,2465773.0,31,51,2025-04-02 09:00:00,Amulet of fury,6585
1743588000,2502577,2469457.0,46,36,2025-04-02 10:00:00,Amulet of fury,6585
1743591600,2497105,2464633.0,34,39,2025-04-02 11:00:00,Amulet of fury,6585
1743595200,2483526,2455292.0,62,81,2025-04-02 12:00:00,Amulet of fury,6585
1743598800,2482408,2448770.0,57,57,2025-04-02 13:00:00,Amulet of fury,6585
1743602400,2488891,2462174.0,93,78,2025-04-02 14:00:00,Amulet of fury,6585
1743606000,2483250,2450137.0,111,81,2025-04-02 15:00:00,Amulet of fury,6585
1743609600,2528251,2492363.0,102,84,2025-04-02 16:00:00,Amulet of fury,6585
1743613200,2529444,2496501.0,98,102,2025-04-02 17:00:00,Amulet of fury,6585
1743616800,2528435,2495812.0,95,85,2025-04-02 18:00:00,Amulet of fury,6585
1743620400,2539556,2501399.0,109,113,2025-04-02 19:00:00,Amulet of fury,6585
1743624000,2530938,2496409.0,79,86,2025-04-02 20:00:00,Amulet of fury,6585
