timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,12121,11754,4766,11956,2025-04-01 00:00:00,Amulet of glory(6),11978
1743469200,12077,11859,4643,529,2025-04-01 01:00:00,Amulet of glory(6),11978
1743472800,12113,12031,5743,1026,2025-04-01 02:00:00,Amulet of glory(6),11978
1743476400,12114,11996,2441,866,2025-04-01 03:00:00,Amulet of glory(6),11978
1743480000,12095,11855,2405,1050,2025-04-01 04:00:00,Amulet of glory(6),11978
1743483600,12069,11919,1887,750,2025-04-01 05:00:00,Amulet of glory(6),11978
1743487200,12092,11978,4876,277,2025-04-01 06:00:00,Amulet of glory(6),11978
1743490800,12076,11881,4030,435,2025-04-01 07:00:00,Amulet of glory(6),11978
1743494400,12137,12071,2436,1288,2025-04-01 08:00:00,Amulet of glory(6),11978
1743498000,12112,12072,2688,443,2025-04-01 09:00:00,Amulet of glory(6),11978
1743501600,12147,12073,927,471,2025-04-01 10:00:00,Amulet of glory(6),11978
1743505200,12116,12072,908,2430,2025-04-01 11:00:00,Amulet of glory(6),11978
1743508800,12125,12001,1841,1605,2025-04-01 12:00:00,Amulet of glory(6),11978
1743512400,12273,12090,1384,942,2025-04-01 13:00:00,Amulet of glory(6),11978
1743516000,12296,12099,3269,1881,2025-04-01 14:00:00,Amulet of glory(6),11978
1743519600,12283,12082,1505,954,2025-04-01 15:00:00,Amulet of glory(6),11978
1743523200,12267,12064,5485,3508,2025-04-01 16:00:00,Amulet of glory(6),11978
1743526800,12298,12051,4962,7181,2025-04-01 17:00:00,Amulet of glory(6),11978
1743530400,12277,12137,6170,1170,2025-04-01 18:00:00,Amulet of glory(6),11978
1743534000,12220,12082,2573,3592,2025-04-01 19:00:00,Amulet of glory(6),11978
1743537600,12286,12020,1513,11522,2025-04-01 20:00:00,Amulet of glory(6),11978
1743541200,12044,11975,3361,4313,2025-04-01 21:00:00,Amulet of glory(6),11978
1743544800,12019,11960,4982,1979,2025-04-01 22:00:00,Amulet of glory(6),11978
1743548400,12038,11953,5542,5810,2025-04-01 23:00:00,Amulet of glory(6),11978
1743552000,12075,11966,5212,362,2025-04-02 00:00:00,Amulet of glory(6),11978
1743555600,12010,11963,4407,583,2025-04-02 01:00:00,Amulet of glory(6),11978
1743559200,12011,11969,6910,1479,2025-04-02 02:00:00,Amulet of glory(6),11978
1743562800,12011,11965,3033,1833,2025-04-02 03:00:00,Amulet of glory(6),11978
1743566400,12100,11973,2268,1755,2025-04-02 04:00:00,Amulet of glory(6),11978
1743570000,12077,11979,3139,397,2025-04-02 05:00:00,Amulet of glory(6),11978
1743573600,12118,11986,1220,165,2025-04-02 06:00:00,Amulet of glory(6),11978
1743577200,12022,11971,1536,169,2025-04-02 07:00:00,Amulet of glory(6),11978
1743580800,12116,11966,978,4396,2025-04-02 08:00:00,Amulet of glory(6),11978
1743584400,12063,11966,1022,1080,2025-04-02 09:00:00,Amulet of glory(6),11978
1743588000,12144,11968,1256,756,2025-04-02 10:00:00,Amulet of glory(6),11978
1743591600,12149,11974,1167,2272,2025-04-02 11:00:00,Amulet of glory(6),11978
1743595200,12081,11974,3534,750,2025-04-02 12:00:00,Amulet of glory(6),11978
1743598800,12022,11974,3450,728,2025-04-02 13:00:00,Amulet of glory(6),11978
1743602400,11997,11967,1571,224,2025-04-02 14:00:00,Amulet of glory(6),11978
1743606000,12011,11966,1589,1996,2025-04-02 15:00:00,Amulet of glory(6),11978
1743609600,12081,11985,2805,1264,2025-04-02 16:00:00,Amulet of glory(6),11978
1743613200,12077,12016,2725,407,2025-04-02 17:00:00,Amulet of glory(6),11978
1743616800,12096,11982,4957,477,2025-04-02 18:00:00,Amulet of glory(6),11978
1743620400,12098,11969,4103,3367,2025-04-02 19:00:00,Amulet of glory(6),11978
1743624000,12043,11982,4531,651,2025-04-02 20:00:00,Amulet of glory(6),11978
1743627600,12098,11976,3263,5197,2025-04-02 21:00:00,Amulet of glory(6),11978
1743631200,12097,11908,1391,1041,2025-04-02 22:00:00,Amulet of glory(6),11978
1743634800,11985,11889,2221,1083,2025-04-02 23:00:00,Amulet of glory(6),11978
1743638400,11902,11888,7195,2231,2025-04-03 00:00:00,Amulet of glory(6),11978
1743642000,11901,11889,1141,2013,2025-04-03 01:00:00,Amulet of glory(6),11978
1743645600,12091,11908,1553,1066,2025-04-03 02:00:00,Amulet of glory(6),11978
1743649200,12035,11872,2642,1370,2025-04-03 03:00:00,Amulet of glory(6),11978
1743652800,12093,11877,1403,486,2025-04-03 04:00:00,Amulet of glory(6),11978
1743656400,12060,11873,930,1084,2025-04-03 05:00:00,Amulet of glory(6),11978
1743660000,12076,11903,755,212,2025-04-03 06:00:00,Amulet of glory(6),11978
1743663600,12078,11868,1657,2577,2025-04-03 07:00:00,Amulet of glory(6),11978
1743667200,11977,11876,3084,514,2025-04-03 08:00:00,Amulet of glory(6),11978
1743670800,12000,11872,1512,2031,2025-04-03 09:00:00,Amulet of glory(6),11978
1743674400,12061,11857,2965,14157,2025-04-03 10:00:00,Amulet of glory(6),11978
1743678000,12092,11900,4176,931,2025-04-03 11:00:00,Amulet of glory(6),11978
1743681600,12085,11923,3545,204,2025-04-03 12:00:00,Amulet of glory(6),11978
1743685200,12084,11903,2231,1977,2025-04-03 13:00:00,Amulet of glory(6),11978
1743688800,12076,11901,3420,2415,2025-04-03 14:00:00,Amulet of glory(6),11978
1743692400,12086,11872,1904,1200,2025-04-03 15:00:00,Amulet of glory(6),11978
1743696000,12079,11870,2839,3912,2025-04-03 16:00:00,Amulet of glory(6),11978
1743699600,12009,11882,4219,1382,2025-04-03 17:00:00,Amulet of glory(6),11978
1743703200,11960,11870,2542,5895,2025-04-03 18:00:00,Amulet of glory(6),11978
1743706800,11943,11872,3489,6734,2025-04-03 19:00:00,Amulet of glory(6),11978
1743710400,11901,11840,1181,1232,2025-04-03 20:00:00,Amulet of glory(6),11978
1743714000,11901,11840,1530,3952,2025-04-03 21:00:00,Amulet of glory(6),11978
1743717600,12006,11834,5364,9200,2025-04-03 22:00:00,Amulet of glory(6),11978
1743721200,12005,11836,1710,1693,2025-04-03 23:00:00,Amulet of glory(6),11978
1743724800,12017,11839,1808,1745,2025-04-04 00:00:00,Amulet of glory(6),11978
1743728400,12017,11833,3298,1008,2025-04-04 01:00:00,Amulet of glory(6),11978
1743732000,12020,11866,1689,1187,2025-04-04 02:00:00,Amulet of glory(6),11978
1743735600,11994,11827,2772,816,2025-04-04 03:00:00,Amulet of glory(6),11978
1743739200,11997,11803,2892,2863,2025-04-04 04:00:00,Amulet of glory(6),11978
1743742800,12000,11815,2799,140,2025-04-04 05:00:00,Amulet of glory(6),11978
1743746400,11997,11808,1384,394,2025-04-04 06:00:00,Amulet of glory(6),11978
1743750000,11987,11822,1573,420,2025-04-04 07:00:00,Amulet of glory(6),11978
1743753600,11951,11822,5139,229,2025-04-04 08:00:00,Amulet of glory(6),11978
