timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,12393,12246,7840,3908,2025-04-01 00:00:00,Amulet of glory,1704
1743469200,12304,12291,3093,6138,2025-04-01 01:00:00,Amulet of glory,1704
1743472800,12307,12290,482,3954,2025-04-01 02:00:00,Amulet of glory,1704
1743476400,12379,12258,2388,1362,2025-04-01 03:00:00,Amulet of glory,1704
1743480000,12239,12157,1350,1048,2025-04-01 04:00:00,Amulet of glory,1704
1743483600,12246,12140,469,2288,2025-04-01 05:00:00,Amulet of glory,1704
1743487200,12186,12110,51,679,2025-04-01 06:00:00,Amulet of glory,1704
1743490800,12182,12099,47,2655,2025-04-01 07:00:00,Amulet of glory,1704
1743494400,12233,12158,447,2564,2025-04-01 08:00:00,Amulet of glory,1704
1743498000,12228,12110,58,893,2025-04-01 09:00:00,Amulet of glory,1704
1743501600,12196,12132,189,2567,2025-04-01 10:00:00,Amulet of glory,1704
1743505200,12224,12136,293,2464,2025-04-01 11:00:00,Amulet of glory,1704
1743508800,12315,12218,2666,2922,2025-04-01 12:00:00,Amulet of glory,1704
1743512400,12233,12221,945,2991,2025-04-01 13:00:00,Amulet of glory,1704
1743516000,12224,12128,1081,1084,2025-04-01 14:00:00,Amulet of glory,1704
1743519600,12167,12111,1266,8083,2025-04-01 15:00:00,Amulet of glory,1704
1743523200,12200,12151,121,1388,2025-04-01 16:00:00,Amulet of glory,1704
1743526800,12211,12114,2493,4209,2025-04-01 17:00:00,Amulet of glory,1704
1743530400,12218,12137,289,4636,2025-04-01 18:00:00,Amulet of glory,1704
1743534000,12218,12104,992,7016,2025-04-01 19:00:00,Amulet of glory,1704
1743537600,12313,12210,1666,4116,2025-04-01 20:00:00,Amulet of glory,1704
1743541200,12266,12216,2839,6978,2025-04-01 21:00:00,Amulet of glory,1704
1743544800,12339,12202,7954,2330,2025-04-01 22:00:00,Amulet of glory,1704
1743548400,12373,12142,4232,1378,2025-04-01 23:00:00,Amulet of glory,1704
1743552000,12193,12107,149,1102,2025-04-02 00:00:00,Amulet of glory,1704
1743555600,12190,12106,244,1370,2025-04-02 01:00:00,Amulet of glory,1704
1743559200,12219,12103,3876,3830,2025-04-02 02:00:00,Amulet of glory,1704
1743562800,12220,12185,580,8982,2025-04-02 03:00:00,Amulet of glory,1704
1743566400,12217,12129,521,5029,2025-04-02 04:00:00,Amulet of glory,1704
1743570000,12217,12103,1544,2403,2025-04-02 05:00:00,Amulet of glory,1704
1743573600,12205,12101,537,2633,2025-04-02 06:00:00,Amulet of glory,1704
1743577200,12218,12143,1194,675,2025-04-02 07:00:00,Amulet of glory,1704
1743580800,12211,12103,1077,467,2025-04-02 08:00:00,Amulet of glory,1704
1743584400,12220,12101,1282,353,2025-04-02 09:00:00,Amulet of glory,1704
1743588000,12218,12248,815,739,2025-04-02 10:00:00,Amulet of glory,1704
1743591600,12365,12183,528,4097,2025-04-02 11:00:00,Amulet of glory,1704
1743595200,12240,12155,1319,2485,2025-04-02 12:00:00,Amulet of glory,1704
1743598800,12363,12172,1063,2444,2025-04-02 13:00:00,Amulet of glory,1704
1743602400,12216,12180,248,4081,2025-04-02 14:00:00,Amulet of glory,1704
1743606000,12234,12140,309,973,2025-04-02 15:00:00,Amulet of glory,1704
1743609600,12198,12104,2481,1346,2025-04-02 16:00:00,Amulet of glory,1704
1743613200,12160,12117,220,6002,2025-04-02 17:00:00,Amulet of glory,1704
1743616800,12208,12170,1377,7696,2025-04-02 18:00:00,Amulet of glory,1704
1743620400,12236,12200,182,2426,2025-04-02 19:00:00,Amulet of glory,1704
1743624000,12224,12186,2389,3468,2025-04-02 20:00:00,Amulet of glory,1704
1743627600,12195,12163,1055,1271,2025-04-02 21:00:00,Amulet of glory,1704
1743631200,12224,12200,304,5090,2025-04-02 22:00:00,Amulet of glory,1704
1743634800,12324,12200,16419,2164,2025-04-02 23:00:00,Amulet of glory,1704
1743638400,12202,12160,2140,724,2025-04-03 00:00:00,Amulet of glory,1704
1743642000,12194,12137,288,5446,2025-04-03 01:00:00,Amulet of glory,1704
1743645600,12177,12106,92,9738,2025-04-03 02:00:00,Amulet of glory,1704
1743649200,12198,12106,1866,4705,2025-04-03 03:00:00,Amulet of glory,1704
1743652800,12127,12106,860,2686,2025-04-03 04:00:00,Amulet of glory,1704
1743656400,12158,12121,504,1018,2025-04-03 05:00:00,Amulet of glory,1704
1743660000,12201,12184,320,1207,2025-04-03 06:00:00,Amulet of glory,1704
1743663600,12208,12110,1651,11064,2025-04-03 07:00:00,Amulet of glory,1704
1743667200,12198,12109,1208,1606,2025-04-03 08:00:00,Amulet of glory,1704
1743670800,12194,12143,228,768,2025-04-03 09:00:00,Amulet of glory,1704
1743674400,12194,12101,1091,1551,2025-04-03 10:00:00,Amulet of glory,1704
1743678000,12143,12101,141,5705,2025-04-03 11:00:00,Amulet of glory,1704
1743681600,12115,12105,59,3453,2025-04-03 12:00:00,Amulet of glory,1704
1743685200,12179,12101,4958,2385,2025-04-03 13:00:00,Amulet of glory,1704
1743688800,12199,12103,1028,2310,2025-04-03 14:00:00,Amulet of glory,1704
1743692400,12180,12101,315,4233,2025-04-03 15:00:00,Amulet of glory,1704
1743696000,12197,12151,2790,6432,2025-04-03 16:00:00,Amulet of glory,1704
1743699600,12284,12103,1393,1439,2025-04-03 17:00:00,Amulet of glory,1704
1743703200,12287,12104,8686,18093,2025-04-03 18:00:00,Amulet of glory,1704
1743706800,12190,12129,921,1545,2025-04-03 19:00:00,Amulet of glory,1704
1743710400,12205,12101,353,1486,2025-04-03 20:00:00,Amulet of glory,1704
1743714000,12187,12106,868,12016,2025-04-03 21:00:00,Amulet of glory,1704
1743717600,12171,12102,319,3798,2025-04-03 22:00:00,Amulet of glory,1704
1743721200,12186,12153,965,1378,2025-04-03 23:00:00,Amulet of glory,1704
1743724800,12167,12133,452,1705,2025-04-04 00:00:00,Amulet of glory,1704
1743728400,12189,12194,361,4569,2025-04-04 01:00:00,Amulet of glory,1704
1743732000,12244,12200,2262,3748,2025-04-04 02:00:00,Amulet of glory,1704
