timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,23212434,23014166,82,75,2025-04-01 00:00:00,Amulet of torture,19553
1743469200,23219400,23020815,81,77,2025-04-01 01:00:00,Amulet of torture,19553
1743472800,23148658,23015363,75,47,2025-04-01 02:00:00,Amulet of torture,19553
1743476400,23157196,22944733,37,48,2025-04-01 03:00:00,Amulet of torture,19553
1743480000,23097514,22969732,26,38,2025-04-01 04:00:00,Amulet of torture,19553
1743483600,23114383,22965657,43,34,2025-04-01 05:00:00,Amulet of torture,19553
1743487200,23134532,22948073,39,35,2025-04-01 06:00:00,Amulet of torture,19553
1743490800,23086298,22917154,12,28,2025-04-01 07:00:00,Amulet of torture,19553
1743494400,23111992,22888258,22,28,2025-04-01 08:00:00,Amulet of torture,19553
1743498000,23229859,23037363,9,24,2025-04-01 09:00:00,Amulet of torture,19553
1743501600,23148137,22974648,14,20,2025-04-01 10:00:00,Amulet of torture,19553
1743505200,23122479,22979166,25,15,2025-04-01 11:00:00,Amulet of torture,19553
1743508800,23148220,22989469,23,25,2025-04-01 12:00:00,Amulet of torture,19553
1743512400,23240095,23048250,47,22,2025-04-01 13:00:00,Amulet of torture,19553
1743516000,23184815,23049078,43,45,2025-04-01 14:00:00,Amulet of torture,19553
1743519600,23153786,23019249,44,49,2025-04-01 15:00:00,Amulet of torture,19553
1743523200,23188363,22981007,45,57,2025-04-01 16:00:00,Amulet of torture,19553
1743526800,23163089,22975459,54,59,2025-04-01 17:00:00,Amulet of torture,19553
1743530400,23190483,22970706,53,49,2025-04-01 18:00:00,Amulet of torture,19553
1743534000,23154745,23009708,58,53,2025-04-01 19:00:00,Amulet of torture,19553
1743537600,23192155,23005244,88,71,2025-04-01 20:00:00,Amulet of torture,19553
1743541200,23154608,22987413,61,52,2025-04-01 21:00:00,Amulet of torture,19553
1743544800,23164990,22950947,100,54,2025-04-01 22:00:00,Amulet of torture,19553
1743548400,23338066,23118079,81,45,2025-04-01 23:00:00,Amulet of torture,19553
1743552000,23431807,23169996,59,61,2025-04-02 00:00:00,Amulet of torture,19553
1743555600,23314078,23130747,69,54,2025-04-02 01:00:00,Amulet of torture,19553
1743559200,23304342,23132997,65,54,2025-04-02 02:00:00,Amulet of torture,19553
1743562800,23222028,23021445,63,34,2025-04-02 03:00:00,Amulet of torture,19553
1743566400,23185376,23014109,45,47,2025-04-02 04:00:00,Amulet of torture,19553
1743570000,23157030,22973249,37,20,2025-04-02 05:00:00,Amulet of torture,19553
1743573600,23199853,22987271,36,19,2025-04-02 06:00:00,Amulet of torture,19553
1743577200,23194823,23016117,22,30,2025-04-02 07:00:00,Amulet of torture,19553
1743580800,23244012,22993868,19,25,2025-04-02 08:00:00,Amulet of torture,19553
1743584400,23250930,23011000,21,21,2025-04-02 09:00:00,Amulet of torture,19553
1743588000,23134377,23035840,14,18,2025-04-02 10:00:00,Amulet of torture,19553
1743591600,23230388,23041251,14,28,2025-04-02 11:00:00,Amulet of torture,19553
1743595200,23215408,23023809,31,23,2025-04-02 12:00:00,Amulet of torture,19553
1743598800,23274791,23032911,43,39,2025-04-02 13:00:00,Amulet of torture,19553
1743602400,23242826,23040545,40,35,2025-04-02 14:00:00,Amulet of torture,19553
1743606000,23308568,23044818,60,60,2025-04-02 15:00:00,Amulet of torture,19553
1743609600,23183074,23025021,40,75,2025-04-02 16:00:00,Amulet of torture,19553
1743613200,23165873,23031240,47,43,2025-04-02 17:00:00,Amulet of torture,19553
1743616800,23227459,23015268,40,58,2025-04-02 18:00:00,Amulet of torture,19553
1743620400,23224719,23050173,71,83,2025-04-02 19:00:00,Amulet of torture,19553
1743624000,23195752,23007524,74,57,2025-04-02 20:00:00,Amulet of torture,19553
1743627600,23250863,23051357,74,77,2025-04-02 21:00:00,Amulet of torture,19553
1743631200,23134030,22987990,65,61,2025-04-02 22:00:00,Amulet of torture,19553
1743634800,23236390,23037356,55,53,2025-04-02 23:00:00,Amulet of torture,19553
1743638400,23201745,23008615,61,46,2025-04-03 00:00:00,Amulet of torture,19553
1743642000,23236465,23054932,95,65,2025-04-03 01:00:00,Amulet of torture,19553
1743645600,23172635,22982251,53,38,2025-04-03 02:00:00,Amulet of torture,19553
1743649200,23211956,23014984,63,57,2025-04-03 03:00:00,Amulet of torture,19553
1743652800,23136909,23001689,22,36,2025-04-03 04:00:00,Amulet of torture,19553
1743656400,23253903,23071134,31,37,2025-04-03 05:00:00,Amulet of torture,19553
1743660000,23240710,23032045,36,29,2025-04-03 06:00:00,Amulet of torture,19553
1743663600,23220760,23014069,25,20,2025-04-03 07:00:00,Amulet of torture,19553
1743667200,23242007,23021871,23,21,2025-04-03 08:00:00,Amulet of torture,19553
1743670800,23208898,23032823,18,32,2025-04-03 09:00:00,Amulet of torture,19553
1743674400,23196316,22983849,28,33,2025-04-03 10:00:00,Amulet of torture,19553
1743678000,23150323,23005740,33,29,2025-04-03 11:00:00,Amulet of torture,19553
1743681600,23132863,23009254,40,44,2025-04-03 12:00:00,Amulet of torture,19553
1743685200,23107348,22918491,41,37,2025-04-03 13:00:00,Amulet of torture,19553
1743688800,23169579,22975201,54,32,2025-04-03 14:00:00,Amulet of torture,19553
1743692400,23108900,22957072,35,56,2025-04-03 15:00:00,Amulet of torture,19553
1743696000,23106496,22941363,40,37,2025-04-03 16:00:00,Amulet of torture,19553
1743699600,23187562,23009682,53,69,2025-04-03 17:00:00,Amulet of torture,19553
1743703200,23155432,23009389,68,66,2025-04-03 18:00:00,Amulet of torture,19553
1743706800,23154476,22991451,62,48,2025-04-03 19:00:00,Amulet of torture,19553
1743710400,23186687,22970908,60,73,2025-04-03 20:00:00,Amulet of torture,19553
1743714000,23100584,22876642,60,80,2025-04-03 21:00:00,Amulet of torture,19553
1743717600,23122803,22930973,49,64,2025-04-03 22:00:00,Amulet of torture,19553
1743721200,23116061,22975156,43,68,2025-04-03 23:00:00,Amulet of torture,19553
1743724800,23092554,22940002,60,71,2025-04-04 00:00:00,Amulet of torture,19553
1743728400,23159060,22942164,96,64,2025-04-04 01:00:00,Amulet of torture,19553
1743732000,23095732,22826274,50,111,2025-04-04 02:00:00,Amulet of torture,19553
1743735600,23036331,22784196,47,40,2025-04-04 03:00:00,Amulet of torture,19553
1743739200,22970046,22749264,33,43,2025-04-04 04:00:00,Amulet of torture,19553
1743742800,23039943,22782937,68,41,2025-04-04 05:00:00,Amulet of torture,19553
1743746400,23082432,22836894,48,30,2025-04-04 06:00:00,Amulet of torture,19553
1743750000,23053624,22848516,25,33,2025-04-04 07:00:00,Amulet of torture,19553
1743753600,23083105,22903861,28,21,2025-04-04 08:00:00,Amulet of torture,19553
1743757200,23123635,22846860,3,28,2025-04-04 09:00:00,Amulet of torture,19553
1743760800,23138737,22903644,25,20,2025-04-04 10:00:00,Amulet of torture,19553
1743764400,23145635,22946162,36,37,2025-04-04 11:00:00,Amulet of torture,19553
1743768000,23174968,23020478,30,24,2025-04-04 12:00:00,Amulet of torture,19553
1743771600,23225768,22987532,72,32,2025-04-04 13:00:00,Amulet of torture,19553
1743775200,22749097,22957309,46,35,2025-04-04 14:00:00,Amulet of torture,19553
1743778800,23095814,22940133,31,35,2025-04-04 15:00:00,Amulet of torture,19553
1743782400,23231629,23010084,37,42,2025-04-04 16:00:00,Amulet of torture,19553
1743786000,23258292,23063182,36,47,2025-04-04 17:00:00,Amulet of torture,19553
1743789600,23266152,23055018,50,57,2025-04-04 18:00:00,Amulet of torture,19553
1743793200,23189938,22984923,28,52,2025-04-04 19:00:00,Amulet of torture,19553
1743796800,23202758,22990353,58,73,2025-04-04 20:00:00,Amulet of torture,19553
1743800400,23467502,23185368,88,50,2025-04-04 21:00:00,Amulet of torture,19553
1743804000,23504503,23245387,62,50,2025-04-04 22:00:00,Amulet of torture,19553
1743807600,23381569,23109052,64,97,2025-04-04 23:00:00,Amulet of torture,19553
1743811200,23307919,23058052,87,70,2025-04-05 00:00:00,Amulet of torture,19553
1743814800,23284787,23033356,80,41,2025-04-05 01:00:00,Amulet of torture,19553
1743818400,23371806,23115571,70,51,2025-04-05 02:00:00,Amulet of torture,19553
1743822000,23351057,23077931,74,64,2025-04-05 03:00:00,Amulet of torture,19553
1743825600,23341984,23096649,56,63,2025-04-05 04:00:00,Amulet of torture,19553
1743829200,23328788,23088158,31,53,2025-04-05 05:00:00,Amulet of torture,19553
1743832800,23260698,23063028,46,33,2025-04-05 06:00:00,Amulet of torture,19553
1743836400,23354149,23081471,26,38,2025-04-05 07:00:00,Amulet of torture,19553
1743840000,23543738,23256058,19,41,2025-04-05 08:00:00,Amulet of torture,19553
1743843600,23470951,23218032,31,24,2025-04-05 09:00:00,Amulet of torture,19553
1743847200,23668332,23442460,42,35,2025-04-05 10:00:00,Amulet of torture,19553
1743850800,23687767,23391104,30,23,2025-04-05 11:00:00,Amulet of torture,19553
1743854400,23517242,23256094,54,53,2025-04-05 12:00:00,Amulet of torture,19553
1743858000,23373077,23136770,41,48,2025-04-05 13:00:00,Amulet of torture,19553
1743861600,23308923,23084257,48,46,2025-04-05 14:00:00,Amulet of torture,19553
1743865200,23324481,23063906,65,48,2025-04-05 15:00:00,Amulet of torture,19553
1743868800,23496578,23230334,47,84,2025-04-05 16:00:00,Amulet of torture,19553
1743872400,23473105,23224654,54,69,2025-04-05 17:00:00,Amulet of torture,19553
1743876000,23443005,23255448,82,49,2025-04-05 18:00:00,Amulet of torture,19553
1743879600,23712864,23417201,65,88,2025-04-05 19:00:00,Amulet of torture,19553
1743883200,23661439,23390313,73,83,2025-04-05 20:00:00,Amulet of torture,19553
1743886800,23673354,23418012,73,84,2025-04-05 21:00:00,Amulet of torture,19553
1743890400,23935740,23619250,69,94,2025-04-05 22:00:00,Amulet of torture,19553
1743894000,23727680,23447957,81,52,2025-04-05 23:00:00,Amulet of torture,19553
1743897600,23720159,23389809,57,72,2025-04-06 00:00:00,Amulet of torture,19553
1743901200,23670953,23382139,87,48,2025-04-06 01:00:00,Amulet of torture,19553
