timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,5699968.0,5569777.0,9,14,2025-04-01 00:00:00,Anguish ornament kit,22246
1743469200,5716663.0,5647471.0,4,8,2025-04-01 01:00:00,Anguish ornament kit,22246
1743472800,5721471.0,5651991.0,6,11,2025-04-01 02:00:00,Anguish ornament kit,22246
1743476400,5632039.0,5527833.0,11,7,2025-04-01 03:00:00,Anguish ornament kit,22246
1743480000,5584692.0,5475573.0,3,5,2025-04-01 04:00:00,Anguish ornament kit,22246
1743483600,5579674.0,5462585.0,3,4,2025-04-01 05:00:00,Anguish ornament kit,22246
1743487200,5550443.0,5471801.0,7,4,2025-04-01 06:00:00,Anguish ornament kit,22246
1743490800,5562195.0,5449370.0,5,4,2025-04-01 07:00:00,Anguish ornament kit,22246
1743494400,5559369.0,5387395.0,1,6,2025-04-01 08:00:00,Anguish ornament kit,22246
1743498000,5444252.0,5333283.0,3,4,2025-04-01 09:00:00,Anguish ornament kit,22246
1743501600,5350710.0,5275714.0,7,4,2025-04-01 10:00:00,Anguish ornament kit,22246
1743505200,5346809.0,5278095.0,3,5,2025-04-01 11:00:00,Anguish ornament kit,22246
1743508800,5478791.0,5375555.0,9,2,2025-04-01 12:00:00,Anguish ornament kit,22246
1743512400,5478473.0,5375655.0,5,4,2025-04-01 13:00:00,Anguish ornament kit,22246
1743516000,5453101.0,5373693.0,6,5,2025-04-01 14:00:00,Anguish ornament kit,22246
1743519600,5428257.0,5333259.0,5,4,2025-04-01 15:00:00,Anguish ornament kit,22246
1743523200,5362348.0,5306333.0,6,4,2025-04-01 16:00:00,Anguish ornament kit,22246
1743526800,5340022.0,5270771.0,6,13,2025-04-01 17:00:00,Anguish ornament kit,22246
1743530400,5336226.0,5225148.0,8,3,2025-04-01 18:00:00,Anguish ornament kit,22246
1743534000,5362504.0,5253793.0,6,2,2025-04-01 19:00:00,Anguish ornament kit,22246
1743537600,5388190.0,5316795.0,11,10,2025-04-01 20:00:00,Anguish ornament kit,22246
1743541200,5352400.0,5282440.0,6,9,2025-04-01 21:00:00,Anguish ornament kit,22246
1743544800,5337961.0,5235367.0,7,6,2025-04-01 22:00:00,Anguish ornament kit,22246
1743548400,5373257.0,5303835.0,12,7,2025-04-01 23:00:00,Anguish ornament kit,22246
1743552000,5438977.0,5314964.0,12,5,2025-04-02 00:00:00,Anguish ornament kit,22246
1743555600,5421803.0,5354672.0,6,5,2025-04-02 01:00:00,Anguish ornament kit,22246
1743559200,5399790.0,5348975.0,7,3,2025-04-02 02:00:00,Anguish ornament kit,22246
1743562800,5412883.0,5298985.0,6,7,2025-04-02 03:00:00,Anguish ornament kit,22246
1743566400,5345533.0,5289328.0,3,4,2025-04-02 04:00:00,Anguish ornament kit,22246
1743570000,5419473.0,5292314.0,6,3,2025-04-02 05:00:00,Anguish ornament kit,22246
1743573600,5305979.0,5335078.0,2,2,2025-04-02 06:00:00,Anguish ornament kit,22246
1743577200,5315487.0,5255555.0,6,2,2025-04-02 07:00:00,Anguish ornament kit,22246
1743580800,5470049.0,5348538.0,4,4,2025-04-02 08:00:00,Anguish ornament kit,22246
1743584400,5430777.0,5328086.0,7,3,2025-04-02 09:00:00,Anguish ornament kit,22246
1743588000,,5414060.0,0,3,2025-04-02 10:00:00,Anguish ornament kit,22246
1743591600,5394521.0,5347487.0,8,5,2025-04-02 11:00:00,Anguish ornament kit,22246
1743595200,5413881.0,5344174.0,5,1,2025-04-02 12:00:00,Anguish ornament kit,22246
