timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,11683,11673,805,295,2025-04-01 00:00:00,Anti-venom(4),12905
1743469200,11800,11755,240,7148,2025-04-01 01:00:00,Anti-venom(4),12905
1743472800,11298,11678,7569,4694,2025-04-01 02:00:00,Anti-venom(4),12905
1743476400,11109,11012,1416,3095,2025-04-01 03:00:00,Anti-venom(4),12905
1743480000,11631,11363,2449,597,2025-04-01 04:00:00,Anti-venom(4),12905
1743483600,11629,11541,3986,87,2025-04-01 05:00:00,Anti-venom(4),12905
1743487200,11767,11636,110,91,2025-04-01 06:00:00,Anti-venom(4),12905
1743490800,11800,11657,137,203,2025-04-01 07:00:00,Anti-venom(4),12905
1743494400,11800,11707,115,160,2025-04-01 08:00:00,Anti-venom(4),12905
1743498000,11913,11763,101,572,2025-04-01 09:00:00,Anti-venom(4),12905
1743501600,11969,11830,74,105,2025-04-01 10:00:00,Anti-venom(4),12905
1743505200,11959,11808,459,664,2025-04-01 11:00:00,Anti-venom(4),12905
1743508800,12072,11903,70,279,2025-04-01 12:00:00,Anti-venom(4),12905
1743512400,12319,12172,2317,1823,2025-04-01 13:00:00,Anti-venom(4),12905
1743516000,12407,12127,229,293,2025-04-01 14:00:00,Anti-venom(4),12905
1743519600,12292,12228,196,287,2025-04-01 15:00:00,Anti-venom(4),12905
1743523200,12304,11891,2465,6530,2025-04-01 16:00:00,Anti-venom(4),12905
1743526800,12338,12233,5967,325,2025-04-01 17:00:00,Anti-venom(4),12905
1743530400,12421,12418,258,283,2025-04-01 18:00:00,Anti-venom(4),12905
1743534000,12421,12420,2747,1253,2025-04-01 19:00:00,Anti-venom(4),12905
1743537600,12448,12419,6568,2859,2025-04-01 20:00:00,Anti-venom(4),12905
1743541200,12483,12297,2385,2253,2025-04-01 21:00:00,Anti-venom(4),12905
1743544800,12478,12404,963,1727,2025-04-01 22:00:00,Anti-venom(4),12905
1743548400,12739,12294,1198,7260,2025-04-01 23:00:00,Anti-venom(4),12905
1743552000,12671,12422,1599,5564,2025-04-02 00:00:00,Anti-venom(4),12905
1743555600,12605,12500,1570,8096,2025-04-02 01:00:00,Anti-venom(4),12905
1743559200,12521,12404,3041,478,2025-04-02 02:00:00,Anti-venom(4),12905
1743562800,12526,12423,1143,1320,2025-04-02 03:00:00,Anti-venom(4),12905
1743566400,12568,12495,750,1285,2025-04-02 04:00:00,Anti-venom(4),12905
1743570000,12561,12435,359,1218,2025-04-02 05:00:00,Anti-venom(4),12905
1743573600,12460,12527,450,2974,2025-04-02 06:00:00,Anti-venom(4),12905
1743577200,12605,12432,1539,4021,2025-04-02 07:00:00,Anti-venom(4),12905
1743580800,12693,12475,133,2931,2025-04-02 08:00:00,Anti-venom(4),12905
1743584400,12375,12350,1599,1556,2025-04-02 09:00:00,Anti-venom(4),12905
1743588000,12574,12169,1466,1521,2025-04-02 10:00:00,Anti-venom(4),12905
1743591600,12754,12451,567,521,2025-04-02 11:00:00,Anti-venom(4),12905
1743595200,12703,12739,804,1880,2025-04-02 12:00:00,Anti-venom(4),12905
1743598800,12759,12643,623,1245,2025-04-02 13:00:00,Anti-venom(4),12905
1743602400,12759,12616,379,1505,2025-04-02 14:00:00,Anti-venom(4),12905
1743606000,12759,12754,867,1171,2025-04-02 15:00:00,Anti-venom(4),12905
1743609600,12759,12723,237,684,2025-04-02 16:00:00,Anti-venom(4),12905
1743613200,12978,12766,3619,1483,2025-04-02 17:00:00,Anti-venom(4),12905
1743616800,13826,13264,1828,2183,2025-04-02 18:00:00,Anti-venom(4),12905
1743620400,12503,12988,2003,12976,2025-04-02 19:00:00,Anti-venom(4),12905
1743624000,12112,12307,7121,2271,2025-04-02 20:00:00,Anti-venom(4),12905
1743627600,12113,12112,1335,3603,2025-04-02 21:00:00,Anti-venom(4),12905
1743631200,12112,12100,3536,52,2025-04-02 22:00:00,Anti-venom(4),12905
1743634800,12104,12090,592,2380,2025-04-02 23:00:00,Anti-venom(4),12905
1743638400,12432,12243,1404,3132,2025-04-03 00:00:00,Anti-venom(4),12905
1743642000,12214,12335,1522,7255,2025-04-03 01:00:00,Anti-venom(4),12905
1743645600,12659,12164,457,9983,2025-04-03 02:00:00,Anti-venom(4),12905
1743649200,12490,12425,1334,667,2025-04-03 03:00:00,Anti-venom(4),12905
1743652800,12497,12297,1439,545,2025-04-03 04:00:00,Anti-venom(4),12905
1743656400,11976,12100,1778,1807,2025-04-03 05:00:00,Anti-venom(4),12905
1743660000,12586,12538,1276,446,2025-04-03 06:00:00,Anti-venom(4),12905
1743663600,12774,12525,136,6338,2025-04-03 07:00:00,Anti-venom(4),12905
1743667200,12752,12651,525,251,2025-04-03 08:00:00,Anti-venom(4),12905
1743670800,12719,12624,193,1417,2025-04-03 09:00:00,Anti-venom(4),12905
1743674400,12703,12608,123,7811,2025-04-03 10:00:00,Anti-venom(4),12905
1743678000,12627,12556,75,274,2025-04-03 11:00:00,Anti-venom(4),12905
1743681600,12609,12563,13,1678,2025-04-03 12:00:00,Anti-venom(4),12905
1743685200,12699,12423,392,3481,2025-04-03 13:00:00,Anti-venom(4),12905
1743688800,12588,12337,213,1106,2025-04-03 14:00:00,Anti-venom(4),12905
1743692400,12703,12625,2107,2103,2025-04-03 15:00:00,Anti-venom(4),12905
1743696000,12642,12389,3013,5702,2025-04-03 16:00:00,Anti-venom(4),12905
1743699600,12414,12334,1322,2039,2025-04-03 17:00:00,Anti-venom(4),12905
1743703200,12375,12251,14196,5748,2025-04-03 18:00:00,Anti-venom(4),12905
1743706800,12429,12355,2847,1467,2025-04-03 19:00:00,Anti-venom(4),12905
1743710400,12575,12490,3471,4096,2025-04-03 20:00:00,Anti-venom(4),12905
1743714000,12425,12377,5947,4735,2025-04-03 21:00:00,Anti-venom(4),12905
1743717600,12480,12385,7787,5111,2025-04-03 22:00:00,Anti-venom(4),12905
1743721200,12700,12406,45,449,2025-04-03 23:00:00,Anti-venom(4),12905
1743724800,12810,12997,1454,3017,2025-04-04 00:00:00,Anti-venom(4),12905
1743728400,12587,12496,3457,12999,2025-04-04 01:00:00,Anti-venom(4),12905
1743732000,12358,12300,6643,532,2025-04-04 02:00:00,Anti-venom(4),12905
1743735600,12289,12145,2731,6916,2025-04-04 03:00:00,Anti-venom(4),12905
1743739200,12212,12114,2353,533,2025-04-04 04:00:00,Anti-venom(4),12905
1743742800,12096,13397,1642,24,2025-04-04 05:00:00,Anti-venom(4),12905
1743746400,13235,12976,499,1782,2025-04-04 06:00:00,Anti-venom(4),12905
1743750000,13038,12591,499,2162,2025-04-04 07:00:00,Anti-venom(4),12905
1743753600,12952,12621,3312,134,2025-04-04 08:00:00,Anti-venom(4),12905
1743757200,12915,12658,196,1587,2025-04-04 09:00:00,Anti-venom(4),12905
1743760800,12574,12294,276,7226,2025-04-04 10:00:00,Anti-venom(4),12905
1743764400,12241,11902,300,2033,2025-04-04 11:00:00,Anti-venom(4),12905
1743768000,12050,12024,796,2307,2025-04-04 12:00:00,Anti-venom(4),12905
1743771600,12001,11872,1441,1106,2025-04-04 13:00:00,Anti-venom(4),12905
1743775200,12237,12283,134,2563,2025-04-04 14:00:00,Anti-venom(4),12905
1743778800,11949,11931,9107,5136,2025-04-04 15:00:00,Anti-venom(4),12905
1743782400,12078,11637,4097,134,2025-04-04 16:00:00,Anti-venom(4),12905
1743786000,11890,12049,1064,1033,2025-04-04 17:00:00,Anti-venom(4),12905
1743789600,12054,12052,1514,4601,2025-04-04 18:00:00,Anti-venom(4),12905
1743793200,11993,11909,6056,2443,2025-04-04 19:00:00,Anti-venom(4),12905
1743796800,11834,11968,2656,2192,2025-04-04 20:00:00,Anti-venom(4),12905
1743800400,11819,11591,4648,1105,2025-04-04 21:00:00,Anti-venom(4),12905
1743804000,11701,11547,1263,3273,2025-04-04 22:00:00,Anti-venom(4),12905
1743807600,11724,11283,2166,1074,2025-04-04 23:00:00,Anti-venom(4),12905
1743811200,11991,11683,6611,1200,2025-04-05 00:00:00,Anti-venom(4),12905
1743814800,11992,11985,4523,2287,2025-04-05 01:00:00,Anti-venom(4),12905
1743818400,11815,11570,4321,664,2025-04-05 02:00:00,Anti-venom(4),12905
1743822000,11669,11472,2311,3244,2025-04-05 03:00:00,Anti-venom(4),12905
1743825600,11675,11447,2104,2077,2025-04-05 04:00:00,Anti-venom(4),12905
1743829200,11804,11635,427,830,2025-04-05 05:00:00,Anti-venom(4),12905
1743832800,11780,11641,274,181,2025-04-05 06:00:00,Anti-venom(4),12905
1743836400,11818,11672,330,190,2025-04-05 07:00:00,Anti-venom(4),12905
1743840000,11796,11687,3433,2242,2025-04-05 08:00:00,Anti-venom(4),12905
1743843600,11821,11729,277,104,2025-04-05 09:00:00,Anti-venom(4),12905
1743847200,11815,11687,170,478,2025-04-05 10:00:00,Anti-venom(4),12905
1743850800,11821,11688,305,2196,2025-04-05 11:00:00,Anti-venom(4),12905
1743854400,11752,11669,565,2350,2025-04-05 12:00:00,Anti-venom(4),12905
1743858000,11750,11521,279,2772,2025-04-05 13:00:00,Anti-venom(4),12905
1743861600,11810,11560,3759,64,2025-04-05 14:00:00,Anti-venom(4),12905
1743865200,11826,11635,638,600,2025-04-05 15:00:00,Anti-venom(4),12905
1743868800,11820,11638,5472,345,2025-04-05 16:00:00,Anti-venom(4),12905
1743872400,11815,11667,8875,195,2025-04-05 17:00:00,Anti-venom(4),12905
1743876000,11926,11783,6148,2237,2025-04-05 18:00:00,Anti-venom(4),12905
1743879600,11942,11713,1927,2602,2025-04-05 19:00:00,Anti-venom(4),12905
1743883200,11914,11704,2126,1214,2025-04-05 20:00:00,Anti-venom(4),12905
1743886800,11752,11701,3340,1440,2025-04-05 21:00:00,Anti-venom(4),12905
1743890400,11672,11553,3237,9791,2025-04-05 22:00:00,Anti-venom(4),12905
1743894000,11333,11180,1690,1026,2025-04-05 23:00:00,Anti-venom(4),12905
1743897600,11800,11393,7671,156,2025-04-06 00:00:00,Anti-venom(4),12905
1743901200,11631,11070,6965,1156,2025-04-06 01:00:00,Anti-venom(4),12905
1743904800,11931,11906,2167,2351,2025-04-06 02:00:00,Anti-venom(4),12905
1743908400,11946,11900,8078,857,2025-04-06 03:00:00,Anti-venom(4),12905
1743912000,11991,11839,581,2092,2025-04-06 04:00:00,Anti-venom(4),12905
1743915600,11993,11605,4187,247,2025-04-06 05:00:00,Anti-venom(4),12905
1743919200,12000,11915,546,209,2025-04-06 06:00:00,Anti-venom(4),12905
1743922800,11996,11947,3982,242,2025-04-06 07:00:00,Anti-venom(4),12905
1743926400,12098,11965,369,196,2025-04-06 08:00:00,Anti-venom(4),12905
1743930000,12100,12070,173,342,2025-04-06 09:00:00,Anti-venom(4),12905
1743933600,12100,12068,291,175,2025-04-06 10:00:00,Anti-venom(4),12905
1743937200,12075,11831,2060,767,2025-04-06 11:00:00,Anti-venom(4),12905
1743940800,12078,11922,612,214,2025-04-06 12:00:00,Anti-venom(4),12905
1743944400,11785,11947,5324,305,2025-04-06 13:00:00,Anti-venom(4),12905
1743948000,11902,11345,4253,9952,2025-04-06 14:00:00,Anti-venom(4),12905
1743951600,11339,11212,7406,11074,2025-04-06 15:00:00,Anti-venom(4),12905
1743955200,11984,11656,1573,1845,2025-04-06 16:00:00,Anti-venom(4),12905
1743958800,12094,11785,4637,3545,2025-04-06 17:00:00,Anti-venom(4),12905
1743962400,12106,11999,3486,8459,2025-04-06 18:00:00,Anti-venom(4),12905
1743966000,12044,11882,4768,372,2025-04-06 19:00:00,Anti-venom(4),12905
1743969600,12270,12164,477,3005,2025-04-06 20:00:00,Anti-venom(4),12905
1743973200,11952,11744,2569,7397,2025-04-06 21:00:00,Anti-venom(4),12905
1743976800,11771,11768,4497,3419,2025-04-06 22:00:00,Anti-venom(4),12905
1743980400,11765,11764,2293,6251,2025-04-06 23:00:00,Anti-venom(4),12905
1743984000,11910,11771,3117,4687,2025-04-07 00:00:00,Anti-venom(4),12905
1743987600,11827,11711,2318,1023,2025-04-07 01:00:00,Anti-venom(4),12905
1743991200,11779,11727,607,1950,2025-04-07 02:00:00,Anti-venom(4),12905
1743994800,11899,11769,5536,782,2025-04-07 03:00:00,Anti-venom(4),12905
1743998400,11988,11782,1292,2815,2025-04-07 04:00:00,Anti-venom(4),12905
1744002000,12344,12339,2515,1400,2025-04-07 05:00:00,Anti-venom(4),12905
1744005600,12528,12471,2045,155,2025-04-07 06:00:00,Anti-venom(4),12905
1744009200,13710,12690,84,869,2025-04-07 07:00:00,Anti-venom(4),12905
1744012800,13200,12907,159,40,2025-04-07 08:00:00,Anti-venom(4),12905
1744016400,13552,13132,95,51,2025-04-07 09:00:00,Anti-venom(4),12905
1744020000,13258,12727,111,528,2025-04-07 10:00:00,Anti-venom(4),12905
1744023600,12864,12363,1157,1092,2025-04-07 11:00:00,Anti-venom(4),12905
1744027200,12690,12393,237,2905,2025-04-07 12:00:00,Anti-venom(4),12905
1744030800,12631,12398,1107,115,2025-04-07 13:00:00,Anti-venom(4),12905
1744034400,12415,12237,212,1361,2025-04-07 14:00:00,Anti-venom(4),12905
1744038000,11827,12242,6827,1235,2025-04-07 15:00:00,Anti-venom(4),12905
1744041600,11976,12140,1569,4429,2025-04-07 16:00:00,Anti-venom(4),12905
1744045200,12324,12098,1133,390,2025-04-07 17:00:00,Anti-venom(4),12905
1744048800,12112,12002,661,3816,2025-04-07 18:00:00,Anti-venom(4),12905
1744052400,12022,11922,2081,2616,2025-04-07 19:00:00,Anti-venom(4),12905
1744056000,11841,11773,1950,1137,2025-04-07 20:00:00,Anti-venom(4),12905
1744059600,12143,11594,295,3617,2025-04-07 21:00:00,Anti-venom(4),12905
1744063200,12132,11982,443,2546,2025-04-07 22:00:00,Anti-venom(4),12905
1744066800,12121,11898,4385,142,2025-04-07 23:00:00,Anti-venom(4),12905
1744070400,12119,11913,376,117,2025-04-08 00:00:00,Anti-venom(4),12905
1744074000,12053,12000,2503,528,2025-04-08 01:00:00,Anti-venom(4),12905
1744077600,12007,11969,6636,124,2025-04-08 02:00:00,Anti-venom(4),12905
1744081200,12293,12607,1216,2132,2025-04-08 03:00:00,Anti-venom(4),12905
1744084800,12772,12406,1302,2673,2025-04-08 04:00:00,Anti-venom(4),12905
1744088400,12862,12400,2147,804,2025-04-08 05:00:00,Anti-venom(4),12905
1744092000,12882,12569,588,161,2025-04-08 06:00:00,Anti-venom(4),12905
1744095600,12825,12286,64,4591,2025-04-08 07:00:00,Anti-venom(4),12905
1744099200,12497,12169,145,345,2025-04-08 08:00:00,Anti-venom(4),12905
1744102800,12424,12192,260,225,2025-04-08 09:00:00,Anti-venom(4),12905
1744106400,12084,12013,189,297,2025-04-08 10:00:00,Anti-venom(4),12905
1744110000,12209,12023,208,156,2025-04-08 11:00:00,Anti-venom(4),12905
1744113600,12307,12029,211,4844,2025-04-08 12:00:00,Anti-venom(4),12905
1744117200,12589,12060,91,1037,2025-04-08 13:00:00,Anti-venom(4),12905
1744120800,11888,11998,1966,4392,2025-04-08 14:00:00,Anti-venom(4),12905
1744124400,11804,11612,1316,127,2025-04-08 15:00:00,Anti-venom(4),12905
1744128000,11806,11596,2616,457,2025-04-08 16:00:00,Anti-venom(4),12905
1744131600,12101,11642,581,347,2025-04-08 17:00:00,Anti-venom(4),12905
1744135200,12078,11454,449,1195,2025-04-08 18:00:00,Anti-venom(4),12905
1744138800,12095,11697,2250,236,2025-04-08 19:00:00,Anti-venom(4),12905
1744142400,11990,11602,2576,190,2025-04-08 20:00:00,Anti-venom(4),12905
1744146000,12055,11487,683,4236,2025-04-08 21:00:00,Anti-venom(4),12905
1744149600,11923,11568,1918,1875,2025-04-08 22:00:00,Anti-venom(4),12905
1744153200,12104,11774,2044,435,2025-04-08 23:00:00,Anti-venom(4),12905
1744156800,12298,12293,3812,2032,2025-04-09 00:00:00,Anti-venom(4),12905
1744160400,12222,11525,881,153,2025-04-09 01:00:00,Anti-venom(4),12905
1744164000,12155,11539,946,328,2025-04-09 02:00:00,Anti-venom(4),12905
1744167600,11998,11504,2337,198,2025-04-09 03:00:00,Anti-venom(4),12905
1744171200,12075,11535,276,947,2025-04-09 04:00:00,Anti-venom(4),12905
1744174800,12095,11508,2,1027,2025-04-09 05:00:00,Anti-venom(4),12905
1744178400,12552,12216,90,106,2025-04-09 06:00:00,Anti-venom(4),12905
1744182000,12800,12699,350,56,2025-04-09 07:00:00,Anti-venom(4),12905
1744185600,12800,12700,714,73,2025-04-09 08:00:00,Anti-venom(4),12905
1744189200,12800,12476,5944,1456,2025-04-09 09:00:00,Anti-venom(4),12905
1744192800,12800,12392,239,409,2025-04-09 10:00:00,Anti-venom(4),12905
1744196400,12800,12699,283,41,2025-04-09 11:00:00,Anti-venom(4),12905
1744200000,12158,11512,69,1215,2025-04-09 12:00:00,Anti-venom(4),12905
1744203600,12069,11565,405,4150,2025-04-09 13:00:00,Anti-venom(4),12905
1744207200,11568,11344,1253,126,2025-04-09 14:00:00,Anti-venom(4),12905
1744210800,11573,11491,3148,3483,2025-04-09 15:00:00,Anti-venom(4),12905
1744214400,11955,11492,287,96,2025-04-09 16:00:00,Anti-venom(4),12905
1744218000,11935,11538,1270,401,2025-04-09 17:00:00,Anti-venom(4),12905
