timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,15558,15295,4297,430,2025-04-01 00:00:00,Anti-venom+(4),12913
1743469200,15518,15454,2706,2586,2025-04-01 01:00:00,Anti-venom+(4),12913
1743472800,15705,15538,1366,2038,2025-04-01 02:00:00,Anti-venom+(4),12913
1743476400,15494,15465,4574,4809,2025-04-01 03:00:00,Anti-venom+(4),12913
1743480000,15470,15399,1895,1992,2025-04-01 04:00:00,Anti-venom+(4),12913
1743483600,15509,15309,1764,548,2025-04-01 05:00:00,Anti-venom+(4),12913
1743487200,15737,15690,707,100,2025-04-01 06:00:00,Anti-venom+(4),12913
1743490800,15798,15698,3059,879,2025-04-01 07:00:00,Anti-venom+(4),12913
1743494400,15810,15683,1871,1792,2025-04-01 08:00:00,Anti-venom+(4),12913
1743498000,15819,15688,784,140,2025-04-01 09:00:00,Anti-venom+(4),12913
1743501600,15847,15425,1110,89,2025-04-01 10:00:00,Anti-venom+(4),12913
1743505200,15713,15734,810,2134,2025-04-01 11:00:00,Anti-venom+(4),12913
1743508800,15763,15500,2194,2662,2025-04-01 12:00:00,Anti-venom+(4),12913
1743512400,16005,15794,1325,2138,2025-04-01 13:00:00,Anti-venom+(4),12913
1743516000,16025,15963,1618,1294,2025-04-01 14:00:00,Anti-venom+(4),12913
1743519600,16135,15983,2927,339,2025-04-01 15:00:00,Anti-venom+(4),12913
1743523200,16001,16037,2396,1157,2025-04-01 16:00:00,Anti-venom+(4),12913
1743526800,16058,15959,1923,1146,2025-04-01 17:00:00,Anti-venom+(4),12913
1743530400,16113,16018,4111,2575,2025-04-01 18:00:00,Anti-venom+(4),12913
1743534000,16980,16685,4080,5312,2025-04-01 19:00:00,Anti-venom+(4),12913
1743537600,16533,16430,3773,4979,2025-04-01 20:00:00,Anti-venom+(4),12913
1743541200,16524,16208,1733,1505,2025-04-01 21:00:00,Anti-venom+(4),12913
1743544800,16127,15713,2179,6559,2025-04-01 22:00:00,Anti-venom+(4),12913
1743548400,16215,16007,1178,254,2025-04-01 23:00:00,Anti-venom+(4),12913
1743552000,16001,15819,1898,1296,2025-04-02 00:00:00,Anti-venom+(4),12913
