timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,7128.0,7032,487,3671,2025-04-01 00:00:00,Antidote++(4),5952
1743469200,7091.0,7040,164,7083,2025-04-01 01:00:00,Antidote++(4),5952
1743472800,7134.0,7050,902,4890,2025-04-01 02:00:00,Antidote++(4),5952
1743476400,7111.0,7003,258,4937,2025-04-01 03:00:00,Antidote++(4),5952
1743480000,6964.0,6900,746,3598,2025-04-01 04:00:00,Antidote++(4),5952
1743483600,6911.0,6818,407,9403,2025-04-01 05:00:00,Antidote++(4),5952
1743487200,6935.0,6893,2675,1702,2025-04-01 06:00:00,Antidote++(4),5952
1743490800,6930.0,6957,22,2630,2025-04-01 07:00:00,Antidote++(4),5952
1743494400,7054.0,6863,255,1745,2025-04-01 08:00:00,Antidote++(4),5952
1743498000,6983.0,6836,453,2612,2025-04-01 09:00:00,Antidote++(4),5952
1743501600,7118.0,7062,377,2523,2025-04-01 10:00:00,Antidote++(4),5952
1743505200,7478.0,7217,28,3218,2025-04-01 11:00:00,Antidote++(4),5952
1743508800,7349.0,7196,207,1742,2025-04-01 12:00:00,Antidote++(4),5952
1743512400,7203.0,7284,333,3774,2025-04-01 13:00:00,Antidote++(4),5952
1743516000,7371.0,7214,326,6325,2025-04-01 14:00:00,Antidote++(4),5952
1743519600,7357.0,7220,734,4024,2025-04-01 15:00:00,Antidote++(4),5952
1743523200,7484.0,7351,792,5725,2025-04-01 16:00:00,Antidote++(4),5952
1743526800,7306.0,7195,873,2742,2025-04-01 17:00:00,Antidote++(4),5952
1743530400,7252.0,7139,954,3436,2025-04-01 18:00:00,Antidote++(4),5952
1743534000,7396.0,7257,2410,6062,2025-04-01 19:00:00,Antidote++(4),5952
1743537600,7339.0,7243,1206,5837,2025-04-01 20:00:00,Antidote++(4),5952
1743541200,7452.0,7339,2969,12040,2025-04-01 21:00:00,Antidote++(4),5952
1743544800,7444.0,7343,3596,4386,2025-04-01 22:00:00,Antidote++(4),5952
1743548400,7428.0,7322,614,5183,2025-04-01 23:00:00,Antidote++(4),5952
1743552000,7397.0,7310,777,2105,2025-04-02 00:00:00,Antidote++(4),5952
1743555600,7389.0,7302,2032,10373,2025-04-02 01:00:00,Antidote++(4),5952
1743559200,7468.0,7292,6679,7232,2025-04-02 02:00:00,Antidote++(4),5952
1743562800,7625.0,7450,848,3939,2025-04-02 03:00:00,Antidote++(4),5952
1743566400,7530.0,7275,1562,6662,2025-04-02 04:00:00,Antidote++(4),5952
1743570000,7322.0,7211,1583,3066,2025-04-02 05:00:00,Antidote++(4),5952
1743573600,7331.0,7210,433,4052,2025-04-02 06:00:00,Antidote++(4),5952
1743577200,7304.0,7409,125,1994,2025-04-02 07:00:00,Antidote++(4),5952
1743580800,7592.0,7479,2749,1044,2025-04-02 08:00:00,Antidote++(4),5952
1743584400,7571.0,7489,258,2681,2025-04-02 09:00:00,Antidote++(4),5952
1743588000,7504.0,7470,407,2145,2025-04-02 10:00:00,Antidote++(4),5952
1743591600,7702.0,7264,198,1460,2025-04-02 11:00:00,Antidote++(4),5952
1743595200,7682.0,7293,4272,1296,2025-04-02 12:00:00,Antidote++(4),5952
1743598800,7420.0,7246,1567,5257,2025-04-02 13:00:00,Antidote++(4),5952
1743602400,7644.0,7475,1297,3475,2025-04-02 14:00:00,Antidote++(4),5952
1743606000,7687.0,7582,1213,3981,2025-04-02 15:00:00,Antidote++(4),5952
