timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2621947,2588875,35,43,2025-04-01 00:00:00,Archers ring,6733
1743469200,2619315,2584560,11,45,2025-04-01 01:00:00,Archers ring,6733
1743472800,2618459,2583338,47,40,2025-04-01 02:00:00,Archers ring,6733
1743476400,2630382,2588171,47,26,2025-04-01 03:00:00,Archers ring,6733
1743480000,2622268,2584216,26,28,2025-04-01 04:00:00,Archers ring,6733
1743483600,2625708,2597664,26,23,2025-04-01 05:00:00,Archers ring,6733
1743487200,2628040,2593019,29,30,2025-04-01 06:00:00,Archers ring,6733
1743490800,2619134,2575740,27,28,2025-04-01 07:00:00,Archers ring,6733
1743494400,2609504,2571275,26,25,2025-04-01 08:00:00,Archers ring,6733
1743498000,2611878,2571112,4,22,2025-04-01 09:00:00,Archers ring,6733
1743501600,2601908,2566931,11,20,2025-04-01 10:00:00,Archers ring,6733
1743505200,2588874,2554546,22,19,2025-04-01 11:00:00,Archers ring,6733
1743508800,2592985,2557494,29,27,2025-04-01 12:00:00,Archers ring,6733
1743512400,2593119,2557905,25,24,2025-04-01 13:00:00,Archers ring,6733
1743516000,2584520,2554322,32,30,2025-04-01 14:00:00,Archers ring,6733
1743519600,2589311,2552208,31,31,2025-04-01 15:00:00,Archers ring,6733
1743523200,2571332,2534567,21,38,2025-04-01 16:00:00,Archers ring,6733
1743526800,2565621,2535760,34,39,2025-04-01 17:00:00,Archers ring,6733
1743530400,2571022,2540765,41,43,2025-04-01 18:00:00,Archers ring,6733
1743534000,2569639,2536719,35,43,2025-04-01 19:00:00,Archers ring,6733
1743537600,2588576,2555001,34,35,2025-04-01 20:00:00,Archers ring,6733
1743541200,2590440,2558588,38,44,2025-04-01 21:00:00,Archers ring,6733
1743544800,2590326,2554678,43,44,2025-04-01 22:00:00,Archers ring,6733
1743548400,2587297,2553413,45,31,2025-04-01 23:00:00,Archers ring,6733
1743552000,2581961,2545312,39,52,2025-04-02 00:00:00,Archers ring,6733
1743555600,2578698,2541731,57,43,2025-04-02 01:00:00,Archers ring,6733
1743559200,2579384,2543294,40,57,2025-04-02 02:00:00,Archers ring,6733
1743562800,2583898,2545566,48,37,2025-04-02 03:00:00,Archers ring,6733
1743566400,2588102,2553851,24,29,2025-04-02 04:00:00,Archers ring,6733
1743570000,2579048,2543487,16,19,2025-04-02 05:00:00,Archers ring,6733
1743573600,2587873,2547062,27,20,2025-04-02 06:00:00,Archers ring,6733
1743577200,2582695,2553045,25,19,2025-04-02 07:00:00,Archers ring,6733
1743580800,2589647,2556176,34,26,2025-04-02 08:00:00,Archers ring,6733
1743584400,2591620,2562386,20,26,2025-04-02 09:00:00,Archers ring,6733
1743588000,2585986,2552531,8,9,2025-04-02 10:00:00,Archers ring,6733
1743591600,2598448,2547937,29,29,2025-04-02 11:00:00,Archers ring,6733
1743595200,2591847,2536659,18,39,2025-04-02 12:00:00,Archers ring,6733
1743598800,2582738,2548571,11,20,2025-04-02 13:00:00,Archers ring,6733
1743602400,2592237,2556199,39,18,2025-04-02 14:00:00,Archers ring,6733
1743606000,2584102,2553933,39,31,2025-04-02 15:00:00,Archers ring,6733
1743609600,2581797,2554916,33,31,2025-04-02 16:00:00,Archers ring,6733
1743613200,2658653,2607940,12,46,2025-04-02 17:00:00,Archers ring,6733
1743616800,2626514,2589354,42,41,2025-04-02 18:00:00,Archers ring,6733
1743620400,2620145,2574393,45,46,2025-04-02 19:00:00,Archers ring,6733
1743624000,2585408,2551961,54,35,2025-04-02 20:00:00,Archers ring,6733
1743627600,2583292,2551929,46,36,2025-04-02 21:00:00,Archers ring,6733
1743631200,2598914,2573631,25,57,2025-04-02 22:00:00,Archers ring,6733
1743634800,2626781,2591134,34,52,2025-04-02 23:00:00,Archers ring,6733
1743638400,2619440,2582808,44,33,2025-04-03 00:00:00,Archers ring,6733
1743642000,2613138,2574348,37,51,2025-04-03 01:00:00,Archers ring,6733
1743645600,2595433,2561704,39,43,2025-04-03 02:00:00,Archers ring,6733
1743649200,2582975,2558536,23,34,2025-04-03 03:00:00,Archers ring,6733
1743652800,2579990,2554037,23,37,2025-04-03 04:00:00,Archers ring,6733
1743656400,2584559,2550666,25,28,2025-04-03 05:00:00,Archers ring,6733
1743660000,2587202,2555672,23,17,2025-04-03 06:00:00,Archers ring,6733
1743663600,2598784,2573290,17,17,2025-04-03 07:00:00,Archers ring,6733
1743667200,2615460,2568793,13,21,2025-04-03 08:00:00,Archers ring,6733
1743670800,2616362,2572912,10,16,2025-04-03 09:00:00,Archers ring,6733
1743674400,2614569,2583424,6,17,2025-04-03 10:00:00,Archers ring,6733
1743678000,2586254,2561293,18,17,2025-04-03 11:00:00,Archers ring,6733
1743681600,2582702,2558430,18,15,2025-04-03 12:00:00,Archers ring,6733
1743685200,2628153,2583925,18,30,2025-04-03 13:00:00,Archers ring,6733
1743688800,2585213,2552532,19,29,2025-04-03 14:00:00,Archers ring,6733
1743692400,2573137,2543390,27,36,2025-04-03 15:00:00,Archers ring,6733
1743696000,2559617,2519061,30,37,2025-04-03 16:00:00,Archers ring,6733
1743699600,2541278,2512788,33,60,2025-04-03 17:00:00,Archers ring,6733
1743703200,2551684,2517846,50,24,2025-04-03 18:00:00,Archers ring,6733
1743706800,2511941,2507092,53,77,2025-04-03 19:00:00,Archers ring,6733
1743710400,2497944,2480362,32,41,2025-04-03 20:00:00,Archers ring,6733
1743714000,2541168,2497079,36,45,2025-04-03 21:00:00,Archers ring,6733
1743717600,2552999,2517847,51,52,2025-04-03 22:00:00,Archers ring,6733
1743721200,2552096,2526147,41,43,2025-04-03 23:00:00,Archers ring,6733
1743724800,2546145,2510227,32,37,2025-04-04 00:00:00,Archers ring,6733
1743728400,2557448,2520818,40,37,2025-04-04 01:00:00,Archers ring,6733
1743732000,2560046,2526304,42,32,2025-04-04 02:00:00,Archers ring,6733
1743735600,2563123,2522800,48,48,2025-04-04 03:00:00,Archers ring,6733
1743739200,2580176,2547491,29,36,2025-04-04 04:00:00,Archers ring,6733
1743742800,2551653,2505943,25,24,2025-04-04 05:00:00,Archers ring,6733
1743746400,2526429,2490990,10,13,2025-04-04 06:00:00,Archers ring,6733
1743750000,2560225,2516238,28,37,2025-04-04 07:00:00,Archers ring,6733
1743753600,2559703,2525521,13,8,2025-04-04 08:00:00,Archers ring,6733
1743757200,2556700,2519667,15,17,2025-04-04 09:00:00,Archers ring,6733
1743760800,2539192,2511190,12,20,2025-04-04 10:00:00,Archers ring,6733
1743764400,2582574,2544242,19,20,2025-04-04 11:00:00,Archers ring,6733
1743768000,2583408,2546109,19,34,2025-04-04 12:00:00,Archers ring,6733
1743771600,2545772,2520427,24,36,2025-04-04 13:00:00,Archers ring,6733
1743775200,2529847,2504728,40,24,2025-04-04 14:00:00,Archers ring,6733
1743778800,2528034,2498160,36,29,2025-04-04 15:00:00,Archers ring,6733
1743782400,2530570,2492366,24,28,2025-04-04 16:00:00,Archers ring,6733
1743786000,2590882,2560834,45,54,2025-04-04 17:00:00,Archers ring,6733
1743789600,2592354,2547232,33,47,2025-04-04 18:00:00,Archers ring,6733
1743793200,2547073,2511574,63,45,2025-04-04 19:00:00,Archers ring,6733
1743796800,2554129,2520940,51,46,2025-04-04 20:00:00,Archers ring,6733
1743800400,2554444,2532864,34,20,2025-04-04 21:00:00,Archers ring,6733
1743804000,2585863,2551729,36,35,2025-04-04 22:00:00,Archers ring,6733
1743807600,2567901,2530095,32,42,2025-04-04 23:00:00,Archers ring,6733
1743811200,2573961,2550218,43,49,2025-04-05 00:00:00,Archers ring,6733
1743814800,2584771,2551943,46,36,2025-04-05 01:00:00,Archers ring,6733
1743818400,2550877,2523451,40,39,2025-04-05 02:00:00,Archers ring,6733
1743822000,2568045,2525502,37,23,2025-04-05 03:00:00,Archers ring,6733
1743825600,2534389,2505491,22,46,2025-04-05 04:00:00,Archers ring,6733
1743829200,2527479,2492377,28,39,2025-04-05 05:00:00,Archers ring,6733
1743832800,2529616,2495192,15,18,2025-04-05 06:00:00,Archers ring,6733
1743836400,2529416,2488091,18,24,2025-04-05 07:00:00,Archers ring,6733
1743840000,2522933,2482914,29,25,2025-04-05 08:00:00,Archers ring,6733
1743843600,2529163,2509324,11,12,2025-04-05 09:00:00,Archers ring,6733
1743847200,2531629,2498845,22,21,2025-04-05 10:00:00,Archers ring,6733
1743850800,2520997,2489418,22,28,2025-04-05 11:00:00,Archers ring,6733
1743854400,2524034,2489334,30,20,2025-04-05 12:00:00,Archers ring,6733
1743858000,2550996,2527388,45,24,2025-04-05 13:00:00,Archers ring,6733
1743861600,2596627,2558643,31,46,2025-04-05 14:00:00,Archers ring,6733
1743865200,2594322,2555948,30,39,2025-04-05 15:00:00,Archers ring,6733
1743868800,2567937,2534593,55,34,2025-04-05 16:00:00,Archers ring,6733
1743872400,2579038,2542853,37,58,2025-04-05 17:00:00,Archers ring,6733
1743876000,2563869,2529531,59,43,2025-04-05 18:00:00,Archers ring,6733
1743879600,2566710,2534659,42,41,2025-04-05 19:00:00,Archers ring,6733
1743883200,2557742,2527795,41,57,2025-04-05 20:00:00,Archers ring,6733
1743886800,2571866,2536630,52,55,2025-04-05 21:00:00,Archers ring,6733
1743890400,2584090,2546189,39,32,2025-04-05 22:00:00,Archers ring,6733
1743894000,2641720,2594659,60,42,2025-04-05 23:00:00,Archers ring,6733
1743897600,2657389,2611811,39,39,2025-04-06 00:00:00,Archers ring,6733
1743901200,2640966,2603122,44,44,2025-04-06 01:00:00,Archers ring,6733
1743904800,2652097,2604635,59,45,2025-04-06 02:00:00,Archers ring,6733
1743908400,2663985,2593415,46,47,2025-04-06 03:00:00,Archers ring,6733
1743912000,2661249,2626721,21,34,2025-04-06 04:00:00,Archers ring,6733
1743915600,2592461,2560549,28,31,2025-04-06 05:00:00,Archers ring,6733
1743919200,2582403,2560888,29,30,2025-04-06 06:00:00,Archers ring,6733
1743922800,2583656,2548733,28,35,2025-04-06 07:00:00,Archers ring,6733
1743926400,2612686,2569875,25,23,2025-04-06 08:00:00,Archers ring,6733
1743930000,2592353,2574713,18,28,2025-04-06 09:00:00,Archers ring,6733
1743933600,2596812,2549322,24,24,2025-04-06 10:00:00,Archers ring,6733
