timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743469200,,53544321.0,0,1,2025-04-01 01:00:00,Armageddon cape fabric,29628
1743472800,54971753.0,,2,0,2025-04-01 02:00:00,Armageddon cape fabric,29628
1743494400,,52793892.0,0,2,2025-04-01 08:00:00,Armageddon cape fabric,29628
1743530400,53738384.0,,3,0,2025-04-01 18:00:00,Armageddon cape fabric,29628
1743537600,53700000.0,,1,0,2025-04-01 20:00:00,Armageddon cape fabric,29628
1743541200,53194995.0,,1,0,2025-04-01 21:00:00,Armageddon cape fabric,29628
1743544800,53194995.0,,1,0,2025-04-01 22:00:00,Armageddon cape fabric,29628
1743555600,,53000000.0,0,1,2025-04-02 01:00:00,Armageddon cape fabric,29628
1743559200,53194995.0,,1,0,2025-04-02 02:00:00,Armageddon cape fabric,29628
1743562800,52999000.0,,2,0,2025-04-02 03:00:00,Armageddon cape fabric,29628
1743573600,52999000.0,,1,0,2025-04-02 06:00:00,Armageddon cape fabric,29628
1743584400,52999000.0,,1,0,2025-04-02 09:00:00,Armageddon cape fabric,29628
1743588000,53110956.0,,2,0,2025-04-02 10:00:00,Armageddon cape fabric,29628
1743591600,53109024.0,,1,0,2025-04-02 11:00:00,Armageddon cape fabric,29628
1743602400,54942000.0,,1,0,2025-04-02 14:00:00,Armageddon cape fabric,29628
1743609600,54890000.0,,1,0,2025-04-02 16:00:00,Armageddon cape fabric,29628
1743627600,54942000.0,,2,0,2025-04-02 21:00:00,Armageddon cape fabric,29628
1743631200,54942000.0,,1,0,2025-04-02 22:00:00,Armageddon cape fabric,29628
1743634800,54999997.0,,1,0,2025-04-02 23:00:00,Armageddon cape fabric,29628
1743638400,57633333.0,,3,0,2025-04-03 00:00:00,Armageddon cape fabric,29628
1743642000,58999999.0,,3,0,2025-04-03 01:00:00,Armageddon cape fabric,29628
1743656400,58999999.0,,1,0,2025-04-03 05:00:00,Armageddon cape fabric,29628
1743667200,58999999.0,59000000.0,1,1,2025-04-03 08:00:00,Armageddon cape fabric,29628
1743692400,58444000.0,,1,0,2025-04-03 15:00:00,Armageddon cape fabric,29628
1743710400,,55111111.0,0,1,2025-04-03 20:00:00,Armageddon cape fabric,29628
1743717600,,58000000.0,0,2,2025-04-03 22:00:00,Armageddon cape fabric,29628
1743721200,,56005005.0,0,2,2025-04-03 23:00:00,Armageddon cape fabric,29628
1743735600,63400212.0,,4,0,2025-04-04 03:00:00,Armageddon cape fabric,29628
1743739200,,57173228.0,0,2,2025-04-04 04:00:00,Armageddon cape fabric,29628
1743742800,67716858.0,,1,0,2025-04-04 05:00:00,Armageddon cape fabric,29628
1743757200,68486000.0,,1,0,2025-04-04 09:00:00,Armageddon cape fabric,29628
1743771600,68000000.0,,1,0,2025-04-04 13:00:00,Armageddon cape fabric,29628
1743775200,67716858.0,,1,0,2025-04-04 14:00:00,Armageddon cape fabric,29628
1743778800,66789789.0,,1,0,2025-04-04 15:00:00,Armageddon cape fabric,29628
1743782400,74888997.0,62800000.0,1,2,2025-04-04 16:00:00,Armageddon cape fabric,29628
1743786000,73456456.0,65606000.0,1,1,2025-04-04 17:00:00,Armageddon cape fabric,29628
1743796800,,66378556.0,0,1,2025-04-04 20:00:00,Armageddon cape fabric,29628
1743811200,69000000.0,69000000.0,1,2,2025-04-05 00:00:00,Armageddon cape fabric,29628
1743825600,,63343212.0,0,1,2025-04-05 04:00:00,Armageddon cape fabric,29628
1743829200,68303000.0,,1,0,2025-04-05 05:00:00,Armageddon cape fabric,29628
1743840000,67990000.0,,1,0,2025-04-05 08:00:00,Armageddon cape fabric,29628
1743865200,66645000.0,,2,0,2025-04-05 15:00:00,Armageddon cape fabric,29628
1743872400,65900000.0,,1,0,2025-04-05 17:00:00,Armageddon cape fabric,29628
1743876000,66500000.0,,1,0,2025-04-05 18:00:00,Armageddon cape fabric,29628
1743883200,66500000.0,63612123.0,1,1,2025-04-05 20:00:00,Armageddon cape fabric,29628
1743886800,,63719232.0,0,1,2025-04-05 21:00:00,Armageddon cape fabric,29628
1743894000,66396217.0,,1,0,2025-04-05 23:00:00,Armageddon cape fabric,29628
1743897600,,63701347.0,0,1,2025-04-06 00:00:00,Armageddon cape fabric,29628
1743901200,66263609.0,,1,0,2025-04-06 01:00:00,Armageddon cape fabric,29628
1743904800,66999999.0,,1,0,2025-04-06 02:00:00,Armageddon cape fabric,29628
1743915600,,63912123.0,0,1,2025-04-06 05:00:00,Armageddon cape fabric,29628
1743922800,66566000.0,,1,0,2025-04-06 07:00:00,Armageddon cape fabric,29628
1743933600,64201053.0,,1,0,2025-04-06 10:00:00,Armageddon cape fabric,29628
1743948000,66000000.0,,1,0,2025-04-06 14:00:00,Armageddon cape fabric,29628
1743969600,64850000.0,,1,0,2025-04-06 20:00:00,Armageddon cape fabric,29628
1743976800,64798246.0,,2,0,2025-04-06 22:00:00,Armageddon cape fabric,29628
1743980400,,64000000.0,0,1,2025-04-06 23:00:00,Armageddon cape fabric,29628
1743984000,69606600.0,,1,0,2025-04-07 00:00:00,Armageddon cape fabric,29628
1743987600,69606600.0,,1,0,2025-04-07 01:00:00,Armageddon cape fabric,29628
1744056000,68376376.0,64690000.0,4,1,2025-04-07 20:00:00,Armageddon cape fabric,29628
1744063200,68300000.0,,1,0,2025-04-07 22:00:00,Armageddon cape fabric,29628
1744066800,69400000.0,,1,0,2025-04-07 23:00:00,Armageddon cape fabric,29628
1744070400,,65173351.0,0,7,2025-04-08 00:00:00,Armageddon cape fabric,29628
1744074000,67500000.0,66733332.0,1,3,2025-04-08 01:00:00,Armageddon cape fabric,29628
1744081200,,65000995.0,0,1,2025-04-08 03:00:00,Armageddon cape fabric,29628
1744099200,67390000.0,,1,0,2025-04-08 08:00:00,Armageddon cape fabric,29628
1744124400,,65011000.0,0,1,2025-04-08 15:00:00,Armageddon cape fabric,29628
1744131600,,65500240.0,0,3,2025-04-08 17:00:00,Armageddon cape fabric,29628
1744135200,,66000000.0,0,4,2025-04-08 18:00:00,Armageddon cape fabric,29628
1744138800,,66000000.0,0,2,2025-04-08 19:00:00,Armageddon cape fabric,29628
1744149600,67301441.0,,6,0,2025-04-08 22:00:00,Armageddon cape fabric,29628
1744160400,,65500000.0,0,2,2025-04-09 01:00:00,Armageddon cape fabric,29628
1744164000,66868678.0,,1,0,2025-04-09 02:00:00,Armageddon cape fabric,29628
1744167600,,65565596.0,0,1,2025-04-09 03:00:00,Armageddon cape fabric,29628
1744178400,,65614154.0,0,1,2025-04-09 06:00:00,Armageddon cape fabric,29628
1744182000,66332332.0,,1,0,2025-04-09 07:00:00,Armageddon cape fabric,29628
1744192800,66310391.0,,1,0,2025-04-09 10:00:00,Armageddon cape fabric,29628
1744203600,66331832.0,,1,0,2025-04-09 13:00:00,Armageddon cape fabric,29628
1744210800,65999998.0,,1,0,2025-04-09 15:00:00,Armageddon cape fabric,29628
1744218000,65919878.0,65000000.0,1,1,2025-04-09 17:00:00,Armageddon cape fabric,29628
1744221600,,63100000.0,0,1,2025-04-09 18:00:00,Armageddon cape fabric,29628
1744225200,65919304.0,,3,0,2025-04-09 19:00:00,Armageddon cape fabric,29628
1744282800,,63612123.0,0,1,2025-04-10 11:00:00,Armageddon cape fabric,29628
1744297200,65678000.0,,1,0,2025-04-10 15:00:00,Armageddon cape fabric,29628
1744308000,,63704762.0,0,3,2025-04-10 18:00:00,Armageddon cape fabric,29628
1744311600,,61786617.0,0,12,2025-04-10 19:00:00,Armageddon cape fabric,29628
1744318800,63444000.0,,1,0,2025-04-10 21:00:00,Armageddon cape fabric,29628
1744326000,,61905005.0,0,1,2025-04-10 23:00:00,Armageddon cape fabric,29628
1744344000,63394995.0,62025004.0,1,1,2025-04-11 04:00:00,Armageddon cape fabric,29628
1744347600,63000000.0,,1,0,2025-04-11 05:00:00,Armageddon cape fabric,29628
1744351200,63916166.0,,2,0,2025-04-11 06:00:00,Armageddon cape fabric,29628
1744365600,64697500.0,,1,0,2025-04-11 10:00:00,Armageddon cape fabric,29628
1744369200,65899998.0,,1,0,2025-04-11 11:00:00,Armageddon cape fabric,29628
1744372800,65649000.0,,1,0,2025-04-11 12:00:00,Armageddon cape fabric,29628
1744387200,,62211000.0,0,1,2025-04-11 16:00:00,Armageddon cape fabric,29628
1744394400,,62339371.0,0,1,2025-04-11 18:00:00,Armageddon cape fabric,29628
1744401600,65524645.0,,1,0,2025-04-11 20:00:00,Armageddon cape fabric,29628
1744405200,64878000.0,62611006.0,1,1,2025-04-11 21:00:00,Armageddon cape fabric,29628
1744408800,64739997.0,62685158.0,1,1,2025-04-11 22:00:00,Armageddon cape fabric,29628
1744419600,,62605005.0,0,1,2025-04-12 01:00:00,Armageddon cape fabric,29628
1744430400,,64078557.0,0,2,2025-04-12 04:00:00,Armageddon cape fabric,29628
1744434000,64078557.0,,1,0,2025-04-12 05:00:00,Armageddon cape fabric,29628
1744437600,64051976.0,62031000.0,2,1,2025-04-12 06:00:00,Armageddon cape fabric,29628
1744452000,64052398.0,,2,0,2025-04-12 10:00:00,Armageddon cape fabric,29628
1744462800,64000000.0,62170446.0,1,2,2025-04-12 13:00:00,Armageddon cape fabric,29628
1744466400,63994995.0,,1,0,2025-04-12 14:00:00,Armageddon cape fabric,29628
1744470000,63993588.0,,1,0,2025-04-12 15:00:00,Armageddon cape fabric,29628
1744477200,63900000.0,,1,0,2025-04-12 17:00:00,Armageddon cape fabric,29628
1744480800,63899996.0,,1,0,2025-04-12 18:00:00,Armageddon cape fabric,29628
1744484400,,64078557.0,0,1,2025-04-12 19:00:00,Armageddon cape fabric,29628
1744488000,63000000.0,,2,0,2025-04-12 20:00:00,Armageddon cape fabric,29628
1744491600,63000000.0,64078557.0,1,1,2025-04-12 21:00:00,Armageddon cape fabric,29628
1744531200,65899998.0,,1,0,2025-04-13 08:00:00,Armageddon cape fabric,29628
1744534800,65899998.0,,1,0,2025-04-13 09:00:00,Armageddon cape fabric,29628
1744549200,64988000.0,,1,0,2025-04-13 13:00:00,Armageddon cape fabric,29628
1744552800,64078557.0,,1,0,2025-04-13 14:00:00,Armageddon cape fabric,29628
1744556400,,64078557.0,0,1,2025-04-13 15:00:00,Armageddon cape fabric,29628
1744560000,64078557.0,64078557.0,1,1,2025-04-13 16:00:00,Armageddon cape fabric,29628
1744567200,66664000.0,,1,0,2025-04-13 18:00:00,Armageddon cape fabric,29628
1744570800,65868678.0,64079729.0,1,1,2025-04-13 19:00:00,Armageddon cape fabric,29628
1744578000,,64200000.0,0,1,2025-04-13 21:00:00,Armageddon cape fabric,29628
1744588800,65666666.0,64251845.0,1,1,2025-04-14 00:00:00,Armageddon cape fabric,29628
1744592400,65616715.0,,1,0,2025-04-14 01:00:00,Armageddon cape fabric,29628
1744596000,,64318195.0,0,2,2025-04-14 02:00:00,Armageddon cape fabric,29628
1744606800,65555697.0,,1,0,2025-04-14 05:00:00,Armageddon cape fabric,29628
1744632000,,64401069.0,0,1,2025-04-14 12:00:00,Armageddon cape fabric,29628
1744646400,65580833.0,,2,0,2025-04-14 16:00:00,Armageddon cape fabric,29628
1744668000,65590000.0,,1,0,2025-04-14 22:00:00,Armageddon cape fabric,29628
1744671600,65590000.0,,1,0,2025-04-14 23:00:00,Armageddon cape fabric,29628
1744675200,,65250001.0,0,2,2025-04-15 00:00:00,Armageddon cape fabric,29628
1744682400,65412222.0,,3,0,2025-04-15 02:00:00,Armageddon cape fabric,29628
1744714800,65666666.0,62000001.0,1,1,2025-04-15 11:00:00,Armageddon cape fabric,29628
1744732800,,63160464.0,0,1,2025-04-15 16:00:00,Armageddon cape fabric,29628
1744736400,63500000.0,,1,0,2025-04-15 17:00:00,Armageddon cape fabric,29628
1744758000,,64000000.0,0,1,2025-04-15 23:00:00,Armageddon cape fabric,29628
1744761600,65482730.0,64047740.0,1,1,2025-04-16 00:00:00,Armageddon cape fabric,29628
1744768800,,64104834.0,0,1,2025-04-16 02:00:00,Armageddon cape fabric,29628
1744797600,,62000000.0,0,1,2025-04-16 10:00:00,Armageddon cape fabric,29628
