timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2656.0,2614,10659,8789,2025-04-01 00:00:00,Avantoe,261
1743469200,2677.0,2611,8027,5782,2025-04-01 01:00:00,Avantoe,261
1743472800,2762.0,2568,1904,5963,2025-04-01 02:00:00,Avantoe,261
1743476400,2596.0,2571,2525,2763,2025-04-01 03:00:00,Avantoe,261
1743480000,2759.0,2572,596,11468,2025-04-01 04:00:00,Avantoe,261
1743483600,2858.0,2569,715,1510,2025-04-01 05:00:00,Avantoe,261
1743487200,2668.0,2642,761,1046,2025-04-01 06:00:00,Avantoe,261
1743490800,2685.0,2677,6963,700,2025-04-01 07:00:00,Avantoe,261
1743494400,2986.0,2879,27,2307,2025-04-01 08:00:00,Avantoe,261
1743498000,3320.0,3051,2565,2156,2025-04-01 09:00:00,Avantoe,261
1743501600,2855.0,2601,823,1029,2025-04-01 10:00:00,Avantoe,261
1743505200,2743.0,2607,2635,692,2025-04-01 11:00:00,Avantoe,261
1743508800,2622.0,2591,573,204,2025-04-01 12:00:00,Avantoe,261
1743512400,2634.0,2627,8190,3275,2025-04-01 13:00:00,Avantoe,261
1743516000,2730.0,2633,3839,7195,2025-04-01 14:00:00,Avantoe,261
1743519600,2727.0,2648,1806,840,2025-04-01 15:00:00,Avantoe,261
1743523200,2726.0,2645,4094,3503,2025-04-01 16:00:00,Avantoe,261
1743526800,2710.0,2662,1107,5038,2025-04-01 17:00:00,Avantoe,261
1743530400,2702.0,2655,2100,2025,2025-04-01 18:00:00,Avantoe,261
1743534000,2690.0,2644,249,4003,2025-04-01 19:00:00,Avantoe,261
1743537600,2709.0,2645,2694,10237,2025-04-01 20:00:00,Avantoe,261
1743541200,2660.0,2647,2091,617,2025-04-01 21:00:00,Avantoe,261
1743544800,2623.0,2621,4624,9721,2025-04-01 22:00:00,Avantoe,261
1743548400,2602.0,2577,3378,1932,2025-04-01 23:00:00,Avantoe,261
1743552000,2614.0,2605,4486,4910,2025-04-02 00:00:00,Avantoe,261
1743555600,2671.0,2629,612,5726,2025-04-02 01:00:00,Avantoe,261
1743559200,2598.0,2577,2205,2241,2025-04-02 02:00:00,Avantoe,261
1743562800,2608.0,2581,6732,2517,2025-04-02 03:00:00,Avantoe,261
1743566400,2621.0,2609,2329,3723,2025-04-02 04:00:00,Avantoe,261
1743570000,2645.0,2634,588,2911,2025-04-02 05:00:00,Avantoe,261
1743573600,2692.0,2659,1085,2194,2025-04-02 06:00:00,Avantoe,261
1743577200,2678.0,2666,1236,1653,2025-04-02 07:00:00,Avantoe,261
1743580800,2736.0,2670,2050,3838,2025-04-02 08:00:00,Avantoe,261
1743584400,2786.0,2737,1454,4409,2025-04-02 09:00:00,Avantoe,261
1743588000,2929.0,2641,2457,388,2025-04-02 10:00:00,Avantoe,261
1743591600,2661.0,2709,1721,2067,2025-04-02 11:00:00,Avantoe,261
1743595200,2913.0,2810,1598,3553,2025-04-02 12:00:00,Avantoe,261
1743598800,2888.0,2637,1103,859,2025-04-02 13:00:00,Avantoe,261
1743602400,2738.0,2659,2506,3286,2025-04-02 14:00:00,Avantoe,261
1743606000,2711.0,2639,1585,2577,2025-04-02 15:00:00,Avantoe,261
1743609600,2659.0,2626,822,1565,2025-04-02 16:00:00,Avantoe,261
1743613200,2636.0,2623,71,2643,2025-04-02 17:00:00,Avantoe,261
1743616800,2632.0,2623,501,2580,2025-04-02 18:00:00,Avantoe,261
1743620400,2628.0,2615,2362,4372,2025-04-02 19:00:00,Avantoe,261
1743624000,2629.0,2592,510,3820,2025-04-02 20:00:00,Avantoe,261
1743627600,2629.0,2615,3222,2331,2025-04-02 21:00:00,Avantoe,261
1743631200,2610.0,2562,4353,2261,2025-04-02 22:00:00,Avantoe,261
1743634800,2603.0,2573,145,3807,2025-04-02 23:00:00,Avantoe,261
1743638400,2619.0,2614,888,3117,2025-04-03 00:00:00,Avantoe,261
1743642000,2622.0,2587,2833,2932,2025-04-03 01:00:00,Avantoe,261
1743645600,2609.0,2595,2371,3364,2025-04-03 02:00:00,Avantoe,261
1743649200,2595.0,2591,559,1752,2025-04-03 03:00:00,Avantoe,261
1743652800,2648.0,2620,1332,2762,2025-04-03 04:00:00,Avantoe,261
1743656400,2650.0,2623,8370,4756,2025-04-03 05:00:00,Avantoe,261
1743660000,2650.0,2576,15142,2184,2025-04-03 06:00:00,Avantoe,261
1743663600,2642.0,2585,16087,2336,2025-04-03 07:00:00,Avantoe,261
1743667200,2632.0,2616,2626,2279,2025-04-03 08:00:00,Avantoe,261
1743670800,2591.0,2580,2335,822,2025-04-03 09:00:00,Avantoe,261
1743674400,2586.0,2586,47,2815,2025-04-03 10:00:00,Avantoe,261
1743678000,2592.0,2578,1933,2353,2025-04-03 11:00:00,Avantoe,261
1743681600,2597.0,2569,727,1749,2025-04-03 12:00:00,Avantoe,261
1743685200,2579.0,2558,308,1024,2025-04-03 13:00:00,Avantoe,261
1743688800,2596.0,2558,2996,1350,2025-04-03 14:00:00,Avantoe,261
1743692400,2574.0,2564,515,984,2025-04-03 15:00:00,Avantoe,261
1743696000,2590.0,2565,6575,3435,2025-04-03 16:00:00,Avantoe,261
1743699600,2590.0,2562,4061,700,2025-04-03 17:00:00,Avantoe,261
1743703200,2602.0,2551,1747,1991,2025-04-03 18:00:00,Avantoe,261
1743706800,2607.0,2559,1241,3192,2025-04-03 19:00:00,Avantoe,261
1743710400,2609.0,2573,7352,4602,2025-04-03 20:00:00,Avantoe,261
1743714000,2609.0,2582,1677,2010,2025-04-03 21:00:00,Avantoe,261
1743717600,2595.0,2590,4354,2220,2025-04-03 22:00:00,Avantoe,261
1743721200,2570.0,2497,3101,8560,2025-04-03 23:00:00,Avantoe,261
1743724800,2599.0,2552,5325,4766,2025-04-04 00:00:00,Avantoe,261
1743728400,2563.0,2591,8239,7924,2025-04-04 01:00:00,Avantoe,261
1743732000,2646.0,2617,796,5717,2025-04-04 02:00:00,Avantoe,261
1743735600,2613.0,2603,898,3757,2025-04-04 03:00:00,Avantoe,261
1743739200,2607.0,2593,1706,569,2025-04-04 04:00:00,Avantoe,261
1743742800,2607.0,2575,4530,4581,2025-04-04 05:00:00,Avantoe,261
1743746400,2631.0,2577,1642,920,2025-04-04 06:00:00,Avantoe,261
1743750000,2649.0,2593,13783,701,2025-04-04 07:00:00,Avantoe,261
1743753600,2645.0,2560,7186,385,2025-04-04 08:00:00,Avantoe,261
1743757200,2619.0,2568,1818,524,2025-04-04 09:00:00,Avantoe,261
1743760800,2612.0,2571,318,804,2025-04-04 10:00:00,Avantoe,261
1743764400,2600.0,2554,11045,2107,2025-04-04 11:00:00,Avantoe,261
