timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1023051.0,1012019,142,74,2025-04-01 00:00:00,Awakener's orb,28334
1743469200,1018767.0,1007706,63,139,2025-04-01 01:00:00,Awakener's orb,28334
1743472800,1012622.0,1005461,87,242,2025-04-01 02:00:00,Awakener's orb,28334
1743476400,1008309.0,997473,66,127,2025-04-01 03:00:00,Awakener's orb,28334
1743480000,1002093.0,996392,63,175,2025-04-01 04:00:00,Awakener's orb,28334
1743483600,999095.0,990143,97,175,2025-04-01 05:00:00,Awakener's orb,28334
1743487200,996288.0,983808,53,65,2025-04-01 06:00:00,Awakener's orb,28334
1743490800,995583.0,985281,35,69,2025-04-01 07:00:00,Awakener's orb,28334
1743494400,994667.0,982080,43,64,2025-04-01 08:00:00,Awakener's orb,28334
1743498000,993511.0,986140,70,119,2025-04-01 09:00:00,Awakener's orb,28334
1743501600,993218.0,980596,10,42,2025-04-01 10:00:00,Awakener's orb,28334
1743505200,993912.0,987791,15,39,2025-04-01 11:00:00,Awakener's orb,28334
1743508800,1001560.0,985661,137,53,2025-04-01 12:00:00,Awakener's orb,28334
1743512400,993333.0,989207,6,83,2025-04-01 13:00:00,Awakener's orb,28334
1743516000,1003895.0,999134,131,188,2025-04-01 14:00:00,Awakener's orb,28334
1743519600,1003773.0,996989,43,96,2025-04-01 15:00:00,Awakener's orb,28334
1743523200,1006671.0,993199,181,69,2025-04-01 16:00:00,Awakener's orb,28334
1743526800,1003551.0,984324,76,378,2025-04-01 17:00:00,Awakener's orb,28334
1743530400,999866.0,997304,83,240,2025-04-01 18:00:00,Awakener's orb,28334
1743534000,1004523.0,991751,131,127,2025-04-01 19:00:00,Awakener's orb,28334
1743537600,1006089.0,1001219,171,166,2025-04-01 20:00:00,Awakener's orb,28334
1743541200,1002771.0,992108,314,111,2025-04-01 21:00:00,Awakener's orb,28334
1743544800,1001935.0,991909,35,115,2025-04-01 22:00:00,Awakener's orb,28334
1743548400,1005825.0,1002144,36,145,2025-04-01 23:00:00,Awakener's orb,28334
1743552000,1006548.0,998979,77,215,2025-04-02 00:00:00,Awakener's orb,28334
1743555600,1009540.0,1008261,76,236,2025-04-02 01:00:00,Awakener's orb,28334
1743559200,1012751.0,1006512,153,146,2025-04-02 02:00:00,Awakener's orb,28334
1743562800,1000477.0,990651,19,137,2025-04-02 03:00:00,Awakener's orb,28334
1743566400,998296.0,988317,25,141,2025-04-02 04:00:00,Awakener's orb,28334
1743570000,996022.0,986590,400,125,2025-04-02 05:00:00,Awakener's orb,28334
1743573600,991701.0,979256,103,79,2025-04-02 06:00:00,Awakener's orb,28334
1743577200,995882.0,988983,43,99,2025-04-02 07:00:00,Awakener's orb,28334
1743580800,991000.0,989737,13,38,2025-04-02 08:00:00,Awakener's orb,28334
