timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,23980,23698,1101,1158,2025-04-01 00:00:00,Bastion potion(4),22461
1743469200,24003,23836,3278,975,2025-04-01 01:00:00,Bastion potion(4),22461
1743472800,24024,23856,977,667,2025-04-01 02:00:00,Bastion potion(4),22461
1743476400,24034,23867,1489,40,2025-04-01 03:00:00,Bastion potion(4),22461
1743480000,24057,23692,1786,1530,2025-04-01 04:00:00,Bastion potion(4),22461
1743483600,23896,23379,1517,208,2025-04-01 05:00:00,Bastion potion(4),22461
1743487200,23852,23417,1275,137,2025-04-01 06:00:00,Bastion potion(4),22461
1743490800,23897,23532,782,377,2025-04-01 07:00:00,Bastion potion(4),22461
1743494400,23828,23489,356,1478,2025-04-01 08:00:00,Bastion potion(4),22461
1743498000,23827,23413,459,1351,2025-04-01 09:00:00,Bastion potion(4),22461
1743501600,23800,23432,1786,20,2025-04-01 10:00:00,Bastion potion(4),22461
1743505200,23800,23541,2703,293,2025-04-01 11:00:00,Bastion potion(4),22461
1743508800,23957,23620,285,212,2025-04-01 12:00:00,Bastion potion(4),22461
1743512400,23806,23349,1525,6377,2025-04-01 13:00:00,Bastion potion(4),22461
1743516000,23062,23014,2196,296,2025-04-01 14:00:00,Bastion potion(4),22461
1743519600,23399,23314,2739,1355,2025-04-01 15:00:00,Bastion potion(4),22461
1743523200,23800,23300,3230,352,2025-04-01 16:00:00,Bastion potion(4),22461
1743526800,23831,23806,2821,163,2025-04-01 17:00:00,Bastion potion(4),22461
1743530400,23986,23812,3794,435,2025-04-01 18:00:00,Bastion potion(4),22461
1743534000,23931,23751,1846,337,2025-04-01 19:00:00,Bastion potion(4),22461
1743537600,24185,23728,2198,1216,2025-04-01 20:00:00,Bastion potion(4),22461
1743541200,24052,23782,789,152,2025-04-01 21:00:00,Bastion potion(4),22461
1743544800,24355,23876,1932,894,2025-04-01 22:00:00,Bastion potion(4),22461
1743548400,24233,23878,1852,1333,2025-04-01 23:00:00,Bastion potion(4),22461
1743552000,24216,24183,579,1453,2025-04-02 00:00:00,Bastion potion(4),22461
1743555600,24370,24097,1121,741,2025-04-02 01:00:00,Bastion potion(4),22461
