timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,8120,8101,63974,92849,2025-04-01 00:00:00,Battlestaff,1391
1743469200,8119,8090,94992,79851,2025-04-01 01:00:00,Battlestaff,1391
1743472800,8117,8074,60174,44226,2025-04-01 02:00:00,Battlestaff,1391
1743476400,8120,8102,57397,83222,2025-04-01 03:00:00,Battlestaff,1391
1743480000,8125,8108,33361,45530,2025-04-01 04:00:00,Battlestaff,1391
1743483600,8121,8078,29346,38725,2025-04-01 05:00:00,Battlestaff,1391
1743487200,8135,8118,26258,29575,2025-04-01 06:00:00,Battlestaff,1391
1743490800,8145,8126,30395,38296,2025-04-01 07:00:00,Battlestaff,1391
1743494400,8127,8108,39589,19535,2025-04-01 08:00:00,Battlestaff,1391
1743498000,8122,8102,27813,47912,2025-04-01 09:00:00,Battlestaff,1391
1743501600,8115,8100,18770,26815,2025-04-01 10:00:00,Battlestaff,1391
1743505200,8134,8075,22462,126062,2025-04-01 11:00:00,Battlestaff,1391
1743508800,8107,8081,48372,34647,2025-04-01 12:00:00,Battlestaff,1391
1743512400,8097,8101,21844,32443,2025-04-01 13:00:00,Battlestaff,1391
1743516000,8122,8113,16489,139680,2025-04-01 14:00:00,Battlestaff,1391
1743519600,8155,8133,81458,45975,2025-04-01 15:00:00,Battlestaff,1391
1743523200,8114,8100,21547,34665,2025-04-01 16:00:00,Battlestaff,1391
1743526800,8144,8108,38458,67628,2025-04-01 17:00:00,Battlestaff,1391
1743530400,8132,8104,46561,65944,2025-04-01 18:00:00,Battlestaff,1391
1743534000,8147,8104,45567,60066,2025-04-01 19:00:00,Battlestaff,1391
1743537600,8107,8089,39571,41570,2025-04-01 20:00:00,Battlestaff,1391
1743541200,8105,8094,31819,55371,2025-04-01 21:00:00,Battlestaff,1391
1743544800,8103,8093,35919,33963,2025-04-01 22:00:00,Battlestaff,1391
1743548400,8162,8123,33627,43996,2025-04-01 23:00:00,Battlestaff,1391
1743552000,8112,8095,59607,79452,2025-04-02 00:00:00,Battlestaff,1391
1743555600,8128,8095,57886,67689,2025-04-02 01:00:00,Battlestaff,1391
1743559200,8138,8096,53739,71687,2025-04-02 02:00:00,Battlestaff,1391
1743562800,8116,8102,45300,62614,2025-04-02 03:00:00,Battlestaff,1391
1743566400,8102,8100,56841,85290,2025-04-02 04:00:00,Battlestaff,1391
1743570000,8136,8113,41125,78494,2025-04-02 05:00:00,Battlestaff,1391
1743573600,8136,8108,69159,44802,2025-04-02 06:00:00,Battlestaff,1391
1743577200,8103,8101,18773,59269,2025-04-02 07:00:00,Battlestaff,1391
1743580800,8118,8104,20112,67026,2025-04-02 08:00:00,Battlestaff,1391
1743584400,8112,8135,12240,47651,2025-04-02 09:00:00,Battlestaff,1391
1743588000,8148,8102,19411,52159,2025-04-02 10:00:00,Battlestaff,1391
1743591600,8169,8100,27255,30748,2025-04-02 11:00:00,Battlestaff,1391
1743595200,8129,8138,25521,52137,2025-04-02 12:00:00,Battlestaff,1391
1743598800,8181,8127,4902,47619,2025-04-02 13:00:00,Battlestaff,1391
1743602400,8182,8149,18512,74792,2025-04-02 14:00:00,Battlestaff,1391
1743606000,8151,8163,13858,64130,2025-04-02 15:00:00,Battlestaff,1391
1743609600,8162,8155,34956,42671,2025-04-02 16:00:00,Battlestaff,1391
1743613200,8153,8161,29598,55223,2025-04-02 17:00:00,Battlestaff,1391
1743616800,8213,8153,38718,67385,2025-04-02 18:00:00,Battlestaff,1391
1743620400,8179,8165,29517,69573,2025-04-02 19:00:00,Battlestaff,1391
1743624000,8238,8150,60861,79473,2025-04-02 20:00:00,Battlestaff,1391
1743627600,8187,8151,77076,91212,2025-04-02 21:00:00,Battlestaff,1391
1743631200,8132,8130,31989,53282,2025-04-02 22:00:00,Battlestaff,1391
1743634800,8153,8150,29910,50398,2025-04-02 23:00:00,Battlestaff,1391
1743638400,8134,8079,79848,71588,2025-04-03 00:00:00,Battlestaff,1391
1743642000,8152,8121,68389,115752,2025-04-03 01:00:00,Battlestaff,1391
1743645600,8162,8144,41875,74501,2025-04-03 02:00:00,Battlestaff,1391
1743649200,8151,8167,32307,66972,2025-04-03 03:00:00,Battlestaff,1391
1743652800,8141,8126,38011,55657,2025-04-03 04:00:00,Battlestaff,1391
1743656400,8168,8163,22019,43347,2025-04-03 05:00:00,Battlestaff,1391
1743660000,8171,8134,26715,82552,2025-04-03 06:00:00,Battlestaff,1391
1743663600,8168,8172,9885,80393,2025-04-03 07:00:00,Battlestaff,1391
1743667200,8141,8132,28618,60761,2025-04-03 08:00:00,Battlestaff,1391
1743670800,8143,8142,16654,48144,2025-04-03 09:00:00,Battlestaff,1391
1743674400,8142,8116,20538,44321,2025-04-03 10:00:00,Battlestaff,1391
1743678000,8128,8122,22918,58629,2025-04-03 11:00:00,Battlestaff,1391
1743681600,8131,8135,14027,49956,2025-04-03 12:00:00,Battlestaff,1391
1743685200,8159,8123,45106,29890,2025-04-03 13:00:00,Battlestaff,1391
1743688800,8172,8145,33796,57113,2025-04-03 14:00:00,Battlestaff,1391
1743692400,8195,8171,48061,58060,2025-04-03 15:00:00,Battlestaff,1391
1743696000,8210,8158,39732,53792,2025-04-03 16:00:00,Battlestaff,1391
1743699600,8206,8191,54504,95416,2025-04-03 17:00:00,Battlestaff,1391
1743703200,8185,8190,11807,97433,2025-04-03 18:00:00,Battlestaff,1391
1743706800,8199,8195,21555,49198,2025-04-03 19:00:00,Battlestaff,1391
1743710400,8244,8182,24331,71186,2025-04-03 20:00:00,Battlestaff,1391
1743714000,8191,8160,42352,81090,2025-04-03 21:00:00,Battlestaff,1391
1743717600,8183,8142,41422,46149,2025-04-03 22:00:00,Battlestaff,1391
1743721200,8176,8179,30622,52500,2025-04-03 23:00:00,Battlestaff,1391
1743724800,8159,8106,60362,80292,2025-04-04 00:00:00,Battlestaff,1391
1743728400,8154,8111,60932,61327,2025-04-04 01:00:00,Battlestaff,1391
1743732000,8181,8140,51504,64365,2025-04-04 02:00:00,Battlestaff,1391
1743735600,8164,8142,53497,62763,2025-04-04 03:00:00,Battlestaff,1391
1743739200,8173,8130,33596,48754,2025-04-04 04:00:00,Battlestaff,1391
1743742800,8165,8142,41947,35002,2025-04-04 05:00:00,Battlestaff,1391
1743746400,8175,8133,30465,44515,2025-04-04 06:00:00,Battlestaff,1391
1743750000,8160,8126,20651,51664,2025-04-04 07:00:00,Battlestaff,1391
1743753600,8162,8117,29730,25026,2025-04-04 08:00:00,Battlestaff,1391
1743757200,8146,8100,20763,22922,2025-04-04 09:00:00,Battlestaff,1391
1743760800,8180,8172,23189,66969,2025-04-04 10:00:00,Battlestaff,1391
1743764400,8184,8163,30341,52295,2025-04-04 11:00:00,Battlestaff,1391
1743768000,8159,8142,26675,40544,2025-04-04 12:00:00,Battlestaff,1391
1743771600,8164,8156,25720,67752,2025-04-04 13:00:00,Battlestaff,1391
1743775200,8175,8152,32632,59379,2025-04-04 14:00:00,Battlestaff,1391
1743778800,8192,8145,56809,65888,2025-04-04 15:00:00,Battlestaff,1391
1743782400,8164,8166,51695,38335,2025-04-04 16:00:00,Battlestaff,1391
1743786000,8176,8164,45409,69295,2025-04-04 17:00:00,Battlestaff,1391
1743789600,8232,8207,22703,83003,2025-04-04 18:00:00,Battlestaff,1391
1743793200,8237,8227,9985,76704,2025-04-04 19:00:00,Battlestaff,1391
1743796800,8178,8155,37613,42354,2025-04-04 20:00:00,Battlestaff,1391
1743800400,8167,8159,46469,111413,2025-04-04 21:00:00,Battlestaff,1391
1743804000,8160,8113,97998,55805,2025-04-04 22:00:00,Battlestaff,1391
1743807600,8159,8105,108196,48465,2025-04-04 23:00:00,Battlestaff,1391
1743811200,8147,8105,43623,67971,2025-04-05 00:00:00,Battlestaff,1391
1743814800,8154,8125,28344,66228,2025-04-05 01:00:00,Battlestaff,1391
1743818400,8155,8122,36851,94280,2025-04-05 02:00:00,Battlestaff,1391
1743822000,8160,8142,35508,98159,2025-04-05 03:00:00,Battlestaff,1391
1743825600,8143,8097,20441,51190,2025-04-05 04:00:00,Battlestaff,1391
1743829200,8137,8100,20833,59216,2025-04-05 05:00:00,Battlestaff,1391
1743832800,8162,8109,49974,43451,2025-04-05 06:00:00,Battlestaff,1391
1743836400,8163,8139,23800,43891,2025-04-05 07:00:00,Battlestaff,1391
1743840000,8174,8141,33517,42438,2025-04-05 08:00:00,Battlestaff,1391
1743843600,8174,8127,37717,25381,2025-04-05 09:00:00,Battlestaff,1391
1743847200,8164,8150,15079,57903,2025-04-05 10:00:00,Battlestaff,1391
