timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,7530.0,7515,1826,17813,2025-04-01 00:00:00,Bird nest (empty),5075
1743469200,7527.0,7523,1443,35362,2025-04-01 01:00:00,Bird nest (empty),5075
1743472800,7589.0,7519,5793,23484,2025-04-01 02:00:00,Bird nest (empty),5075
1743476400,7554.0,7550,724,27934,2025-04-01 03:00:00,Bird nest (empty),5075
1743480000,7601.0,7605,610,20577,2025-04-01 04:00:00,Bird nest (empty),5075
1743483600,7577.0,7571,29,10422,2025-04-01 05:00:00,Bird nest (empty),5075
1743487200,7544.0,7508,320,25857,2025-04-01 06:00:00,Bird nest (empty),5075
1743490800,7580.0,7525,1028,9275,2025-04-01 07:00:00,Bird nest (empty),5075
1743494400,7600.0,7596,187,14892,2025-04-01 08:00:00,Bird nest (empty),5075
1743498000,7610.0,7575,1172,8453,2025-04-01 09:00:00,Bird nest (empty),5075
1743501600,7602.0,7578,342,15280,2025-04-01 10:00:00,Bird nest (empty),5075
1743505200,7577.0,7572,806,13872,2025-04-01 11:00:00,Bird nest (empty),5075
1743508800,7571.0,7571,1454,13197,2025-04-01 12:00:00,Bird nest (empty),5075
1743512400,7576.0,7575,304,25666,2025-04-01 13:00:00,Bird nest (empty),5075
1743516000,7558.0,7531,1925,23193,2025-04-01 14:00:00,Bird nest (empty),5075
1743519600,7535.0,7521,1226,11841,2025-04-01 15:00:00,Bird nest (empty),5075
1743523200,7204.0,7551,10751,19151,2025-04-01 16:00:00,Bird nest (empty),5075
1743526800,7569.0,7544,2412,14344,2025-04-01 17:00:00,Bird nest (empty),5075
1743530400,7518.0,7516,818,23132,2025-04-01 18:00:00,Bird nest (empty),5075
1743534000,7559.0,7530,2149,30387,2025-04-01 19:00:00,Bird nest (empty),5075
1743537600,7568.0,7569,9000,39142,2025-04-01 20:00:00,Bird nest (empty),5075
1743541200,7542.0,7571,2290,37467,2025-04-01 21:00:00,Bird nest (empty),5075
1743544800,7145.0,7570,456,56537,2025-04-01 22:00:00,Bird nest (empty),5075
1743548400,7581.0,7570,3756,39794,2025-04-01 23:00:00,Bird nest (empty),5075
1743552000,7584.0,7573,1985,38124,2025-04-02 00:00:00,Bird nest (empty),5075
1743555600,7572.0,7576,152,56207,2025-04-02 01:00:00,Bird nest (empty),5075
1743559200,7579.0,7577,23,52525,2025-04-02 02:00:00,Bird nest (empty),5075
1743562800,7576.0,7573,80,26518,2025-04-02 03:00:00,Bird nest (empty),5075
1743566400,7575.0,7576,968,20689,2025-04-02 04:00:00,Bird nest (empty),5075
1743570000,7584.0,7577,214,22090,2025-04-02 05:00:00,Bird nest (empty),5075
1743573600,7598.0,7587,5238,34279,2025-04-02 06:00:00,Bird nest (empty),5075
1743577200,7598.0,7597,56,24719,2025-04-02 07:00:00,Bird nest (empty),5075
1743580800,7598.0,7592,663,14991,2025-04-02 08:00:00,Bird nest (empty),5075
1743584400,7596.0,7597,58,27203,2025-04-02 09:00:00,Bird nest (empty),5075
1743588000,7612.0,7600,2441,26089,2025-04-02 10:00:00,Bird nest (empty),5075
1743591600,7600.0,7594,36,29397,2025-04-02 11:00:00,Bird nest (empty),5075
1743595200,7600.0,7580,1902,17940,2025-04-02 12:00:00,Bird nest (empty),5075
1743598800,7598.0,7583,728,29072,2025-04-02 13:00:00,Bird nest (empty),5075
1743602400,7599.0,7584,102,26813,2025-04-02 14:00:00,Bird nest (empty),5075
1743606000,7586.0,7585,5800,31023,2025-04-02 15:00:00,Bird nest (empty),5075
1743609600,7585.0,7581,901,22973,2025-04-02 16:00:00,Bird nest (empty),5075
1743613200,7579.0,7576,2,39238,2025-04-02 17:00:00,Bird nest (empty),5075
1743616800,7583.0,7582,1520,30090,2025-04-02 18:00:00,Bird nest (empty),5075
1743620400,7575.0,7573,4094,21074,2025-04-02 19:00:00,Bird nest (empty),5075
1743624000,7570.0,7578,4061,35278,2025-04-02 20:00:00,Bird nest (empty),5075
