timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,3569,3513,74212,52780,2025-04-01 00:00:00,Black chinchompa,11959
1743469200,3551,3502,59461,17282,2025-04-01 01:00:00,Black chinchompa,11959
1743472800,3582,3521,57718,37568,2025-04-01 02:00:00,Black chinchompa,11959
1743476400,3551,3497,22912,25716,2025-04-01 03:00:00,Black chinchompa,11959
1743480000,3539,3487,22029,8327,2025-04-01 04:00:00,Black chinchompa,11959
1743483600,3524,3470,48929,9338,2025-04-01 05:00:00,Black chinchompa,11959
1743487200,3496,3452,23794,4963,2025-04-01 06:00:00,Black chinchompa,11959
1743490800,3507,3480,6714,14897,2025-04-01 07:00:00,Black chinchompa,11959
1743494400,3539,3491,4666,32693,2025-04-01 08:00:00,Black chinchompa,11959
1743498000,3540,3488,37346,30245,2025-04-01 09:00:00,Black chinchompa,11959
1743501600,3544,3503,15285,19700,2025-04-01 10:00:00,Black chinchompa,11959
1743505200,3548,3510,28424,6985,2025-04-01 11:00:00,Black chinchompa,11959
1743508800,3580,3525,48688,11141,2025-04-01 12:00:00,Black chinchompa,11959
1743512400,3591,3542,46100,16466,2025-04-01 13:00:00,Black chinchompa,11959
1743516000,3584,3530,35862,30547,2025-04-01 14:00:00,Black chinchompa,11959
1743519600,3581,3542,31650,21515,2025-04-01 15:00:00,Black chinchompa,11959
1743523200,3518,3510,16866,27382,2025-04-01 16:00:00,Black chinchompa,11959
1743526800,3572,3535,33812,32057,2025-04-01 17:00:00,Black chinchompa,11959
1743530400,3596,3550,48838,17426,2025-04-01 18:00:00,Black chinchompa,11959
1743534000,3592,3542,31388,40188,2025-04-01 19:00:00,Black chinchompa,11959
1743537600,3585,3530,14249,38688,2025-04-01 20:00:00,Black chinchompa,11959
1743541200,3565,3526,42780,29641,2025-04-01 21:00:00,Black chinchompa,11959
1743544800,3531,3515,102014,68206,2025-04-01 22:00:00,Black chinchompa,11959
1743548400,3545,3497,23823,43427,2025-04-01 23:00:00,Black chinchompa,11959
1743552000,3528,3492,25267,43793,2025-04-02 00:00:00,Black chinchompa,11959
1743555600,3538,3502,17975,43666,2025-04-02 01:00:00,Black chinchompa,11959
1743559200,3511,3500,10830,44610,2025-04-02 02:00:00,Black chinchompa,11959
1743562800,3498,3475,29322,11799,2025-04-02 03:00:00,Black chinchompa,11959
1743566400,3505,3460,35541,26200,2025-04-02 04:00:00,Black chinchompa,11959
1743570000,3502,3465,35051,21735,2025-04-02 05:00:00,Black chinchompa,11959
1743573600,3512,3489,12709,6075,2025-04-02 06:00:00,Black chinchompa,11959
1743577200,3546,3504,56076,23722,2025-04-02 07:00:00,Black chinchompa,11959
1743580800,3539,3502,25540,8320,2025-04-02 08:00:00,Black chinchompa,11959
1743584400,3543,3510,12875,4113,2025-04-02 09:00:00,Black chinchompa,11959
1743588000,3584,3528,10606,5228,2025-04-02 10:00:00,Black chinchompa,11959
1743591600,3581,3540,9735,5335,2025-04-02 11:00:00,Black chinchompa,11959
1743595200,3586,3534,29155,15854,2025-04-02 12:00:00,Black chinchompa,11959
1743598800,3571,3537,26896,54498,2025-04-02 13:00:00,Black chinchompa,11959
1743602400,3563,3527,28827,19237,2025-04-02 14:00:00,Black chinchompa,11959
1743606000,3537,3508,40588,18149,2025-04-02 15:00:00,Black chinchompa,11959
1743609600,3551,3530,11719,22991,2025-04-02 16:00:00,Black chinchompa,11959
1743613200,3570,3516,33719,18297,2025-04-02 17:00:00,Black chinchompa,11959
1743616800,3558,3501,20628,72753,2025-04-02 18:00:00,Black chinchompa,11959
1743620400,3545,3497,50177,8157,2025-04-02 19:00:00,Black chinchompa,11959
1743624000,3548,3514,11205,43769,2025-04-02 20:00:00,Black chinchompa,11959
1743627600,3538,3525,21123,16853,2025-04-02 21:00:00,Black chinchompa,11959
1743631200,3555,3495,52083,39575,2025-04-02 22:00:00,Black chinchompa,11959
1743634800,3526,3488,14050,31815,2025-04-02 23:00:00,Black chinchompa,11959
1743638400,3519,3512,6780,9717,2025-04-03 00:00:00,Black chinchompa,11959
1743642000,3575,3533,18828,9590,2025-04-03 01:00:00,Black chinchompa,11959
1743645600,3568,3556,29203,18877,2025-04-03 02:00:00,Black chinchompa,11959
1743649200,3546,3526,12371,44409,2025-04-03 03:00:00,Black chinchompa,11959
1743652800,3530,3490,36441,25021,2025-04-03 04:00:00,Black chinchompa,11959
1743656400,3523,3481,13312,61289,2025-04-03 05:00:00,Black chinchompa,11959
1743660000,3498,3478,37097,19493,2025-04-03 06:00:00,Black chinchompa,11959
1743663600,3521,3475,6170,11556,2025-04-03 07:00:00,Black chinchompa,11959
1743667200,3504,3506,3995,5512,2025-04-03 08:00:00,Black chinchompa,11959
1743670800,3531,3490,23786,11054,2025-04-03 09:00:00,Black chinchompa,11959
1743674400,3531,3486,24386,9931,2025-04-03 10:00:00,Black chinchompa,11959
1743678000,3522,3491,29258,11075,2025-04-03 11:00:00,Black chinchompa,11959
1743681600,3528,3487,8178,9412,2025-04-03 12:00:00,Black chinchompa,11959
1743685200,3542,3513,32507,8848,2025-04-03 13:00:00,Black chinchompa,11959
1743688800,3542,3517,24089,22769,2025-04-03 14:00:00,Black chinchompa,11959
1743692400,3547,3511,28681,24456,2025-04-03 15:00:00,Black chinchompa,11959
1743696000,3537,3515,26096,28092,2025-04-03 16:00:00,Black chinchompa,11959
1743699600,3549,3519,27500,52083,2025-04-03 17:00:00,Black chinchompa,11959
1743703200,3562,3542,19223,15069,2025-04-03 18:00:00,Black chinchompa,11959
1743706800,3604,3556,24932,25416,2025-04-03 19:00:00,Black chinchompa,11959
1743710400,3604,3556,38349,13882,2025-04-03 20:00:00,Black chinchompa,11959
1743714000,3608,3581,67533,17210,2025-04-03 21:00:00,Black chinchompa,11959
1743717600,3593,3551,32334,36301,2025-04-03 22:00:00,Black chinchompa,11959
1743721200,3594,3548,40272,14618,2025-04-03 23:00:00,Black chinchompa,11959
1743724800,3607,3553,27802,77430,2025-04-04 00:00:00,Black chinchompa,11959
1743728400,3598,3545,61375,34046,2025-04-04 01:00:00,Black chinchompa,11959
1743732000,3591,3564,26874,32376,2025-04-04 02:00:00,Black chinchompa,11959
1743735600,3584,3536,58957,14583,2025-04-04 03:00:00,Black chinchompa,11959
1743739200,3587,3538,49487,13703,2025-04-04 04:00:00,Black chinchompa,11959
1743742800,3591,3543,43327,61462,2025-04-04 05:00:00,Black chinchompa,11959
1743746400,3589,3548,35149,4293,2025-04-04 06:00:00,Black chinchompa,11959
1743750000,3589,3540,15025,6336,2025-04-04 07:00:00,Black chinchompa,11959
1743753600,3571,3553,7706,8174,2025-04-04 08:00:00,Black chinchompa,11959
1743757200,3644,3593,29320,21071,2025-04-04 09:00:00,Black chinchompa,11959
1743760800,3647,3602,23263,27365,2025-04-04 10:00:00,Black chinchompa,11959
1743764400,3627,3591,14350,9552,2025-04-04 11:00:00,Black chinchompa,11959
1743768000,3630,3594,11563,28574,2025-04-04 12:00:00,Black chinchompa,11959
1743771600,3635,3589,37989,30755,2025-04-04 13:00:00,Black chinchompa,11959
1743775200,3643,3601,21256,10651,2025-04-04 14:00:00,Black chinchompa,11959
1743778800,3636,3587,34376,25936,2025-04-04 15:00:00,Black chinchompa,11959
1743782400,3601,3580,27441,29816,2025-04-04 16:00:00,Black chinchompa,11959
1743786000,3582,3566,64782,16933,2025-04-04 17:00:00,Black chinchompa,11959
1743789600,3626,3583,38166,34139,2025-04-04 18:00:00,Black chinchompa,11959
1743793200,3610,3576,10531,21832,2025-04-04 19:00:00,Black chinchompa,11959
1743796800,3647,3597,50125,39810,2025-04-04 20:00:00,Black chinchompa,11959
1743800400,3647,3595,126967,30855,2025-04-04 21:00:00,Black chinchompa,11959
1743804000,3645,3597,39107,12919,2025-04-04 22:00:00,Black chinchompa,11959
1743807600,3644,3607,28221,18376,2025-04-04 23:00:00,Black chinchompa,11959
1743811200,3608,3577,25267,54290,2025-04-05 00:00:00,Black chinchompa,11959
1743814800,3582,3536,60293,32468,2025-04-05 01:00:00,Black chinchompa,11959
1743818400,3574,3526,43544,34059,2025-04-05 02:00:00,Black chinchompa,11959
1743822000,3578,3528,59818,35846,2025-04-05 03:00:00,Black chinchompa,11959
1743825600,3567,3539,3318,17009,2025-04-05 04:00:00,Black chinchompa,11959
1743829200,3610,3569,25310,17279,2025-04-05 05:00:00,Black chinchompa,11959
1743832800,3599,3591,10531,16344,2025-04-05 06:00:00,Black chinchompa,11959
1743836400,3592,3590,43438,26525,2025-04-05 07:00:00,Black chinchompa,11959
1743840000,3577,3535,20053,14583,2025-04-05 08:00:00,Black chinchompa,11959
1743843600,3584,3545,5117,11833,2025-04-05 09:00:00,Black chinchompa,11959
1743847200,3613,3536,29521,36167,2025-04-05 10:00:00,Black chinchompa,11959
1743850800,3588,3567,79113,18129,2025-04-05 11:00:00,Black chinchompa,11959
1743854400,3603,3539,22185,35945,2025-04-05 12:00:00,Black chinchompa,11959
1743858000,3640,3583,34219,23752,2025-04-05 13:00:00,Black chinchompa,11959
1743861600,3643,3593,36971,20511,2025-04-05 14:00:00,Black chinchompa,11959
1743865200,3644,3590,76418,17852,2025-04-05 15:00:00,Black chinchompa,11959
1743868800,3639,3594,29265,27600,2025-04-05 16:00:00,Black chinchompa,11959
1743872400,3606,3574,16162,35011,2025-04-05 17:00:00,Black chinchompa,11959
1743876000,3649,3605,73433,21310,2025-04-05 18:00:00,Black chinchompa,11959
1743879600,3661,3613,66864,15176,2025-04-05 19:00:00,Black chinchompa,11959
1743883200,3670,3619,50669,42310,2025-04-05 20:00:00,Black chinchompa,11959
1743886800,3660,3611,49617,50889,2025-04-05 21:00:00,Black chinchompa,11959
1743890400,3656,3610,19092,30378,2025-04-05 22:00:00,Black chinchompa,11959
1743894000,3654,3591,47079,97443,2025-04-05 23:00:00,Black chinchompa,11959
1743897600,3625,3600,58954,21483,2025-04-06 00:00:00,Black chinchompa,11959
1743901200,3598,3556,53025,27621,2025-04-06 01:00:00,Black chinchompa,11959
1743904800,3585,3542,72023,34034,2025-04-06 02:00:00,Black chinchompa,11959
1743908400,3582,3533,85710,23292,2025-04-06 03:00:00,Black chinchompa,11959
1743912000,3589,3566,27968,37266,2025-04-06 04:00:00,Black chinchompa,11959
1743915600,3585,3540,16775,20499,2025-04-06 05:00:00,Black chinchompa,11959
1743919200,3585,3571,34371,13627,2025-04-06 06:00:00,Black chinchompa,11959
1743922800,3579,3544,49258,16514,2025-04-06 07:00:00,Black chinchompa,11959
1743926400,3586,3539,19131,3367,2025-04-06 08:00:00,Black chinchompa,11959
1743930000,3633,3569,17643,9313,2025-04-06 09:00:00,Black chinchompa,11959
1743933600,3642,3592,42726,8732,2025-04-06 10:00:00,Black chinchompa,11959
1743937200,3645,3583,47610,8572,2025-04-06 11:00:00,Black chinchompa,11959
1743940800,3612,3592,19220,21910,2025-04-06 12:00:00,Black chinchompa,11959
1743944400,3629,3581,31356,32966,2025-04-06 13:00:00,Black chinchompa,11959
1743948000,3628,3574,11717,34913,2025-04-06 14:00:00,Black chinchompa,11959
1743951600,3646,3608,27728,72572,2025-04-06 15:00:00,Black chinchompa,11959
1743955200,3654,3603,49763,32637,2025-04-06 16:00:00,Black chinchompa,11959
1743958800,3644,3604,42329,36833,2025-04-06 17:00:00,Black chinchompa,11959
1743962400,3607,3602,42630,33569,2025-04-06 18:00:00,Black chinchompa,11959
1743966000,3651,3594,59234,18181,2025-04-06 19:00:00,Black chinchompa,11959
1743969600,3609,3581,27111,30064,2025-04-06 20:00:00,Black chinchompa,11959
1743973200,3631,3580,35340,54623,2025-04-06 21:00:00,Black chinchompa,11959
1743976800,3645,3606,33133,35070,2025-04-06 22:00:00,Black chinchompa,11959
1743980400,3676,3609,67104,14756,2025-04-06 23:00:00,Black chinchompa,11959
1743984000,3695,3649,46421,17506,2025-04-07 00:00:00,Black chinchompa,11959
1743987600,3656,3629,26801,38956,2025-04-07 01:00:00,Black chinchompa,11959
1743991200,3644,3623,10063,29487,2025-04-07 02:00:00,Black chinchompa,11959
1743994800,3607,3565,50419,23520,2025-04-07 03:00:00,Black chinchompa,11959
1743998400,3598,3556,19918,35071,2025-04-07 04:00:00,Black chinchompa,11959
1744002000,3576,3547,28710,26342,2025-04-07 05:00:00,Black chinchompa,11959
1744005600,3577,3549,33849,20072,2025-04-07 06:00:00,Black chinchompa,11959
1744009200,3596,3591,28325,3660,2025-04-07 07:00:00,Black chinchompa,11959
1744012800,3611,3565,24061,5361,2025-04-07 08:00:00,Black chinchompa,11959
1744016400,3616,3597,13120,2784,2025-04-07 09:00:00,Black chinchompa,11959
1744020000,3631,3561,22590,7461,2025-04-07 10:00:00,Black chinchompa,11959
1744023600,3629,3593,15839,29959,2025-04-07 11:00:00,Black chinchompa,11959
1744027200,3637,3601,34260,8306,2025-04-07 12:00:00,Black chinchompa,11959
1744030800,3641,3617,22705,13697,2025-04-07 13:00:00,Black chinchompa,11959
1744034400,3612,3574,22223,33954,2025-04-07 14:00:00,Black chinchompa,11959
1744038000,3624,3592,25516,5985,2025-04-07 15:00:00,Black chinchompa,11959
1744041600,3668,3614,18291,57809,2025-04-07 16:00:00,Black chinchompa,11959
1744045200,3675,3631,51887,12581,2025-04-07 17:00:00,Black chinchompa,11959
1744048800,3682,3636,32618,19325,2025-04-07 18:00:00,Black chinchompa,11959
1744052400,3683,3632,43215,28003,2025-04-07 19:00:00,Black chinchompa,11959
1744056000,3671,3651,18050,32395,2025-04-07 20:00:00,Black chinchompa,11959
1744059600,3670,3633,4264,22025,2025-04-07 21:00:00,Black chinchompa,11959
1744063200,3686,3633,6405,11129,2025-04-07 22:00:00,Black chinchompa,11959
