timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,4190.0,4236.0,47939,72535,2025-04-01 00:00:00,Black dragon leather,2509
1743469200,4180.0,4139.0,23925,38565,2025-04-01 01:00:00,Black dragon leather,2509
1743472800,4279.0,4219.0,72824,10194,2025-04-01 02:00:00,Black dragon leather,2509
1743476400,4290.0,4250.0,7332,1158,2025-04-01 03:00:00,Black dragon leather,2509
1743480000,4279.0,4251.0,26760,273,2025-04-01 04:00:00,Black dragon leather,2509
1743483600,4299.0,4280.0,68565,373,2025-04-01 05:00:00,Black dragon leather,2509
1743487200,4433.0,4289.0,664,36,2025-04-01 06:00:00,Black dragon leather,2509
1743490800,4316.0,4221.0,2016,4789,2025-04-01 07:00:00,Black dragon leather,2509
1743494400,4351.0,4288.0,35716,3536,2025-04-01 08:00:00,Black dragon leather,2509
1743498000,4454.0,4379.0,27873,454,2025-04-01 09:00:00,Black dragon leather,2509
1743501600,4422.0,4287.0,15237,30,2025-04-01 10:00:00,Black dragon leather,2509
1743505200,4449.0,4351.0,7515,6397,2025-04-01 11:00:00,Black dragon leather,2509
1743508800,4424.0,4322.0,1024,3113,2025-04-01 12:00:00,Black dragon leather,2509
1743512400,4365.0,4338.0,24123,1036,2025-04-01 13:00:00,Black dragon leather,2509
1743516000,4415.0,4350.0,33025,9071,2025-04-01 14:00:00,Black dragon leather,2509
1743519600,4464.0,4401.0,3094,34736,2025-04-01 15:00:00,Black dragon leather,2509
1743523200,4367.0,4377.0,8755,35026,2025-04-01 16:00:00,Black dragon leather,2509
1743526800,4330.0,4322.0,6606,54,2025-04-01 17:00:00,Black dragon leather,2509
1743530400,4317.0,4278.0,13126,19762,2025-04-01 18:00:00,Black dragon leather,2509
1743534000,4290.0,,14022,0,2025-04-01 19:00:00,Black dragon leather,2509
1743537600,4272.0,4250.0,5919,1502,2025-04-01 20:00:00,Black dragon leather,2509
1743541200,4265.0,4246.0,28056,5216,2025-04-01 21:00:00,Black dragon leather,2509
1743544800,4268.0,4214.0,22273,10269,2025-04-01 22:00:00,Black dragon leather,2509
1743548400,4335.0,4337.0,40895,4880,2025-04-01 23:00:00,Black dragon leather,2509
1743552000,4348.0,4338.0,84016,16984,2025-04-02 00:00:00,Black dragon leather,2509
1743555600,4325.0,4256.0,22646,12916,2025-04-02 01:00:00,Black dragon leather,2509
1743559200,4268.0,4211.0,40066,1813,2025-04-02 02:00:00,Black dragon leather,2509
