timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,4257.0,4173,4373,44738,2025-04-01 00:00:00,Black dragonhide,1747
1743469200,4193.0,4132,423,25339,2025-04-01 01:00:00,Black dragonhide,1747
1743472800,4092.0,4105,2952,15570,2025-04-01 02:00:00,Black dragonhide,1747
1743476400,4144.0,4111,903,17920,2025-04-01 03:00:00,Black dragonhide,1747
1743480000,4140.0,4109,612,18457,2025-04-01 04:00:00,Black dragonhide,1747
1743483600,4091.0,4099,1211,14402,2025-04-01 05:00:00,Black dragonhide,1747
1743487200,4192.0,4165,159,7990,2025-04-01 06:00:00,Black dragonhide,1747
1743490800,4089.0,4079,1122,14217,2025-04-01 07:00:00,Black dragonhide,1747
1743494400,4074.0,4125,1307,19642,2025-04-01 08:00:00,Black dragonhide,1747
1743498000,4226.0,4225,1806,7325,2025-04-01 09:00:00,Black dragonhide,1747
1743501600,4244.0,4242,557,8509,2025-04-01 10:00:00,Black dragonhide,1747
1743505200,4218.0,4203,242,11810,2025-04-01 11:00:00,Black dragonhide,1747
1743508800,4187.0,4181,2141,21302,2025-04-01 12:00:00,Black dragonhide,1747
1743512400,4202.0,4206,122,28182,2025-04-01 13:00:00,Black dragonhide,1747
1743516000,4219.0,4208,13623,36203,2025-04-01 14:00:00,Black dragonhide,1747
1743519600,4239.0,4229,12595,37310,2025-04-01 15:00:00,Black dragonhide,1747
1743523200,4230.0,4234,2214,24462,2025-04-01 16:00:00,Black dragonhide,1747
1743526800,4195.0,4212,1038,45170,2025-04-01 17:00:00,Black dragonhide,1747
1743530400,4187.0,4126,1952,11445,2025-04-01 18:00:00,Black dragonhide,1747
1743534000,4136.0,4109,477,17397,2025-04-01 19:00:00,Black dragonhide,1747
1743537600,4095.0,4089,280,38805,2025-04-01 20:00:00,Black dragonhide,1747
1743541200,4116.0,4114,372,79390,2025-04-01 21:00:00,Black dragonhide,1747
1743544800,4129.0,4096,853,23914,2025-04-01 22:00:00,Black dragonhide,1747
1743548400,4155.0,4120,1980,23597,2025-04-01 23:00:00,Black dragonhide,1747
1743552000,4127.0,4109,3908,47748,2025-04-02 00:00:00,Black dragonhide,1747
1743555600,4131.0,4130,32,40049,2025-04-02 01:00:00,Black dragonhide,1747
1743559200,4124.0,4121,2166,38927,2025-04-02 02:00:00,Black dragonhide,1747
1743562800,4093.0,4090,1374,30722,2025-04-02 03:00:00,Black dragonhide,1747
1743566400,4180.0,4130,8034,38253,2025-04-02 04:00:00,Black dragonhide,1747
1743570000,4130.0,4100,3,11282,2025-04-02 05:00:00,Black dragonhide,1747
1743573600,4120.0,4077,102,9447,2025-04-02 06:00:00,Black dragonhide,1747
1743577200,4107.0,4068,131,10193,2025-04-02 07:00:00,Black dragonhide,1747
1743580800,4037.0,4033,76,7819,2025-04-02 08:00:00,Black dragonhide,1747
1743584400,4064.0,4041,210,6243,2025-04-02 09:00:00,Black dragonhide,1747
1743588000,4079.0,4099,1869,8700,2025-04-02 10:00:00,Black dragonhide,1747
1743591600,4128.0,4083,1888,11510,2025-04-02 11:00:00,Black dragonhide,1747
1743595200,4181.0,4118,420,26490,2025-04-02 12:00:00,Black dragonhide,1747
1743598800,4144.0,4058,17894,17413,2025-04-02 13:00:00,Black dragonhide,1747
1743602400,4144.0,4112,11712,17454,2025-04-02 14:00:00,Black dragonhide,1747
1743606000,4167.0,4129,4601,15090,2025-04-02 15:00:00,Black dragonhide,1747
1743609600,4159.0,4141,4723,34723,2025-04-02 16:00:00,Black dragonhide,1747
1743613200,4207.0,4183,149,22720,2025-04-02 17:00:00,Black dragonhide,1747
1743616800,4208.0,4211,162,50195,2025-04-02 18:00:00,Black dragonhide,1747
1743620400,4193.0,4191,326,19173,2025-04-02 19:00:00,Black dragonhide,1747
1743624000,4160.0,4176,2103,48402,2025-04-02 20:00:00,Black dragonhide,1747
1743627600,4232.0,4199,511,44465,2025-04-02 21:00:00,Black dragonhide,1747
1743631200,4199.0,4191,2947,60432,2025-04-02 22:00:00,Black dragonhide,1747
1743634800,4181.0,4147,5639,38094,2025-04-02 23:00:00,Black dragonhide,1747
1743638400,4141.0,4162,2335,43758,2025-04-03 00:00:00,Black dragonhide,1747
1743642000,4144.0,4156,7419,44154,2025-04-03 01:00:00,Black dragonhide,1747
1743645600,4230.0,4222,463,66756,2025-04-03 02:00:00,Black dragonhide,1747
1743649200,4206.0,4178,2889,44135,2025-04-03 03:00:00,Black dragonhide,1747
1743652800,4133.0,4113,10,16428,2025-04-03 04:00:00,Black dragonhide,1747
1743656400,4132.0,4118,428,19229,2025-04-03 05:00:00,Black dragonhide,1747
1743660000,4140.0,4129,2221,13738,2025-04-03 06:00:00,Black dragonhide,1747
1743663600,4139.0,4145,1195,10007,2025-04-03 07:00:00,Black dragonhide,1747
1743667200,4139.0,4118,996,9615,2025-04-03 08:00:00,Black dragonhide,1747
1743670800,4136.0,4118,2415,12638,2025-04-03 09:00:00,Black dragonhide,1747
1743674400,4139.0,4136,2799,10313,2025-04-03 10:00:00,Black dragonhide,1747
1743678000,4140.0,4132,1461,21973,2025-04-03 11:00:00,Black dragonhide,1747
1743681600,4153.0,4190,232,15767,2025-04-03 12:00:00,Black dragonhide,1747
