timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,687,677.0,21247,51722,2025-04-01 00:00:00,Blighted ancient ice sack,24607
1743469200,690,676.0,60333,72698,2025-04-01 01:00:00,Blighted ancient ice sack,24607
1743472800,684,668.0,105527,80421,2025-04-01 02:00:00,Blighted ancient ice sack,24607
1743476400,679,670.0,43723,34174,2025-04-01 03:00:00,Blighted ancient ice sack,24607
1743480000,680,673.0,59377,114655,2025-04-01 04:00:00,Blighted ancient ice sack,24607
1743483600,673,658.0,81813,75620,2025-04-01 05:00:00,Blighted ancient ice sack,24607
1743487200,677,671.0,42843,24559,2025-04-01 06:00:00,Blighted ancient ice sack,24607
1743490800,681,672.0,20847,18440,2025-04-01 07:00:00,Blighted ancient ice sack,24607
1743494400,680,673.0,53305,38805,2025-04-01 08:00:00,Blighted ancient ice sack,24607
1743498000,681,672.0,25108,17548,2025-04-01 09:00:00,Blighted ancient ice sack,24607
1743501600,682,672.0,37102,50618,2025-04-01 10:00:00,Blighted ancient ice sack,24607
1743505200,677,668.0,3773,34870,2025-04-01 11:00:00,Blighted ancient ice sack,24607
1743508800,678,670.0,51614,10537,2025-04-01 12:00:00,Blighted ancient ice sack,24607
1743512400,679,670.0,57715,33908,2025-04-01 13:00:00,Blighted ancient ice sack,24607
1743516000,679,672.0,25213,30697,2025-04-01 14:00:00,Blighted ancient ice sack,24607
1743519600,686,673.0,79206,64325,2025-04-01 15:00:00,Blighted ancient ice sack,24607
1743523200,680,674.0,57431,70348,2025-04-01 16:00:00,Blighted ancient ice sack,24607
1743526800,676,671.0,40969,44584,2025-04-01 17:00:00,Blighted ancient ice sack,24607
1743530400,680,671.0,84141,69087,2025-04-01 18:00:00,Blighted ancient ice sack,24607
1743534000,677,668.0,72472,32423,2025-04-01 19:00:00,Blighted ancient ice sack,24607
1743537600,675,663.0,89427,103081,2025-04-01 20:00:00,Blighted ancient ice sack,24607
