timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,13205155,13069971,50,32,2025-04-01 00:00:00,Blood shard,24777
1743469200,13194277,13066572,28,19,2025-04-01 01:00:00,Blood shard,24777
1743472800,13201730,13096276,63,31,2025-04-01 02:00:00,Blood shard,24777
1743476400,13222388,13158318,61,28,2025-04-01 03:00:00,Blood shard,24777
1743480000,13190910,13146379,30,30,2025-04-01 04:00:00,Blood shard,24777
1743483600,13223840,13175656,23,37,2025-04-01 05:00:00,Blood shard,24777
1743487200,13224139,13115763,22,5,2025-04-01 06:00:00,Blood shard,24777
1743490800,13172741,13062991,15,29,2025-04-01 07:00:00,Blood shard,24777
1743494400,13125665,13016290,44,20,2025-04-01 08:00:00,Blood shard,24777
1743498000,13064995,12932175,30,13,2025-04-01 09:00:00,Blood shard,24777
1743501600,13046274,12930603,27,8,2025-04-01 10:00:00,Blood shard,24777
1743505200,13034932,13162940,23,11,2025-04-01 11:00:00,Blood shard,24777
1743508800,13016702,12946996,17,11,2025-04-01 12:00:00,Blood shard,24777
1743512400,13093326,12994835,27,37,2025-04-01 13:00:00,Blood shard,24777
1743516000,13094047,12980822,85,34,2025-04-01 14:00:00,Blood shard,24777
1743519600,13116580,12995791,57,22,2025-04-01 15:00:00,Blood shard,24777
1743523200,13123563,12999348,35,45,2025-04-01 16:00:00,Blood shard,24777
1743526800,13083493,13028944,60,32,2025-04-01 17:00:00,Blood shard,24777
1743530400,13102740,12998552,51,32,2025-04-01 18:00:00,Blood shard,24777
1743534000,13130639,13012907,61,35,2025-04-01 19:00:00,Blood shard,24777
1743537600,13129221,13110421,65,38,2025-04-01 20:00:00,Blood shard,24777
1743541200,13143716,13013660,84,29,2025-04-01 21:00:00,Blood shard,24777
1743544800,13117405,13049976,56,43,2025-04-01 22:00:00,Blood shard,24777
1743548400,13138182,13032763,61,33,2025-04-01 23:00:00,Blood shard,24777
1743552000,13083342,12943772,69,24,2025-04-02 00:00:00,Blood shard,24777
1743555600,13091740,12968902,73,23,2025-04-02 01:00:00,Blood shard,24777
1743559200,13072833,12999458,54,24,2025-04-02 02:00:00,Blood shard,24777
1743562800,13126716,13028039,36,16,2025-04-02 03:00:00,Blood shard,24777
1743566400,13092110,12988398,27,12,2025-04-02 04:00:00,Blood shard,24777
1743570000,13125597,13051663,7,24,2025-04-02 05:00:00,Blood shard,24777
