timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,191325,187995,52,29,2025-04-01 00:00:00,Bloodbark legs,25416
1743469200,193132,189461,25,70,2025-04-01 01:00:00,Bloodbark legs,25416
1743472800,192200,188691,89,61,2025-04-01 02:00:00,Bloodbark legs,25416
1743476400,192083,187684,30,34,2025-04-01 03:00:00,Bloodbark legs,25416
1743480000,197902,188886,37,38,2025-04-01 04:00:00,Bloodbark legs,25416
1743483600,197289,191488,22,36,2025-04-01 05:00:00,Bloodbark legs,25416
1743487200,198232,191164,40,37,2025-04-01 06:00:00,Bloodbark legs,25416
1743490800,196873,189741,30,55,2025-04-01 07:00:00,Bloodbark legs,25416
1743494400,192906,189360,17,59,2025-04-01 08:00:00,Bloodbark legs,25416
1743498000,198783,191483,15,31,2025-04-01 09:00:00,Bloodbark legs,25416
1743501600,198698,191109,34,55,2025-04-01 10:00:00,Bloodbark legs,25416
1743505200,198743,191488,41,29,2025-04-01 11:00:00,Bloodbark legs,25416
1743508800,195808,190154,62,15,2025-04-01 12:00:00,Bloodbark legs,25416
1743512400,196902,191611,75,8,2025-04-01 13:00:00,Bloodbark legs,25416
1743516000,194874,191219,21,22,2025-04-01 14:00:00,Bloodbark legs,25416
1743519600,197716,190497,22,70,2025-04-01 15:00:00,Bloodbark legs,25416
1743523200,192919,189861,71,27,2025-04-01 16:00:00,Bloodbark legs,25416
1743526800,193287,190968,205,99,2025-04-01 17:00:00,Bloodbark legs,25416
1743530400,192777,189354,8,113,2025-04-01 18:00:00,Bloodbark legs,25416
1743534000,188895,182455,62,39,2025-04-01 19:00:00,Bloodbark legs,25416
1743537600,189323,183518,133,66,2025-04-01 20:00:00,Bloodbark legs,25416
1743541200,192347,184071,70,108,2025-04-01 21:00:00,Bloodbark legs,25416
1743544800,192894,185577,40,98,2025-04-01 22:00:00,Bloodbark legs,25416
1743548400,192096,184254,39,67,2025-04-01 23:00:00,Bloodbark legs,25416
1743552000,192912,189337,94,54,2025-04-02 00:00:00,Bloodbark legs,25416
1743555600,193962,185229,132,74,2025-04-02 01:00:00,Bloodbark legs,25416
1743559200,191685,187089,78,21,2025-04-02 02:00:00,Bloodbark legs,25416
1743562800,190358,187001,29,50,2025-04-02 03:00:00,Bloodbark legs,25416
1743566400,191589,187001,69,83,2025-04-02 04:00:00,Bloodbark legs,25416
1743570000,191210,186137,24,42,2025-04-02 05:00:00,Bloodbark legs,25416
1743573600,192017,184854,27,63,2025-04-02 06:00:00,Bloodbark legs,25416
1743577200,192194,184614,28,37,2025-04-02 07:00:00,Bloodbark legs,25416
1743580800,192166,184392,55,30,2025-04-02 08:00:00,Bloodbark legs,25416
1743584400,192082,184627,29,10,2025-04-02 09:00:00,Bloodbark legs,25416
1743588000,191846,184251,13,26,2025-04-02 10:00:00,Bloodbark legs,25416
1743591600,192614,185099,24,33,2025-04-02 11:00:00,Bloodbark legs,25416
1743595200,192617,184980,38,79,2025-04-02 12:00:00,Bloodbark legs,25416
1743598800,191988,184800,123,56,2025-04-02 13:00:00,Bloodbark legs,25416
1743602400,196290,188392,59,45,2025-04-02 14:00:00,Bloodbark legs,25416
1743606000,199849,199709,48,101,2025-04-02 15:00:00,Bloodbark legs,25416
1743609600,200099,196854,57,44,2025-04-02 16:00:00,Bloodbark legs,25416
1743613200,198763,191616,102,31,2025-04-02 17:00:00,Bloodbark legs,25416
1743616800,194493,191663,33,122,2025-04-02 18:00:00,Bloodbark legs,25416
1743620400,201441,195744,80,60,2025-04-02 19:00:00,Bloodbark legs,25416
1743624000,199813,194260,46,31,2025-04-02 20:00:00,Bloodbark legs,25416
1743627600,198770,193422,88,33,2025-04-02 21:00:00,Bloodbark legs,25416
1743631200,195161,194088,98,25,2025-04-02 22:00:00,Bloodbark legs,25416
1743634800,198044,192573,26,49,2025-04-02 23:00:00,Bloodbark legs,25416
1743638400,199807,191376,131,69,2025-04-03 00:00:00,Bloodbark legs,25416
1743642000,199971,194573,76,87,2025-04-03 01:00:00,Bloodbark legs,25416
1743645600,198794,190411,47,70,2025-04-03 02:00:00,Bloodbark legs,25416
1743649200,192554,188581,81,95,2025-04-03 03:00:00,Bloodbark legs,25416
1743652800,192898,187939,78,127,2025-04-03 04:00:00,Bloodbark legs,25416
1743656400,193834,187784,52,38,2025-04-03 05:00:00,Bloodbark legs,25416
1743660000,190282,187575,9,40,2025-04-03 06:00:00,Bloodbark legs,25416
1743663600,196367,188420,20,156,2025-04-03 07:00:00,Bloodbark legs,25416
1743667200,194404,187776,48,30,2025-04-03 08:00:00,Bloodbark legs,25416
1743670800,195964,188649,34,21,2025-04-03 09:00:00,Bloodbark legs,25416
1743674400,191226,188151,50,18,2025-04-03 10:00:00,Bloodbark legs,25416
1743678000,190937,188631,62,12,2025-04-03 11:00:00,Bloodbark legs,25416
1743681600,193895,188327,22,24,2025-04-03 12:00:00,Bloodbark legs,25416
1743685200,194612,188550,46,28,2025-04-03 13:00:00,Bloodbark legs,25416
1743688800,194830,188772,32,30,2025-04-03 14:00:00,Bloodbark legs,25416
1743692400,194392,188541,28,26,2025-04-03 15:00:00,Bloodbark legs,25416
1743696000,194504,190048,33,45,2025-04-03 16:00:00,Bloodbark legs,25416
1743699600,194384,190260,87,88,2025-04-03 17:00:00,Bloodbark legs,25416
1743703200,193577,191030,24,72,2025-04-03 18:00:00,Bloodbark legs,25416
1743706800,194914,189493,62,62,2025-04-03 19:00:00,Bloodbark legs,25416
1743710400,194802,188519,95,147,2025-04-03 20:00:00,Bloodbark legs,25416
1743714000,190953,188347,34,52,2025-04-03 21:00:00,Bloodbark legs,25416
