timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1870.0,1857,565,28972,2025-04-01 00:00:00,Blue dragonhide,1751
1743469200,1838.0,1850,2083,57552,2025-04-01 01:00:00,Blue dragonhide,1751
1743472800,1868.0,1870,888,36441,2025-04-01 02:00:00,Blue dragonhide,1751
1743476400,,1854,0,25544,2025-04-01 03:00:00,Blue dragonhide,1751
1743480000,1852.0,1853,7739,43841,2025-04-01 04:00:00,Blue dragonhide,1751
1743483600,1860.0,1852,87,41952,2025-04-01 05:00:00,Blue dragonhide,1751
1743487200,1853.0,1822,435,18860,2025-04-01 06:00:00,Blue dragonhide,1751
1743490800,1795.0,1790,1286,13380,2025-04-01 07:00:00,Blue dragonhide,1751
1743494400,1794.0,1777,1753,5376,2025-04-01 08:00:00,Blue dragonhide,1751
1743498000,1820.0,1863,1377,8420,2025-04-01 09:00:00,Blue dragonhide,1751
1743501600,1814.0,1852,3360,10241,2025-04-01 10:00:00,Blue dragonhide,1751
1743505200,1810.0,1805,2876,17707,2025-04-01 11:00:00,Blue dragonhide,1751
1743508800,,1868,0,8070,2025-04-01 12:00:00,Blue dragonhide,1751
1743512400,,1857,0,15508,2025-04-01 13:00:00,Blue dragonhide,1751
1743516000,1825.0,1811,2003,13743,2025-04-01 14:00:00,Blue dragonhide,1751
1743519600,1823.0,1791,2453,27602,2025-04-01 15:00:00,Blue dragonhide,1751
1743523200,1830.0,1832,95,17242,2025-04-01 16:00:00,Blue dragonhide,1751
1743526800,1889.0,1851,1109,32109,2025-04-01 17:00:00,Blue dragonhide,1751
1743530400,1876.0,1875,890,18059,2025-04-01 18:00:00,Blue dragonhide,1751
1743534000,1872.0,1870,1312,35286,2025-04-01 19:00:00,Blue dragonhide,1751
1743537600,1876.0,1866,621,29198,2025-04-01 20:00:00,Blue dragonhide,1751
1743541200,1887.0,1863,530,44092,2025-04-01 21:00:00,Blue dragonhide,1751
1743544800,1866.0,1860,153,18620,2025-04-01 22:00:00,Blue dragonhide,1751
1743548400,1889.0,1889,438,43283,2025-04-01 23:00:00,Blue dragonhide,1751
1743552000,1866.0,1874,371,37505,2025-04-02 00:00:00,Blue dragonhide,1751
1743555600,1878.0,1870,275,33706,2025-04-02 01:00:00,Blue dragonhide,1751
1743559200,1889.0,1875,1874,37054,2025-04-02 02:00:00,Blue dragonhide,1751
1743562800,1885.0,1885,238,43424,2025-04-02 03:00:00,Blue dragonhide,1751
1743566400,1885.0,1886,375,41286,2025-04-02 04:00:00,Blue dragonhide,1751
1743570000,1888.0,1878,644,22033,2025-04-02 05:00:00,Blue dragonhide,1751
1743573600,1850.0,1862,35,12469,2025-04-02 06:00:00,Blue dragonhide,1751
