timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,8149831.0,8109704,3,25,2025-04-01 00:00:00,Burning claw,29574
1743469200,8185770.0,8118786,3,19,2025-04-01 01:00:00,Burning claw,29574
1743472800,8180660.0,8129311,7,18,2025-04-01 02:00:00,Burning claw,29574
1743476400,8178847.0,8124326,3,25,2025-04-01 03:00:00,Burning claw,29574
1743480000,8160000.0,8156735,1,17,2025-04-01 04:00:00,Burning claw,29574
1743483600,,8102864,0,9,2025-04-01 05:00:00,Burning claw,29574
1743487200,8128750.0,8138939,4,7,2025-04-01 06:00:00,Burning claw,29574
1743490800,8192885.0,8143384,2,5,2025-04-01 07:00:00,Burning claw,29574
1743494400,8185770.0,8178609,1,9,2025-04-01 08:00:00,Burning claw,29574
1743498000,,8137429,0,7,2025-04-01 09:00:00,Burning claw,29574
1743501600,8170385.0,8141128,2,7,2025-04-01 10:00:00,Burning claw,29574
1743505200,8166749.0,8157600,2,4,2025-04-01 11:00:00,Burning claw,29574
1743508800,8143498.0,8144522,1,3,2025-04-01 12:00:00,Burning claw,29574
1743512400,8143498.0,8155048,3,21,2025-04-01 13:00:00,Burning claw,29574
1743516000,8292966.0,8144815,3,3,2025-04-01 14:00:00,Burning claw,29574
1743519600,8199203.0,8150686,2,14,2025-04-01 15:00:00,Burning claw,29574
1743523200,8253382.0,8196429,1,14,2025-04-01 16:00:00,Burning claw,29574
1743526800,,8197957,0,21,2025-04-01 17:00:00,Burning claw,29574
1743530400,8225000.0,8132469,1,12,2025-04-01 18:00:00,Burning claw,29574
1743534000,8142530.0,8118556,21,15,2025-04-01 19:00:00,Burning claw,29574
1743537600,8142950.0,8146753,4,15,2025-04-01 20:00:00,Burning claw,29574
1743541200,8143498.0,8161797,3,28,2025-04-01 21:00:00,Burning claw,29574
1743544800,8186869.0,8154638,3,22,2025-04-01 22:00:00,Burning claw,29574
1743548400,8199137.0,8153342,4,16,2025-04-01 23:00:00,Burning claw,29574
1743552000,8166971.0,8165909,3,11,2025-04-02 00:00:00,Burning claw,29574
1743555600,,8158383,0,20,2025-04-02 01:00:00,Burning claw,29574
1743559200,8136712.0,8170900,3,10,2025-04-02 02:00:00,Burning claw,29574
1743562800,8153166.0,8170778,3,9,2025-04-02 03:00:00,Burning claw,29574
1743566400,8136888.0,8148613,1,16,2025-04-02 04:00:00,Burning claw,29574
1743570000,8200145.0,8213639,6,7,2025-04-02 05:00:00,Burning claw,29574
1743573600,8395700.0,8176004,1,10,2025-04-02 06:00:00,Burning claw,29574
1743577200,,8176913,0,7,2025-04-02 07:00:00,Burning claw,29574
1743580800,8300000.0,8155525,1,3,2025-04-02 08:00:00,Burning claw,29574
1743584400,,8168683,0,2,2025-04-02 09:00:00,Burning claw,29574
1743588000,8229786.0,8160220,4,10,2025-04-02 10:00:00,Burning claw,29574
1743591600,8231988.0,8184711,4,17,2025-04-02 11:00:00,Burning claw,29574
1743595200,8200000.0,8182617,1,18,2025-04-02 12:00:00,Burning claw,29574
1743598800,8192544.0,8145600,9,5,2025-04-02 13:00:00,Burning claw,29574
1743602400,8145154.0,8115223,22,10,2025-04-02 14:00:00,Burning claw,29574
1743606000,8154587.0,8140030,7,15,2025-04-02 15:00:00,Burning claw,29574
1743609600,8299558.0,8169826,2,13,2025-04-02 16:00:00,Burning claw,29574
1743613200,8281383.0,8188176,5,24,2025-04-02 17:00:00,Burning claw,29574
1743616800,8308033.0,8246668,6,22,2025-04-02 18:00:00,Burning claw,29574
1743620400,8467576.0,8323652,1,15,2025-04-02 19:00:00,Burning claw,29574
1743624000,8355278.0,8315102,2,18,2025-04-02 20:00:00,Burning claw,29574
1743627600,8375000.0,8279807,4,33,2025-04-02 21:00:00,Burning claw,29574
1743631200,8292998.0,8222068,5,9,2025-04-02 22:00:00,Burning claw,29574
1743634800,8275000.0,8232418,4,25,2025-04-02 23:00:00,Burning claw,29574
1743638400,8339028.0,8265384,4,22,2025-04-03 00:00:00,Burning claw,29574
1743642000,8298000.0,8250479,2,10,2025-04-03 01:00:00,Burning claw,29574
1743645600,8290000.0,8262759,1,33,2025-04-03 02:00:00,Burning claw,29574
1743649200,,8270031,0,16,2025-04-03 03:00:00,Burning claw,29574
1743652800,8289856.0,8237839,6,10,2025-04-03 04:00:00,Burning claw,29574
1743656400,,8179395,0,6,2025-04-03 05:00:00,Burning claw,29574
1743660000,,8224815,0,12,2025-04-03 06:00:00,Burning claw,29574
1743663600,,8266941,0,8,2025-04-03 07:00:00,Burning claw,29574
1743667200,,8268451,0,16,2025-04-03 08:00:00,Burning claw,29574
1743670800,,8305698,0,7,2025-04-03 09:00:00,Burning claw,29574
1743674400,,8279796,0,9,2025-04-03 10:00:00,Burning claw,29574
1743678000,8293333.0,8269159,5,14,2025-04-03 11:00:00,Burning claw,29574
1743681600,,8268778,0,5,2025-04-03 12:00:00,Burning claw,29574
1743685200,,8279028,0,10,2025-04-03 13:00:00,Burning claw,29574
1743688800,,8255705,0,20,2025-04-03 14:00:00,Burning claw,29574
1743692400,,8177828,0,9,2025-04-03 15:00:00,Burning claw,29574
1743696000,8198357.0,8179040,3,12,2025-04-03 16:00:00,Burning claw,29574
1743699600,,8184890,0,17,2025-04-03 17:00:00,Burning claw,29574
1743703200,8203996.0,8180774,9,19,2025-04-03 18:00:00,Burning claw,29574
1743706800,8261500.0,8152167,3,10,2025-04-03 19:00:00,Burning claw,29574
1743710400,8125000.0,8084707,2,21,2025-04-03 20:00:00,Burning claw,29574
1743714000,8240205.0,8144486,2,20,2025-04-03 21:00:00,Burning claw,29574
1743717600,8197000.0,8155519,3,17,2025-04-03 22:00:00,Burning claw,29574
1743721200,,8156916,0,23,2025-04-03 23:00:00,Burning claw,29574
1743724800,8210399.0,8151192,5,16,2025-04-04 00:00:00,Burning claw,29574
1743728400,8204750.0,8185617,4,28,2025-04-04 01:00:00,Burning claw,29574
1743732000,8185486.0,8158669,4,15,2025-04-04 02:00:00,Burning claw,29574
1743735600,8220000.0,8112865,1,9,2025-04-04 03:00:00,Burning claw,29574
1743739200,8153333.0,8139707,3,17,2025-04-04 04:00:00,Burning claw,29574
1743742800,,8102571,0,13,2025-04-04 05:00:00,Burning claw,29574
1743746400,8196985.0,8102000,2,1,2025-04-04 06:00:00,Burning claw,29574
1743750000,,8120339,0,27,2025-04-04 07:00:00,Burning claw,29574
1743753600,8227058.0,8120327,1,5,2025-04-04 08:00:00,Burning claw,29574
1743757200,,8131902,0,7,2025-04-04 09:00:00,Burning claw,29574
1743760800,8162280.0,8156685,1,6,2025-04-04 10:00:00,Burning claw,29574
1743764400,8160554.0,8140003,1,2,2025-04-04 11:00:00,Burning claw,29574
1743768000,8159141.0,8146474,1,5,2025-04-04 12:00:00,Burning claw,29574
1743771600,8141095.0,8141098,1,6,2025-04-04 13:00:00,Burning claw,29574
1743775200,8145607.0,8115453,4,12,2025-04-04 14:00:00,Burning claw,29574
1743778800,8141095.0,8145092,3,13,2025-04-04 15:00:00,Burning claw,29574
1743782400,8191584.0,8148279,7,18,2025-04-04 16:00:00,Burning claw,29574
1743786000,8243208.0,8196143,2,7,2025-04-04 17:00:00,Burning claw,29574
1743789600,8141095.0,8134522,3,18,2025-04-04 18:00:00,Burning claw,29574
1743793200,8157409.0,8133670,19,27,2025-04-04 19:00:00,Burning claw,29574
1743796800,8140854.0,8137460,4,19,2025-04-04 20:00:00,Burning claw,29574
1743800400,8138918.0,8105573,7,13,2025-04-04 21:00:00,Burning claw,29574
1743804000,8120548.0,8090000,2,13,2025-04-04 22:00:00,Burning claw,29574
1743807600,8135477.0,8099422,10,18,2025-04-04 23:00:00,Burning claw,29574
1743811200,8106135.0,8021095,8,7,2025-04-05 00:00:00,Burning claw,29574
1743814800,8107762.0,8068416,15,29,2025-04-05 01:00:00,Burning claw,29574
1743818400,8141095.0,8034977,2,15,2025-04-05 02:00:00,Burning claw,29574
1743822000,8108219.0,8089562,5,25,2025-04-05 03:00:00,Burning claw,29574
1743825600,8120548.0,8102417,2,17,2025-04-05 04:00:00,Burning claw,29574
1743829200,8109612.0,8102307,2,10,2025-04-05 05:00:00,Burning claw,29574
1743832800,,8058909,0,14,2025-04-05 06:00:00,Burning claw,29574
1743836400,8141090.0,8069195,2,17,2025-04-05 07:00:00,Burning claw,29574
1743840000,8130126.0,8040017,1,9,2025-04-05 08:00:00,Burning claw,29574
1743843600,8113710.0,8051517,2,7,2025-04-05 09:00:00,Burning claw,29574
1743847200,,8055632,0,19,2025-04-05 10:00:00,Burning claw,29574
1743850800,,8069576,0,8,2025-04-05 11:00:00,Burning claw,29574
1743854400,,8018844,0,8,2025-04-05 12:00:00,Burning claw,29574
1743858000,8108000.0,8053103,2,9,2025-04-05 13:00:00,Burning claw,29574
1743861600,8071843.0,8063335,4,15,2025-04-05 14:00:00,Burning claw,29574
1743865200,,8042486,0,20,2025-04-05 15:00:00,Burning claw,29574
1743868800,,8078185,0,16,2025-04-05 16:00:00,Burning claw,29574
1743872400,,8065890,0,30,2025-04-05 17:00:00,Burning claw,29574
1743876000,8084347.0,8096380,4,18,2025-04-05 18:00:00,Burning claw,29574
1743879600,8128104.0,8027652,4,15,2025-04-05 19:00:00,Burning claw,29574
1743883200,8084419.0,8071974,6,13,2025-04-05 20:00:00,Burning claw,29574
1743886800,8089129.0,8067196,2,16,2025-04-05 21:00:00,Burning claw,29574
1743890400,8004119.0,8042357,2,20,2025-04-05 22:00:00,Burning claw,29574
1743894000,8067000.0,7954899,1,13,2025-04-05 23:00:00,Burning claw,29574
1743897600,8041113.0,7930989,5,7,2025-04-06 00:00:00,Burning claw,29574
1743901200,8002865.0,7943487,6,16,2025-04-06 01:00:00,Burning claw,29574
1743904800,,7926168,0,28,2025-04-06 02:00:00,Burning claw,29574
1743908400,7972742.0,7907454,10,10,2025-04-06 03:00:00,Burning claw,29574
1743912000,7955786.0,7859843,3,6,2025-04-06 04:00:00,Burning claw,29574
1743915600,7940042.0,7855000,4,3,2025-04-06 05:00:00,Burning claw,29574
1743919200,7929349.0,7850508,1,12,2025-04-06 06:00:00,Burning claw,29574
1743922800,7719667.0,7679034,3,6,2025-04-06 07:00:00,Burning claw,29574
1743926400,7684673.0,7601310,1,11,2025-04-06 08:00:00,Burning claw,29574
1743930000,7842336.0,7630134,2,2,2025-04-06 09:00:00,Burning claw,29574
1743933600,7700000.0,7688327,2,27,2025-04-06 10:00:00,Burning claw,29574
1743937200,,7714781,0,17,2025-04-06 11:00:00,Burning claw,29574
1743940800,7799000.0,7790001,1,11,2025-04-06 12:00:00,Burning claw,29574
1743944400,7900000.0,7773454,1,9,2025-04-06 13:00:00,Burning claw,29574
1743948000,7859051.0,7764486,1,9,2025-04-06 14:00:00,Burning claw,29574
1743951600,7800000.0,7733354,1,34,2025-04-06 15:00:00,Burning claw,29574
1743955200,7760238.0,7717373,5,11,2025-04-06 16:00:00,Burning claw,29574
1743958800,7723458.0,7698751,3,24,2025-04-06 17:00:00,Burning claw,29574
1743962400,7689870.0,7643672,6,23,2025-04-06 18:00:00,Burning claw,29574
1743966000,7677404.0,7634849,3,13,2025-04-06 19:00:00,Burning claw,29574
1743969600,7684151.0,7646195,4,20,2025-04-06 20:00:00,Burning claw,29574
1743973200,7597615.0,7580906,2,22,2025-04-06 21:00:00,Burning claw,29574
1743976800,7652755.0,7649145,4,29,2025-04-06 22:00:00,Burning claw,29574
1743980400,7733499.0,7680158,2,20,2025-04-06 23:00:00,Burning claw,29574
1743984000,7767217.0,7696503,9,11,2025-04-07 00:00:00,Burning claw,29574
1743987600,7800000.0,7684781,1,20,2025-04-07 01:00:00,Burning claw,29574
1743991200,7706115.0,7697657,6,14,2025-04-07 02:00:00,Burning claw,29574
1743994800,7727565.0,7670201,12,13,2025-04-07 03:00:00,Burning claw,29574
1743998400,7789197.0,7676749,3,19,2025-04-07 04:00:00,Burning claw,29574
1744002000,7702500.0,7687499,2,18,2025-04-07 05:00:00,Burning claw,29574
1744005600,7894491.0,7672753,1,9,2025-04-07 06:00:00,Burning claw,29574
1744009200,7700000.0,7680414,1,5,2025-04-07 07:00:00,Burning claw,29574
1744012800,7677469.0,7670441,2,8,2025-04-07 08:00:00,Burning claw,29574
1744016400,7675627.0,7671505,1,7,2025-04-07 09:00:00,Burning claw,29574
1744020000,7673834.0,7642278,1,9,2025-04-07 10:00:00,Burning claw,29574
1744023600,7640000.0,7630555,3,3,2025-04-07 11:00:00,Burning claw,29574
1744027200,,7630956,0,8,2025-04-07 12:00:00,Burning claw,29574
1744030800,,7628970,0,16,2025-04-07 13:00:00,Burning claw,29574
1744034400,7673097.0,7653240,15,29,2025-04-07 14:00:00,Burning claw,29574
1744038000,7665048.0,7627778,3,3,2025-04-07 15:00:00,Burning claw,29574
1744041600,7639391.0,7569820,2,5,2025-04-07 16:00:00,Burning claw,29574
1744045200,7600000.0,7588984,1,12,2025-04-07 17:00:00,Burning claw,29574
1744048800,7618333.0,7599326,6,31,2025-04-07 18:00:00,Burning claw,29574
1744052400,7677503.0,7611455,3,16,2025-04-07 19:00:00,Burning claw,29574
1744056000,7600364.0,7600371,2,12,2025-04-07 20:00:00,Burning claw,29574
1744059600,7625500.0,7611349,2,20,2025-04-07 21:00:00,Burning claw,29574
1744063200,,7626166,0,18,2025-04-07 22:00:00,Burning claw,29574
1744066800,7651302.0,7609941,5,16,2025-04-07 23:00:00,Burning claw,29574
1744070400,,7632603,0,25,2025-04-08 00:00:00,Burning claw,29574
1744074000,,7635884,0,29,2025-04-08 01:00:00,Burning claw,29574
1744077600,7677503.0,7640359,2,25,2025-04-08 02:00:00,Burning claw,29574
1744081200,7677503.0,7642980,3,19,2025-04-08 03:00:00,Burning claw,29574
1744084800,,7630717,0,17,2025-04-08 04:00:00,Burning claw,29574
1744088400,7644493.0,7642501,5,7,2025-04-08 05:00:00,Burning claw,29574
1744092000,,7585000,0,3,2025-04-08 06:00:00,Burning claw,29574
1744095600,,7629540,0,10,2025-04-08 07:00:00,Burning claw,29574
1744099200,7627750.0,7634723,2,9,2025-04-08 08:00:00,Burning claw,29574
1744102800,7650000.0,7577470,2,13,2025-04-08 09:00:00,Burning claw,29574
1744106400,7615893.0,7546581,5,6,2025-04-08 10:00:00,Burning claw,29574
1744110000,,7556543,0,9,2025-04-08 11:00:00,Burning claw,29574
1744113600,7672000.0,7627123,4,14,2025-04-08 12:00:00,Burning claw,29574
1744117200,7652144.0,7651889,3,5,2025-04-08 13:00:00,Burning claw,29574
1744120800,,7660212,0,10,2025-04-08 14:00:00,Burning claw,29574
