timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,17663.0,17530.0,1913,2,2025-04-01 00:00:00,Cadantine blood potion (unf),22443
1743472800,17662.0,17150.0,2057,1,2025-04-01 02:00:00,Cadantine blood potion (unf),22443
1743480000,17660.0,17155.0,1,2,2025-04-01 04:00:00,Cadantine blood potion (unf),22443
1743487200,17649.0,,3601,0,2025-04-01 06:00:00,Cadantine blood potion (unf),22443
1743490800,17645.0,,2,0,2025-04-01 07:00:00,Cadantine blood potion (unf),22443
1743494400,17643.0,17155.0,1680,1,2025-04-01 08:00:00,Cadantine blood potion (unf),22443
1743498000,17645.0,,13469,0,2025-04-01 09:00:00,Cadantine blood potion (unf),22443
1743501600,17650.0,17170.0,2,1,2025-04-01 10:00:00,Cadantine blood potion (unf),22443
1743505200,17645.0,17179.0,4,1,2025-04-01 11:00:00,Cadantine blood potion (unf),22443
1743508800,17411.0,,1000,0,2025-04-01 12:00:00,Cadantine blood potion (unf),22443
1743512400,17411.0,17411.0,3004,3000,2025-04-01 13:00:00,Cadantine blood potion (unf),22443
1743516000,17410.0,17180.0,1002,1,2025-04-01 14:00:00,Cadantine blood potion (unf),22443
1743519600,17409.0,17180.0,401,4,2025-04-01 15:00:00,Cadantine blood potion (unf),22443
1743523200,17409.0,17213.0,61,3,2025-04-01 16:00:00,Cadantine blood potion (unf),22443
1743526800,,17300.0,0,1804,2025-04-01 17:00:00,Cadantine blood potion (unf),22443
1743530400,17367.0,17300.0,3,3,2025-04-01 18:00:00,Cadantine blood potion (unf),22443
1743534000,17400.0,17300.0,1864,5,2025-04-01 19:00:00,Cadantine blood potion (unf),22443
1743537600,17399.0,17300.0,3001,2,2025-04-01 20:00:00,Cadantine blood potion (unf),22443
1743541200,17399.0,17300.0,32,1,2025-04-01 21:00:00,Cadantine blood potion (unf),22443
1743544800,17397.0,17397.0,300,501,2025-04-01 22:00:00,Cadantine blood potion (unf),22443
1743548400,17396.0,17397.0,1842,500,2025-04-01 23:00:00,Cadantine blood potion (unf),22443
1743552000,17394.0,,1001,0,2025-04-02 00:00:00,Cadantine blood potion (unf),22443
1743555600,17389.0,17155.0,102,1,2025-04-02 01:00:00,Cadantine blood potion (unf),22443
1743559200,17389.0,17267.0,2,3,2025-04-02 02:00:00,Cadantine blood potion (unf),22443
1743573600,17318.0,,2350,0,2025-04-02 06:00:00,Cadantine blood potion (unf),22443
1743577200,17300.0,,2,0,2025-04-02 07:00:00,Cadantine blood potion (unf),22443
1743580800,17250.0,,1,0,2025-04-02 08:00:00,Cadantine blood potion (unf),22443
1743584400,17249.0,17171.0,1,1,2025-04-02 09:00:00,Cadantine blood potion (unf),22443
1743595200,17249.0,17171.0,2001,1,2025-04-02 12:00:00,Cadantine blood potion (unf),22443
1743598800,17247.0,17171.0,450,3,2025-04-02 13:00:00,Cadantine blood potion (unf),22443
1743606000,,17000.0,0,1,2025-04-02 15:00:00,Cadantine blood potion (unf),22443
1743613200,17243.0,,2420,0,2025-04-02 17:00:00,Cadantine blood potion (unf),22443
1743616800,17296.0,,1400,0,2025-04-02 18:00:00,Cadantine blood potion (unf),22443
1743620400,17296.0,,1,0,2025-04-02 19:00:00,Cadantine blood potion (unf),22443
1743627600,17294.0,17255.0,1,1,2025-04-02 21:00:00,Cadantine blood potion (unf),22443
1743631200,17294.0,17255.0,6511,1,2025-04-02 22:00:00,Cadantine blood potion (unf),22443
1743634800,,17255.0,0,1,2025-04-02 23:00:00,Cadantine blood potion (unf),22443
1743638400,17294.0,17122.0,2300,1,2025-04-03 00:00:00,Cadantine blood potion (unf),22443
1743642000,17294.0,,1400,0,2025-04-03 01:00:00,Cadantine blood potion (unf),22443
1743649200,17294.0,17275.0,1380,1,2025-04-03 03:00:00,Cadantine blood potion (unf),22443
1743652800,17294.0,,201,0,2025-04-03 04:00:00,Cadantine blood potion (unf),22443
1743656400,17294.0,17275.0,1,26,2025-04-03 05:00:00,Cadantine blood potion (unf),22443
1743660000,17295.0,,1,0,2025-04-03 06:00:00,Cadantine blood potion (unf),22443
1743667200,17295.0,,500,0,2025-04-03 08:00:00,Cadantine blood potion (unf),22443
1743670800,17295.0,,700,0,2025-04-03 09:00:00,Cadantine blood potion (unf),22443
1743678000,17295.0,,648,0,2025-04-03 11:00:00,Cadantine blood potion (unf),22443
1743681600,17375.0,,6000,0,2025-04-03 12:00:00,Cadantine blood potion (unf),22443
1743685200,,17257.0,0,3487,2025-04-03 13:00:00,Cadantine blood potion (unf),22443
1743688800,,17000.0,0,169,2025-04-03 14:00:00,Cadantine blood potion (unf),22443
1743692400,17374.0,16111.0,1004,2,2025-04-03 15:00:00,Cadantine blood potion (unf),22443
1743696000,17370.0,16513.0,2002,3000,2025-04-03 16:00:00,Cadantine blood potion (unf),22443
1743703200,12700.0,,10,0,2025-04-03 18:00:00,Cadantine blood potion (unf),22443
1743706800,12700.0,13000.0,1,41,2025-04-03 19:00:00,Cadantine blood potion (unf),22443
1743710400,17250.0,,1,0,2025-04-03 20:00:00,Cadantine blood potion (unf),22443
1743714000,17249.0,15500.0,4,2,2025-04-03 21:00:00,Cadantine blood potion (unf),22443
1743717600,17248.0,15500.0,2,2,2025-04-03 22:00:00,Cadantine blood potion (unf),22443
1743724800,15316.0,15505.0,4197,6612,2025-04-04 00:00:00,Cadantine blood potion (unf),22443
1743728400,16970.0,15316.0,2203,1,2025-04-04 01:00:00,Cadantine blood potion (unf),22443
1743732000,16960.0,,1,0,2025-04-04 02:00:00,Cadantine blood potion (unf),22443
1743735600,17243.0,,3002,0,2025-04-04 03:00:00,Cadantine blood potion (unf),22443
1743739200,17243.0,,1,0,2025-04-04 04:00:00,Cadantine blood potion (unf),22443
1743746400,17240.0,,403,0,2025-04-04 06:00:00,Cadantine blood potion (unf),22443
1743753600,,15719.0,0,1,2025-04-04 08:00:00,Cadantine blood potion (unf),22443
1743757200,17243.0,16122.0,1,1,2025-04-04 09:00:00,Cadantine blood potion (unf),22443
1743764400,17243.0,,702,0,2025-04-04 11:00:00,Cadantine blood potion (unf),22443
1743768000,17241.0,,3002,0,2025-04-04 12:00:00,Cadantine blood potion (unf),22443
