timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,3192,2859.0,2770,4,2025-04-01 00:00:00,Cadantine potion (unf),107
1743469200,3179,3061.0,15437,6085,2025-04-01 01:00:00,Cadantine potion (unf),107
1743472800,3137,3079.0,7244,817,2025-04-01 02:00:00,Cadantine potion (unf),107
1743476400,3167,3085.0,21197,180,2025-04-01 03:00:00,Cadantine potion (unf),107
1743480000,3146,3089.0,3321,3,2025-04-01 04:00:00,Cadantine potion (unf),107
1743483600,3169,3104.0,11957,1794,2025-04-01 05:00:00,Cadantine potion (unf),107
1743487200,3131,3101.0,2413,8875,2025-04-01 06:00:00,Cadantine potion (unf),107
1743490800,3153,3080.0,11852,488,2025-04-01 07:00:00,Cadantine potion (unf),107
1743494400,3143,3101.0,1008,6950,2025-04-01 08:00:00,Cadantine potion (unf),107
1743498000,3138,3100.0,5045,57,2025-04-01 09:00:00,Cadantine potion (unf),107
1743501600,3162,3101.0,17330,281,2025-04-01 10:00:00,Cadantine potion (unf),107
1743505200,3143,3088.0,3655,2,2025-04-01 11:00:00,Cadantine potion (unf),107
1743508800,3157,3089.0,6244,1862,2025-04-01 12:00:00,Cadantine potion (unf),107
1743512400,3165,3155.0,9933,5425,2025-04-01 13:00:00,Cadantine potion (unf),107
1743516000,3169,3147.0,21574,11715,2025-04-01 14:00:00,Cadantine potion (unf),107
1743519600,3177,3142.0,12975,690,2025-04-01 15:00:00,Cadantine potion (unf),107
1743523200,3171,3146.0,16404,18573,2025-04-01 16:00:00,Cadantine potion (unf),107
1743526800,3166,3179.0,43084,7637,2025-04-01 17:00:00,Cadantine potion (unf),107
1743530400,3179,3180.0,13761,5608,2025-04-01 18:00:00,Cadantine potion (unf),107
1743534000,3181,3159.0,16177,6370,2025-04-01 19:00:00,Cadantine potion (unf),107
1743537600,3162,3103.0,12093,3771,2025-04-01 20:00:00,Cadantine potion (unf),107
1743541200,3183,3165.0,19952,2510,2025-04-01 21:00:00,Cadantine potion (unf),107
1743544800,3179,3175.0,10177,10972,2025-04-01 22:00:00,Cadantine potion (unf),107
1743548400,3185,3170.0,9005,5078,2025-04-01 23:00:00,Cadantine potion (unf),107
1743552000,3197,3173.0,6077,2515,2025-04-02 00:00:00,Cadantine potion (unf),107
1743555600,3199,3173.0,17030,10268,2025-04-02 01:00:00,Cadantine potion (unf),107
1743559200,3194,3177.0,2011,6371,2025-04-02 02:00:00,Cadantine potion (unf),107
1743562800,3191,3174.0,23860,8214,2025-04-02 03:00:00,Cadantine potion (unf),107
1743566400,3189,3165.0,16545,9598,2025-04-02 04:00:00,Cadantine potion (unf),107
1743570000,3182,3166.0,17095,7532,2025-04-02 05:00:00,Cadantine potion (unf),107
1743573600,3195,3177.0,2570,8385,2025-04-02 06:00:00,Cadantine potion (unf),107
1743577200,3195,3179.0,16034,4539,2025-04-02 07:00:00,Cadantine potion (unf),107
1743580800,3189,3170.0,4651,2000,2025-04-02 08:00:00,Cadantine potion (unf),107
1743584400,3124,3121.0,2172,4657,2025-04-02 09:00:00,Cadantine potion (unf),107
1743588000,3189,3176.0,6205,1656,2025-04-02 10:00:00,Cadantine potion (unf),107
1743591600,3194,3165.0,5111,13,2025-04-02 11:00:00,Cadantine potion (unf),107
1743595200,3166,3165.0,40,92,2025-04-02 12:00:00,Cadantine potion (unf),107
1743598800,3193,3183.0,5252,2578,2025-04-02 13:00:00,Cadantine potion (unf),107
1743602400,3196,3179.0,15428,4288,2025-04-02 14:00:00,Cadantine potion (unf),107
1743606000,3195,3166.0,17167,4695,2025-04-02 15:00:00,Cadantine potion (unf),107
1743609600,3190,3177.0,4643,3293,2025-04-02 16:00:00,Cadantine potion (unf),107
1743613200,3238,3212.0,21602,5831,2025-04-02 17:00:00,Cadantine potion (unf),107
1743616800,3285,3234.0,10171,4795,2025-04-02 18:00:00,Cadantine potion (unf),107
1743620400,3261,3244.0,18634,2812,2025-04-02 19:00:00,Cadantine potion (unf),107
1743624000,3169,3165.0,1817,4215,2025-04-02 20:00:00,Cadantine potion (unf),107
1743627600,3197,3169.0,32087,10670,2025-04-02 21:00:00,Cadantine potion (unf),107
1743631200,3203,3170.0,17095,11356,2025-04-02 22:00:00,Cadantine potion (unf),107
1743634800,3275,3241.0,19258,8031,2025-04-02 23:00:00,Cadantine potion (unf),107
1743638400,3236,3184.0,10751,1406,2025-04-03 00:00:00,Cadantine potion (unf),107
1743642000,3222,3209.0,22391,8057,2025-04-03 01:00:00,Cadantine potion (unf),107
1743645600,3233,3205.0,18915,2027,2025-04-03 02:00:00,Cadantine potion (unf),107
1743649200,3233,3225.0,26171,1939,2025-04-03 03:00:00,Cadantine potion (unf),107
1743652800,3229,3174.0,7656,6803,2025-04-03 04:00:00,Cadantine potion (unf),107
1743656400,3263,3213.0,26382,6548,2025-04-03 05:00:00,Cadantine potion (unf),107
