timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2666.0,2635,10975,16913,2025-04-01 00:00:00,Coconut,5974
1743469200,2677.0,2634,23822,17935,2025-04-01 01:00:00,Coconut,5974
1743472800,2658.0,2625,7150,23515,2025-04-01 02:00:00,Coconut,5974
1743476400,2661.0,2624,13038,31011,2025-04-01 03:00:00,Coconut,5974
1743480000,2661.0,2619,13410,12058,2025-04-01 04:00:00,Coconut,5974
1743483600,2655.0,2623,14195,15178,2025-04-01 05:00:00,Coconut,5974
1743487200,2710.0,2649,4695,5246,2025-04-01 06:00:00,Coconut,5974
1743490800,2745.0,2694,3100,7444,2025-04-01 07:00:00,Coconut,5974
1743494400,2768.0,2718,17490,13393,2025-04-01 08:00:00,Coconut,5974
1743498000,2734.0,2699,6059,7612,2025-04-01 09:00:00,Coconut,5974
1743501600,2781.0,2707,5777,16696,2025-04-01 10:00:00,Coconut,5974
1743505200,2778.0,2728,12343,6802,2025-04-01 11:00:00,Coconut,5974
1743508800,2773.0,2727,22066,14178,2025-04-01 12:00:00,Coconut,5974
1743512400,2779.0,2739,10049,12631,2025-04-01 13:00:00,Coconut,5974
1743516000,2735.0,2697,14149,18730,2025-04-01 14:00:00,Coconut,5974
1743519600,2736.0,2722,12191,19008,2025-04-01 15:00:00,Coconut,5974
1743523200,2756.0,2716,16076,25212,2025-04-01 16:00:00,Coconut,5974
1743526800,2765.0,2717,4657,13581,2025-04-01 17:00:00,Coconut,5974
1743530400,2734.0,2691,11554,16135,2025-04-01 18:00:00,Coconut,5974
1743534000,2760.0,2699,19756,26086,2025-04-01 19:00:00,Coconut,5974
1743537600,2731.0,2710,4875,23646,2025-04-01 20:00:00,Coconut,5974
1743541200,2702.0,2663,5702,12130,2025-04-01 21:00:00,Coconut,5974
1743544800,2707.0,2668,7274,13918,2025-04-01 22:00:00,Coconut,5974
1743548400,2685.0,2669,19328,29534,2025-04-01 23:00:00,Coconut,5974
1743552000,2703.0,2676,13892,25090,2025-04-02 00:00:00,Coconut,5974
1743555600,2701.0,2665,12265,16947,2025-04-02 01:00:00,Coconut,5974
1743559200,2708.0,2683,18285,16898,2025-04-02 02:00:00,Coconut,5974
1743562800,2698.0,2661,10967,17646,2025-04-02 03:00:00,Coconut,5974
1743566400,2690.0,2651,5604,32187,2025-04-02 04:00:00,Coconut,5974
1743570000,2701.0,2656,7863,19787,2025-04-02 05:00:00,Coconut,5974
1743573600,2715.0,2682,9043,13680,2025-04-02 06:00:00,Coconut,5974
1743577200,2743.0,2716,7303,9820,2025-04-02 07:00:00,Coconut,5974
1743580800,2711.0,2695,10611,10634,2025-04-02 08:00:00,Coconut,5974
1743584400,2783.0,2726,4671,11443,2025-04-02 09:00:00,Coconut,5974
1743588000,2773.0,2728,9790,21918,2025-04-02 10:00:00,Coconut,5974
1743591600,2752.0,2695,19288,16649,2025-04-02 11:00:00,Coconut,5974
1743595200,2768.0,2688,3955,21097,2025-04-02 12:00:00,Coconut,5974
1743598800,2765.0,2701,21593,17284,2025-04-02 13:00:00,Coconut,5974
1743602400,2734.0,2738,6238,23265,2025-04-02 14:00:00,Coconut,5974
1743606000,2751.0,2724,28932,18508,2025-04-02 15:00:00,Coconut,5974
1743609600,2811.0,2762,18618,12084,2025-04-02 16:00:00,Coconut,5974
1743613200,2779.0,2751,6825,31891,2025-04-02 17:00:00,Coconut,5974
1743616800,2763.0,2701,16364,22032,2025-04-02 18:00:00,Coconut,5974
1743620400,2698.0,2657,16944,28718,2025-04-02 19:00:00,Coconut,5974
1743624000,2692.0,2660,16800,18484,2025-04-02 20:00:00,Coconut,5974
1743627600,2716.0,2680,17717,19223,2025-04-02 21:00:00,Coconut,5974
1743631200,2738.0,2730,5046,22088,2025-04-02 22:00:00,Coconut,5974
1743634800,2771.0,2730,17969,15815,2025-04-02 23:00:00,Coconut,5974
1743638400,2721.0,2700,22105,11322,2025-04-03 00:00:00,Coconut,5974
1743642000,2720.0,2671,18610,24284,2025-04-03 01:00:00,Coconut,5974
1743645600,2713.0,2677,21905,13668,2025-04-03 02:00:00,Coconut,5974
1743649200,2712.0,2673,6299,19569,2025-04-03 03:00:00,Coconut,5974
1743652800,2717.0,2674,18097,15817,2025-04-03 04:00:00,Coconut,5974
1743656400,2699.0,2668,2890,18597,2025-04-03 05:00:00,Coconut,5974
1743660000,2719.0,2673,7331,11815,2025-04-03 06:00:00,Coconut,5974
1743663600,2717.0,2693,2764,7365,2025-04-03 07:00:00,Coconut,5974
1743667200,2714.0,2677,8815,6936,2025-04-03 08:00:00,Coconut,5974
1743670800,2708.0,2678,2682,10350,2025-04-03 09:00:00,Coconut,5974
1743674400,2719.0,2717,3755,17847,2025-04-03 10:00:00,Coconut,5974
1743678000,2795.0,2756,4941,18876,2025-04-03 11:00:00,Coconut,5974
1743681600,2762.0,2725,16972,12389,2025-04-03 12:00:00,Coconut,5974
1743685200,2738.0,2694,9869,18628,2025-04-03 13:00:00,Coconut,5974
1743688800,2723.0,2779,17273,16239,2025-04-03 14:00:00,Coconut,5974
1743692400,2889.0,2861,4522,26461,2025-04-03 15:00:00,Coconut,5974
1743696000,2929.0,2860,15115,26774,2025-04-03 16:00:00,Coconut,5974
1743699600,2852.0,2811,10914,15182,2025-04-03 17:00:00,Coconut,5974
1743703200,2825.0,2759,19191,27598,2025-04-03 18:00:00,Coconut,5974
1743706800,2800.0,2802,12310,40218,2025-04-03 19:00:00,Coconut,5974
1743710400,2805.0,2772,9876,15778,2025-04-03 20:00:00,Coconut,5974
1743714000,2762.0,2736,16008,19595,2025-04-03 21:00:00,Coconut,5974
1743717600,2743.0,2724,8942,22124,2025-04-03 22:00:00,Coconut,5974
1743721200,2731.0,2670,12413,42369,2025-04-03 23:00:00,Coconut,5974
1743724800,2706.0,2673,2332,25280,2025-04-04 00:00:00,Coconut,5974
1743728400,2700.0,2679,9679,19441,2025-04-04 01:00:00,Coconut,5974
1743732000,2724.0,2677,8130,23198,2025-04-04 02:00:00,Coconut,5974
1743735600,2724.0,2685,19111,17695,2025-04-04 03:00:00,Coconut,5974
1743739200,2733.0,2694,17332,10761,2025-04-04 04:00:00,Coconut,5974
1743742800,2726.0,2707,11121,9830,2025-04-04 05:00:00,Coconut,5974
1743746400,2726.0,2714,7317,9206,2025-04-04 06:00:00,Coconut,5974
1743750000,2737.0,2687,5792,10442,2025-04-04 07:00:00,Coconut,5974
1743753600,2759.0,2733,2453,9752,2025-04-04 08:00:00,Coconut,5974
1743757200,2746.0,2705,9042,18246,2025-04-04 09:00:00,Coconut,5974
1743760800,2745.0,2717,4650,6358,2025-04-04 10:00:00,Coconut,5974
1743764400,2741.0,2729,6083,11084,2025-04-04 11:00:00,Coconut,5974
1743768000,2743.0,2727,5799,10831,2025-04-04 12:00:00,Coconut,5974
1743771600,2736.0,2693,13541,24194,2025-04-04 13:00:00,Coconut,5974
1743775200,2725.0,2703,9996,20358,2025-04-04 14:00:00,Coconut,5974
1743778800,2719.0,2694,7822,15381,2025-04-04 15:00:00,Coconut,5974
1743782400,2729.0,2685,9968,20922,2025-04-04 16:00:00,Coconut,5974
1743786000,2729.0,2699,11595,15745,2025-04-04 17:00:00,Coconut,5974
1743789600,2737.0,2705,15033,29327,2025-04-04 18:00:00,Coconut,5974
1743793200,2805.0,2757,2182,18456,2025-04-04 19:00:00,Coconut,5974
1743796800,2849.0,2790,5829,18858,2025-04-04 20:00:00,Coconut,5974
1743800400,2828.0,2777,14413,28372,2025-04-04 21:00:00,Coconut,5974
1743804000,2805.0,2752,16336,14415,2025-04-04 22:00:00,Coconut,5974
1743807600,2801.0,2752,9884,24544,2025-04-04 23:00:00,Coconut,5974
1743811200,2858.0,2787,8315,19305,2025-04-05 00:00:00,Coconut,5974
1743814800,2806.0,2761,13830,20583,2025-04-05 01:00:00,Coconut,5974
1743818400,2780.0,2743,10495,23940,2025-04-05 02:00:00,Coconut,5974
1743822000,2743.0,2738,8482,18826,2025-04-05 03:00:00,Coconut,5974
1743825600,2746.0,2716,16747,19465,2025-04-05 04:00:00,Coconut,5974
1743829200,2736.0,2695,5605,20203,2025-04-05 05:00:00,Coconut,5974
1743832800,2747.0,2719,4613,8593,2025-04-05 06:00:00,Coconut,5974
1743836400,2749.0,2713,10990,9251,2025-04-05 07:00:00,Coconut,5974
1743840000,2725.0,2695,1244,10291,2025-04-05 08:00:00,Coconut,5974
1743843600,2715.0,2681,1851,26997,2025-04-05 09:00:00,Coconut,5974
1743847200,2729.0,2684,9440,11241,2025-04-05 10:00:00,Coconut,5974
1743850800,2723.0,2693,4809,21925,2025-04-05 11:00:00,Coconut,5974
1743854400,2738.0,2695,5459,13797,2025-04-05 12:00:00,Coconut,5974
1743858000,2736.0,2703,9308,8262,2025-04-05 13:00:00,Coconut,5974
1743861600,2739.0,2695,21284,22699,2025-04-05 14:00:00,Coconut,5974
1743865200,2737.0,2699,5431,32098,2025-04-05 15:00:00,Coconut,5974
1743868800,2725.0,2687,13126,25633,2025-04-05 16:00:00,Coconut,5974
1743872400,2731.0,2722,3174,21350,2025-04-05 17:00:00,Coconut,5974
1743876000,2739.0,2709,10445,31275,2025-04-05 18:00:00,Coconut,5974
1743879600,2739.0,2697,18108,19507,2025-04-05 19:00:00,Coconut,5974
1743883200,2729.0,2695,11502,19426,2025-04-05 20:00:00,Coconut,5974
1743886800,2744.0,2699,9756,15570,2025-04-05 21:00:00,Coconut,5974
1743890400,2742.0,2701,12854,14863,2025-04-05 22:00:00,Coconut,5974
1743894000,2741.0,2709,12421,12583,2025-04-05 23:00:00,Coconut,5974
1743897600,2736.0,2699,7099,12238,2025-04-06 00:00:00,Coconut,5974
1743901200,2785.0,2704,25847,17658,2025-04-06 01:00:00,Coconut,5974
1743904800,2733.0,2692,14445,26192,2025-04-06 02:00:00,Coconut,5974
1743908400,2737.0,2802,4824,34870,2025-04-06 03:00:00,Coconut,5974
1743912000,2848.0,2780,14308,22980,2025-04-06 04:00:00,Coconut,5974
1743915600,2773.0,2752,7675,13384,2025-04-06 05:00:00,Coconut,5974
1743919200,2848.0,2815,15545,38566,2025-04-06 06:00:00,Coconut,5974
1743922800,2854.0,2815,17334,15263,2025-04-06 07:00:00,Coconut,5974
1743926400,2850.0,2801,15555,29044,2025-04-06 08:00:00,Coconut,5974
1743930000,2808.0,2773,11702,14258,2025-04-06 09:00:00,Coconut,5974
1743933600,2797.0,2760,16783,19128,2025-04-06 10:00:00,Coconut,5974
1743937200,2738.0,2693,10552,12024,2025-04-06 11:00:00,Coconut,5974
1743940800,2740.0,2715,20187,14653,2025-04-06 12:00:00,Coconut,5974
1743944400,2736.0,2700,15152,19046,2025-04-06 13:00:00,Coconut,5974
1743948000,2742.0,2723,8631,26291,2025-04-06 14:00:00,Coconut,5974
1743951600,2753.0,2711,19998,23405,2025-04-06 15:00:00,Coconut,5974
1743955200,2764.0,2735,18341,17569,2025-04-06 16:00:00,Coconut,5974
1743958800,2764.0,2724,15790,26491,2025-04-06 17:00:00,Coconut,5974
1743962400,2753.0,2706,5519,16322,2025-04-06 18:00:00,Coconut,5974
1743966000,2741.0,2706,18492,28154,2025-04-06 19:00:00,Coconut,5974
1743969600,2741.0,2703,14934,18838,2025-04-06 20:00:00,Coconut,5974
1743973200,2748.0,2710,29348,29561,2025-04-06 21:00:00,Coconut,5974
1743976800,2741.0,2716,5622,12878,2025-04-06 22:00:00,Coconut,5974
1743980400,2745.0,2711,7593,15441,2025-04-06 23:00:00,Coconut,5974
1743984000,2732.0,2700,10383,17764,2025-04-07 00:00:00,Coconut,5974
1743987600,2796.0,2739,7554,27186,2025-04-07 01:00:00,Coconut,5974
1743991200,2817.0,2783,8303,16626,2025-04-07 02:00:00,Coconut,5974
