timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,12288,12311,1427,2185,2025-04-01 00:00:00,Combat bracelet,11126
1743469200,12292,12303,4826,1678,2025-04-01 01:00:00,Combat bracelet,11126
1743472800,12311,12196,485,671,2025-04-01 02:00:00,Combat bracelet,11126
1743476400,12273,12251,2186,1224,2025-04-01 03:00:00,Combat bracelet,11126
1743480000,12285,12266,504,1016,2025-04-01 04:00:00,Combat bracelet,11126
1743483600,12105,12080,744,580,2025-04-01 05:00:00,Combat bracelet,11126
1743487200,12154,12157,1085,430,2025-04-01 06:00:00,Combat bracelet,11126
1743490800,12287,12256,3592,340,2025-04-01 07:00:00,Combat bracelet,11126
1743494400,12344,12323,2574,677,2025-04-01 08:00:00,Combat bracelet,11126
1743498000,12321,12311,4868,621,2025-04-01 09:00:00,Combat bracelet,11126
1743501600,12339,12315,4114,584,2025-04-01 10:00:00,Combat bracelet,11126
1743505200,12328,12204,6159,50,2025-04-01 11:00:00,Combat bracelet,11126
1743508800,12343,12234,803,133,2025-04-01 12:00:00,Combat bracelet,11126
1743512400,12344,12210,1908,295,2025-04-01 13:00:00,Combat bracelet,11126
1743516000,12344,12276,5457,1157,2025-04-01 14:00:00,Combat bracelet,11126
1743519600,12279,12259,6438,1815,2025-04-01 15:00:00,Combat bracelet,11126
1743523200,12303,12267,2788,512,2025-04-01 16:00:00,Combat bracelet,11126
1743526800,12306,12286,829,718,2025-04-01 17:00:00,Combat bracelet,11126
1743530400,12298,12281,1490,1016,2025-04-01 18:00:00,Combat bracelet,11126
1743534000,12267,12294,1824,3159,2025-04-01 19:00:00,Combat bracelet,11126
1743537600,12334,12287,1589,3012,2025-04-01 20:00:00,Combat bracelet,11126
1743541200,12309,12290,2238,2399,2025-04-01 21:00:00,Combat bracelet,11126
1743544800,12305,12267,2353,4603,2025-04-01 22:00:00,Combat bracelet,11126
1743548400,12306,12298,2669,2707,2025-04-01 23:00:00,Combat bracelet,11126
1743552000,12297,12189,1362,1506,2025-04-02 00:00:00,Combat bracelet,11126
1743555600,12336,12287,1923,2814,2025-04-02 01:00:00,Combat bracelet,11126
1743559200,12280,12306,2423,1198,2025-04-02 02:00:00,Combat bracelet,11126
1743562800,12347,12306,50,843,2025-04-02 03:00:00,Combat bracelet,11126
1743566400,12350,12307,1209,86,2025-04-02 04:00:00,Combat bracelet,11126
1743570000,12266,12300,1455,1231,2025-04-02 05:00:00,Combat bracelet,11126
1743573600,12329,12326,3526,397,2025-04-02 06:00:00,Combat bracelet,11126
1743577200,12335,12304,1870,53,2025-04-02 07:00:00,Combat bracelet,11126
1743580800,12310,12293,3702,937,2025-04-02 08:00:00,Combat bracelet,11126
1743584400,12350,12309,1,37,2025-04-02 09:00:00,Combat bracelet,11126
1743588000,12264,12152,542,1468,2025-04-02 10:00:00,Combat bracelet,11126
1743591600,12228,12261,1709,370,2025-04-02 11:00:00,Combat bracelet,11126
1743595200,12264,12203,752,280,2025-04-02 12:00:00,Combat bracelet,11126
1743598800,12252,12262,353,4853,2025-04-02 13:00:00,Combat bracelet,11126
1743602400,12296,12299,3315,371,2025-04-02 14:00:00,Combat bracelet,11126
1743606000,12334,12298,45,2901,2025-04-02 15:00:00,Combat bracelet,11126
1743609600,12296,12309,1917,4666,2025-04-02 16:00:00,Combat bracelet,11126
1743613200,12307,12233,1496,1373,2025-04-02 17:00:00,Combat bracelet,11126
1743616800,12313,12281,3443,726,2025-04-02 18:00:00,Combat bracelet,11126
1743620400,12348,12313,17023,515,2025-04-02 19:00:00,Combat bracelet,11126
1743624000,12306,12243,2071,725,2025-04-02 20:00:00,Combat bracelet,11126
1743627600,12297,12133,3481,1051,2025-04-02 21:00:00,Combat bracelet,11126
1743631200,12220,12302,1577,1924,2025-04-02 22:00:00,Combat bracelet,11126
1743634800,12335,12240,136,1456,2025-04-02 23:00:00,Combat bracelet,11126
1743638400,12300,12197,931,159,2025-04-03 00:00:00,Combat bracelet,11126
1743642000,12297,12309,1389,3301,2025-04-03 01:00:00,Combat bracelet,11126
1743645600,12335,12288,47,1872,2025-04-03 02:00:00,Combat bracelet,11126
1743649200,12329,12303,616,2430,2025-04-03 03:00:00,Combat bracelet,11126
1743652800,12311,12310,3188,61,2025-04-03 04:00:00,Combat bracelet,11126
1743656400,12300,12303,105,1342,2025-04-03 05:00:00,Combat bracelet,11126
1743660000,12296,12280,1498,157,2025-04-03 06:00:00,Combat bracelet,11126
1743663600,12296,12247,1000,72,2025-04-03 07:00:00,Combat bracelet,11126
1743667200,12296,12309,6344,608,2025-04-03 08:00:00,Combat bracelet,11126
1743670800,12299,12298,650,1016,2025-04-03 09:00:00,Combat bracelet,11126
1743674400,12299,12274,1122,177,2025-04-03 10:00:00,Combat bracelet,11126
1743678000,12309,12310,38,243,2025-04-03 11:00:00,Combat bracelet,11126
1743681600,12291,12284,4,193,2025-04-03 12:00:00,Combat bracelet,11126
1743685200,12296,12287,3314,215,2025-04-03 13:00:00,Combat bracelet,11126
1743688800,12303,12299,144,93,2025-04-03 14:00:00,Combat bracelet,11126
1743692400,12303,12313,745,213,2025-04-03 15:00:00,Combat bracelet,11126
1743696000,12310,12300,222,1588,2025-04-03 16:00:00,Combat bracelet,11126
1743699600,12333,12303,42,1444,2025-04-03 17:00:00,Combat bracelet,11126
1743703200,12300,12320,624,492,2025-04-03 18:00:00,Combat bracelet,11126
1743706800,12297,12317,1630,943,2025-04-03 19:00:00,Combat bracelet,11126
1743710400,12293,12271,1841,5098,2025-04-03 20:00:00,Combat bracelet,11126
1743714000,12315,12275,701,1922,2025-04-03 21:00:00,Combat bracelet,11126
1743717600,12294,12282,2103,125,2025-04-03 22:00:00,Combat bracelet,11126
1743721200,12313,12292,244,87,2025-04-03 23:00:00,Combat bracelet,11126
1743724800,12348,12311,550,2554,2025-04-04 00:00:00,Combat bracelet,11126
1743728400,12346,12296,63,1981,2025-04-04 01:00:00,Combat bracelet,11126
1743732000,12345,12302,220,1621,2025-04-04 02:00:00,Combat bracelet,11126
1743735600,12349,12292,453,449,2025-04-04 03:00:00,Combat bracelet,11126
1743739200,12294,12292,1104,1227,2025-04-04 04:00:00,Combat bracelet,11126
1743742800,12316,12292,237,96,2025-04-04 05:00:00,Combat bracelet,11126
1743746400,12297,12286,308,7225,2025-04-04 06:00:00,Combat bracelet,11126
1743750000,12292,12260,458,357,2025-04-04 07:00:00,Combat bracelet,11126
1743753600,12268,12203,465,1682,2025-04-04 08:00:00,Combat bracelet,11126
1743757200,12248,12205,600,475,2025-04-04 09:00:00,Combat bracelet,11126
1743760800,12290,12289,41,3108,2025-04-04 10:00:00,Combat bracelet,11126
1743764400,12290,12206,250,228,2025-04-04 11:00:00,Combat bracelet,11126
