timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,7744.0,7718,20050,13651,2025-04-01 00:00:00,Crushed nest,6693
1743469200,7749.0,7709,8576,3235,2025-04-01 01:00:00,Crushed nest,6693
1743472800,7708.0,7695,26316,8582,2025-04-01 02:00:00,Crushed nest,6693
1743476400,7754.0,7640,15456,4525,2025-04-01 03:00:00,Crushed nest,6693
1743480000,7781.0,7745,8744,7318,2025-04-01 04:00:00,Crushed nest,6693
1743483600,7788.0,7762,9320,7204,2025-04-01 05:00:00,Crushed nest,6693
1743487200,7777.0,7714,8545,9649,2025-04-01 06:00:00,Crushed nest,6693
1743490800,7704.0,7640,2961,3096,2025-04-01 07:00:00,Crushed nest,6693
1743494400,7708.0,7647,3075,2348,2025-04-01 08:00:00,Crushed nest,6693
1743498000,7688.0,7647,1263,4688,2025-04-01 09:00:00,Crushed nest,6693
1743501600,7745.0,7689,23784,2267,2025-04-01 10:00:00,Crushed nest,6693
1743505200,7746.0,7672,2089,4401,2025-04-01 11:00:00,Crushed nest,6693
1743508800,7719.0,7687,12297,2396,2025-04-01 12:00:00,Crushed nest,6693
1743512400,7719.0,7705,3618,10811,2025-04-01 13:00:00,Crushed nest,6693
1743516000,7711.0,7693,59026,1977,2025-04-01 14:00:00,Crushed nest,6693
1743519600,7709.0,7699,44228,23081,2025-04-01 15:00:00,Crushed nest,6693
1743523200,7749.0,7664,11494,3425,2025-04-01 16:00:00,Crushed nest,6693
1743526800,7683.0,7655,17554,4521,2025-04-01 17:00:00,Crushed nest,6693
1743530400,7744.0,7697,27163,20288,2025-04-01 18:00:00,Crushed nest,6693
1743534000,7721.0,7719,28852,18534,2025-04-01 19:00:00,Crushed nest,6693
1743537600,7747.0,7719,40583,10995,2025-04-01 20:00:00,Crushed nest,6693
1743541200,7748.0,7739,61427,10845,2025-04-01 21:00:00,Crushed nest,6693
1743544800,7770.0,7751,30522,30410,2025-04-01 22:00:00,Crushed nest,6693
1743548400,7778.0,7748,24090,3775,2025-04-01 23:00:00,Crushed nest,6693
1743552000,7773.0,7752,26056,13470,2025-04-02 00:00:00,Crushed nest,6693
1743555600,7779.0,7753,16246,29048,2025-04-02 01:00:00,Crushed nest,6693
1743559200,7752.0,7749,4858,3955,2025-04-02 02:00:00,Crushed nest,6693
1743562800,7750.0,7738,42970,6082,2025-04-02 03:00:00,Crushed nest,6693
1743566400,7770.0,7728,5334,11683,2025-04-02 04:00:00,Crushed nest,6693
1743570000,7779.0,7752,8807,2222,2025-04-02 05:00:00,Crushed nest,6693
1743573600,7783.0,7754,11278,7525,2025-04-02 06:00:00,Crushed nest,6693
1743577200,7760.0,7721,28887,1475,2025-04-02 07:00:00,Crushed nest,6693
1743580800,7750.0,7750,1048,6344,2025-04-02 08:00:00,Crushed nest,6693
1743584400,7759.0,7760,9888,2859,2025-04-02 09:00:00,Crushed nest,6693
1743588000,7749.0,7719,16005,11410,2025-04-02 10:00:00,Crushed nest,6693
1743591600,7753.0,7719,12835,1166,2025-04-02 11:00:00,Crushed nest,6693
1743595200,7714.0,7686,41431,11064,2025-04-02 12:00:00,Crushed nest,6693
1743598800,7735.0,7674,25370,3732,2025-04-02 13:00:00,Crushed nest,6693
1743602400,7742.0,7723,14171,5765,2025-04-02 14:00:00,Crushed nest,6693
1743606000,7727.0,7657,14897,2346,2025-04-02 15:00:00,Crushed nest,6693
1743609600,7701.0,7667,15351,1470,2025-04-02 16:00:00,Crushed nest,6693
1743613200,7742.0,7685,28555,8231,2025-04-02 17:00:00,Crushed nest,6693
1743616800,7742.0,7713,46960,11634,2025-04-02 18:00:00,Crushed nest,6693
1743620400,7744.0,7712,12244,4911,2025-04-02 19:00:00,Crushed nest,6693
1743624000,7748.0,7747,13623,6822,2025-04-02 20:00:00,Crushed nest,6693
1743627600,7745.0,7677,21438,77166,2025-04-02 21:00:00,Crushed nest,6693
1743631200,7757.0,7723,20235,5368,2025-04-02 22:00:00,Crushed nest,6693
1743634800,7759.0,7717,7431,43993,2025-04-02 23:00:00,Crushed nest,6693
1743638400,7773.0,7759,23433,9962,2025-04-03 00:00:00,Crushed nest,6693
1743642000,7764.0,7658,20913,11547,2025-04-03 01:00:00,Crushed nest,6693
1743645600,7756.0,7767,11520,3301,2025-04-03 02:00:00,Crushed nest,6693
1743649200,7808.0,7762,16016,5490,2025-04-03 03:00:00,Crushed nest,6693
1743652800,7867.0,7799,33301,3733,2025-04-03 04:00:00,Crushed nest,6693
1743656400,7801.0,7767,862,8791,2025-04-03 05:00:00,Crushed nest,6693
1743660000,7764.0,7760,17158,2392,2025-04-03 06:00:00,Crushed nest,6693
1743663600,7760.0,7749,5500,1282,2025-04-03 07:00:00,Crushed nest,6693
1743667200,7757.0,7747,15791,26891,2025-04-03 08:00:00,Crushed nest,6693
1743670800,7754.0,7745,4333,1186,2025-04-03 09:00:00,Crushed nest,6693
1743674400,7740.0,7733,1084,10290,2025-04-03 10:00:00,Crushed nest,6693
1743678000,7748.0,7742,13298,2916,2025-04-03 11:00:00,Crushed nest,6693
1743681600,7737.0,7744,22018,3836,2025-04-03 12:00:00,Crushed nest,6693
1743685200,7747.0,7745,14270,12236,2025-04-03 13:00:00,Crushed nest,6693
1743688800,7742.0,7672,1573,14297,2025-04-03 14:00:00,Crushed nest,6693
1743692400,7742.0,7637,33794,16202,2025-04-03 15:00:00,Crushed nest,6693
1743696000,7748.0,7729,17706,1452,2025-04-03 16:00:00,Crushed nest,6693
1743699600,7762.0,7746,6731,2188,2025-04-03 17:00:00,Crushed nest,6693
1743703200,7726.0,7731,38666,2969,2025-04-03 18:00:00,Crushed nest,6693
1743706800,7728.0,7715,24101,7182,2025-04-03 19:00:00,Crushed nest,6693
1743710400,7754.0,7746,17210,34086,2025-04-03 20:00:00,Crushed nest,6693
1743714000,7739.0,7711,7257,1573,2025-04-03 21:00:00,Crushed nest,6693
1743717600,7736.0,7669,32170,3051,2025-04-03 22:00:00,Crushed nest,6693
1743721200,7735.0,7674,28701,6279,2025-04-03 23:00:00,Crushed nest,6693
1743724800,7737.0,7650,18071,4043,2025-04-04 00:00:00,Crushed nest,6693
1743728400,7739.0,7720,3637,15496,2025-04-04 01:00:00,Crushed nest,6693
1743732000,7741.0,7731,23332,15881,2025-04-04 02:00:00,Crushed nest,6693
1743735600,7768.0,7751,2233,19127,2025-04-04 03:00:00,Crushed nest,6693
1743739200,7784.0,7756,38725,7912,2025-04-04 04:00:00,Crushed nest,6693
1743742800,7780.0,7770,6257,8400,2025-04-04 05:00:00,Crushed nest,6693
1743746400,7788.0,7758,42483,10775,2025-04-04 06:00:00,Crushed nest,6693
1743750000,7775.0,7750,10419,2963,2025-04-04 07:00:00,Crushed nest,6693
1743753600,7770.0,7742,20259,1914,2025-04-04 08:00:00,Crushed nest,6693
1743757200,7768.0,7758,13019,2080,2025-04-04 09:00:00,Crushed nest,6693
1743760800,7763.0,7743,29169,12311,2025-04-04 10:00:00,Crushed nest,6693
1743764400,7767.0,7743,39270,8921,2025-04-04 11:00:00,Crushed nest,6693
1743768000,7748.0,7742,14056,9345,2025-04-04 12:00:00,Crushed nest,6693
1743771600,7746.0,7751,18821,719,2025-04-04 13:00:00,Crushed nest,6693
1743775200,7747.0,7743,16349,4211,2025-04-04 14:00:00,Crushed nest,6693
1743778800,7743.0,7694,22603,7970,2025-04-04 15:00:00,Crushed nest,6693
1743782400,7741.0,7717,38426,5910,2025-04-04 16:00:00,Crushed nest,6693
1743786000,7740.0,7731,49579,2766,2025-04-04 17:00:00,Crushed nest,6693
1743789600,7744.0,7743,22193,2911,2025-04-04 18:00:00,Crushed nest,6693
1743793200,7748.0,7744,8640,20530,2025-04-04 19:00:00,Crushed nest,6693
1743796800,7749.0,7750,43112,31676,2025-04-04 20:00:00,Crushed nest,6693
1743800400,7737.0,7660,25732,33874,2025-04-04 21:00:00,Crushed nest,6693
1743804000,7728.0,7650,23299,6465,2025-04-04 22:00:00,Crushed nest,6693
1743807600,7677.0,7599,4678,34487,2025-04-04 23:00:00,Crushed nest,6693
1743811200,7721.0,7651,1545,4651,2025-04-05 00:00:00,Crushed nest,6693
1743814800,7685.0,7616,1822,5375,2025-04-05 01:00:00,Crushed nest,6693
1743818400,7689.0,7634,696,3688,2025-04-05 02:00:00,Crushed nest,6693
1743822000,7743.0,7661,8791,2836,2025-04-05 03:00:00,Crushed nest,6693
1743825600,7740.0,7701,7645,15603,2025-04-05 04:00:00,Crushed nest,6693
1743829200,7744.0,7726,6027,9611,2025-04-05 05:00:00,Crushed nest,6693
1743832800,7747.0,7739,19925,24313,2025-04-05 06:00:00,Crushed nest,6693
1743836400,7745.0,7726,42290,1809,2025-04-05 07:00:00,Crushed nest,6693
1743840000,7735.0,7739,16129,7309,2025-04-05 08:00:00,Crushed nest,6693
1743843600,7732.0,7713,22,14312,2025-04-05 09:00:00,Crushed nest,6693
1743847200,7732.0,7720,541,2025,2025-04-05 10:00:00,Crushed nest,6693
1743850800,7741.0,7726,1359,3334,2025-04-05 11:00:00,Crushed nest,6693
1743854400,7732.0,7727,19672,15766,2025-04-05 12:00:00,Crushed nest,6693
1743858000,7744.0,7732,36988,4800,2025-04-05 13:00:00,Crushed nest,6693
1743861600,7744.0,7735,32501,6707,2025-04-05 14:00:00,Crushed nest,6693
1743865200,7744.0,7737,4793,14084,2025-04-05 15:00:00,Crushed nest,6693
1743868800,7741.0,7737,27194,23650,2025-04-05 16:00:00,Crushed nest,6693
1743872400,7746.0,7733,26415,15357,2025-04-05 17:00:00,Crushed nest,6693
1743876000,7740.0,7738,123167,16598,2025-04-05 18:00:00,Crushed nest,6693
1743879600,7734.0,7730,29318,1010,2025-04-05 19:00:00,Crushed nest,6693
1743883200,7734.0,7730,24824,1971,2025-04-05 20:00:00,Crushed nest,6693
1743886800,7730.0,7730,24406,25237,2025-04-05 21:00:00,Crushed nest,6693
1743890400,7730.0,7726,104221,7526,2025-04-05 22:00:00,Crushed nest,6693
1743894000,7725.0,7720,24371,3736,2025-04-05 23:00:00,Crushed nest,6693
1743897600,7725.0,7716,16145,13762,2025-04-06 00:00:00,Crushed nest,6693
1743901200,7724.0,7701,23760,1497,2025-04-06 01:00:00,Crushed nest,6693
1743904800,7727.0,7724,33718,6194,2025-04-06 02:00:00,Crushed nest,6693
1743908400,7729.0,7726,9827,2307,2025-04-06 03:00:00,Crushed nest,6693
1743912000,7724.0,7721,19011,21908,2025-04-06 04:00:00,Crushed nest,6693
1743915600,7729.0,7724,5504,3241,2025-04-06 05:00:00,Crushed nest,6693
1743919200,7729.0,7715,23649,5542,2025-04-06 06:00:00,Crushed nest,6693
1743922800,7729.0,7706,17086,16018,2025-04-06 07:00:00,Crushed nest,6693
1743926400,7726.0,7721,1326,1776,2025-04-06 08:00:00,Crushed nest,6693
1743930000,7724.0,7720,1224,1147,2025-04-06 09:00:00,Crushed nest,6693
1743933600,7727.0,7708,23920,7899,2025-04-06 10:00:00,Crushed nest,6693
1743937200,7725.0,7719,25500,1634,2025-04-06 11:00:00,Crushed nest,6693
1743940800,7715.0,7713,27616,6521,2025-04-06 12:00:00,Crushed nest,6693
1743944400,7721.0,7701,60940,4344,2025-04-06 13:00:00,Crushed nest,6693
1743948000,7729.0,7711,9353,7167,2025-04-06 14:00:00,Crushed nest,6693
1743951600,7723.0,7710,3367,27313,2025-04-06 15:00:00,Crushed nest,6693
1743955200,7709.0,7706,84659,2731,2025-04-06 16:00:00,Crushed nest,6693
1743958800,7722.0,7707,30092,5688,2025-04-06 17:00:00,Crushed nest,6693
1743962400,7725.0,7707,11321,20976,2025-04-06 18:00:00,Crushed nest,6693
1743966000,7710.0,7698,9690,4321,2025-04-06 19:00:00,Crushed nest,6693
1743969600,7729.0,7727,20283,46943,2025-04-06 20:00:00,Crushed nest,6693
1743973200,7718.0,7724,29216,31982,2025-04-06 21:00:00,Crushed nest,6693
1743976800,7734.0,7716,37490,13246,2025-04-06 22:00:00,Crushed nest,6693
1743980400,7800.0,7765,9967,7147,2025-04-06 23:00:00,Crushed nest,6693
1743984000,7843.0,7793,11637,8661,2025-04-07 00:00:00,Crushed nest,6693
1743987600,7779.0,7791,40660,14766,2025-04-07 01:00:00,Crushed nest,6693
1743991200,7771.0,7770,35880,15564,2025-04-07 02:00:00,Crushed nest,6693
