timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,6201024,6122911,134,144,2025-04-01 00:00:00,Crystal armour seed,23956
1743469200,6251901,6187934,65,116,2025-04-01 01:00:00,Crystal armour seed,23956
1743472800,6283089,6190718,61,134,2025-04-01 02:00:00,Crystal armour seed,23956
1743476400,6228739,6168571,109,123,2025-04-01 03:00:00,Crystal armour seed,23956
1743480000,6159636,6076429,97,103,2025-04-01 04:00:00,Crystal armour seed,23956
1743483600,6164324,6102813,80,70,2025-04-01 05:00:00,Crystal armour seed,23956
1743487200,6155239,6091615,12,43,2025-04-01 06:00:00,Crystal armour seed,23956
1743490800,6155642,6090149,37,63,2025-04-01 07:00:00,Crystal armour seed,23956
1743494400,6140426,6066860,19,169,2025-04-01 08:00:00,Crystal armour seed,23956
1743498000,6145550,6053757,47,40,2025-04-01 09:00:00,Crystal armour seed,23956
1743501600,6170919,6083052,121,33,2025-04-01 10:00:00,Crystal armour seed,23956
1743505200,6136476,6078094,15,40,2025-04-01 11:00:00,Crystal armour seed,23956
1743508800,6152432,6106987,89,13,2025-04-01 12:00:00,Crystal armour seed,23956
1743512400,6181934,6109120,47,43,2025-04-01 13:00:00,Crystal armour seed,23956
1743516000,6191083,6127398,49,102,2025-04-01 14:00:00,Crystal armour seed,23956
1743519600,6217824,6135275,50,82,2025-04-01 15:00:00,Crystal armour seed,23956
1743523200,6213614,6123165,74,142,2025-04-01 16:00:00,Crystal armour seed,23956
1743526800,6301254,6183412,29,126,2025-04-01 17:00:00,Crystal armour seed,23956
1743530400,6277107,6190261,85,137,2025-04-01 18:00:00,Crystal armour seed,23956
1743534000,6280826,6203490,59,75,2025-04-01 19:00:00,Crystal armour seed,23956
1743537600,6280255,6202238,68,100,2025-04-01 20:00:00,Crystal armour seed,23956
1743541200,6281377,6198176,59,149,2025-04-01 21:00:00,Crystal armour seed,23956
1743544800,6302981,6216041,114,153,2025-04-01 22:00:00,Crystal armour seed,23956
1743548400,6301352,6221172,137,107,2025-04-01 23:00:00,Crystal armour seed,23956
1743552000,6309534,6223079,70,162,2025-04-02 00:00:00,Crystal armour seed,23956
1743555600,6297565,6218214,81,125,2025-04-02 01:00:00,Crystal armour seed,23956
1743559200,6258265,6168393,99,160,2025-04-02 02:00:00,Crystal armour seed,23956
1743562800,6207545,6121225,86,76,2025-04-02 03:00:00,Crystal armour seed,23956
