timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,3164.0,3156,18886,47227,2025-04-01 00:00:00,Dragon bolts (unf),21930
1743469200,3169.0,3150,31030,47259,2025-04-01 01:00:00,Dragon bolts (unf),21930
1743472800,3171.0,3152,28081,38940,2025-04-01 02:00:00,Dragon bolts (unf),21930
1743476400,3199.0,3176,22710,69449,2025-04-01 03:00:00,Dragon bolts (unf),21930
1743480000,3165.0,3163,9258,55802,2025-04-01 04:00:00,Dragon bolts (unf),21930
1743483600,3160.0,3164,7148,64551,2025-04-01 05:00:00,Dragon bolts (unf),21930
1743487200,3243.0,3178,20129,36992,2025-04-01 06:00:00,Dragon bolts (unf),21930
1743490800,3221.0,3209,129,50289,2025-04-01 07:00:00,Dragon bolts (unf),21930
1743494400,3185.0,3167,2589,43957,2025-04-01 08:00:00,Dragon bolts (unf),21930
1743498000,3164.0,3168,8882,22721,2025-04-01 09:00:00,Dragon bolts (unf),21930
1743501600,3157.0,3242,3506,53182,2025-04-01 10:00:00,Dragon bolts (unf),21930
1743505200,3174.0,3269,4195,40588,2025-04-01 11:00:00,Dragon bolts (unf),21930
1743508800,3180.0,3179,4124,32094,2025-04-01 12:00:00,Dragon bolts (unf),21930
1743512400,3289.0,3222,1517,56485,2025-04-01 13:00:00,Dragon bolts (unf),21930
1743516000,3245.0,3221,2577,52180,2025-04-01 14:00:00,Dragon bolts (unf),21930
1743519600,3201.0,3181,29915,55806,2025-04-01 15:00:00,Dragon bolts (unf),21930
1743523200,3180.0,3181,13854,47685,2025-04-01 16:00:00,Dragon bolts (unf),21930
1743526800,3179.0,3182,9992,98540,2025-04-01 17:00:00,Dragon bolts (unf),21930
1743530400,3181.0,3186,7685,39338,2025-04-01 18:00:00,Dragon bolts (unf),21930
1743534000,3254.0,3192,54654,84488,2025-04-01 19:00:00,Dragon bolts (unf),21930
1743537600,3222.0,3188,14081,90615,2025-04-01 20:00:00,Dragon bolts (unf),21930
1743541200,3181.0,3193,7492,91147,2025-04-01 21:00:00,Dragon bolts (unf),21930
1743544800,3189.0,3181,52985,54706,2025-04-01 22:00:00,Dragon bolts (unf),21930
1743548400,3192.0,3187,30521,71404,2025-04-01 23:00:00,Dragon bolts (unf),21930
1743552000,3262.0,3218,107213,94312,2025-04-02 00:00:00,Dragon bolts (unf),21930
1743555600,3256.0,3204,14745,69998,2025-04-02 01:00:00,Dragon bolts (unf),21930
1743559200,3235.0,3240,15580,117987,2025-04-02 02:00:00,Dragon bolts (unf),21930
1743562800,3392.0,3450,1450,88245,2025-04-02 03:00:00,Dragon bolts (unf),21930
1743566400,3493.0,3356,17933,88574,2025-04-02 04:00:00,Dragon bolts (unf),21930
1743570000,3292.0,3215,13006,59156,2025-04-02 05:00:00,Dragon bolts (unf),21930
1743573600,3181.0,3196,1476,40646,2025-04-02 06:00:00,Dragon bolts (unf),21930
1743577200,3194.0,3203,3453,33229,2025-04-02 07:00:00,Dragon bolts (unf),21930
1743580800,3181.0,3236,19860,34124,2025-04-02 08:00:00,Dragon bolts (unf),21930
1743584400,3234.0,3185,11495,65172,2025-04-02 09:00:00,Dragon bolts (unf),21930
1743588000,3180.0,3195,2629,28803,2025-04-02 10:00:00,Dragon bolts (unf),21930
1743591600,3296.0,3199,25525,43714,2025-04-02 11:00:00,Dragon bolts (unf),21930
1743595200,3250.0,3200,154,70618,2025-04-02 12:00:00,Dragon bolts (unf),21930
1743598800,3200.0,3200,2454,40588,2025-04-02 13:00:00,Dragon bolts (unf),21930
