timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,3146,3107,165824,53579,2025-04-01 00:00:00,Dragon bones,536
1743469200,3138,3102,101876,88633,2025-04-01 01:00:00,Dragon bones,536
1743472800,3145,3101,85166,41171,2025-04-01 02:00:00,Dragon bones,536
1743476400,3150,3107,107424,39334,2025-04-01 03:00:00,Dragon bones,536
1743480000,3147,3099,70679,79872,2025-04-01 04:00:00,Dragon bones,536
1743483600,3138,3089,84561,28097,2025-04-01 05:00:00,Dragon bones,536
1743487200,3142,3100,57215,16746,2025-04-01 06:00:00,Dragon bones,536
1743490800,3143,3101,64837,27404,2025-04-01 07:00:00,Dragon bones,536
1743494400,3131,3090,36564,30713,2025-04-01 08:00:00,Dragon bones,536
1743498000,3124,3090,47313,11701,2025-04-01 09:00:00,Dragon bones,536
1743501600,3142,3099,64006,30554,2025-04-01 10:00:00,Dragon bones,536
1743505200,3141,3103,39315,21816,2025-04-01 11:00:00,Dragon bones,536
1743508800,3125,3088,39781,24006,2025-04-01 12:00:00,Dragon bones,536
1743512400,3119,3085,67027,20264,2025-04-01 13:00:00,Dragon bones,536
1743516000,3122,3080,54671,34301,2025-04-01 14:00:00,Dragon bones,536
1743519600,3121,3085,68945,26767,2025-04-01 15:00:00,Dragon bones,536
1743523200,3115,3083,49149,38312,2025-04-01 16:00:00,Dragon bones,536
1743526800,3116,3079,94246,34047,2025-04-01 17:00:00,Dragon bones,536
1743530400,3123,3080,105596,40507,2025-04-01 18:00:00,Dragon bones,536
1743534000,3123,3090,121320,35906,2025-04-01 19:00:00,Dragon bones,536
1743537600,3123,3086,77274,83592,2025-04-01 20:00:00,Dragon bones,536
1743541200,3128,3105,94699,39165,2025-04-01 21:00:00,Dragon bones,536
1743544800,3129,3095,118544,67337,2025-04-01 22:00:00,Dragon bones,536
1743548400,3127,3099,105589,35365,2025-04-01 23:00:00,Dragon bones,536
1743552000,3111,3073,67999,37384,2025-04-02 00:00:00,Dragon bones,536
1743555600,3098,3061,166762,74321,2025-04-02 01:00:00,Dragon bones,536
1743559200,3119,3075,94005,38150,2025-04-02 02:00:00,Dragon bones,536
1743562800,3121,3082,83051,35253,2025-04-02 03:00:00,Dragon bones,536
1743566400,3131,3114,103409,55603,2025-04-02 04:00:00,Dragon bones,536
1743570000,3120,3078,80089,43901,2025-04-02 05:00:00,Dragon bones,536
1743573600,3116,3077,52643,54110,2025-04-02 06:00:00,Dragon bones,536
1743577200,3103,3069,47404,49357,2025-04-02 07:00:00,Dragon bones,536
1743580800,3102,3065,48369,16620,2025-04-02 08:00:00,Dragon bones,536
1743584400,3100,3065,58327,19504,2025-04-02 09:00:00,Dragon bones,536
1743588000,3101,3065,19373,10136,2025-04-02 10:00:00,Dragon bones,536
1743591600,3096,3079,29572,35052,2025-04-02 11:00:00,Dragon bones,536
1743595200,3104,3059,72624,25731,2025-04-02 12:00:00,Dragon bones,536
1743598800,3090,3058,111095,48252,2025-04-02 13:00:00,Dragon bones,536
1743602400,3097,3068,40268,25769,2025-04-02 14:00:00,Dragon bones,536
1743606000,3096,3061,83279,51315,2025-04-02 15:00:00,Dragon bones,536
1743609600,3098,3071,55569,34142,2025-04-02 16:00:00,Dragon bones,536
1743613200,3103,3073,40842,43654,2025-04-02 17:00:00,Dragon bones,536
1743616800,3108,3084,72669,67129,2025-04-02 18:00:00,Dragon bones,536
1743620400,3109,3088,40777,44308,2025-04-02 19:00:00,Dragon bones,536
1743624000,3106,3081,93685,34143,2025-04-02 20:00:00,Dragon bones,536
1743627600,3118,3091,70029,60116,2025-04-02 21:00:00,Dragon bones,536
1743631200,3121,3102,47392,30791,2025-04-02 22:00:00,Dragon bones,536
1743634800,3121,3108,18921,37428,2025-04-02 23:00:00,Dragon bones,536
1743638400,3145,3105,31624,69621,2025-04-03 00:00:00,Dragon bones,536
1743642000,3149,3107,162321,69453,2025-04-03 01:00:00,Dragon bones,536
1743645600,3149,3106,71129,60212,2025-04-03 02:00:00,Dragon bones,536
1743649200,3143,3106,72209,45984,2025-04-03 03:00:00,Dragon bones,536
1743652800,3138,3105,15743,22992,2025-04-03 04:00:00,Dragon bones,536
1743656400,3158,3114,20049,25703,2025-04-03 05:00:00,Dragon bones,536
1743660000,3133,3120,26620,16624,2025-04-03 06:00:00,Dragon bones,536
1743663600,3106,3099,31760,19067,2025-04-03 07:00:00,Dragon bones,536
1743667200,3143,3106,30577,18553,2025-04-03 08:00:00,Dragon bones,536
1743670800,3158,3121,51811,36492,2025-04-03 09:00:00,Dragon bones,536
1743674400,3144,3112,9511,18497,2025-04-03 10:00:00,Dragon bones,536
1743678000,3103,3094,38740,127539,2025-04-03 11:00:00,Dragon bones,536
1743681600,3116,3100,29586,38343,2025-04-03 12:00:00,Dragon bones,536
1743685200,3137,3100,38119,61119,2025-04-03 13:00:00,Dragon bones,536
1743688800,3130,3099,29524,50497,2025-04-03 14:00:00,Dragon bones,536
1743692400,3139,3106,26270,37101,2025-04-03 15:00:00,Dragon bones,536
1743696000,3135,3103,92721,32587,2025-04-03 16:00:00,Dragon bones,536
1743699600,3113,3103,85349,55338,2025-04-03 17:00:00,Dragon bones,536
1743703200,3125,3106,38229,57169,2025-04-03 18:00:00,Dragon bones,536
1743706800,3098,3069,98037,251075,2025-04-03 19:00:00,Dragon bones,536
1743710400,3124,3103,92512,56120,2025-04-03 20:00:00,Dragon bones,536
1743714000,3123,3103,48387,55768,2025-04-03 21:00:00,Dragon bones,536
1743717600,3125,3085,109351,31827,2025-04-03 22:00:00,Dragon bones,536
1743721200,3110,3091,57693,69811,2025-04-03 23:00:00,Dragon bones,536
1743724800,3102,3107,81536,48780,2025-04-04 00:00:00,Dragon bones,536
1743728400,3136,3132,29819,53261,2025-04-04 01:00:00,Dragon bones,536
1743732000,3152,3116,66955,67659,2025-04-04 02:00:00,Dragon bones,536
1743735600,3149,3101,69477,127261,2025-04-04 03:00:00,Dragon bones,536
1743739200,3128,3122,60008,72917,2025-04-04 04:00:00,Dragon bones,536
1743742800,3152,3130,74272,24297,2025-04-04 05:00:00,Dragon bones,536
1743746400,3129,3104,51000,20753,2025-04-04 06:00:00,Dragon bones,536
1743750000,3110,3088,9816,36853,2025-04-04 07:00:00,Dragon bones,536
1743753600,3112,3097,25261,25397,2025-04-04 08:00:00,Dragon bones,536
1743757200,3114,3073,23505,71870,2025-04-04 09:00:00,Dragon bones,536
1743760800,3107,3079,36457,26838,2025-04-04 10:00:00,Dragon bones,536
1743764400,3114,3099,28788,12387,2025-04-04 11:00:00,Dragon bones,536
1743768000,3128,3112,53043,21655,2025-04-04 12:00:00,Dragon bones,536
1743771600,3124,3108,78594,26301,2025-04-04 13:00:00,Dragon bones,536
1743775200,3111,3086,81048,46249,2025-04-04 14:00:00,Dragon bones,536
1743778800,3106,3067,87022,143399,2025-04-04 15:00:00,Dragon bones,536
1743782400,3110,3091,25555,33769,2025-04-04 16:00:00,Dragon bones,536
1743786000,3112,3100,93287,61444,2025-04-04 17:00:00,Dragon bones,536
1743789600,3117,3071,52506,130951,2025-04-04 18:00:00,Dragon bones,536
1743793200,3123,3093,109787,43241,2025-04-04 19:00:00,Dragon bones,536
1743796800,3112,3085,92375,43593,2025-04-04 20:00:00,Dragon bones,536
1743800400,3117,3088,72463,48690,2025-04-04 21:00:00,Dragon bones,536
1743804000,3121,3097,94349,61110,2025-04-04 22:00:00,Dragon bones,536
1743807600,3111,3078,79747,113783,2025-04-04 23:00:00,Dragon bones,536
1743811200,3113,3093,52542,32616,2025-04-05 00:00:00,Dragon bones,536
1743814800,3136,3113,72332,62902,2025-04-05 01:00:00,Dragon bones,536
1743818400,3164,3118,83070,45947,2025-04-05 02:00:00,Dragon bones,536
1743822000,3164,3121,51304,89977,2025-04-05 03:00:00,Dragon bones,536
1743825600,3130,3114,40613,81111,2025-04-05 04:00:00,Dragon bones,536
1743829200,3131,3102,13561,41644,2025-04-05 05:00:00,Dragon bones,536
1743832800,3110,3106,11765,23762,2025-04-05 06:00:00,Dragon bones,536
1743836400,3126,3096,23928,33200,2025-04-05 07:00:00,Dragon bones,536
1743840000,3159,3107,50724,34640,2025-04-05 08:00:00,Dragon bones,536
1743843600,3137,3099,34487,37222,2025-04-05 09:00:00,Dragon bones,536
1743847200,3142,3102,47358,21644,2025-04-05 10:00:00,Dragon bones,536
1743850800,3139,3097,52051,43749,2025-04-05 11:00:00,Dragon bones,536
1743854400,3111,3076,48064,54609,2025-04-05 12:00:00,Dragon bones,536
1743858000,3116,3088,104953,45745,2025-04-05 13:00:00,Dragon bones,536
1743861600,3116,3078,54315,69975,2025-04-05 14:00:00,Dragon bones,536
1743865200,3114,3100,51842,65786,2025-04-05 15:00:00,Dragon bones,536
1743868800,3109,3080,65033,69445,2025-04-05 16:00:00,Dragon bones,536
1743872400,3138,3087,55436,74418,2025-04-05 17:00:00,Dragon bones,536
1743876000,3125,3089,66015,46069,2025-04-05 18:00:00,Dragon bones,536
1743879600,3122,3100,56359,40589,2025-04-05 19:00:00,Dragon bones,536
1743883200,3129,3089,65818,81131,2025-04-05 20:00:00,Dragon bones,536
1743886800,3151,3109,17259,86083,2025-04-05 21:00:00,Dragon bones,536
1743890400,3145,3112,47651,59817,2025-04-05 22:00:00,Dragon bones,536
1743894000,3117,3109,53640,69794,2025-04-05 23:00:00,Dragon bones,536
1743897600,3165,3102,68795,63287,2025-04-06 00:00:00,Dragon bones,536
1743901200,3159,3122,82359,54830,2025-04-06 01:00:00,Dragon bones,536
1743904800,3120,3079,103964,166695,2025-04-06 02:00:00,Dragon bones,536
1743908400,3107,3065,103270,82129,2025-04-06 03:00:00,Dragon bones,536
1743912000,3119,3087,52362,27661,2025-04-06 04:00:00,Dragon bones,536
1743915600,3132,3082,53999,48831,2025-04-06 05:00:00,Dragon bones,536
