timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,69517312,68916228,37,37,2025-04-01 00:00:00,Dragon claws,13652
1743469200,69312836,68819270,23,35,2025-04-01 01:00:00,Dragon claws,13652
1743472800,69500949,68860314,48,28,2025-04-01 02:00:00,Dragon claws,13652
1743476400,69467503,68886523,36,27,2025-04-01 03:00:00,Dragon claws,13652
1743480000,69572580,68916578,41,20,2025-04-01 04:00:00,Dragon claws,13652
1743483600,69534204,68966931,30,23,2025-04-01 05:00:00,Dragon claws,13652
1743487200,69320444,68975304,12,19,2025-04-01 06:00:00,Dragon claws,13652
1743490800,69528857,69158062,9,18,2025-04-01 07:00:00,Dragon claws,13652
1743494400,69589803,68990800,15,17,2025-04-01 08:00:00,Dragon claws,13652
1743498000,69617163,68878829,15,7,2025-04-01 09:00:00,Dragon claws,13652
1743501600,69572616,68831650,11,13,2025-04-01 10:00:00,Dragon claws,13652
1743505200,69448519,68944767,6,12,2025-04-01 11:00:00,Dragon claws,13652
1743508800,69200205,68811104,5,9,2025-04-01 12:00:00,Dragon claws,13652
1743512400,69557898,69034754,27,28,2025-04-01 13:00:00,Dragon claws,13652
1743516000,69470216,69029455,33,29,2025-04-01 14:00:00,Dragon claws,13652
1743519600,69643062,69223169,35,18,2025-04-01 15:00:00,Dragon claws,13652
1743523200,69623732,69031017,20,18,2025-04-01 16:00:00,Dragon claws,13652
1743526800,69497132,68977473,23,33,2025-04-01 17:00:00,Dragon claws,13652
1743530400,69586885,69165270,15,27,2025-04-01 18:00:00,Dragon claws,13652
1743534000,69407916,69025066,55,26,2025-04-01 19:00:00,Dragon claws,13652
1743537600,69453997,69037710,36,26,2025-04-01 20:00:00,Dragon claws,13652
1743541200,69518966,68972211,23,49,2025-04-01 21:00:00,Dragon claws,13652
1743544800,69572025,69003917,38,39,2025-04-01 22:00:00,Dragon claws,13652
1743548400,69429190,68838516,29,28,2025-04-01 23:00:00,Dragon claws,13652
1743552000,69452784,68948228,46,32,2025-04-02 00:00:00,Dragon claws,13652
1743555600,69413510,68832326,51,55,2025-04-02 01:00:00,Dragon claws,13652
1743559200,69287325,68927678,31,40,2025-04-02 02:00:00,Dragon claws,13652
1743562800,69350626,68965801,18,24,2025-04-02 03:00:00,Dragon claws,13652
1743566400,69358522,68968805,28,26,2025-04-02 04:00:00,Dragon claws,13652
1743570000,69293646,68683814,17,32,2025-04-02 05:00:00,Dragon claws,13652
1743573600,69323407,68823826,22,22,2025-04-02 06:00:00,Dragon claws,13652
1743577200,69401847,68795925,24,21,2025-04-02 07:00:00,Dragon claws,13652
1743580800,69358859,68742838,23,18,2025-04-02 08:00:00,Dragon claws,13652
1743584400,69129595,68776359,10,10,2025-04-02 09:00:00,Dragon claws,13652
1743588000,69298122,68498842,2,9,2025-04-02 10:00:00,Dragon claws,13652
1743591600,69200348,68519014,9,17,2025-04-02 11:00:00,Dragon claws,13652
1743595200,69227349,68495278,20,24,2025-04-02 12:00:00,Dragon claws,13652
1743598800,69177970,68460302,20,15,2025-04-02 13:00:00,Dragon claws,13652
1743602400,69167760,68702099,25,27,2025-04-02 14:00:00,Dragon claws,13652
1743606000,69164999,68500707,18,24,2025-04-02 15:00:00,Dragon claws,13652
1743609600,69128467,68997452,18,30,2025-04-02 16:00:00,Dragon claws,13652
1743613200,69223834,68808820,22,29,2025-04-02 17:00:00,Dragon claws,13652
1743616800,69218043,68740411,26,34,2025-04-02 18:00:00,Dragon claws,13652
1743620400,69166098,68770478,21,26,2025-04-02 19:00:00,Dragon claws,13652
1743624000,69023024,68544154,31,38,2025-04-02 20:00:00,Dragon claws,13652
1743627600,68953647,68381977,31,43,2025-04-02 21:00:00,Dragon claws,13652
1743631200,68974148,68395574,17,34,2025-04-02 22:00:00,Dragon claws,13652
1743634800,69084797,68585925,31,36,2025-04-02 23:00:00,Dragon claws,13652
1743638400,69059485,68563973,29,24,2025-04-03 00:00:00,Dragon claws,13652
1743642000,69128840,68808511,34,31,2025-04-03 01:00:00,Dragon claws,13652
1743645600,69059332,68555265,40,41,2025-04-03 02:00:00,Dragon claws,13652
1743649200,69003077,68295577,28,38,2025-04-03 03:00:00,Dragon claws,13652
1743652800,68954468,68254556,29,23,2025-04-03 04:00:00,Dragon claws,13652
1743656400,68835441,68330283,17,16,2025-04-03 05:00:00,Dragon claws,13652
1743660000,68944486,68169142,11,24,2025-04-03 06:00:00,Dragon claws,13652
1743663600,68876377,68235483,22,20,2025-04-03 07:00:00,Dragon claws,13652
1743667200,68891921,68315449,10,12,2025-04-03 08:00:00,Dragon claws,13652
1743670800,68919705,68154500,14,11,2025-04-03 09:00:00,Dragon claws,13652
1743674400,68778583,68282177,16,12,2025-04-03 10:00:00,Dragon claws,13652
1743678000,68884806,68134150,11,18,2025-04-03 11:00:00,Dragon claws,13652
1743681600,68700959,68089282,14,17,2025-04-03 12:00:00,Dragon claws,13652
1743685200,68668382,68048577,23,26,2025-04-03 13:00:00,Dragon claws,13652
1743688800,68680151,68048103,40,19,2025-04-03 14:00:00,Dragon claws,13652
1743692400,68676135,68066941,19,28,2025-04-03 15:00:00,Dragon claws,13652
1743696000,68694956,68120874,25,25,2025-04-03 16:00:00,Dragon claws,13652
1743699600,68813186,68181092,39,32,2025-04-03 17:00:00,Dragon claws,13652
1743703200,68851291,68323105,44,35,2025-04-03 18:00:00,Dragon claws,13652
1743706800,68581199,68037198,26,31,2025-04-03 19:00:00,Dragon claws,13652
1743710400,68384489,67775818,29,37,2025-04-03 20:00:00,Dragon claws,13652
1743714000,67989876,67439950,52,28,2025-04-03 21:00:00,Dragon claws,13652
1743717600,68071481,67264834,50,23,2025-04-03 22:00:00,Dragon claws,13652
1743721200,68276368,67598322,27,37,2025-04-03 23:00:00,Dragon claws,13652
1743724800,68276115,67573055,42,25,2025-04-04 00:00:00,Dragon claws,13652
1743728400,68314194,67628052,45,45,2025-04-04 01:00:00,Dragon claws,13652
1743732000,68271844,67566992,39,46,2025-04-04 02:00:00,Dragon claws,13652
1743735600,68186723,67496829,37,52,2025-04-04 03:00:00,Dragon claws,13652
1743739200,68123250,67506182,25,27,2025-04-04 04:00:00,Dragon claws,13652
1743742800,67812575,67175221,20,26,2025-04-04 05:00:00,Dragon claws,13652
1743746400,67753394,67087686,25,25,2025-04-04 06:00:00,Dragon claws,13652
1743750000,67714353,66982383,13,14,2025-04-04 07:00:00,Dragon claws,13652
1743753600,67649443,66885544,24,28,2025-04-04 08:00:00,Dragon claws,13652
1743757200,67632300,66969577,24,12,2025-04-04 09:00:00,Dragon claws,13652
1743760800,67688351,67071180,17,15,2025-04-04 10:00:00,Dragon claws,13652
1743764400,67794348,67124000,17,13,2025-04-04 11:00:00,Dragon claws,13652
1743768000,67738066,67303588,10,19,2025-04-04 12:00:00,Dragon claws,13652
1743771600,67872682,67510129,11,28,2025-04-04 13:00:00,Dragon claws,13652
1743775200,67687012,67039437,26,23,2025-04-04 14:00:00,Dragon claws,13652
1743778800,67764410,67320707,25,30,2025-04-04 15:00:00,Dragon claws,13652
1743782400,67853746,67133779,26,16,2025-04-04 16:00:00,Dragon claws,13652
1743786000,67937552,67404569,27,20,2025-04-04 17:00:00,Dragon claws,13652
1743789600,67940283,67239868,34,29,2025-04-04 18:00:00,Dragon claws,13652
1743793200,67847695,67327963,51,25,2025-04-04 19:00:00,Dragon claws,13652
1743796800,68114313,67435210,31,40,2025-04-04 20:00:00,Dragon claws,13652
1743800400,68201507,67632984,41,32,2025-04-04 21:00:00,Dragon claws,13652
1743804000,68149976,67622188,36,32,2025-04-04 22:00:00,Dragon claws,13652
1743807600,68113137,67633250,19,35,2025-04-04 23:00:00,Dragon claws,13652
1743811200,68023487,67548627,23,47,2025-04-05 00:00:00,Dragon claws,13652
1743814800,67932928,67323432,25,44,2025-04-05 01:00:00,Dragon claws,13652
1743818400,67999438,67434196,21,27,2025-04-05 02:00:00,Dragon claws,13652
1743822000,67949125,67374719,41,44,2025-04-05 03:00:00,Dragon claws,13652
1743825600,67885293,67395475,24,33,2025-04-05 04:00:00,Dragon claws,13652
1743829200,67949458,67334247,13,20,2025-04-05 05:00:00,Dragon claws,13652
1743832800,68054802,67638549,17,25,2025-04-05 06:00:00,Dragon claws,13652
1743836400,67967704,67470942,18,19,2025-04-05 07:00:00,Dragon claws,13652
1743840000,67954736,67511074,13,14,2025-04-05 08:00:00,Dragon claws,13652
1743843600,67981090,67393495,16,29,2025-04-05 09:00:00,Dragon claws,13652
1743847200,67867170,67298143,17,13,2025-04-05 10:00:00,Dragon claws,13652
1743850800,68129590,67639825,27,18,2025-04-05 11:00:00,Dragon claws,13652
1743854400,68017578,67843472,20,18,2025-04-05 12:00:00,Dragon claws,13652
1743858000,68088642,67498555,26,28,2025-04-05 13:00:00,Dragon claws,13652
1743861600,68326456,67561000,18,29,2025-04-05 14:00:00,Dragon claws,13652
1743865200,68132549,67744891,19,35,2025-04-05 15:00:00,Dragon claws,13652
1743868800,68084489,67777721,24,33,2025-04-05 16:00:00,Dragon claws,13652
1743872400,68246849,67671097,34,34,2025-04-05 17:00:00,Dragon claws,13652
1743876000,67998951,67712591,33,37,2025-04-05 18:00:00,Dragon claws,13652
1743879600,68251431,67660335,53,35,2025-04-05 19:00:00,Dragon claws,13652
1743883200,68364618,67654340,50,54,2025-04-05 20:00:00,Dragon claws,13652
1743886800,68384721,67851217,36,26,2025-04-05 21:00:00,Dragon claws,13652
1743890400,68512799,67875326,38,52,2025-04-05 22:00:00,Dragon claws,13652
1743894000,68582957,67897308,36,52,2025-04-05 23:00:00,Dragon claws,13652
1743897600,68427760,67819747,45,52,2025-04-06 00:00:00,Dragon claws,13652
1743901200,68266528,67780516,28,44,2025-04-06 01:00:00,Dragon claws,13652
1743904800,68044431,67669217,35,38,2025-04-06 02:00:00,Dragon claws,13652
1743908400,68265652,67715502,61,30,2025-04-06 03:00:00,Dragon claws,13652
1743912000,68205548,67891530,22,32,2025-04-06 04:00:00,Dragon claws,13652
1743915600,68630455,68023549,34,34,2025-04-06 05:00:00,Dragon claws,13652
1743919200,68213349,67641818,16,30,2025-04-06 06:00:00,Dragon claws,13652
1743922800,68225693,67663327,27,19,2025-04-06 07:00:00,Dragon claws,13652
1743926400,68479394,67771180,25,30,2025-04-06 08:00:00,Dragon claws,13652
1743930000,68334617,67886995,9,17,2025-04-06 09:00:00,Dragon claws,13652
1743933600,68272834,67749806,20,23,2025-04-06 10:00:00,Dragon claws,13652
1743937200,68065114,67708657,20,18,2025-04-06 11:00:00,Dragon claws,13652
1743940800,67932648,67601642,25,18,2025-04-06 12:00:00,Dragon claws,13652
1743944400,67988397,67582372,23,30,2025-04-06 13:00:00,Dragon claws,13652
