timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1198021.0,1182510,107,110,2025-04-01 00:00:00,Dragon crossbow,21902
1743469200,1205776.0,1189597,83,89,2025-04-01 01:00:00,Dragon crossbow,21902
1743472800,1210844.0,1192755,109,64,2025-04-01 02:00:00,Dragon crossbow,21902
1743476400,1238990.0,1221924,90,83,2025-04-01 03:00:00,Dragon crossbow,21902
1743480000,1242840.0,1227667,94,86,2025-04-01 04:00:00,Dragon crossbow,21902
1743483600,1242817.0,1221521,44,80,2025-04-01 05:00:00,Dragon crossbow,21902
1743487200,1235134.0,1218675,38,60,2025-04-01 06:00:00,Dragon crossbow,21902
1743490800,1235500.0,1222936,52,44,2025-04-01 07:00:00,Dragon crossbow,21902
1743494400,1232040.0,1214670,35,32,2025-04-01 08:00:00,Dragon crossbow,21902
1743498000,1225739.0,1208700,41,31,2025-04-01 09:00:00,Dragon crossbow,21902
1743501600,1243330.0,1227856,28,34,2025-04-01 10:00:00,Dragon crossbow,21902
1743505200,1243162.0,1227553,34,61,2025-04-01 11:00:00,Dragon crossbow,21902
1743508800,1240897.0,1224415,47,54,2025-04-01 12:00:00,Dragon crossbow,21902
1743512400,1239052.0,1224451,46,40,2025-04-01 13:00:00,Dragon crossbow,21902
1743516000,1234872.0,1219130,48,48,2025-04-01 14:00:00,Dragon crossbow,21902
1743519600,1234061.0,1217674,68,101,2025-04-01 15:00:00,Dragon crossbow,21902
1743523200,1221198.0,1209275,54,89,2025-04-01 16:00:00,Dragon crossbow,21902
1743526800,1206535.0,1191045,84,96,2025-04-01 17:00:00,Dragon crossbow,21902
1743530400,1207059.0,1188917,88,114,2025-04-01 18:00:00,Dragon crossbow,21902
1743534000,1205159.0,1189352,90,168,2025-04-01 19:00:00,Dragon crossbow,21902
1743537600,1211616.0,1196087,110,126,2025-04-01 20:00:00,Dragon crossbow,21902
1743541200,1215284.0,1200739,79,102,2025-04-01 21:00:00,Dragon crossbow,21902
1743544800,1211783.0,1196258,89,56,2025-04-01 22:00:00,Dragon crossbow,21902
1743548400,1207052.0,1193641,41,75,2025-04-01 23:00:00,Dragon crossbow,21902
1743552000,1198826.0,1180068,95,160,2025-04-02 00:00:00,Dragon crossbow,21902
1743555600,1201048.0,1185300,76,91,2025-04-02 01:00:00,Dragon crossbow,21902
1743559200,1208729.0,1192080,59,135,2025-04-02 02:00:00,Dragon crossbow,21902
1743562800,1214627.0,1200560,46,107,2025-04-02 03:00:00,Dragon crossbow,21902
1743566400,1220273.0,1200726,114,61,2025-04-02 04:00:00,Dragon crossbow,21902
