timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,63350231,62744231,73,40,2025-04-01 00:00:00,Dragon hunter lance,22978
1743469200,63631677,63344170,41,50,2025-04-01 01:00:00,Dragon hunter lance,22978
1743472800,63419086,62883640,44,36,2025-04-01 02:00:00,Dragon hunter lance,22978
1743476400,63357003,62891701,49,38,2025-04-01 03:00:00,Dragon hunter lance,22978
1743480000,63269282,62849887,40,34,2025-04-01 04:00:00,Dragon hunter lance,22978
1743483600,63324324,62744796,38,18,2025-04-01 05:00:00,Dragon hunter lance,22978
1743487200,63480781,62901997,23,23,2025-04-01 06:00:00,Dragon hunter lance,22978
1743490800,63375523,62697658,21,14,2025-04-01 07:00:00,Dragon hunter lance,22978
1743494400,63447412,62754547,11,24,2025-04-01 08:00:00,Dragon hunter lance,22978
1743498000,63330244,62641869,13,12,2025-04-01 09:00:00,Dragon hunter lance,22978
1743501600,63358098,62811992,21,17,2025-04-01 10:00:00,Dragon hunter lance,22978
1743505200,63158319,62728323,6,19,2025-04-01 11:00:00,Dragon hunter lance,22978
1743508800,63067550,62829611,13,21,2025-04-01 12:00:00,Dragon hunter lance,22978
1743512400,63378394,62888679,11,29,2025-04-01 13:00:00,Dragon hunter lance,22978
1743516000,63160322,62714807,33,31,2025-04-01 14:00:00,Dragon hunter lance,22978
1743519600,63075801,62724378,16,33,2025-04-01 15:00:00,Dragon hunter lance,22978
1743523200,63272119,62839625,42,18,2025-04-01 16:00:00,Dragon hunter lance,22978
1743526800,63124091,62799252,15,39,2025-04-01 17:00:00,Dragon hunter lance,22978
1743530400,63258005,62776299,44,48,2025-04-01 18:00:00,Dragon hunter lance,22978
1743534000,63078816,62659721,30,52,2025-04-01 19:00:00,Dragon hunter lance,22978
1743537600,63025770,62592273,46,47,2025-04-01 20:00:00,Dragon hunter lance,22978
1743541200,63055509,62652255,46,37,2025-04-01 21:00:00,Dragon hunter lance,22978
1743544800,63092651,62779271,42,44,2025-04-01 22:00:00,Dragon hunter lance,22978
1743548400,63240661,62760961,56,36,2025-04-01 23:00:00,Dragon hunter lance,22978
1743552000,63393772,62827305,50,43,2025-04-02 00:00:00,Dragon hunter lance,22978
1743555600,63281662,62670151,45,46,2025-04-02 01:00:00,Dragon hunter lance,22978
1743559200,63147059,62694158,52,68,2025-04-02 02:00:00,Dragon hunter lance,22978
1743562800,63006830,62550610,54,51,2025-04-02 03:00:00,Dragon hunter lance,22978
1743566400,63106307,62578251,42,28,2025-04-02 04:00:00,Dragon hunter lance,22978
1743570000,62980689,62530229,24,26,2025-04-02 05:00:00,Dragon hunter lance,22978
1743573600,62949872,62498231,25,15,2025-04-02 06:00:00,Dragon hunter lance,22978
1743577200,62966645,62357951,20,14,2025-04-02 07:00:00,Dragon hunter lance,22978
1743580800,62891645,62329298,22,23,2025-04-02 08:00:00,Dragon hunter lance,22978
1743584400,62950001,62472565,10,13,2025-04-02 09:00:00,Dragon hunter lance,22978
