timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,482341.0,480145,76,68,2025-04-01 00:00:00,Dragon impling jar,11256
1743469200,481701.0,475684,2,84,2025-04-01 01:00:00,Dragon impling jar,11256
1743472800,478000.0,476358,2,216,2025-04-01 02:00:00,Dragon impling jar,11256
1743476400,481196.0,473531,62,96,2025-04-01 03:00:00,Dragon impling jar,11256
1743480000,477883.0,473872,14,642,2025-04-01 04:00:00,Dragon impling jar,11256
1743483600,481531.0,473356,60,130,2025-04-01 05:00:00,Dragon impling jar,11256
1743487200,481349.0,473366,161,191,2025-04-01 06:00:00,Dragon impling jar,11256
1743490800,482902.0,474293,71,23,2025-04-01 07:00:00,Dragon impling jar,11256
1743494400,482701.0,473936,22,64,2025-04-01 08:00:00,Dragon impling jar,11256
1743498000,481062.0,473615,10,43,2025-04-01 09:00:00,Dragon impling jar,11256
1743501600,,473374,0,8,2025-04-01 10:00:00,Dragon impling jar,11256
1743505200,480006.0,473426,26,18,2025-04-01 11:00:00,Dragon impling jar,11256
1743508800,,474000,0,55,2025-04-01 12:00:00,Dragon impling jar,11256
1743512400,475000.0,474000,1,59,2025-04-01 13:00:00,Dragon impling jar,11256
1743516000,475409.0,474000,36,98,2025-04-01 14:00:00,Dragon impling jar,11256
1743519600,476219.0,474274,149,32,2025-04-01 15:00:00,Dragon impling jar,11256
1743523200,,474303,0,74,2025-04-01 16:00:00,Dragon impling jar,11256
1743526800,475000.0,474303,3,61,2025-04-01 17:00:00,Dragon impling jar,11256
1743530400,475989.0,474303,183,59,2025-04-01 18:00:00,Dragon impling jar,11256
1743534000,475978.0,474303,93,119,2025-04-01 19:00:00,Dragon impling jar,11256
1743537600,477267.0,477210,29,103,2025-04-01 20:00:00,Dragon impling jar,11256
1743541200,480251.0,480042,61,138,2025-04-01 21:00:00,Dragon impling jar,11256
1743544800,480376.0,480008,24,36,2025-04-01 22:00:00,Dragon impling jar,11256
1743548400,481020.0,480076,41,53,2025-04-01 23:00:00,Dragon impling jar,11256
1743552000,480197.0,480048,42,42,2025-04-02 00:00:00,Dragon impling jar,11256
1743555600,480912.0,477350,124,466,2025-04-02 01:00:00,Dragon impling jar,11256
1743559200,480052.0,473611,26,539,2025-04-02 02:00:00,Dragon impling jar,11256
1743562800,475674.0,473224,40,279,2025-04-02 03:00:00,Dragon impling jar,11256
1743566400,473991.0,473222,3,117,2025-04-02 04:00:00,Dragon impling jar,11256
1743570000,479742.0,473658,23,93,2025-04-02 05:00:00,Dragon impling jar,11256
1743573600,479914.0,473236,64,30,2025-04-02 06:00:00,Dragon impling jar,11256
1743577200,479392.0,473282,3,72,2025-04-02 07:00:00,Dragon impling jar,11256
1743580800,480289.0,473233,20,1110,2025-04-02 08:00:00,Dragon impling jar,11256
1743584400,480000.0,473252,4,51,2025-04-02 09:00:00,Dragon impling jar,11256
1743588000,,473222,0,24,2025-04-02 10:00:00,Dragon impling jar,11256
1743591600,476990.0,473222,48,37,2025-04-02 11:00:00,Dragon impling jar,11256
1743595200,,473222,0,111,2025-04-02 12:00:00,Dragon impling jar,11256
1743598800,479984.0,473447,103,66,2025-04-02 13:00:00,Dragon impling jar,11256
1743602400,482137.0,474259,178,213,2025-04-02 14:00:00,Dragon impling jar,11256
1743606000,476440.0,473628,33,125,2025-04-02 15:00:00,Dragon impling jar,11256
1743609600,,473222,0,127,2025-04-02 16:00:00,Dragon impling jar,11256
1743613200,476150.0,473491,26,166,2025-04-02 17:00:00,Dragon impling jar,11256
1743616800,476947.0,473222,3,110,2025-04-02 18:00:00,Dragon impling jar,11256
1743620400,,473222,0,125,2025-04-02 19:00:00,Dragon impling jar,11256
1743624000,477959.0,474187,61,193,2025-04-02 20:00:00,Dragon impling jar,11256
1743627600,479389.0,478838,5,100,2025-04-02 21:00:00,Dragon impling jar,11256
1743631200,479125.0,479000,8,202,2025-04-02 22:00:00,Dragon impling jar,11256
1743634800,479900.0,479000,10,280,2025-04-02 23:00:00,Dragon impling jar,11256
1743638400,485325.0,477704,908,57,2025-04-03 00:00:00,Dragon impling jar,11256
1743642000,487715.0,477464,90,644,2025-04-03 01:00:00,Dragon impling jar,11256
1743645600,479000.0,478063,2,624,2025-04-03 02:00:00,Dragon impling jar,11256
1743649200,487783.0,478273,130,141,2025-04-03 03:00:00,Dragon impling jar,11256
1743652800,480000.0,477726,5,109,2025-04-03 04:00:00,Dragon impling jar,11256
1743656400,480276.0,477726,20,66,2025-04-03 05:00:00,Dragon impling jar,11256
1743660000,487091.0,477841,22,67,2025-04-03 06:00:00,Dragon impling jar,11256
1743663600,484473.0,477747,68,35,2025-04-03 07:00:00,Dragon impling jar,11256
1743667200,487609.0,478136,71,34,2025-04-03 08:00:00,Dragon impling jar,11256
1743670800,487511.0,478029,52,75,2025-04-03 09:00:00,Dragon impling jar,11256
1743674400,483000.0,477726,2,253,2025-04-03 10:00:00,Dragon impling jar,11256
1743678000,481200.0,477726,12,73,2025-04-03 11:00:00,Dragon impling jar,11256
1743681600,481800.0,477726,3,139,2025-04-03 12:00:00,Dragon impling jar,11256
1743685200,477863.0,477545,12,112,2025-04-03 13:00:00,Dragon impling jar,11256
1743688800,486564.0,477022,174,197,2025-04-03 14:00:00,Dragon impling jar,11256
1743692400,,476959,0,316,2025-04-03 15:00:00,Dragon impling jar,11256
