timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,754213,744238,41,61,2025-04-01 00:00:00,Dragon pickaxe,11920
1743469200,741758,739045,85,148,2025-04-01 01:00:00,Dragon pickaxe,11920
1743472800,739991,733968,25,44,2025-04-01 02:00:00,Dragon pickaxe,11920
1743476400,742615,734711,37,25,2025-04-01 03:00:00,Dragon pickaxe,11920
1743480000,752256,738346,26,34,2025-04-01 04:00:00,Dragon pickaxe,11920
1743483600,747308,739713,24,25,2025-04-01 05:00:00,Dragon pickaxe,11920
1743487200,757493,747516,28,18,2025-04-01 06:00:00,Dragon pickaxe,11920
1743490800,762336,752608,16,16,2025-04-01 07:00:00,Dragon pickaxe,11920
1743494400,752152,746022,31,22,2025-04-01 08:00:00,Dragon pickaxe,11920
1743498000,761839,745465,20,23,2025-04-01 09:00:00,Dragon pickaxe,11920
1743501600,754037,742733,32,22,2025-04-01 10:00:00,Dragon pickaxe,11920
1743505200,750439,741605,15,33,2025-04-01 11:00:00,Dragon pickaxe,11920
1743508800,750232,740826,25,26,2025-04-01 12:00:00,Dragon pickaxe,11920
1743512400,742538,739154,27,33,2025-04-01 13:00:00,Dragon pickaxe,11920
1743516000,744704,739493,22,38,2025-04-01 14:00:00,Dragon pickaxe,11920
1743519600,745960,737627,31,30,2025-04-01 15:00:00,Dragon pickaxe,11920
1743523200,745684,735915,40,47,2025-04-01 16:00:00,Dragon pickaxe,11920
1743526800,746521,735552,51,36,2025-04-01 17:00:00,Dragon pickaxe,11920
1743530400,745296,736223,55,42,2025-04-01 18:00:00,Dragon pickaxe,11920
1743534000,745251,736473,44,99,2025-04-01 19:00:00,Dragon pickaxe,11920
1743537600,743151,733818,36,61,2025-04-01 20:00:00,Dragon pickaxe,11920
1743541200,741067,733319,27,46,2025-04-01 21:00:00,Dragon pickaxe,11920
1743544800,745753,733707,24,36,2025-04-01 22:00:00,Dragon pickaxe,11920
1743548400,739292,730392,39,31,2025-04-01 23:00:00,Dragon pickaxe,11920
1743552000,741057,729350,50,25,2025-04-02 00:00:00,Dragon pickaxe,11920
1743555600,747401,736691,69,22,2025-04-02 01:00:00,Dragon pickaxe,11920
1743559200,745822,736736,44,49,2025-04-02 02:00:00,Dragon pickaxe,11920
1743562800,742777,732261,38,36,2025-04-02 03:00:00,Dragon pickaxe,11920
1743566400,740344,729716,37,37,2025-04-02 04:00:00,Dragon pickaxe,11920
1743570000,741509,727668,27,15,2025-04-02 05:00:00,Dragon pickaxe,11920
1743573600,735769,725362,20,36,2025-04-02 06:00:00,Dragon pickaxe,11920
1743577200,724467,717683,26,36,2025-04-02 07:00:00,Dragon pickaxe,11920
1743580800,724179,716503,26,15,2025-04-02 08:00:00,Dragon pickaxe,11920
1743584400,722089,709101,26,9,2025-04-02 09:00:00,Dragon pickaxe,11920
1743588000,708533,693972,5,12,2025-04-02 10:00:00,Dragon pickaxe,11920
1743591600,719679,697462,17,30,2025-04-02 11:00:00,Dragon pickaxe,11920
1743595200,724207,717764,30,14,2025-04-02 12:00:00,Dragon pickaxe,11920
1743598800,733403,716368,28,38,2025-04-02 13:00:00,Dragon pickaxe,11920
1743602400,734322,717556,44,47,2025-04-02 14:00:00,Dragon pickaxe,11920
1743606000,726015,714327,27,50,2025-04-02 15:00:00,Dragon pickaxe,11920
1743609600,727346,720059,40,40,2025-04-02 16:00:00,Dragon pickaxe,11920
1743613200,732305,723389,31,45,2025-04-02 17:00:00,Dragon pickaxe,11920
1743616800,739029,722586,55,43,2025-04-02 18:00:00,Dragon pickaxe,11920
1743620400,735459,726707,50,41,2025-04-02 19:00:00,Dragon pickaxe,11920
1743624000,732699,721594,70,51,2025-04-02 20:00:00,Dragon pickaxe,11920
1743627600,741467,728306,40,60,2025-04-02 21:00:00,Dragon pickaxe,11920
1743631200,741303,731269,38,29,2025-04-02 22:00:00,Dragon pickaxe,11920
1743634800,739877,727662,65,40,2025-04-02 23:00:00,Dragon pickaxe,11920
1743638400,739725,725368,39,45,2025-04-03 00:00:00,Dragon pickaxe,11920
1743642000,740218,726047,68,35,2025-04-03 01:00:00,Dragon pickaxe,11920
1743645600,741579,731133,42,39,2025-04-03 02:00:00,Dragon pickaxe,11920
1743649200,740564,731523,37,37,2025-04-03 03:00:00,Dragon pickaxe,11920
1743652800,739652,729888,32,28,2025-04-03 04:00:00,Dragon pickaxe,11920
1743656400,734586,724124,21,41,2025-04-03 05:00:00,Dragon pickaxe,11920
1743660000,739805,730308,30,25,2025-04-03 06:00:00,Dragon pickaxe,11920
1743663600,735515,725054,26,14,2025-04-03 07:00:00,Dragon pickaxe,11920
1743667200,736174,726656,17,15,2025-04-03 08:00:00,Dragon pickaxe,11920
1743670800,738659,731835,15,59,2025-04-03 09:00:00,Dragon pickaxe,11920
1743674400,738311,727798,17,21,2025-04-03 10:00:00,Dragon pickaxe,11920
1743678000,733049,722211,22,22,2025-04-03 11:00:00,Dragon pickaxe,11920
1743681600,735657,724197,20,18,2025-04-03 12:00:00,Dragon pickaxe,11920
1743685200,733313,722556,37,37,2025-04-03 13:00:00,Dragon pickaxe,11920
1743688800,742989,734514,25,19,2025-04-03 14:00:00,Dragon pickaxe,11920
1743692400,752706,741685,26,40,2025-04-03 15:00:00,Dragon pickaxe,11920
