timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,161213.0,161128,105,350,2025-04-01 00:00:00,Dragon plateskirt,4585
1743469200,161186.0,161069,67,436,2025-04-01 01:00:00,Dragon plateskirt,4585
1743472800,161197.0,161098,136,511,2025-04-01 02:00:00,Dragon plateskirt,4585
1743476400,161182.0,161011,46,453,2025-04-01 03:00:00,Dragon plateskirt,4585
1743480000,161220.0,161030,38,523,2025-04-01 04:00:00,Dragon plateskirt,4585
1743483600,161214.0,161126,53,409,2025-04-01 05:00:00,Dragon plateskirt,4585
1743487200,161790.0,161190,40,301,2025-04-01 06:00:00,Dragon plateskirt,4585
1743490800,161886.0,161205,19,286,2025-04-01 07:00:00,Dragon plateskirt,4585
1743494400,161297.0,161119,28,201,2025-04-01 08:00:00,Dragon plateskirt,4585
1743498000,161357.0,161116,34,289,2025-04-01 09:00:00,Dragon plateskirt,4585
1743501600,161212.0,161168,117,178,2025-04-01 10:00:00,Dragon plateskirt,4585
1743505200,161419.0,161174,10,294,2025-04-01 11:00:00,Dragon plateskirt,4585
1743508800,161614.0,161220,11,314,2025-04-01 12:00:00,Dragon plateskirt,4585
1743512400,161247.0,161180,61,307,2025-04-01 13:00:00,Dragon plateskirt,4585
1743516000,161220.0,161163,71,528,2025-04-01 14:00:00,Dragon plateskirt,4585
1743519600,161322.0,161179,80,666,2025-04-01 15:00:00,Dragon plateskirt,4585
1743523200,161205.0,161104,61,406,2025-04-01 16:00:00,Dragon plateskirt,4585
1743526800,161139.0,161081,95,527,2025-04-01 17:00:00,Dragon plateskirt,4585
1743530400,161202.0,161110,115,437,2025-04-01 18:00:00,Dragon plateskirt,4585
1743534000,161196.0,161253,195,533,2025-04-01 19:00:00,Dragon plateskirt,4585
1743537600,161470.0,161147,48,681,2025-04-01 20:00:00,Dragon plateskirt,4585
1743541200,161274.0,161170,80,477,2025-04-01 21:00:00,Dragon plateskirt,4585
1743544800,161184.0,161106,93,659,2025-04-01 22:00:00,Dragon plateskirt,4585
1743548400,161206.0,161135,50,486,2025-04-01 23:00:00,Dragon plateskirt,4585
1743552000,161285.0,161147,90,482,2025-04-02 00:00:00,Dragon plateskirt,4585
1743555600,161389.0,161212,63,610,2025-04-02 01:00:00,Dragon plateskirt,4585
1743559200,162244.0,161181,185,565,2025-04-02 02:00:00,Dragon plateskirt,4585
1743562800,161210.0,161176,82,511,2025-04-02 03:00:00,Dragon plateskirt,4585
1743566400,161200.0,161166,99,624,2025-04-02 04:00:00,Dragon plateskirt,4585
1743570000,161237.0,161074,62,568,2025-04-02 05:00:00,Dragon plateskirt,4585
1743573600,161210.0,161054,113,292,2025-04-02 06:00:00,Dragon plateskirt,4585
