timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1026.0,1025,6063,48524,2025-04-01 00:00:00,Dragonstone bolt tips,9193
1743469200,1019.0,1008,4282,39243,2025-04-01 01:00:00,Dragonstone bolt tips,9193
1743472800,1023.0,1108,3036,54928,2025-04-01 02:00:00,Dragonstone bolt tips,9193
1743476400,1025.0,1045,9192,72657,2025-04-01 03:00:00,Dragonstone bolt tips,9193
1743480000,1026.0,1052,2945,64717,2025-04-01 04:00:00,Dragonstone bolt tips,9193
1743483600,1021.0,1014,5274,46669,2025-04-01 05:00:00,Dragonstone bolt tips,9193
1743487200,1026.0,1037,7341,19096,2025-04-01 06:00:00,Dragonstone bolt tips,9193
1743490800,1026.0,1027,2966,35271,2025-04-01 07:00:00,Dragonstone bolt tips,9193
1743494400,1026.0,1056,2073,19653,2025-04-01 08:00:00,Dragonstone bolt tips,9193
1743498000,1025.0,1052,2919,13535,2025-04-01 09:00:00,Dragonstone bolt tips,9193
1743501600,1023.0,1029,5518,18174,2025-04-01 10:00:00,Dragonstone bolt tips,9193
1743505200,1026.0,1061,3960,24504,2025-04-01 11:00:00,Dragonstone bolt tips,9193
1743508800,1004.0,1017,14059,20347,2025-04-01 12:00:00,Dragonstone bolt tips,9193
1743512400,1028.0,1018,5981,32283,2025-04-01 13:00:00,Dragonstone bolt tips,9193
1743516000,1033.0,1090,304,45451,2025-04-01 14:00:00,Dragonstone bolt tips,9193
1743519600,1029.0,1139,5282,46551,2025-04-01 15:00:00,Dragonstone bolt tips,9193
1743523200,1067.0,1043,13432,40906,2025-04-01 16:00:00,Dragonstone bolt tips,9193
1743526800,1074.0,1040,16025,57578,2025-04-01 17:00:00,Dragonstone bolt tips,9193
1743530400,1053.0,1037,23760,55260,2025-04-01 18:00:00,Dragonstone bolt tips,9193
1743534000,1043.0,1047,2977,35603,2025-04-01 19:00:00,Dragonstone bolt tips,9193
1743537600,1061.0,1032,16157,52880,2025-04-01 20:00:00,Dragonstone bolt tips,9193
1743541200,1029.0,1028,6240,26286,2025-04-01 21:00:00,Dragonstone bolt tips,9193
