timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,11559.0,11432,327,7023,2025-04-01 00:00:00,Dragonstone,1615
1743469200,11574.0,11441,281,7648,2025-04-01 01:00:00,Dragonstone,1615
1743472800,11534.0,11418,23,3352,2025-04-01 02:00:00,Dragonstone,1615
1743476400,11566.0,11448,31,7655,2025-04-01 03:00:00,Dragonstone,1615
1743480000,11506.0,11407,2188,6535,2025-04-01 04:00:00,Dragonstone,1615
1743483600,11596.0,11457,1132,4406,2025-04-01 05:00:00,Dragonstone,1615
1743487200,11590.0,11460,1198,4278,2025-04-01 06:00:00,Dragonstone,1615
1743490800,11568.0,11446,372,3438,2025-04-01 07:00:00,Dragonstone,1615
1743494400,11632.0,11438,17,3205,2025-04-01 08:00:00,Dragonstone,1615
1743498000,11642.0,11402,1138,5164,2025-04-01 09:00:00,Dragonstone,1615
1743501600,11538.0,11391,25,2681,2025-04-01 10:00:00,Dragonstone,1615
1743505200,11504.0,11470,106,9054,2025-04-01 11:00:00,Dragonstone,1615
1743508800,11593.0,11520,371,6556,2025-04-01 12:00:00,Dragonstone,1615
1743512400,11585.0,11498,2961,5794,2025-04-01 13:00:00,Dragonstone,1615
1743516000,11574.0,11504,1461,5618,2025-04-01 14:00:00,Dragonstone,1615
1743519600,11552.0,11495,4150,3251,2025-04-01 15:00:00,Dragonstone,1615
1743523200,11587.0,11503,994,12137,2025-04-01 16:00:00,Dragonstone,1615
1743526800,11616.0,11508,13794,8034,2025-04-01 17:00:00,Dragonstone,1615
1743530400,11640.0,11514,1417,7624,2025-04-01 18:00:00,Dragonstone,1615
1743534000,11490.0,11548,897,7492,2025-04-01 19:00:00,Dragonstone,1615
1743537600,11487.0,11500,522,8944,2025-04-01 20:00:00,Dragonstone,1615
1743541200,11651.0,11468,13546,20516,2025-04-01 21:00:00,Dragonstone,1615
1743544800,11546.0,11443,3664,4518,2025-04-01 22:00:00,Dragonstone,1615
1743548400,11481.0,11437,4851,14585,2025-04-01 23:00:00,Dragonstone,1615
1743552000,11592.0,11490,1419,6214,2025-04-02 00:00:00,Dragonstone,1615
1743555600,11610.0,11490,4251,8915,2025-04-02 01:00:00,Dragonstone,1615
1743559200,11624.0,11541,2677,10921,2025-04-02 02:00:00,Dragonstone,1615
1743562800,11502.0,11521,1314,10385,2025-04-02 03:00:00,Dragonstone,1615
1743566400,11486.0,11562,272,8596,2025-04-02 04:00:00,Dragonstone,1615
1743570000,11483.0,11514,2831,6912,2025-04-02 05:00:00,Dragonstone,1615
1743573600,11483.0,11523,478,6334,2025-04-02 06:00:00,Dragonstone,1615
1743577200,11490.0,11496,340,3622,2025-04-02 07:00:00,Dragonstone,1615
1743580800,11663.0,11522,11,3599,2025-04-02 08:00:00,Dragonstone,1615
1743584400,11555.0,11496,87,8564,2025-04-02 09:00:00,Dragonstone,1615
