timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,768294,755518.0,40,22,2025-04-01 00:00:00,Dwarf cannon set,12863
1743469200,769890,760001.0,57,29,2025-04-01 01:00:00,Dwarf cannon set,12863
1743472800,768902,757796.0,26,19,2025-04-01 02:00:00,Dwarf cannon set,12863
1743476400,769585,756674.0,28,13,2025-04-01 03:00:00,Dwarf cannon set,12863
1743480000,768995,756555.0,27,15,2025-04-01 04:00:00,Dwarf cannon set,12863
1743483600,769734,757890.0,31,14,2025-04-01 05:00:00,Dwarf cannon set,12863
1743487200,769185,758371.0,18,13,2025-04-01 06:00:00,Dwarf cannon set,12863
1743490800,770604,760343.0,15,11,2025-04-01 07:00:00,Dwarf cannon set,12863
1743494400,770402,758631.0,21,12,2025-04-01 08:00:00,Dwarf cannon set,12863
1743498000,769583,757545.0,25,4,2025-04-01 09:00:00,Dwarf cannon set,12863
1743501600,770044,758725.0,18,9,2025-04-01 10:00:00,Dwarf cannon set,12863
1743505200,770672,761560.0,31,8,2025-04-01 11:00:00,Dwarf cannon set,12863
1743508800,769130,758786.0,23,11,2025-04-01 12:00:00,Dwarf cannon set,12863
1743512400,769891,761150.0,26,13,2025-04-01 13:00:00,Dwarf cannon set,12863
1743516000,767451,760338.0,34,38,2025-04-01 14:00:00,Dwarf cannon set,12863
1743519600,767316,761944.0,44,23,2025-04-01 15:00:00,Dwarf cannon set,12863
1743523200,768379,756537.0,22,14,2025-04-01 16:00:00,Dwarf cannon set,12863
1743526800,768291,759518.0,38,19,2025-04-01 17:00:00,Dwarf cannon set,12863
1743530400,767252,757347.0,17,16,2025-04-01 18:00:00,Dwarf cannon set,12863
1743534000,766565,757517.0,43,43,2025-04-01 19:00:00,Dwarf cannon set,12863
1743537600,765048,757199.0,43,23,2025-04-01 20:00:00,Dwarf cannon set,12863
1743541200,762918,755827.0,16,23,2025-04-01 21:00:00,Dwarf cannon set,12863
1743544800,766188,756284.0,41,27,2025-04-01 22:00:00,Dwarf cannon set,12863
1743548400,766058,756456.0,54,22,2025-04-01 23:00:00,Dwarf cannon set,12863
1743552000,768076,759023.0,34,23,2025-04-02 00:00:00,Dwarf cannon set,12863
1743555600,766048,757858.0,78,32,2025-04-02 01:00:00,Dwarf cannon set,12863
1743559200,762080,755683.0,59,24,2025-04-02 02:00:00,Dwarf cannon set,12863
1743562800,770671,758472.0,52,21,2025-04-02 03:00:00,Dwarf cannon set,12863
1743566400,773170,758273.0,25,19,2025-04-02 04:00:00,Dwarf cannon set,12863
1743570000,773438,757559.0,19,12,2025-04-02 05:00:00,Dwarf cannon set,12863
1743573600,775131,759825.0,37,12,2025-04-02 06:00:00,Dwarf cannon set,12863
1743577200,770391,758390.0,15,13,2025-04-02 07:00:00,Dwarf cannon set,12863
1743580800,773460,760672.0,22,5,2025-04-02 08:00:00,Dwarf cannon set,12863
1743584400,773360,758919.0,16,17,2025-04-02 09:00:00,Dwarf cannon set,12863
1743588000,773959,761290.0,20,6,2025-04-02 10:00:00,Dwarf cannon set,12863
1743591600,773544,763591.0,30,10,2025-04-02 11:00:00,Dwarf cannon set,12863
1743595200,772259,762425.0,68,15,2025-04-02 12:00:00,Dwarf cannon set,12863
1743598800,773158,760540.0,67,21,2025-04-02 13:00:00,Dwarf cannon set,12863
1743602400,773332,760754.0,47,10,2025-04-02 14:00:00,Dwarf cannon set,12863
1743606000,771608,762003.0,40,16,2025-04-02 15:00:00,Dwarf cannon set,12863
1743609600,761742,758274.0,30,12,2025-04-02 16:00:00,Dwarf cannon set,12863
1743613200,770865,759092.0,85,17,2025-04-02 17:00:00,Dwarf cannon set,12863
1743616800,771802,758514.0,73,32,2025-04-02 18:00:00,Dwarf cannon set,12863
1743620400,770784,759533.0,68,29,2025-04-02 19:00:00,Dwarf cannon set,12863
1743624000,764790,758136.0,24,31,2025-04-02 20:00:00,Dwarf cannon set,12863
1743627600,770254,759713.0,35,34,2025-04-02 21:00:00,Dwarf cannon set,12863
1743631200,770731,759410.0,56,29,2025-04-02 22:00:00,Dwarf cannon set,12863
1743634800,773915,761769.0,27,20,2025-04-02 23:00:00,Dwarf cannon set,12863
1743638400,773736,763983.0,44,21,2025-04-03 00:00:00,Dwarf cannon set,12863
1743642000,768236,758075.0,56,23,2025-04-03 01:00:00,Dwarf cannon set,12863
1743645600,767262,758405.0,18,12,2025-04-03 02:00:00,Dwarf cannon set,12863
1743649200,765391,758270.0,14,13,2025-04-03 03:00:00,Dwarf cannon set,12863
1743652800,768099,758405.0,35,12,2025-04-03 04:00:00,Dwarf cannon set,12863
1743656400,771922,759788.0,27,11,2025-04-03 05:00:00,Dwarf cannon set,12863
1743660000,778185,763258.0,14,11,2025-04-03 06:00:00,Dwarf cannon set,12863
1743663600,779115,766590.0,17,6,2025-04-03 07:00:00,Dwarf cannon set,12863
1743667200,777020,768462.0,18,12,2025-04-03 08:00:00,Dwarf cannon set,12863
1743670800,778135,768697.0,19,6,2025-04-03 09:00:00,Dwarf cannon set,12863
1743674400,773980,762102.0,29,5,2025-04-03 10:00:00,Dwarf cannon set,12863
1743678000,769681,758435.0,47,7,2025-04-03 11:00:00,Dwarf cannon set,12863
1743681600,767892,759229.0,15,15,2025-04-03 12:00:00,Dwarf cannon set,12863
1743685200,770814,759567.0,57,24,2025-04-03 13:00:00,Dwarf cannon set,12863
1743688800,771658,759395.0,49,19,2025-04-03 14:00:00,Dwarf cannon set,12863
1743692400,776253,762599.0,52,31,2025-04-03 15:00:00,Dwarf cannon set,12863
1743696000,767849,759234.0,47,34,2025-04-03 16:00:00,Dwarf cannon set,12863
1743699600,765865,759006.0,74,34,2025-04-03 17:00:00,Dwarf cannon set,12863
1743703200,766422,759746.0,50,10,2025-04-03 18:00:00,Dwarf cannon set,12863
1743706800,765365,757757.0,60,21,2025-04-03 19:00:00,Dwarf cannon set,12863
