timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,3215031,3160945,57,54,2025-04-01 00:00:00,Eclipse atlatl,29000
1743469200,3236953,3190789,46,37,2025-04-01 01:00:00,Eclipse atlatl,29000
1743472800,3240346,3186952,44,35,2025-04-01 02:00:00,Eclipse atlatl,29000
1743476400,3228878,3183416,47,35,2025-04-01 03:00:00,Eclipse atlatl,29000
1743480000,3216626,3170234,37,30,2025-04-01 04:00:00,Eclipse atlatl,29000
1743483600,3240913,3188573,33,27,2025-04-01 05:00:00,Eclipse atlatl,29000
1743487200,3233629,3178269,32,26,2025-04-01 06:00:00,Eclipse atlatl,29000
1743490800,3241493,3193863,28,28,2025-04-01 07:00:00,Eclipse atlatl,29000
1743494400,3222597,3166833,42,32,2025-04-01 08:00:00,Eclipse atlatl,29000
1743498000,3205275,3170882,12,44,2025-04-01 09:00:00,Eclipse atlatl,29000
1743501600,3206155,3161114,23,23,2025-04-01 10:00:00,Eclipse atlatl,29000
1743505200,3207647,3167574,24,20,2025-04-01 11:00:00,Eclipse atlatl,29000
1743508800,3208645,3169824,24,18,2025-04-01 12:00:00,Eclipse atlatl,29000
1743512400,3220660,3196358,15,16,2025-04-01 13:00:00,Eclipse atlatl,29000
1743516000,3214074,3188112,46,36,2025-04-01 14:00:00,Eclipse atlatl,29000
1743519600,3208217,3172468,38,29,2025-04-01 15:00:00,Eclipse atlatl,29000
1743523200,3216698,3180314,21,30,2025-04-01 16:00:00,Eclipse atlatl,29000
1743526800,3197846,3125823,26,89,2025-04-01 17:00:00,Eclipse atlatl,29000
1743530400,3182505,3149689,15,27,2025-04-01 18:00:00,Eclipse atlatl,29000
1743534000,3201277,3168751,38,51,2025-04-01 19:00:00,Eclipse atlatl,29000
1743537600,3207341,3168129,41,41,2025-04-01 20:00:00,Eclipse atlatl,29000
1743541200,3202039,3157921,54,38,2025-04-01 21:00:00,Eclipse atlatl,29000
1743544800,3213571,3175507,26,42,2025-04-01 22:00:00,Eclipse atlatl,29000
1743548400,3198783,3158624,36,42,2025-04-01 23:00:00,Eclipse atlatl,29000
1743552000,3206760,3178723,46,47,2025-04-02 00:00:00,Eclipse atlatl,29000
1743555600,3213234,3172627,41,44,2025-04-02 01:00:00,Eclipse atlatl,29000
1743559200,3208572,3167216,37,50,2025-04-02 02:00:00,Eclipse atlatl,29000
1743562800,3192850,3162245,17,29,2025-04-02 03:00:00,Eclipse atlatl,29000
1743566400,3195654,3154102,28,27,2025-04-02 04:00:00,Eclipse atlatl,29000
1743570000,3187516,3148871,27,34,2025-04-02 05:00:00,Eclipse atlatl,29000
1743573600,3182708,3159532,11,23,2025-04-02 06:00:00,Eclipse atlatl,29000
1743577200,3194835,3143229,21,22,2025-04-02 07:00:00,Eclipse atlatl,29000
1743580800,3179668,3116919,25,44,2025-04-02 08:00:00,Eclipse atlatl,29000
