timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,22051,21941,5077,127,2025-04-01 00:00:00,Extended anti-venom+(4),29824
1743469200,22287,21796,915,250,2025-04-01 01:00:00,Extended anti-venom+(4),29824
1743472800,22294,21864,5055,643,2025-04-01 02:00:00,Extended anti-venom+(4),29824
1743476400,22293,21827,860,308,2025-04-01 03:00:00,Extended anti-venom+(4),29824
1743480000,22296,21842,3360,433,2025-04-01 04:00:00,Extended anti-venom+(4),29824
1743483600,22213,21761,2229,4694,2025-04-01 05:00:00,Extended anti-venom+(4),29824
1743487200,21994,21722,1207,11,2025-04-01 06:00:00,Extended anti-venom+(4),29824
1743490800,22263,21794,2009,284,2025-04-01 07:00:00,Extended anti-venom+(4),29824
1743494400,22263,21903,3224,64,2025-04-01 08:00:00,Extended anti-venom+(4),29824
1743498000,22171,21752,3228,236,2025-04-01 09:00:00,Extended anti-venom+(4),29824
1743501600,22290,21781,437,152,2025-04-01 10:00:00,Extended anti-venom+(4),29824
1743505200,22458,21940,2454,273,2025-04-01 11:00:00,Extended anti-venom+(4),29824
1743508800,22486,21997,3173,261,2025-04-01 12:00:00,Extended anti-venom+(4),29824
1743512400,22493,21903,1640,239,2025-04-01 13:00:00,Extended anti-venom+(4),29824
1743516000,22447,22134,5051,549,2025-04-01 14:00:00,Extended anti-venom+(4),29824
1743519600,22325,21862,6684,852,2025-04-01 15:00:00,Extended anti-venom+(4),29824
1743523200,22500,22232,2418,183,2025-04-01 16:00:00,Extended anti-venom+(4),29824
1743526800,22424,22230,3801,670,2025-04-01 17:00:00,Extended anti-venom+(4),29824
1743530400,22108,21948,2957,1171,2025-04-01 18:00:00,Extended anti-venom+(4),29824
1743534000,22199,22162,4470,434,2025-04-01 19:00:00,Extended anti-venom+(4),29824
1743537600,22018,21908,6018,1391,2025-04-01 20:00:00,Extended anti-venom+(4),29824
1743541200,22000,21896,3449,617,2025-04-01 21:00:00,Extended anti-venom+(4),29824
1743544800,22000,21846,2121,416,2025-04-01 22:00:00,Extended anti-venom+(4),29824
1743548400,22101,21833,5963,1275,2025-04-01 23:00:00,Extended anti-venom+(4),29824
1743552000,22067,21876,4204,1128,2025-04-02 00:00:00,Extended anti-venom+(4),29824
1743555600,21883,21809,3019,1584,2025-04-02 01:00:00,Extended anti-venom+(4),29824
1743559200,22142,21812,2035,956,2025-04-02 02:00:00,Extended anti-venom+(4),29824
1743562800,22062,21860,4200,221,2025-04-02 03:00:00,Extended anti-venom+(4),29824
1743566400,22183,22097,3790,513,2025-04-02 04:00:00,Extended anti-venom+(4),29824
1743570000,22185,22155,4664,513,2025-04-02 05:00:00,Extended anti-venom+(4),29824
1743573600,22171,21794,1633,559,2025-04-02 06:00:00,Extended anti-venom+(4),29824
1743577200,22110,21797,1645,1106,2025-04-02 07:00:00,Extended anti-venom+(4),29824
1743580800,22135,21813,2385,699,2025-04-02 08:00:00,Extended anti-venom+(4),29824
1743584400,22106,21767,492,1347,2025-04-02 09:00:00,Extended anti-venom+(4),29824
1743588000,22163,21763,2312,381,2025-04-02 10:00:00,Extended anti-venom+(4),29824
1743591600,22162,21811,1298,43,2025-04-02 11:00:00,Extended anti-venom+(4),29824
1743595200,22177,21898,1717,699,2025-04-02 12:00:00,Extended anti-venom+(4),29824
1743598800,22177,21864,983,652,2025-04-02 13:00:00,Extended anti-venom+(4),29824
1743602400,22059,21852,2433,782,2025-04-02 14:00:00,Extended anti-venom+(4),29824
1743606000,21968,21750,3652,482,2025-04-02 15:00:00,Extended anti-venom+(4),29824
1743609600,21898,21755,3190,728,2025-04-02 16:00:00,Extended anti-venom+(4),29824
1743613200,22116,21700,7782,260,2025-04-02 17:00:00,Extended anti-venom+(4),29824
1743616800,22102,21658,3665,1216,2025-04-02 18:00:00,Extended anti-venom+(4),29824
1743620400,22100,21675,2823,517,2025-04-02 19:00:00,Extended anti-venom+(4),29824
1743624000,22117,21692,6208,1452,2025-04-02 20:00:00,Extended anti-venom+(4),29824
1743627600,22124,21802,1962,3818,2025-04-02 21:00:00,Extended anti-venom+(4),29824
1743631200,22125,22060,2229,562,2025-04-02 22:00:00,Extended anti-venom+(4),29824
1743634800,22173,22067,5902,295,2025-04-02 23:00:00,Extended anti-venom+(4),29824
1743638400,22128,21990,2052,274,2025-04-03 00:00:00,Extended anti-venom+(4),29824
1743642000,22221,22098,5275,442,2025-04-03 01:00:00,Extended anti-venom+(4),29824
1743645600,22238,22108,2791,3004,2025-04-03 02:00:00,Extended anti-venom+(4),29824
1743649200,22113,21528,5049,473,2025-04-03 03:00:00,Extended anti-venom+(4),29824
1743652800,22084,21483,1273,636,2025-04-03 04:00:00,Extended anti-venom+(4),29824
1743656400,21949,21529,1131,1643,2025-04-03 05:00:00,Extended anti-venom+(4),29824
1743660000,22124,21687,806,89,2025-04-03 06:00:00,Extended anti-venom+(4),29824
1743663600,22229,21854,1333,154,2025-04-03 07:00:00,Extended anti-venom+(4),29824
1743667200,22146,22034,1362,285,2025-04-03 08:00:00,Extended anti-venom+(4),29824
1743670800,21970,21623,1535,354,2025-04-03 09:00:00,Extended anti-venom+(4),29824
1743674400,21899,21452,1498,1066,2025-04-03 10:00:00,Extended anti-venom+(4),29824
1743678000,21900,21716,1045,642,2025-04-03 11:00:00,Extended anti-venom+(4),29824
1743681600,21977,21696,793,607,2025-04-03 12:00:00,Extended anti-venom+(4),29824
1743685200,22128,21941,1230,276,2025-04-03 13:00:00,Extended anti-venom+(4),29824
1743688800,21992,21577,3932,951,2025-04-03 14:00:00,Extended anti-venom+(4),29824
1743692400,22069,21548,3021,442,2025-04-03 15:00:00,Extended anti-venom+(4),29824
1743696000,22080,21669,3962,235,2025-04-03 16:00:00,Extended anti-venom+(4),29824
1743699600,22143,21840,3634,786,2025-04-03 17:00:00,Extended anti-venom+(4),29824
1743703200,21956,21689,2819,588,2025-04-03 18:00:00,Extended anti-venom+(4),29824
1743706800,21993,21825,1880,859,2025-04-03 19:00:00,Extended anti-venom+(4),29824
1743710400,22007,21694,2441,458,2025-04-03 20:00:00,Extended anti-venom+(4),29824
1743714000,22011,21620,3266,397,2025-04-03 21:00:00,Extended anti-venom+(4),29824
1743717600,21999,21662,2993,382,2025-04-03 22:00:00,Extended anti-venom+(4),29824
1743721200,22213,22011,3024,363,2025-04-03 23:00:00,Extended anti-venom+(4),29824
1743724800,22174,22016,2119,1084,2025-04-04 00:00:00,Extended anti-venom+(4),29824
1743728400,22193,22011,7342,621,2025-04-04 01:00:00,Extended anti-venom+(4),29824
1743732000,22052,21679,2141,487,2025-04-04 02:00:00,Extended anti-venom+(4),29824
1743735600,22009,21752,2085,563,2025-04-04 03:00:00,Extended anti-venom+(4),29824
1743739200,22133,22101,3129,473,2025-04-04 04:00:00,Extended anti-venom+(4),29824
1743742800,22061,21549,1939,4759,2025-04-04 05:00:00,Extended anti-venom+(4),29824
1743746400,21876,21328,1280,1080,2025-04-04 06:00:00,Extended anti-venom+(4),29824
1743750000,21949,21578,1184,269,2025-04-04 07:00:00,Extended anti-venom+(4),29824
1743753600,22007,21642,826,579,2025-04-04 08:00:00,Extended anti-venom+(4),29824
