timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,22554,22059,2005,458,2025-04-01 00:00:00,Extended super antifire(4),22209
1743469200,22763,22344,2238,3835,2025-04-01 01:00:00,Extended super antifire(4),22209
1743472800,22668,22277,3002,633,2025-04-01 02:00:00,Extended super antifire(4),22209
1743476400,22580,22206,2213,382,2025-04-01 03:00:00,Extended super antifire(4),22209
1743480000,22727,22367,2157,2551,2025-04-01 04:00:00,Extended super antifire(4),22209
1743483600,22687,22313,3359,409,2025-04-01 05:00:00,Extended super antifire(4),22209
1743487200,22637,22430,640,217,2025-04-01 06:00:00,Extended super antifire(4),22209
1743490800,22727,22293,964,514,2025-04-01 07:00:00,Extended super antifire(4),22209
1743494400,22710,22084,1186,176,2025-04-01 08:00:00,Extended super antifire(4),22209
1743498000,22780,22395,1113,449,2025-04-01 09:00:00,Extended super antifire(4),22209
1743501600,22726,22210,611,107,2025-04-01 10:00:00,Extended super antifire(4),22209
1743505200,22594,22500,1757,422,2025-04-01 11:00:00,Extended super antifire(4),22209
1743508800,22572,22294,1218,593,2025-04-01 12:00:00,Extended super antifire(4),22209
1743512400,22557,22210,882,266,2025-04-01 13:00:00,Extended super antifire(4),22209
1743516000,22460,22064,4216,355,2025-04-01 14:00:00,Extended super antifire(4),22209
1743519600,22207,22028,2414,388,2025-04-01 15:00:00,Extended super antifire(4),22209
1743523200,22296,22034,2869,676,2025-04-01 16:00:00,Extended super antifire(4),22209
1743526800,22291,22038,5292,407,2025-04-01 17:00:00,Extended super antifire(4),22209
1743530400,22537,22248,2347,905,2025-04-01 18:00:00,Extended super antifire(4),22209
1743534000,22597,22141,4066,567,2025-04-01 19:00:00,Extended super antifire(4),22209
1743537600,22683,22389,1778,659,2025-04-01 20:00:00,Extended super antifire(4),22209
1743541200,22717,22491,1507,1444,2025-04-01 21:00:00,Extended super antifire(4),22209
1743544800,22732,22154,3808,359,2025-04-01 22:00:00,Extended super antifire(4),22209
1743548400,22746,22578,1452,471,2025-04-01 23:00:00,Extended super antifire(4),22209
1743552000,22723,22574,3627,490,2025-04-02 00:00:00,Extended super antifire(4),22209
1743555600,22728,22406,1726,1445,2025-04-02 01:00:00,Extended super antifire(4),22209
1743559200,22776,22486,3423,1622,2025-04-02 02:00:00,Extended super antifire(4),22209
1743562800,22637,22494,5842,326,2025-04-02 03:00:00,Extended super antifire(4),22209
1743566400,22571,22265,3076,262,2025-04-02 04:00:00,Extended super antifire(4),22209
1743570000,22402,22050,2255,2690,2025-04-02 05:00:00,Extended super antifire(4),22209
1743573600,22288,21978,1488,181,2025-04-02 06:00:00,Extended super antifire(4),22209
1743577200,22320,21938,2698,1666,2025-04-02 07:00:00,Extended super antifire(4),22209
1743580800,22245,21974,1315,39,2025-04-02 08:00:00,Extended super antifire(4),22209
1743584400,21967,21518,703,148,2025-04-02 09:00:00,Extended super antifire(4),22209
1743588000,22259,21681,935,245,2025-04-02 10:00:00,Extended super antifire(4),22209
