timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,8953.0,8954,5198,7469,2025-04-01 00:00:00,Fire battlestaff,1393
1743469200,8961.0,8923,871,6761,2025-04-01 01:00:00,Fire battlestaff,1393
1743472800,9019.0,8932,834,4519,2025-04-01 02:00:00,Fire battlestaff,1393
1743476400,9097.0,8988,2479,3479,2025-04-01 03:00:00,Fire battlestaff,1393
1743480000,8961.0,8967,1230,6250,2025-04-01 04:00:00,Fire battlestaff,1393
1743483600,8993.0,8972,1258,4233,2025-04-01 05:00:00,Fire battlestaff,1393
1743487200,8958.0,8955,169,4995,2025-04-01 06:00:00,Fire battlestaff,1393
1743490800,8955.0,8953,1833,3054,2025-04-01 07:00:00,Fire battlestaff,1393
1743494400,8954.0,8959,1176,8708,2025-04-01 08:00:00,Fire battlestaff,1393
1743498000,9081.0,9050,1163,432,2025-04-01 09:00:00,Fire battlestaff,1393
1743501600,9096.0,9006,3392,2974,2025-04-01 10:00:00,Fire battlestaff,1393
1743505200,9036.0,8960,97,2357,2025-04-01 11:00:00,Fire battlestaff,1393
1743508800,9002.0,8954,3015,1760,2025-04-01 12:00:00,Fire battlestaff,1393
1743512400,9010.0,9002,1515,5963,2025-04-01 13:00:00,Fire battlestaff,1393
1743516000,9000.0,8955,3640,1287,2025-04-01 14:00:00,Fire battlestaff,1393
1743519600,9008.0,8997,6741,5034,2025-04-01 15:00:00,Fire battlestaff,1393
1743523200,9005.0,8975,7511,11651,2025-04-01 16:00:00,Fire battlestaff,1393
1743526800,8963.0,8889,3143,3673,2025-04-01 17:00:00,Fire battlestaff,1393
1743530400,8987.0,8917,7283,1658,2025-04-01 18:00:00,Fire battlestaff,1393
1743534000,8996.0,8901,2657,2080,2025-04-01 19:00:00,Fire battlestaff,1393
1743537600,9003.0,8998,4379,5781,2025-04-01 20:00:00,Fire battlestaff,1393
1743541200,9144.0,9050,18,2221,2025-04-01 21:00:00,Fire battlestaff,1393
1743544800,9068.0,9051,73,1282,2025-04-01 22:00:00,Fire battlestaff,1393
1743548400,9051.0,8985,3380,7937,2025-04-01 23:00:00,Fire battlestaff,1393
1743552000,9006.0,9006,178,4739,2025-04-02 00:00:00,Fire battlestaff,1393
1743555600,9001.0,8951,83,2352,2025-04-02 01:00:00,Fire battlestaff,1393
1743559200,8994.0,8936,111,1752,2025-04-02 02:00:00,Fire battlestaff,1393
1743562800,8950.0,8915,4462,4426,2025-04-02 03:00:00,Fire battlestaff,1393
1743566400,8945.0,8915,20,1949,2025-04-02 04:00:00,Fire battlestaff,1393
1743570000,8909.0,8899,1592,8057,2025-04-02 05:00:00,Fire battlestaff,1393
1743573600,8930.0,8870,915,5694,2025-04-02 06:00:00,Fire battlestaff,1393
1743577200,9000.0,8896,1444,1857,2025-04-02 07:00:00,Fire battlestaff,1393
1743580800,8920.0,8901,5606,2161,2025-04-02 08:00:00,Fire battlestaff,1393
