timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,37390058,36993807.0,29,19,2025-04-01 00:00:00,Ghrazi rapier,22324
1743469200,37048427,36892346.0,24,18,2025-04-01 01:00:00,Ghrazi rapier,22324
1743472800,37165038,36851463.0,11,23,2025-04-01 02:00:00,Ghrazi rapier,22324
1743476400,37319983,36987713.0,20,18,2025-04-01 03:00:00,Ghrazi rapier,22324
1743480000,36882515,36300400.0,21,16,2025-04-01 04:00:00,Ghrazi rapier,22324
1743483600,36835618,36438943.0,21,23,2025-04-01 05:00:00,Ghrazi rapier,22324
1743487200,36759482,36235691.0,20,14,2025-04-01 06:00:00,Ghrazi rapier,22324
1743490800,36677146,36393517.0,8,11,2025-04-01 07:00:00,Ghrazi rapier,22324
1743494400,36659878,36313960.0,18,11,2025-04-01 08:00:00,Ghrazi rapier,22324
1743498000,36601402,35895277.0,18,4,2025-04-01 09:00:00,Ghrazi rapier,22324
1743501600,36638212,36348562.0,11,14,2025-04-01 10:00:00,Ghrazi rapier,22324
1743505200,36677817,36230001.0,6,9,2025-04-01 11:00:00,Ghrazi rapier,22324
1743508800,36627407,36220785.0,11,15,2025-04-01 12:00:00,Ghrazi rapier,22324
1743512400,36781479,36450371.0,16,15,2025-04-01 13:00:00,Ghrazi rapier,22324
1743516000,37065558,36822428.0,12,15,2025-04-01 14:00:00,Ghrazi rapier,22324
1743519600,37101966,36916525.0,17,18,2025-04-01 15:00:00,Ghrazi rapier,22324
1743523200,37119871,36790813.0,16,13,2025-04-01 16:00:00,Ghrazi rapier,22324
1743526800,37147601,36895749.0,11,30,2025-04-01 17:00:00,Ghrazi rapier,22324
1743530400,37211901,36946899.0,14,19,2025-04-01 18:00:00,Ghrazi rapier,22324
1743534000,37449770,37013818.0,24,21,2025-04-01 19:00:00,Ghrazi rapier,22324
1743537600,37456383,37043272.0,25,34,2025-04-01 20:00:00,Ghrazi rapier,22324
1743541200,37334860,37004014.0,25,20,2025-04-01 21:00:00,Ghrazi rapier,22324
1743544800,37319103,36975888.0,26,24,2025-04-01 22:00:00,Ghrazi rapier,22324
1743548400,37236900,36952695.0,40,35,2025-04-01 23:00:00,Ghrazi rapier,22324
1743552000,37228906,36992243.0,26,31,2025-04-02 00:00:00,Ghrazi rapier,22324
1743555600,37156867,36891080.0,38,21,2025-04-02 01:00:00,Ghrazi rapier,22324
1743559200,37095042,36787217.0,14,27,2025-04-02 02:00:00,Ghrazi rapier,22324
1743562800,36944247,36641325.0,34,20,2025-04-02 03:00:00,Ghrazi rapier,22324
1743566400,36860802,36529315.0,21,19,2025-04-02 04:00:00,Ghrazi rapier,22324
1743570000,36902328,36497651.0,13,15,2025-04-02 05:00:00,Ghrazi rapier,22324
1743573600,36847674,36376228.0,20,25,2025-04-02 06:00:00,Ghrazi rapier,22324
1743577200,36934634,36612068.0,9,8,2025-04-02 07:00:00,Ghrazi rapier,22324
1743580800,36928780,36505640.0,9,5,2025-04-02 08:00:00,Ghrazi rapier,22324
1743584400,36834437,36467520.0,10,10,2025-04-02 09:00:00,Ghrazi rapier,22324
1743588000,36932597,36680561.0,10,5,2025-04-02 10:00:00,Ghrazi rapier,22324
1743591600,36965166,36592702.0,4,13,2025-04-02 11:00:00,Ghrazi rapier,22324
1743595200,37003818,36546013.0,9,11,2025-04-02 12:00:00,Ghrazi rapier,22324
1743598800,37058696,36640902.0,20,13,2025-04-02 13:00:00,Ghrazi rapier,22324
1743602400,36998525,36723035.0,14,24,2025-04-02 14:00:00,Ghrazi rapier,22324
1743606000,37031844,36749486.0,16,20,2025-04-02 15:00:00,Ghrazi rapier,22324
1743609600,37196540,36898686.0,25,17,2025-04-02 16:00:00,Ghrazi rapier,22324
1743613200,37044720,36743661.0,24,21,2025-04-02 17:00:00,Ghrazi rapier,22324
1743616800,36895144,36686352.0,14,26,2025-04-02 18:00:00,Ghrazi rapier,22324
1743620400,36942608,36674785.0,12,31,2025-04-02 19:00:00,Ghrazi rapier,22324
1743624000,36927306,36683586.0,14,25,2025-04-02 20:00:00,Ghrazi rapier,22324
1743627600,36767537,36685856.0,16,34,2025-04-02 21:00:00,Ghrazi rapier,22324
1743631200,36995263,36663859.0,10,31,2025-04-02 22:00:00,Ghrazi rapier,22324
1743634800,36873144,36493304.0,16,22,2025-04-02 23:00:00,Ghrazi rapier,22324
1743638400,36911432,36481479.0,28,23,2025-04-03 00:00:00,Ghrazi rapier,22324
1743642000,36774874,36489437.0,24,21,2025-04-03 01:00:00,Ghrazi rapier,22324
