timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,5853.0,5821,12021,36500,2025-04-01 00:00:00,Grimy ranarr weed,207
1743469200,5863.0,5851,1999,38615,2025-04-01 01:00:00,Grimy ranarr weed,207
1743472800,5845.0,5811,19013,39705,2025-04-01 02:00:00,Grimy ranarr weed,207
1743476400,5839.0,5817,10376,21414,2025-04-01 03:00:00,Grimy ranarr weed,207
1743480000,5854.0,5829,8007,23351,2025-04-01 04:00:00,Grimy ranarr weed,207
1743483600,5837.0,5838,8831,11652,2025-04-01 05:00:00,Grimy ranarr weed,207
1743487200,5836.0,5826,4316,14947,2025-04-01 06:00:00,Grimy ranarr weed,207
1743490800,5848.0,5829,5339,17530,2025-04-01 07:00:00,Grimy ranarr weed,207
1743494400,5834.0,5825,5668,13210,2025-04-01 08:00:00,Grimy ranarr weed,207
1743498000,5840.0,5832,3517,20683,2025-04-01 09:00:00,Grimy ranarr weed,207
1743501600,5838.0,5813,5294,14552,2025-04-01 10:00:00,Grimy ranarr weed,207
1743505200,5842.0,5829,3853,18690,2025-04-01 11:00:00,Grimy ranarr weed,207
1743508800,5842.0,5833,7189,9560,2025-04-01 12:00:00,Grimy ranarr weed,207
1743512400,5838.0,5834,4943,19037,2025-04-01 13:00:00,Grimy ranarr weed,207
1743516000,5850.0,5822,11336,27392,2025-04-01 14:00:00,Grimy ranarr weed,207
1743519600,5855.0,5837,7055,23880,2025-04-01 15:00:00,Grimy ranarr weed,207
1743523200,5840.0,5831,9494,20901,2025-04-01 16:00:00,Grimy ranarr weed,207
1743526800,5843.0,5820,7345,35443,2025-04-01 17:00:00,Grimy ranarr weed,207
1743530400,5847.0,5838,7928,17134,2025-04-01 18:00:00,Grimy ranarr weed,207
1743534000,5845.0,5840,4692,49177,2025-04-01 19:00:00,Grimy ranarr weed,207
1743537600,5858.0,5834,8563,26752,2025-04-01 20:00:00,Grimy ranarr weed,207
1743541200,5840.0,5837,11962,17544,2025-04-01 21:00:00,Grimy ranarr weed,207
1743544800,5845.0,5839,10524,21105,2025-04-01 22:00:00,Grimy ranarr weed,207
1743548400,5843.0,5827,9375,37638,2025-04-01 23:00:00,Grimy ranarr weed,207
1743552000,5847.0,5836,7217,19746,2025-04-02 00:00:00,Grimy ranarr weed,207
1743555600,5856.0,5841,7154,23143,2025-04-02 01:00:00,Grimy ranarr weed,207
1743559200,5845.0,5830,16639,25947,2025-04-02 02:00:00,Grimy ranarr weed,207
1743562800,5839.0,5839,9849,22321,2025-04-02 03:00:00,Grimy ranarr weed,207
1743566400,5840.0,5823,30824,16682,2025-04-02 04:00:00,Grimy ranarr weed,207
