timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,3576.0,3545,744,20793,2025-04-01 00:00:00,Grimy torstol,219
1743469200,3552.0,3549,484,16751,2025-04-01 01:00:00,Grimy torstol,219
1743472800,3586.0,3538,2165,12900,2025-04-01 02:00:00,Grimy torstol,219
1743476400,3539.0,3529,1568,42077,2025-04-01 03:00:00,Grimy torstol,219
1743480000,3530.0,3550,2891,13009,2025-04-01 04:00:00,Grimy torstol,219
1743483600,3575.0,3549,138,14133,2025-04-01 05:00:00,Grimy torstol,219
1743487200,3529.0,3537,14,5581,2025-04-01 06:00:00,Grimy torstol,219
1743490800,,3547,0,3016,2025-04-01 07:00:00,Grimy torstol,219
1743494400,3588.0,3537,10,5545,2025-04-01 08:00:00,Grimy torstol,219
1743498000,,3530,0,6549,2025-04-01 09:00:00,Grimy torstol,219
1743501600,3553.0,3532,989,10059,2025-04-01 10:00:00,Grimy torstol,219
1743505200,3527.0,3527,197,5108,2025-04-01 11:00:00,Grimy torstol,219
1743508800,3545.0,3524,1962,8785,2025-04-01 12:00:00,Grimy torstol,219
1743512400,3538.0,3502,288,7851,2025-04-01 13:00:00,Grimy torstol,219
1743516000,3536.0,3504,928,5452,2025-04-01 14:00:00,Grimy torstol,219
1743519600,3500.0,3500,103,12115,2025-04-01 15:00:00,Grimy torstol,219
1743523200,3502.0,3498,1277,12642,2025-04-01 16:00:00,Grimy torstol,219
1743526800,3495.0,3495,313,19340,2025-04-01 17:00:00,Grimy torstol,219
1743530400,3500.0,3437,761,10260,2025-04-01 18:00:00,Grimy torstol,219
1743534000,3439.0,3371,3217,5359,2025-04-01 19:00:00,Grimy torstol,219
1743537600,3453.0,3455,5991,26568,2025-04-01 20:00:00,Grimy torstol,219
1743541200,3499.0,3475,2142,19383,2025-04-01 21:00:00,Grimy torstol,219
1743544800,3478.0,3407,4520,15271,2025-04-01 22:00:00,Grimy torstol,219
1743548400,3400.0,3370,142,11952,2025-04-01 23:00:00,Grimy torstol,219
1743552000,3487.0,3412,9206,13082,2025-04-02 00:00:00,Grimy torstol,219
1743555600,3400.0,3418,55,9992,2025-04-02 01:00:00,Grimy torstol,219
1743559200,3480.0,3376,1230,17594,2025-04-02 02:00:00,Grimy torstol,219
1743562800,3448.0,3379,2579,13861,2025-04-02 03:00:00,Grimy torstol,219
1743566400,3414.0,3374,470,7363,2025-04-02 04:00:00,Grimy torstol,219
1743570000,3397.0,3387,15,7532,2025-04-02 05:00:00,Grimy torstol,219
1743573600,3389.0,3389,2012,7293,2025-04-02 06:00:00,Grimy torstol,219
1743577200,3496.0,3392,2896,6267,2025-04-02 07:00:00,Grimy torstol,219
1743580800,3449.0,3405,1429,5194,2025-04-02 08:00:00,Grimy torstol,219
1743584400,3408.0,3385,3,4944,2025-04-02 09:00:00,Grimy torstol,219
1743588000,3436.0,3385,1,3610,2025-04-02 10:00:00,Grimy torstol,219
