timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1437.0,1387.0,1326,251,2025-04-01 00:00:00,Irit potion (unf),101
1743469200,1376.0,1363.0,200,892,2025-04-01 01:00:00,Irit potion (unf),101
1743472800,1427.0,1378.0,6252,266,2025-04-01 02:00:00,Irit potion (unf),101
1743476400,1395.0,1339.0,10132,11875,2025-04-01 03:00:00,Irit potion (unf),101
1743480000,1341.0,1303.0,5113,154,2025-04-01 04:00:00,Irit potion (unf),101
1743483600,1315.0,1317.0,11580,9388,2025-04-01 05:00:00,Irit potion (unf),101
1743487200,1317.0,1328.0,1,1221,2025-04-01 06:00:00,Irit potion (unf),101
1743490800,1348.0,1325.0,9020,11209,2025-04-01 07:00:00,Irit potion (unf),101
1743494400,1328.0,1324.0,1167,386,2025-04-01 08:00:00,Irit potion (unf),101
1743498000,1399.0,1315.0,11148,6284,2025-04-01 09:00:00,Irit potion (unf),101
1743501600,1358.0,1353.0,7873,217,2025-04-01 10:00:00,Irit potion (unf),101
1743505200,1361.0,1333.0,1219,649,2025-04-01 11:00:00,Irit potion (unf),101
1743508800,1344.0,1332.0,6831,2622,2025-04-01 12:00:00,Irit potion (unf),101
1743512400,1341.0,1315.0,3571,702,2025-04-01 13:00:00,Irit potion (unf),101
1743516000,1341.0,1321.0,15280,1332,2025-04-01 14:00:00,Irit potion (unf),101
1743519600,1334.0,1312.0,8129,2880,2025-04-01 15:00:00,Irit potion (unf),101
1743523200,1321.0,1315.0,21153,1962,2025-04-01 16:00:00,Irit potion (unf),101
1743526800,1339.0,1317.0,5339,34,2025-04-01 17:00:00,Irit potion (unf),101
1743530400,1345.0,1322.0,9243,2736,2025-04-01 18:00:00,Irit potion (unf),101
1743534000,1398.0,1351.0,25590,8882,2025-04-01 19:00:00,Irit potion (unf),101
1743537600,1395.0,1363.0,7224,2737,2025-04-01 20:00:00,Irit potion (unf),101
1743541200,1384.0,1364.0,1269,78,2025-04-01 21:00:00,Irit potion (unf),101
1743544800,1376.0,1370.0,9936,434,2025-04-01 22:00:00,Irit potion (unf),101
1743548400,1386.0,1352.0,18437,3810,2025-04-01 23:00:00,Irit potion (unf),101
1743552000,1379.0,1353.0,10336,572,2025-04-02 00:00:00,Irit potion (unf),101
1743555600,1368.0,1354.0,10690,231,2025-04-02 01:00:00,Irit potion (unf),101
1743559200,1360.0,1331.0,7382,12211,2025-04-02 02:00:00,Irit potion (unf),101
1743562800,1338.0,1304.0,1322,3,2025-04-02 03:00:00,Irit potion (unf),101
1743566400,1339.0,1304.0,12913,521,2025-04-02 04:00:00,Irit potion (unf),101
1743570000,1330.0,1304.0,10882,4535,2025-04-02 05:00:00,Irit potion (unf),101
1743573600,1330.0,1306.0,6800,12,2025-04-02 06:00:00,Irit potion (unf),101
1743577200,1341.0,1333.0,5453,3106,2025-04-02 07:00:00,Irit potion (unf),101
1743580800,1338.0,1313.0,1588,484,2025-04-02 08:00:00,Irit potion (unf),101
1743584400,1333.0,1303.0,60,1840,2025-04-02 09:00:00,Irit potion (unf),101
1743588000,1310.0,1308.0,3938,4949,2025-04-02 10:00:00,Irit potion (unf),101
1743591600,1333.0,1325.0,13376,1056,2025-04-02 11:00:00,Irit potion (unf),101
1743595200,1333.0,1325.0,10005,26,2025-04-02 12:00:00,Irit potion (unf),101
1743598800,1332.0,1323.0,2909,8018,2025-04-02 13:00:00,Irit potion (unf),101
1743602400,1333.0,1308.0,1423,332,2025-04-02 14:00:00,Irit potion (unf),101
1743606000,1332.0,1308.0,25710,640,2025-04-02 15:00:00,Irit potion (unf),101
1743609600,1333.0,1315.0,18338,1841,2025-04-02 16:00:00,Irit potion (unf),101
1743613200,1330.0,1308.0,7996,5317,2025-04-02 17:00:00,Irit potion (unf),101
1743616800,1329.0,1311.0,14719,1997,2025-04-02 18:00:00,Irit potion (unf),101
1743620400,1328.0,1313.0,25358,1619,2025-04-02 19:00:00,Irit potion (unf),101
1743624000,1318.0,1315.0,10761,1099,2025-04-02 20:00:00,Irit potion (unf),101
1743627600,1311.0,1301.0,3215,8524,2025-04-02 21:00:00,Irit potion (unf),101
1743631200,1309.0,1302.0,22816,2194,2025-04-02 22:00:00,Irit potion (unf),101
1743634800,1317.0,1305.0,32614,804,2025-04-02 23:00:00,Irit potion (unf),101
1743638400,1307.0,1301.0,6218,5208,2025-04-03 00:00:00,Irit potion (unf),101
1743642000,1308.0,1300.0,8963,6831,2025-04-03 01:00:00,Irit potion (unf),101
1743645600,1303.0,1299.0,14209,7040,2025-04-03 02:00:00,Irit potion (unf),101
1743649200,1292.0,1251.0,429,629,2025-04-03 03:00:00,Irit potion (unf),101
1743652800,1313.0,1253.0,22936,1627,2025-04-03 04:00:00,Irit potion (unf),101
1743656400,1324.0,1300.0,5114,249,2025-04-03 05:00:00,Irit potion (unf),101
1743660000,1327.0,1300.0,2017,461,2025-04-03 06:00:00,Irit potion (unf),101
1743663600,1328.0,1304.0,4371,902,2025-04-03 07:00:00,Irit potion (unf),101
1743667200,1326.0,1304.0,2622,463,2025-04-03 08:00:00,Irit potion (unf),101
1743670800,1325.0,1303.0,3904,539,2025-04-03 09:00:00,Irit potion (unf),101
1743674400,1326.0,1296.0,700,420,2025-04-03 10:00:00,Irit potion (unf),101
1743678000,1334.0,1339.0,13411,8187,2025-04-03 11:00:00,Irit potion (unf),101
1743681600,1348.0,1312.0,14576,20154,2025-04-03 12:00:00,Irit potion (unf),101
1743685200,1347.0,1298.0,14464,7483,2025-04-03 13:00:00,Irit potion (unf),101
1743688800,1344.0,1304.0,4702,840,2025-04-03 14:00:00,Irit potion (unf),101
1743692400,1333.0,1341.0,6167,3644,2025-04-03 15:00:00,Irit potion (unf),101
1743696000,1341.0,1321.0,1176,2690,2025-04-03 16:00:00,Irit potion (unf),101
