timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,12500444.0,12395184.0,10,19,2025-04-01 00:00:00,Justiciar chestguard,22327
1743469200,12504517.0,12397712.0,5,16,2025-04-01 01:00:00,Justiciar chestguard,22327
1743472800,12552255.0,12411601.0,5,18,2025-04-01 02:00:00,Justiciar chestguard,22327
1743476400,12491254.0,12354566.0,8,18,2025-04-01 03:00:00,Justiciar chestguard,22327
1743480000,12526439.0,12388803.0,4,18,2025-04-01 04:00:00,Justiciar chestguard,22327
1743483600,12492764.0,12407461.0,4,7,2025-04-01 05:00:00,Justiciar chestguard,22327
1743487200,12396532.0,12338296.0,6,8,2025-04-01 06:00:00,Justiciar chestguard,22327
1743490800,,12282682.0,0,7,2025-04-01 07:00:00,Justiciar chestguard,22327
1743494400,12436635.0,12285000.0,1,12,2025-04-01 08:00:00,Justiciar chestguard,22327
1743498000,12429795.0,12306944.0,2,18,2025-04-01 09:00:00,Justiciar chestguard,22327
1743501600,12408334.0,12252025.0,3,7,2025-04-01 10:00:00,Justiciar chestguard,22327
1743505200,12478183.0,12276613.0,2,5,2025-04-01 11:00:00,Justiciar chestguard,22327
1743508800,12523407.0,12381261.0,5,5,2025-04-01 12:00:00,Justiciar chestguard,22327
1743512400,12443150.0,12319601.0,7,11,2025-04-01 13:00:00,Justiciar chestguard,22327
1743516000,12453607.0,12349391.0,3,5,2025-04-01 14:00:00,Justiciar chestguard,22327
1743519600,12446475.0,12330590.0,5,14,2025-04-01 15:00:00,Justiciar chestguard,22327
1743523200,12421091.0,12269251.0,7,7,2025-04-01 16:00:00,Justiciar chestguard,22327
1743526800,12557913.0,12409327.0,6,11,2025-04-01 17:00:00,Justiciar chestguard,22327
1743530400,12587148.0,12400820.0,2,12,2025-04-01 18:00:00,Justiciar chestguard,22327
1743534000,12459162.0,12426788.0,6,20,2025-04-01 19:00:00,Justiciar chestguard,22327
1743537600,12787274.0,12537135.0,3,17,2025-04-01 20:00:00,Justiciar chestguard,22327
1743541200,12612165.0,12469664.0,7,23,2025-04-01 21:00:00,Justiciar chestguard,22327
1743544800,12399211.0,12219762.0,8,10,2025-04-01 22:00:00,Justiciar chestguard,22327
1743548400,12383650.0,12200431.0,9,11,2025-04-01 23:00:00,Justiciar chestguard,22327
1743552000,12359648.0,12233489.0,7,25,2025-04-02 00:00:00,Justiciar chestguard,22327
1743555600,12342635.0,12171938.0,7,17,2025-04-02 01:00:00,Justiciar chestguard,22327
1743559200,12300789.0,12126916.0,7,10,2025-04-02 02:00:00,Justiciar chestguard,22327
1743562800,12301264.0,12153416.0,4,13,2025-04-02 03:00:00,Justiciar chestguard,22327
1743566400,12292268.0,12198944.0,3,9,2025-04-02 04:00:00,Justiciar chestguard,22327
1743570000,12309014.0,12197301.0,2,8,2025-04-02 05:00:00,Justiciar chestguard,22327
1743573600,12302014.0,12077088.0,1,10,2025-04-02 06:00:00,Justiciar chestguard,22327
1743577200,12283561.0,12098283.0,4,9,2025-04-02 07:00:00,Justiciar chestguard,22327
1743580800,12260066.0,12099240.0,3,5,2025-04-02 08:00:00,Justiciar chestguard,22327
1743584400,12269524.0,12101815.0,4,2,2025-04-02 09:00:00,Justiciar chestguard,22327
1743588000,12199999.0,12149334.0,1,5,2025-04-02 10:00:00,Justiciar chestguard,22327
1743591600,12336362.0,12207222.0,2,12,2025-04-02 11:00:00,Justiciar chestguard,22327
1743595200,12374055.0,12160698.0,5,13,2025-04-02 12:00:00,Justiciar chestguard,22327
1743598800,12365378.0,12209474.0,3,12,2025-04-02 13:00:00,Justiciar chestguard,22327
1743602400,12249471.0,12160398.0,4,21,2025-04-02 14:00:00,Justiciar chestguard,22327
1743606000,12116540.0,12067283.0,5,9,2025-04-02 15:00:00,Justiciar chestguard,22327
1743609600,12092739.0,12071910.0,2,11,2025-04-02 16:00:00,Justiciar chestguard,22327
1743613200,12200306.0,12156317.0,8,12,2025-04-02 17:00:00,Justiciar chestguard,22327
1743616800,12264525.0,12148996.0,5,14,2025-04-02 18:00:00,Justiciar chestguard,22327
1743620400,12321234.0,12201204.0,5,11,2025-04-02 19:00:00,Justiciar chestguard,22327
1743624000,12253562.0,12121891.0,7,17,2025-04-02 20:00:00,Justiciar chestguard,22327
1743627600,12260570.0,12154303.0,17,20,2025-04-02 21:00:00,Justiciar chestguard,22327
1743631200,12270521.0,12143619.0,12,21,2025-04-02 22:00:00,Justiciar chestguard,22327
1743634800,12122819.0,12091943.0,6,11,2025-04-02 23:00:00,Justiciar chestguard,22327
1743638400,12230929.0,12142758.0,9,22,2025-04-03 00:00:00,Justiciar chestguard,22327
1743642000,12330717.0,12220537.0,9,26,2025-04-03 01:00:00,Justiciar chestguard,22327
1743645600,12305694.0,12169599.0,13,15,2025-04-03 02:00:00,Justiciar chestguard,22327
1743649200,12296921.0,12124854.0,15,6,2025-04-03 03:00:00,Justiciar chestguard,22327
1743652800,12279384.0,12105353.0,3,6,2025-04-03 04:00:00,Justiciar chestguard,22327
1743656400,12228925.0,12103539.0,8,6,2025-04-03 05:00:00,Justiciar chestguard,22327
1743660000,12025382.0,11883809.0,3,4,2025-04-03 06:00:00,Justiciar chestguard,22327
1743663600,12031163.0,11750000.0,5,1,2025-04-03 07:00:00,Justiciar chestguard,22327
1743667200,12117365.0,11941706.0,3,15,2025-04-03 08:00:00,Justiciar chestguard,22327
1743670800,12194279.0,12046698.0,5,8,2025-04-03 09:00:00,Justiciar chestguard,22327
1743674400,12261848.0,12075800.0,5,7,2025-04-03 10:00:00,Justiciar chestguard,22327
1743678000,12305932.0,12132800.0,7,11,2025-04-03 11:00:00,Justiciar chestguard,22327
1743681600,12321339.0,12250937.0,2,8,2025-04-03 12:00:00,Justiciar chestguard,22327
1743685200,12306994.0,12187000.0,9,6,2025-04-03 13:00:00,Justiciar chestguard,22327
1743688800,12344720.0,12259262.0,5,6,2025-04-03 14:00:00,Justiciar chestguard,22327
1743692400,12372342.0,12266112.0,4,15,2025-04-03 15:00:00,Justiciar chestguard,22327
1743696000,12402005.0,12194481.0,2,11,2025-04-03 16:00:00,Justiciar chestguard,22327
1743699600,12270033.0,12148573.0,8,16,2025-04-03 17:00:00,Justiciar chestguard,22327
1743703200,12217166.0,12146143.0,11,16,2025-04-03 18:00:00,Justiciar chestguard,22327
1743706800,12248145.0,12145195.0,2,18,2025-04-03 19:00:00,Justiciar chestguard,22327
1743710400,11997937.0,11867023.0,5,17,2025-04-03 20:00:00,Justiciar chestguard,22327
1743714000,11984515.0,11857347.0,15,23,2025-04-03 21:00:00,Justiciar chestguard,22327
1743717600,11968117.0,11817032.0,9,16,2025-04-03 22:00:00,Justiciar chestguard,22327
1743721200,12150970.0,11992687.0,5,14,2025-04-03 23:00:00,Justiciar chestguard,22327
1743724800,12025998.0,11897740.0,8,10,2025-04-04 00:00:00,Justiciar chestguard,22327
1743728400,11943817.0,11735361.0,3,16,2025-04-04 01:00:00,Justiciar chestguard,22327
1743732000,11813343.0,11640998.0,5,8,2025-04-04 02:00:00,Justiciar chestguard,22327
1743735600,11804089.0,11660235.0,5,14,2025-04-04 03:00:00,Justiciar chestguard,22327
1743739200,11822529.0,11623241.0,4,8,2025-04-04 04:00:00,Justiciar chestguard,22327
1743742800,11787563.0,11573176.0,1,7,2025-04-04 05:00:00,Justiciar chestguard,22327
1743746400,11778370.0,11640261.0,2,7,2025-04-04 06:00:00,Justiciar chestguard,22327
1743750000,11757713.0,11630666.0,5,5,2025-04-04 07:00:00,Justiciar chestguard,22327
1743753600,11750407.0,11647335.0,2,10,2025-04-04 08:00:00,Justiciar chestguard,22327
1743757200,11932797.0,11720577.0,4,8,2025-04-04 09:00:00,Justiciar chestguard,22327
1743760800,12038160.0,11843233.0,3,6,2025-04-04 10:00:00,Justiciar chestguard,22327
1743764400,12019229.0,11918372.0,3,12,2025-04-04 11:00:00,Justiciar chestguard,22327
1743768000,12173181.0,12052792.0,3,10,2025-04-04 12:00:00,Justiciar chestguard,22327
1743771600,12260879.0,12058251.0,5,4,2025-04-04 13:00:00,Justiciar chestguard,22327
1743775200,12246853.0,12047846.0,4,13,2025-04-04 14:00:00,Justiciar chestguard,22327
1743778800,12232947.0,12066519.0,6,18,2025-04-04 15:00:00,Justiciar chestguard,22327
1743782400,12201884.0,12056719.0,3,11,2025-04-04 16:00:00,Justiciar chestguard,22327
1743786000,12149109.0,12006754.0,6,11,2025-04-04 17:00:00,Justiciar chestguard,22327
1743789600,12124929.0,11954005.0,7,16,2025-04-04 18:00:00,Justiciar chestguard,22327
1743793200,12109336.0,11922975.0,2,15,2025-04-04 19:00:00,Justiciar chestguard,22327
1743796800,11960322.0,11914813.0,9,14,2025-04-04 20:00:00,Justiciar chestguard,22327
1743800400,11905330.0,11830211.0,13,11,2025-04-04 21:00:00,Justiciar chestguard,22327
1743804000,11951723.0,11845023.0,2,16,2025-04-04 22:00:00,Justiciar chestguard,22327
1743807600,12824901.0,12288400.0,2,14,2025-04-04 23:00:00,Justiciar chestguard,22327
1743811200,12453593.0,12195706.0,10,9,2025-04-05 00:00:00,Justiciar chestguard,22327
1743814800,12382320.0,12140561.0,12,11,2025-04-05 01:00:00,Justiciar chestguard,22327
1743818400,12454306.0,12358397.0,5,12,2025-04-05 02:00:00,Justiciar chestguard,22327
1743822000,12637078.0,12325326.0,12,15,2025-04-05 03:00:00,Justiciar chestguard,22327
1743825600,12409752.0,12225455.0,10,12,2025-04-05 04:00:00,Justiciar chestguard,22327
1743829200,12421183.0,12226843.0,7,15,2025-04-05 05:00:00,Justiciar chestguard,22327
1743832800,12297207.0,12169454.0,6,8,2025-04-05 06:00:00,Justiciar chestguard,22327
1743836400,12684608.0,12503040.0,8,3,2025-04-05 07:00:00,Justiciar chestguard,22327
1743840000,12869120.0,12665728.0,6,7,2025-04-05 08:00:00,Justiciar chestguard,22327
1743843600,13063541.0,12802253.0,2,20,2025-04-05 09:00:00,Justiciar chestguard,22327
1743847200,13001245.0,12863571.0,5,9,2025-04-05 10:00:00,Justiciar chestguard,22327
1743850800,13142940.0,12935013.0,2,8,2025-04-05 11:00:00,Justiciar chestguard,22327
1743854400,13048999.0,12678835.0,6,14,2025-04-05 12:00:00,Justiciar chestguard,22327
1743858000,12883109.0,12728556.0,7,12,2025-04-05 13:00:00,Justiciar chestguard,22327
1743861600,12839979.0,12674423.0,3,7,2025-04-05 14:00:00,Justiciar chestguard,22327
1743865200,12850160.0,12599593.0,12,15,2025-04-05 15:00:00,Justiciar chestguard,22327
1743868800,12934723.0,12732988.0,4,14,2025-04-05 16:00:00,Justiciar chestguard,22327
1743872400,12863244.0,12713214.0,11,15,2025-04-05 17:00:00,Justiciar chestguard,22327
1743876000,12798352.0,12600151.0,8,17,2025-04-05 18:00:00,Justiciar chestguard,22327
1743879600,12752880.0,12594193.0,13,19,2025-04-05 19:00:00,Justiciar chestguard,22327
1743883200,12786642.0,12658618.0,5,24,2025-04-05 20:00:00,Justiciar chestguard,22327
1743886800,12840553.0,12663619.0,7,29,2025-04-05 21:00:00,Justiciar chestguard,22327
1743890400,12997539.0,12745104.0,7,15,2025-04-05 22:00:00,Justiciar chestguard,22327
1743894000,12962629.0,12788608.0,10,19,2025-04-05 23:00:00,Justiciar chestguard,22327
1743897600,12858160.0,12714859.0,6,16,2025-04-06 00:00:00,Justiciar chestguard,22327
1743901200,12819238.0,12599315.0,6,18,2025-04-06 01:00:00,Justiciar chestguard,22327
1743904800,12635576.0,12440128.0,5,16,2025-04-06 02:00:00,Justiciar chestguard,22327
1743908400,12670307.0,12534987.0,6,25,2025-04-06 03:00:00,Justiciar chestguard,22327
1743912000,12857478.0,12695162.0,5,15,2025-04-06 04:00:00,Justiciar chestguard,22327
1743915600,12833307.0,12653639.0,5,16,2025-04-06 05:00:00,Justiciar chestguard,22327
1743919200,12794456.0,12652336.0,4,13,2025-04-06 06:00:00,Justiciar chestguard,22327
1743922800,12819034.0,12696905.0,5,16,2025-04-06 07:00:00,Justiciar chestguard,22327
1743926400,12833782.0,12698069.0,4,7,2025-04-06 08:00:00,Justiciar chestguard,22327
1743930000,12914293.0,12751025.0,9,8,2025-04-06 09:00:00,Justiciar chestguard,22327
1743933600,12941395.0,12719094.0,2,11,2025-04-06 10:00:00,Justiciar chestguard,22327
1743937200,12891904.0,12759682.0,9,8,2025-04-06 11:00:00,Justiciar chestguard,22327
1743940800,12860816.0,12719696.0,1,9,2025-04-06 12:00:00,Justiciar chestguard,22327
1743944400,12943538.0,12791678.0,8,13,2025-04-06 13:00:00,Justiciar chestguard,22327
1743948000,12898927.0,12802258.0,3,12,2025-04-06 14:00:00,Justiciar chestguard,22327
1743951600,13433534.0,12997119.0,4,8,2025-04-06 15:00:00,Justiciar chestguard,22327
1743955200,13261821.0,13030544.0,11,23,2025-04-06 16:00:00,Justiciar chestguard,22327
1743958800,13118969.0,12967458.0,9,38,2025-04-06 17:00:00,Justiciar chestguard,22327
1743962400,13020255.0,12837896.0,9,25,2025-04-06 18:00:00,Justiciar chestguard,22327
1743966000,12951477.0,12775799.0,14,36,2025-04-06 19:00:00,Justiciar chestguard,22327
1743969600,12948881.0,12767995.0,14,23,2025-04-06 20:00:00,Justiciar chestguard,22327
1743973200,12792078.0,12664242.0,5,19,2025-04-06 21:00:00,Justiciar chestguard,22327
1743976800,12910405.0,12629402.0,13,16,2025-04-06 22:00:00,Justiciar chestguard,22327
1743980400,12723354.0,12594462.0,9,9,2025-04-06 23:00:00,Justiciar chestguard,22327
1743984000,12802001.0,12677534.0,6,8,2025-04-07 00:00:00,Justiciar chestguard,22327
