timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,111446200,110282077.0,33,14,2025-04-01 00:00:00,Kodai wand,21006
1743469200,111367957,110409148.0,17,13,2025-04-01 01:00:00,Kodai wand,21006
1743472800,111538479,110356343.0,11,15,2025-04-01 02:00:00,Kodai wand,21006
1743476400,111417182,110194055.0,16,18,2025-04-01 03:00:00,Kodai wand,21006
1743480000,111536073,110304337.0,12,18,2025-04-01 04:00:00,Kodai wand,21006
1743483600,111046254,110241811.0,21,10,2025-04-01 05:00:00,Kodai wand,21006
1743487200,111437665,109974585.0,8,5,2025-04-01 06:00:00,Kodai wand,21006
1743490800,110726038,110535533.0,2,4,2025-04-01 07:00:00,Kodai wand,21006
1743494400,111602305,110160279.0,5,4,2025-04-01 08:00:00,Kodai wand,21006
1743498000,111453527,110385877.0,6,10,2025-04-01 09:00:00,Kodai wand,21006
1743501600,111527841,110280351.0,8,5,2025-04-01 10:00:00,Kodai wand,21006
1743505200,111178835,109833652.0,11,11,2025-04-01 11:00:00,Kodai wand,21006
1743508800,110954455,110385679.0,11,7,2025-04-01 12:00:00,Kodai wand,21006
1743512400,111341438,110366056.0,5,3,2025-04-01 13:00:00,Kodai wand,21006
1743516000,111168811,110351474.0,18,13,2025-04-01 14:00:00,Kodai wand,21006
1743519600,111218886,110165985.0,11,7,2025-04-01 15:00:00,Kodai wand,21006
1743523200,111112211,110713251.0,18,4,2025-04-01 16:00:00,Kodai wand,21006
1743526800,111197605,110570412.0,14,16,2025-04-01 17:00:00,Kodai wand,21006
1743530400,110850729,109818359.0,10,21,2025-04-01 18:00:00,Kodai wand,21006
1743534000,110716980,109820972.0,23,14,2025-04-01 19:00:00,Kodai wand,21006
1743537600,110409187,109585195.0,25,20,2025-04-01 20:00:00,Kodai wand,21006
1743541200,110662976,109257801.0,18,18,2025-04-01 21:00:00,Kodai wand,21006
1743544800,110115070,109304844.0,26,13,2025-04-01 22:00:00,Kodai wand,21006
1743548400,109620783,108527937.0,14,24,2025-04-01 23:00:00,Kodai wand,21006
1743552000,109891109,108806307.0,29,12,2025-04-02 00:00:00,Kodai wand,21006
1743555600,110066221,108995226.0,16,16,2025-04-02 01:00:00,Kodai wand,21006
1743559200,110145539,108975305.0,30,27,2025-04-02 02:00:00,Kodai wand,21006
1743562800,110185604,108909702.0,14,14,2025-04-02 03:00:00,Kodai wand,21006
1743566400,109839389,109016373.0,12,8,2025-04-02 04:00:00,Kodai wand,21006
1743570000,110027583,108656175.0,8,13,2025-04-02 05:00:00,Kodai wand,21006
1743573600,109769628,108532652.0,12,9,2025-04-02 06:00:00,Kodai wand,21006
1743577200,109646179,108336196.0,5,6,2025-04-02 07:00:00,Kodai wand,21006
1743580800,109447216,108312543.0,9,11,2025-04-02 08:00:00,Kodai wand,21006
1743584400,109380746,108205789.0,9,3,2025-04-02 09:00:00,Kodai wand,21006
1743588000,109338066,108115089.0,1,3,2025-04-02 10:00:00,Kodai wand,21006
1743591600,109371859,108065388.0,8,8,2025-04-02 11:00:00,Kodai wand,21006
1743595200,109865531,109003882.0,6,9,2025-04-02 12:00:00,Kodai wand,21006
1743598800,109831161,108313777.0,10,12,2025-04-02 13:00:00,Kodai wand,21006
1743602400,109569278,108714193.0,8,4,2025-04-02 14:00:00,Kodai wand,21006
1743606000,109507162,108664365.0,11,18,2025-04-02 15:00:00,Kodai wand,21006
1743609600,109332900,108457701.0,30,13,2025-04-02 16:00:00,Kodai wand,21006
1743613200,109639289,108795813.0,31,10,2025-04-02 17:00:00,Kodai wand,21006
1743616800,109690553,108725509.0,15,17,2025-04-02 18:00:00,Kodai wand,21006
1743620400,109702531,108675578.0,10,23,2025-04-02 19:00:00,Kodai wand,21006
1743624000,109576542,108374706.0,22,21,2025-04-02 20:00:00,Kodai wand,21006
1743627600,109526649,108369860.0,24,24,2025-04-02 21:00:00,Kodai wand,21006
1743631200,109083703,108868027.0,22,12,2025-04-02 22:00:00,Kodai wand,21006
1743634800,109524726,108611507.0,25,14,2025-04-02 23:00:00,Kodai wand,21006
