timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2930,2901,874,1346,2025-04-01 00:00:00,Kwuarm,263
1743469200,2913,2907,23,3064,2025-04-01 01:00:00,Kwuarm,263
1743472800,2949,2942,4079,17365,2025-04-01 02:00:00,Kwuarm,263
1743476400,2755,2832,1977,27660,2025-04-01 03:00:00,Kwuarm,263
1743480000,2806,2719,4850,3296,2025-04-01 04:00:00,Kwuarm,263
1743483600,2094,2694,86285,128043,2025-04-01 05:00:00,Kwuarm,263
1743487200,2893,2728,5115,710,2025-04-01 06:00:00,Kwuarm,263
1743490800,2892,2736,5153,2563,2025-04-01 07:00:00,Kwuarm,263
1743494400,2804,2776,399,1467,2025-04-01 08:00:00,Kwuarm,263
1743498000,2885,2787,2916,1986,2025-04-01 09:00:00,Kwuarm,263
1743501600,2821,2796,5846,2540,2025-04-01 10:00:00,Kwuarm,263
1743505200,2808,2797,3132,732,2025-04-01 11:00:00,Kwuarm,263
1743508800,2840,2853,2941,2393,2025-04-01 12:00:00,Kwuarm,263
1743512400,2869,2856,10114,2399,2025-04-01 13:00:00,Kwuarm,263
1743516000,2856,2819,7044,1405,2025-04-01 14:00:00,Kwuarm,263
1743519600,2856,2857,2398,6619,2025-04-01 15:00:00,Kwuarm,263
1743523200,2859,2847,19890,8161,2025-04-01 16:00:00,Kwuarm,263
1743526800,2868,2826,6733,4838,2025-04-01 17:00:00,Kwuarm,263
1743530400,2849,2818,488,396,2025-04-01 18:00:00,Kwuarm,263
1743534000,2853,2825,3321,4198,2025-04-01 19:00:00,Kwuarm,263
1743537600,2839,2822,82,2450,2025-04-01 20:00:00,Kwuarm,263
1743541200,2841,2848,1755,3811,2025-04-01 21:00:00,Kwuarm,263
1743544800,2856,2830,1056,2368,2025-04-01 22:00:00,Kwuarm,263
1743548400,2851,2814,2107,1299,2025-04-01 23:00:00,Kwuarm,263
1743552000,2830,2824,1329,2993,2025-04-02 00:00:00,Kwuarm,263
1743555600,2858,2856,9174,10749,2025-04-02 01:00:00,Kwuarm,263
1743559200,2915,2876,4847,2934,2025-04-02 02:00:00,Kwuarm,263
1743562800,2942,2865,1347,1801,2025-04-02 03:00:00,Kwuarm,263
1743566400,2907,2863,1888,2709,2025-04-02 04:00:00,Kwuarm,263
1743570000,2898,2864,1707,3553,2025-04-02 05:00:00,Kwuarm,263
1743573600,2901,2935,2907,3968,2025-04-02 06:00:00,Kwuarm,263
1743577200,2896,2873,1239,2660,2025-04-02 07:00:00,Kwuarm,263
1743580800,2895,2878,54,1291,2025-04-02 08:00:00,Kwuarm,263
1743584400,2999,2865,373,1174,2025-04-02 09:00:00,Kwuarm,263
1743588000,2919,2858,396,5251,2025-04-02 10:00:00,Kwuarm,263
1743591600,2949,2868,2769,8009,2025-04-02 11:00:00,Kwuarm,263
1743595200,2899,2925,3117,1639,2025-04-02 12:00:00,Kwuarm,263
1743598800,2931,3185,2347,2858,2025-04-02 13:00:00,Kwuarm,263
1743602400,2877,2952,479,1286,2025-04-02 14:00:00,Kwuarm,263
1743606000,3395,3016,3042,1909,2025-04-02 15:00:00,Kwuarm,263
1743609600,3269,3023,7469,17708,2025-04-02 16:00:00,Kwuarm,263
1743613200,3308,3144,2130,3039,2025-04-02 17:00:00,Kwuarm,263
1743616800,3202,3053,2324,10078,2025-04-02 18:00:00,Kwuarm,263
1743620400,3069,3026,1057,7229,2025-04-02 19:00:00,Kwuarm,263
1743624000,2902,2975,2102,3062,2025-04-02 20:00:00,Kwuarm,263
1743627600,2869,2839,1546,1391,2025-04-02 21:00:00,Kwuarm,263
1743631200,2853,2829,394,4014,2025-04-02 22:00:00,Kwuarm,263
1743634800,2869,2852,772,1863,2025-04-02 23:00:00,Kwuarm,263
1743638400,2856,2852,4722,3315,2025-04-03 00:00:00,Kwuarm,263
1743642000,2870,2831,936,5304,2025-04-03 01:00:00,Kwuarm,263
1743645600,2852,2815,602,1626,2025-04-03 02:00:00,Kwuarm,263
1743649200,2930,2924,369,2477,2025-04-03 03:00:00,Kwuarm,263
1743652800,2999,2882,3403,2348,2025-04-03 04:00:00,Kwuarm,263
1743656400,2947,2986,140,2446,2025-04-03 05:00:00,Kwuarm,263
1743660000,3037,2911,362,2853,2025-04-03 06:00:00,Kwuarm,263
1743663600,3056,2962,7382,2050,2025-04-03 07:00:00,Kwuarm,263
1743667200,3047,2998,1070,791,2025-04-03 08:00:00,Kwuarm,263
1743670800,3070,2935,460,1259,2025-04-03 09:00:00,Kwuarm,263
1743674400,3055,2878,4742,1341,2025-04-03 10:00:00,Kwuarm,263
1743678000,3013,2896,1074,2616,2025-04-03 11:00:00,Kwuarm,263
1743681600,2901,2886,5881,1880,2025-04-03 12:00:00,Kwuarm,263
1743685200,2923,2877,10797,2110,2025-04-03 13:00:00,Kwuarm,263
1743688800,3079,3034,12172,3483,2025-04-03 14:00:00,Kwuarm,263
1743692400,3102,2965,888,7321,2025-04-03 15:00:00,Kwuarm,263
1743696000,3222,2973,9422,3545,2025-04-03 16:00:00,Kwuarm,263
1743699600,3358,3290,1124,14717,2025-04-03 17:00:00,Kwuarm,263
1743703200,2900,2937,12,9166,2025-04-03 18:00:00,Kwuarm,263
1743706800,2890,2877,351,2060,2025-04-03 19:00:00,Kwuarm,263
1743710400,2890,2875,1289,2965,2025-04-03 20:00:00,Kwuarm,263
1743714000,2880,2878,588,4584,2025-04-03 21:00:00,Kwuarm,263
1743717600,2884,2879,205,4125,2025-04-03 22:00:00,Kwuarm,263
1743721200,2896,2874,632,4654,2025-04-03 23:00:00,Kwuarm,263
1743724800,2915,2876,557,3485,2025-04-04 00:00:00,Kwuarm,263
1743728400,2882,2874,2426,4246,2025-04-04 01:00:00,Kwuarm,263
1743732000,2889,2880,2128,2876,2025-04-04 02:00:00,Kwuarm,263
1743735600,2910,2881,2066,1629,2025-04-04 03:00:00,Kwuarm,263
1743739200,2883,2874,969,3556,2025-04-04 04:00:00,Kwuarm,263
