timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1683784,1658184,37,20,2025-04-01 00:00:00,Mage's book,6889
1743469200,1684655,1662900,24,23,2025-04-01 01:00:00,Mage's book,6889
1743472800,1675431,1650962,22,22,2025-04-01 02:00:00,Mage's book,6889
1743476400,1674673,1647240,27,16,2025-04-01 03:00:00,Mage's book,6889
1743480000,1673041,1645207,31,14,2025-04-01 04:00:00,Mage's book,6889
1743483600,1676276,1651654,20,14,2025-04-01 05:00:00,Mage's book,6889
1743487200,1670271,1642594,11,10,2025-04-01 06:00:00,Mage's book,6889
1743490800,1675010,1653995,14,10,2025-04-01 07:00:00,Mage's book,6889
1743494400,1667354,1649597,17,7,2025-04-01 08:00:00,Mage's book,6889
1743498000,1686208,1663915,10,5,2025-04-01 09:00:00,Mage's book,6889
1743501600,1686183,1662649,11,9,2025-04-01 10:00:00,Mage's book,6889
1743505200,1681529,1655590,7,12,2025-04-01 11:00:00,Mage's book,6889
1743508800,1673004,1648970,26,10,2025-04-01 12:00:00,Mage's book,6889
1743512400,1686401,1663071,21,10,2025-04-01 13:00:00,Mage's book,6889
1743516000,1682845,1659814,14,15,2025-04-01 14:00:00,Mage's book,6889
1743519600,1685225,1664118,19,18,2025-04-01 15:00:00,Mage's book,6889
1743523200,1686349,1662304,40,15,2025-04-01 16:00:00,Mage's book,6889
1743526800,1688236,1665943,34,20,2025-04-01 17:00:00,Mage's book,6889
1743530400,1687916,1662768,21,23,2025-04-01 18:00:00,Mage's book,6889
1743534000,1686802,1664378,37,24,2025-04-01 19:00:00,Mage's book,6889
1743537600,1687296,1663543,34,23,2025-04-01 20:00:00,Mage's book,6889
1743541200,1683573,1660513,19,31,2025-04-01 21:00:00,Mage's book,6889
1743544800,1664453,1655765,31,38,2025-04-01 22:00:00,Mage's book,6889
1743548400,1634750,1618269,13,24,2025-04-01 23:00:00,Mage's book,6889
1743552000,1646554,1632111,8,14,2025-04-02 00:00:00,Mage's book,6889
1743555600,1672586,1641717,31,14,2025-04-02 01:00:00,Mage's book,6889
1743559200,1682777,1662198,45,21,2025-04-02 02:00:00,Mage's book,6889
1743562800,1680568,1656783,23,33,2025-04-02 03:00:00,Mage's book,6889
1743566400,1680522,1657091,14,17,2025-04-02 04:00:00,Mage's book,6889
1743570000,1676704,1657665,17,15,2025-04-02 05:00:00,Mage's book,6889
1743573600,1680089,1656927,15,15,2025-04-02 06:00:00,Mage's book,6889
1743577200,1687399,1662965,14,16,2025-04-02 07:00:00,Mage's book,6889
1743580800,1684619,1660787,10,9,2025-04-02 08:00:00,Mage's book,6889
1743584400,1681583,1661731,11,10,2025-04-02 09:00:00,Mage's book,6889
1743588000,1697154,1657282,9,7,2025-04-02 10:00:00,Mage's book,6889
1743591600,1717205,1673761,15,10,2025-04-02 11:00:00,Mage's book,6889
1743595200,1724535,1675567,25,5,2025-04-02 12:00:00,Mage's book,6889
1743598800,1739982,1700841,5,22,2025-04-02 13:00:00,Mage's book,6889
1743602400,1716471,1671689,33,13,2025-04-02 14:00:00,Mage's book,6889
1743606000,1727006,1699857,18,21,2025-04-02 15:00:00,Mage's book,6889
1743609600,1746614,1720011,18,24,2025-04-02 16:00:00,Mage's book,6889
1743613200,1736264,1704399,24,26,2025-04-02 17:00:00,Mage's book,6889
1743616800,1739425,1700987,25,28,2025-04-02 18:00:00,Mage's book,6889
1743620400,1715041,1692814,31,17,2025-04-02 19:00:00,Mage's book,6889
1743624000,1717568,1694724,33,30,2025-04-02 20:00:00,Mage's book,6889
1743627600,1723228,1704884,39,24,2025-04-02 21:00:00,Mage's book,6889
1743631200,1717268,1696027,24,16,2025-04-02 22:00:00,Mage's book,6889
