timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1017,1008,56563,124086,2025-04-01 00:00:00,Magic logs,1513
1743469200,1010,1005,43331,180264,2025-04-01 01:00:00,Magic logs,1513
1743472800,1010,1008,39473,84357,2025-04-01 02:00:00,Magic logs,1513
1743476400,1015,1009,64187,88100,2025-04-01 03:00:00,Magic logs,1513
1743480000,1007,1002,44604,64613,2025-04-01 04:00:00,Magic logs,1513
1743483600,1035,1010,39412,58304,2025-04-01 05:00:00,Magic logs,1513
1743487200,1033,1016,38762,36493,2025-04-01 06:00:00,Magic logs,1513
1743490800,1024,1012,77570,49725,2025-04-01 07:00:00,Magic logs,1513
1743494400,1018,1010,16129,49509,2025-04-01 08:00:00,Magic logs,1513
1743498000,1041,1016,49278,36634,2025-04-01 09:00:00,Magic logs,1513
1743501600,1045,1027,57222,51627,2025-04-01 10:00:00,Magic logs,1513
1743505200,1035,1020,63032,99162,2025-04-01 11:00:00,Magic logs,1513
1743508800,1033,1013,46397,69399,2025-04-01 12:00:00,Magic logs,1513
1743512400,1034,1033,20164,72510,2025-04-01 13:00:00,Magic logs,1513
1743516000,1031,1021,47143,87771,2025-04-01 14:00:00,Magic logs,1513
1743519600,1043,1029,55028,114377,2025-04-01 15:00:00,Magic logs,1513
1743523200,1031,1020,82652,108967,2025-04-01 16:00:00,Magic logs,1513
1743526800,1044,1043,56254,90326,2025-04-01 17:00:00,Magic logs,1513
1743530400,1055,1034,64782,115880,2025-04-01 18:00:00,Magic logs,1513
1743534000,1042,1029,72144,96063,2025-04-01 19:00:00,Magic logs,1513
1743537600,1044,1026,67092,127524,2025-04-01 20:00:00,Magic logs,1513
1743541200,1051,1028,29328,85601,2025-04-01 21:00:00,Magic logs,1513
1743544800,1045,1033,57503,120842,2025-04-01 22:00:00,Magic logs,1513
1743548400,1045,1032,37599,118189,2025-04-01 23:00:00,Magic logs,1513
1743552000,1060,1042,41987,82023,2025-04-02 00:00:00,Magic logs,1513
1743555600,1053,1031,74285,140893,2025-04-02 01:00:00,Magic logs,1513
1743559200,1056,1043,86819,109074,2025-04-02 02:00:00,Magic logs,1513
1743562800,1053,1036,61625,135892,2025-04-02 03:00:00,Magic logs,1513
1743566400,1057,1032,40298,103281,2025-04-02 04:00:00,Magic logs,1513
1743570000,1041,1032,20198,115298,2025-04-02 05:00:00,Magic logs,1513
1743573600,1045,1031,34709,49375,2025-04-02 06:00:00,Magic logs,1513
1743577200,1048,1042,20649,55854,2025-04-02 07:00:00,Magic logs,1513
1743580800,1068,1056,9502,46006,2025-04-02 08:00:00,Magic logs,1513
1743584400,1056,1047,37888,67067,2025-04-02 09:00:00,Magic logs,1513
1743588000,1055,1051,42356,60306,2025-04-02 10:00:00,Magic logs,1513
1743591600,1064,1030,75022,89572,2025-04-02 11:00:00,Magic logs,1513
1743595200,1063,1051,46296,68677,2025-04-02 12:00:00,Magic logs,1513
1743598800,1066,1050,46948,103229,2025-04-02 13:00:00,Magic logs,1513
1743602400,1053,1044,38356,74547,2025-04-02 14:00:00,Magic logs,1513
1743606000,1042,1027,37990,176964,2025-04-02 15:00:00,Magic logs,1513
1743609600,1057,1043,44757,90379,2025-04-02 16:00:00,Magic logs,1513
1743613200,1064,1046,97806,85432,2025-04-02 17:00:00,Magic logs,1513
1743616800,1056,1043,149793,155277,2025-04-02 18:00:00,Magic logs,1513
1743620400,1048,1044,54424,129353,2025-04-02 19:00:00,Magic logs,1513
1743624000,1061,1045,83672,108557,2025-04-02 20:00:00,Magic logs,1513
1743627600,1055,1043,128328,98025,2025-04-02 21:00:00,Magic logs,1513
1743631200,1061,1046,109661,93728,2025-04-02 22:00:00,Magic logs,1513
1743634800,1054,1044,91433,91283,2025-04-02 23:00:00,Magic logs,1513
