timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,1122.0,1097,32410,57591,2025-04-01 00:00:00,Magic longbow (u),70
1743469200,1112.0,1101,31627,77701,2025-04-01 01:00:00,Magic longbow (u),70
1743472800,1122.0,1103,16362,24561,2025-04-01 02:00:00,Magic longbow (u),70
1743476400,1110.0,1095,16369,25638,2025-04-01 03:00:00,Magic longbow (u),70
1743480000,1102.0,1102,6874,28516,2025-04-01 04:00:00,Magic longbow (u),70
1743483600,1126.0,1103,3887,52543,2025-04-01 05:00:00,Magic longbow (u),70
1743487200,1114.0,1089,39934,64496,2025-04-01 06:00:00,Magic longbow (u),70
1743490800,1123.0,1103,352,14352,2025-04-01 07:00:00,Magic longbow (u),70
1743494400,1123.0,1113,4656,8510,2025-04-01 08:00:00,Magic longbow (u),70
1743498000,1127.0,1110,2488,3454,2025-04-01 09:00:00,Magic longbow (u),70
1743501600,1117.0,1142,22418,4035,2025-04-01 10:00:00,Magic longbow (u),70
1743505200,1141.0,1128,36396,52260,2025-04-01 11:00:00,Magic longbow (u),70
1743508800,1136.0,1116,38180,7629,2025-04-01 12:00:00,Magic longbow (u),70
1743512400,1131.0,1106,38624,54061,2025-04-01 13:00:00,Magic longbow (u),70
1743516000,1113.0,1102,64063,23883,2025-04-01 14:00:00,Magic longbow (u),70
1743519600,1167.0,1148,13462,22100,2025-04-01 15:00:00,Magic longbow (u),70
1743523200,1168.0,1156,22894,77768,2025-04-01 16:00:00,Magic longbow (u),70
1743526800,1153.0,1138,8067,92409,2025-04-01 17:00:00,Magic longbow (u),70
1743530400,1143.0,1126,28765,86644,2025-04-01 18:00:00,Magic longbow (u),70
1743534000,1156.0,1126,23372,64221,2025-04-01 19:00:00,Magic longbow (u),70
1743537600,1142.0,1125,35945,37362,2025-04-01 20:00:00,Magic longbow (u),70
1743541200,1161.0,1154,12470,69406,2025-04-01 21:00:00,Magic longbow (u),70
1743544800,1148.0,1130,12729,50013,2025-04-01 22:00:00,Magic longbow (u),70
1743548400,1148.0,1110,26707,128414,2025-04-01 23:00:00,Magic longbow (u),70
1743552000,1138.0,1118,9053,14177,2025-04-02 00:00:00,Magic longbow (u),70
1743555600,1137.0,1118,17673,71869,2025-04-02 01:00:00,Magic longbow (u),70
1743559200,1140.0,1127,19199,96993,2025-04-02 02:00:00,Magic longbow (u),70
1743562800,1145.0,1108,12730,28693,2025-04-02 03:00:00,Magic longbow (u),70
1743566400,1139.0,1134,14116,65891,2025-04-02 04:00:00,Magic longbow (u),70
1743570000,1158.0,1137,50807,30185,2025-04-02 05:00:00,Magic longbow (u),70
1743573600,1142.0,1147,26701,45695,2025-04-02 06:00:00,Magic longbow (u),70
