timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,26678.0,26124,328,490,2025-04-01 00:00:00,Magpie impling jar,11252
1743469200,26421.0,26136,230,930,2025-04-01 01:00:00,Magpie impling jar,11252
1743472800,,26051,0,1777,2025-04-01 02:00:00,Magpie impling jar,11252
1743476400,26317.0,26080,558,1282,2025-04-01 03:00:00,Magpie impling jar,11252
1743480000,26421.0,26064,1152,1709,2025-04-01 04:00:00,Magpie impling jar,11252
1743483600,26402.0,26051,20,872,2025-04-01 05:00:00,Magpie impling jar,11252
1743487200,26423.0,26069,629,1263,2025-04-01 06:00:00,Magpie impling jar,11252
1743490800,26423.0,26056,150,334,2025-04-01 07:00:00,Magpie impling jar,11252
1743494400,26387.0,26082,111,574,2025-04-01 08:00:00,Magpie impling jar,11252
1743498000,26423.0,26057,335,615,2025-04-01 09:00:00,Magpie impling jar,11252
1743501600,26361.0,26290,435,314,2025-04-01 10:00:00,Magpie impling jar,11252
1743505200,26175.0,26057,44,211,2025-04-01 11:00:00,Magpie impling jar,11252
1743508800,,26058,0,579,2025-04-01 12:00:00,Magpie impling jar,11252
1743512400,26100.0,26059,557,782,2025-04-01 13:00:00,Magpie impling jar,11252
1743516000,26183.0,26060,320,1568,2025-04-01 14:00:00,Magpie impling jar,11252
1743519600,26251.0,26060,450,386,2025-04-01 15:00:00,Magpie impling jar,11252
1743523200,26377.0,26282,336,1553,2025-04-01 16:00:00,Magpie impling jar,11252
1743526800,26388.0,26073,304,927,2025-04-01 17:00:00,Magpie impling jar,11252
1743530400,26200.0,26064,38,568,2025-04-01 18:00:00,Magpie impling jar,11252
1743534000,26406.0,26064,335,1384,2025-04-01 19:00:00,Magpie impling jar,11252
1743537600,26413.0,26064,545,904,2025-04-01 20:00:00,Magpie impling jar,11252
1743541200,26242.0,26073,15,1335,2025-04-01 21:00:00,Magpie impling jar,11252
1743544800,26385.0,26291,153,1838,2025-04-01 22:00:00,Magpie impling jar,11252
1743548400,26595.0,26571,99,956,2025-04-01 23:00:00,Magpie impling jar,11252
1743552000,26993.0,26514,1230,962,2025-04-02 00:00:00,Magpie impling jar,11252
1743555600,26830.0,26505,252,5720,2025-04-02 01:00:00,Magpie impling jar,11252
1743559200,26647.0,26364,1102,4535,2025-04-02 02:00:00,Magpie impling jar,11252
1743562800,26409.0,26134,47,1520,2025-04-02 03:00:00,Magpie impling jar,11252
1743566400,26403.0,26133,135,540,2025-04-02 04:00:00,Magpie impling jar,11252
1743570000,26429.0,26385,238,688,2025-04-02 05:00:00,Magpie impling jar,11252
1743573600,26559.0,26304,204,246,2025-04-02 06:00:00,Magpie impling jar,11252
1743577200,26399.0,26138,402,471,2025-04-02 07:00:00,Magpie impling jar,11252
1743580800,26409.0,26143,177,838,2025-04-02 08:00:00,Magpie impling jar,11252
1743584400,,26137,0,341,2025-04-02 09:00:00,Magpie impling jar,11252
1743588000,26201.0,26137,332,1512,2025-04-02 10:00:00,Magpie impling jar,11252
1743591600,26395.0,26133,30,459,2025-04-02 11:00:00,Magpie impling jar,11252
1743595200,26395.0,26127,20,1672,2025-04-02 12:00:00,Magpie impling jar,11252
1743598800,26351.0,26111,87,957,2025-04-02 13:00:00,Magpie impling jar,11252
1743602400,26252.0,26112,80,1316,2025-04-02 14:00:00,Magpie impling jar,11252
1743606000,26174.0,26112,82,1093,2025-04-02 15:00:00,Magpie impling jar,11252
1743609600,26408.0,26191,421,2478,2025-04-02 16:00:00,Magpie impling jar,11252
1743613200,26469.0,26191,72,1572,2025-04-02 17:00:00,Magpie impling jar,11252
1743616800,26469.0,26156,31,799,2025-04-02 18:00:00,Magpie impling jar,11252
