timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,80723695.0,80321434,13,11,2025-04-01 00:00:00,Masori chaps (f),27241
1743469200,80753123.0,80129495,15,21,2025-04-01 01:00:00,Masori chaps (f),27241
1743472800,80504360.0,79923557,6,18,2025-04-01 02:00:00,Masori chaps (f),27241
1743476400,80527643.0,79562690,12,6,2025-04-01 03:00:00,Masori chaps (f),27241
1743480000,80682961.0,79519810,3,15,2025-04-01 04:00:00,Masori chaps (f),27241
1743483600,80166498.0,79656767,8,10,2025-04-01 05:00:00,Masori chaps (f),27241
1743487200,79912117.0,79064894,10,9,2025-04-01 06:00:00,Masori chaps (f),27241
1743490800,79736954.0,79227957,9,4,2025-04-01 07:00:00,Masori chaps (f),27241
1743494400,80423173.0,79555051,7,9,2025-04-01 08:00:00,Masori chaps (f),27241
1743498000,80451022.0,80083333,3,3,2025-04-01 09:00:00,Masori chaps (f),27241
1743501600,80204518.0,79312256,4,10,2025-04-01 10:00:00,Masori chaps (f),27241
1743505200,80312782.0,79444375,4,8,2025-04-01 11:00:00,Masori chaps (f),27241
1743508800,80272668.0,79619725,8,12,2025-04-01 12:00:00,Masori chaps (f),27241
1743512400,80486375.0,80155184,6,6,2025-04-01 13:00:00,Masori chaps (f),27241
1743516000,80383757.0,79772829,6,14,2025-04-01 14:00:00,Masori chaps (f),27241
1743519600,80468816.0,80057467,9,7,2025-04-01 15:00:00,Masori chaps (f),27241
1743523200,80679765.0,80077607,7,9,2025-04-01 16:00:00,Masori chaps (f),27241
1743526800,80682385.0,79993693,14,18,2025-04-01 17:00:00,Masori chaps (f),27241
1743530400,80565071.0,79811928,9,15,2025-04-01 18:00:00,Masori chaps (f),27241
1743534000,80377358.0,79536796,10,15,2025-04-01 19:00:00,Masori chaps (f),27241
1743537600,80132453.0,79384220,14,16,2025-04-01 20:00:00,Masori chaps (f),27241
1743541200,79859098.0,78953088,17,17,2025-04-01 21:00:00,Masori chaps (f),27241
1743544800,79777214.0,79184282,9,20,2025-04-01 22:00:00,Masori chaps (f),27241
