timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,974,951,55628,34634,2025-04-01 00:00:00,Mithril bar,2359
1743469200,972,947,30319,86527,2025-04-01 01:00:00,Mithril bar,2359
1743472800,946,928,90292,58481,2025-04-01 02:00:00,Mithril bar,2359
1743476400,934,922,33197,62843,2025-04-01 03:00:00,Mithril bar,2359
1743480000,947,931,51194,47567,2025-04-01 04:00:00,Mithril bar,2359
1743483600,923,919,39633,35542,2025-04-01 05:00:00,Mithril bar,2359
1743487200,960,958,17667,59413,2025-04-01 06:00:00,Mithril bar,2359
1743490800,945,935,16667,18517,2025-04-01 07:00:00,Mithril bar,2359
1743494400,945,924,29125,108664,2025-04-01 08:00:00,Mithril bar,2359
1743498000,940,928,30549,17922,2025-04-01 09:00:00,Mithril bar,2359
1743501600,936,922,36002,25221,2025-04-01 10:00:00,Mithril bar,2359
1743505200,929,920,27763,20279,2025-04-01 11:00:00,Mithril bar,2359
1743508800,932,910,33411,47293,2025-04-01 12:00:00,Mithril bar,2359
1743512400,940,925,42841,43469,2025-04-01 13:00:00,Mithril bar,2359
1743516000,927,917,38221,32807,2025-04-01 14:00:00,Mithril bar,2359
1743519600,935,928,63239,68153,2025-04-01 15:00:00,Mithril bar,2359
1743523200,930,923,34355,41458,2025-04-01 16:00:00,Mithril bar,2359
1743526800,927,931,36753,52111,2025-04-01 17:00:00,Mithril bar,2359
1743530400,939,932,29544,39896,2025-04-01 18:00:00,Mithril bar,2359
1743534000,940,933,34747,71644,2025-04-01 19:00:00,Mithril bar,2359
1743537600,955,953,18572,70319,2025-04-01 20:00:00,Mithril bar,2359
1743541200,946,933,35476,42070,2025-04-01 21:00:00,Mithril bar,2359
1743544800,949,935,39390,81738,2025-04-01 22:00:00,Mithril bar,2359
1743548400,957,939,58707,104173,2025-04-01 23:00:00,Mithril bar,2359
1743552000,943,935,57169,102172,2025-04-02 00:00:00,Mithril bar,2359
1743555600,929,920,94464,49197,2025-04-02 01:00:00,Mithril bar,2359
1743559200,932,917,29703,43012,2025-04-02 02:00:00,Mithril bar,2359
1743562800,934,920,34378,50673,2025-04-02 03:00:00,Mithril bar,2359
1743566400,931,911,22751,100859,2025-04-02 04:00:00,Mithril bar,2359
1743570000,928,880,74728,192538,2025-04-02 05:00:00,Mithril bar,2359
1743573600,921,898,31148,12056,2025-04-02 06:00:00,Mithril bar,2359
1743577200,929,913,16852,7818,2025-04-02 07:00:00,Mithril bar,2359
1743580800,897,909,52315,145751,2025-04-02 08:00:00,Mithril bar,2359
1743584400,903,889,33415,34512,2025-04-02 09:00:00,Mithril bar,2359
1743588000,909,909,14714,16626,2025-04-02 10:00:00,Mithril bar,2359
1743591600,919,900,19670,28731,2025-04-02 11:00:00,Mithril bar,2359
1743595200,928,900,21960,85289,2025-04-02 12:00:00,Mithril bar,2359
1743598800,929,912,26749,31035,2025-04-02 13:00:00,Mithril bar,2359
1743602400,926,921,46195,42696,2025-04-02 14:00:00,Mithril bar,2359
1743606000,921,910,104890,93509,2025-04-02 15:00:00,Mithril bar,2359
1743609600,918,903,23136,25176,2025-04-02 16:00:00,Mithril bar,2359
1743613200,917,906,76843,30087,2025-04-02 17:00:00,Mithril bar,2359
1743616800,913,905,72688,33211,2025-04-02 18:00:00,Mithril bar,2359
1743620400,914,902,69320,36091,2025-04-02 19:00:00,Mithril bar,2359
1743624000,922,910,118538,57231,2025-04-02 20:00:00,Mithril bar,2359
1743627600,918,903,91655,58650,2025-04-02 21:00:00,Mithril bar,2359
1743631200,918,905,87681,28453,2025-04-02 22:00:00,Mithril bar,2359
1743634800,915,904,118761,23316,2025-04-02 23:00:00,Mithril bar,2359
1743638400,915,899,108414,60967,2025-04-03 00:00:00,Mithril bar,2359
1743642000,918,905,82202,44810,2025-04-03 01:00:00,Mithril bar,2359
1743645600,915,907,62120,51647,2025-04-03 02:00:00,Mithril bar,2359
1743649200,914,906,25526,45882,2025-04-03 03:00:00,Mithril bar,2359
1743652800,916,911,44346,44405,2025-04-03 04:00:00,Mithril bar,2359
1743656400,917,907,22094,23378,2025-04-03 05:00:00,Mithril bar,2359
1743660000,922,908,75133,21027,2025-04-03 06:00:00,Mithril bar,2359
1743663600,923,910,52774,27452,2025-04-03 07:00:00,Mithril bar,2359
1743667200,925,912,12499,36193,2025-04-03 08:00:00,Mithril bar,2359
1743670800,924,914,32650,12928,2025-04-03 09:00:00,Mithril bar,2359
1743674400,923,911,52471,24842,2025-04-03 10:00:00,Mithril bar,2359
1743678000,919,906,35938,15267,2025-04-03 11:00:00,Mithril bar,2359
1743681600,922,911,18524,16315,2025-04-03 12:00:00,Mithril bar,2359
1743685200,921,906,42892,34706,2025-04-03 13:00:00,Mithril bar,2359
1743688800,923,908,18782,64121,2025-04-03 14:00:00,Mithril bar,2359
1743692400,920,905,64538,85069,2025-04-03 15:00:00,Mithril bar,2359
1743696000,925,911,60569,24626,2025-04-03 16:00:00,Mithril bar,2359
1743699600,922,914,51402,80662,2025-04-03 17:00:00,Mithril bar,2359
1743703200,915,911,41884,34786,2025-04-03 18:00:00,Mithril bar,2359
1743706800,915,905,61324,33300,2025-04-03 19:00:00,Mithril bar,2359
1743710400,914,904,51884,48539,2025-04-03 20:00:00,Mithril bar,2359
1743714000,928,916,40206,43498,2025-04-03 21:00:00,Mithril bar,2359
1743717600,923,916,16249,61005,2025-04-03 22:00:00,Mithril bar,2359
1743721200,922,912,89480,24253,2025-04-03 23:00:00,Mithril bar,2359
1743724800,924,916,29658,35554,2025-04-04 00:00:00,Mithril bar,2359
1743728400,927,921,32848,62012,2025-04-04 01:00:00,Mithril bar,2359
1743732000,940,924,59647,30631,2025-04-04 02:00:00,Mithril bar,2359
1743735600,935,926,39571,70822,2025-04-04 03:00:00,Mithril bar,2359
1743739200,919,919,70347,131407,2025-04-04 04:00:00,Mithril bar,2359
1743742800,962,940,5273,51685,2025-04-04 05:00:00,Mithril bar,2359
1743746400,927,914,17282,19660,2025-04-04 06:00:00,Mithril bar,2359
1743750000,944,924,11218,25068,2025-04-04 07:00:00,Mithril bar,2359
1743753600,938,923,34399,20402,2025-04-04 08:00:00,Mithril bar,2359
1743757200,946,931,40142,15473,2025-04-04 09:00:00,Mithril bar,2359
1743760800,953,933,32071,32054,2025-04-04 10:00:00,Mithril bar,2359
1743764400,949,932,28057,47257,2025-04-04 11:00:00,Mithril bar,2359
1743768000,988,971,36512,44449,2025-04-04 12:00:00,Mithril bar,2359
1743771600,969,962,14614,40506,2025-04-04 13:00:00,Mithril bar,2359
1743775200,927,921,41103,20719,2025-04-04 14:00:00,Mithril bar,2359
1743778800,937,931,39510,50591,2025-04-04 15:00:00,Mithril bar,2359
1743782400,937,928,8806,42486,2025-04-04 16:00:00,Mithril bar,2359
1743786000,978,962,8306,61737,2025-04-04 17:00:00,Mithril bar,2359
1743789600,976,963,26018,74554,2025-04-04 18:00:00,Mithril bar,2359
1743793200,966,962,36484,69993,2025-04-04 19:00:00,Mithril bar,2359
1743796800,942,931,31746,52135,2025-04-04 20:00:00,Mithril bar,2359
1743800400,943,928,63985,31263,2025-04-04 21:00:00,Mithril bar,2359
1743804000,941,934,48360,55277,2025-04-04 22:00:00,Mithril bar,2359
1743807600,942,932,54610,75662,2025-04-04 23:00:00,Mithril bar,2359
1743811200,941,929,64110,44948,2025-04-05 00:00:00,Mithril bar,2359
1743814800,954,952,47341,63723,2025-04-05 01:00:00,Mithril bar,2359
