timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,941797.0,925262,21,22,2025-04-01 00:00:00,Obsidian platelegs,21304
1743469200,939786.0,927179,19,29,2025-04-01 01:00:00,Obsidian platelegs,21304
1743472800,948568.0,924085,92,47,2025-04-01 02:00:00,Obsidian platelegs,21304
1743476400,930957.0,919175,13,28,2025-04-01 03:00:00,Obsidian platelegs,21304
1743480000,994204.0,932103,2,29,2025-04-01 04:00:00,Obsidian platelegs,21304
1743483600,945288.0,948759,6,39,2025-04-01 05:00:00,Obsidian platelegs,21304
1743487200,929777.0,907226,10,22,2025-04-01 06:00:00,Obsidian platelegs,21304
1743490800,,907682,0,9,2025-04-01 07:00:00,Obsidian platelegs,21304
1743494400,921698.0,906854,24,19,2025-04-01 08:00:00,Obsidian platelegs,21304
1743498000,927665.0,910699,10,16,2025-04-01 09:00:00,Obsidian platelegs,21304
1743501600,924754.0,905087,6,28,2025-04-01 10:00:00,Obsidian platelegs,21304
1743505200,921744.0,905742,4,16,2025-04-01 11:00:00,Obsidian platelegs,21304
1743508800,921496.0,905880,6,12,2025-04-01 12:00:00,Obsidian platelegs,21304
1743512400,921726.0,903776,16,24,2025-04-01 13:00:00,Obsidian platelegs,21304
1743516000,917925.0,905459,17,23,2025-04-01 14:00:00,Obsidian platelegs,21304
1743519600,917509.0,910123,11,14,2025-04-01 15:00:00,Obsidian platelegs,21304
1743523200,928927.0,913243,13,20,2025-04-01 16:00:00,Obsidian platelegs,21304
1743526800,925357.0,908593,24,31,2025-04-01 17:00:00,Obsidian platelegs,21304
1743530400,924121.0,908182,47,31,2025-04-01 18:00:00,Obsidian platelegs,21304
1743534000,927552.0,912590,58,25,2025-04-01 19:00:00,Obsidian platelegs,21304
1743537600,928513.0,914519,35,32,2025-04-01 20:00:00,Obsidian platelegs,21304
1743541200,926897.0,913583,17,28,2025-04-01 21:00:00,Obsidian platelegs,21304
1743544800,929297.0,914801,19,21,2025-04-01 22:00:00,Obsidian platelegs,21304
1743548400,932454.0,918239,52,21,2025-04-01 23:00:00,Obsidian platelegs,21304
1743552000,933618.0,919946,24,32,2025-04-02 00:00:00,Obsidian platelegs,21304
1743555600,927216.0,911946,37,38,2025-04-02 01:00:00,Obsidian platelegs,21304
1743559200,927108.0,915043,29,19,2025-04-02 02:00:00,Obsidian platelegs,21304
1743562800,929390.0,914869,31,20,2025-04-02 03:00:00,Obsidian platelegs,21304
1743566400,927353.0,913698,19,15,2025-04-02 04:00:00,Obsidian platelegs,21304
1743570000,926083.0,907876,10,22,2025-04-02 05:00:00,Obsidian platelegs,21304
1743573600,927475.0,915208,10,14,2025-04-02 06:00:00,Obsidian platelegs,21304
1743577200,930431.0,915760,10,8,2025-04-02 07:00:00,Obsidian platelegs,21304
1743580800,927849.0,915712,21,24,2025-04-02 08:00:00,Obsidian platelegs,21304
1743584400,930527.0,916546,5,14,2025-04-02 09:00:00,Obsidian platelegs,21304
1743588000,929199.0,917343,8,11,2025-04-02 10:00:00,Obsidian platelegs,21304
1743591600,931099.0,918197,7,12,2025-04-02 11:00:00,Obsidian platelegs,21304
1743595200,913733.0,912640,24,23,2025-04-02 12:00:00,Obsidian platelegs,21304
