timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,8893.0,8801,11157,4906,2025-04-01 00:00:00,Onyx bolts,9342
1743469200,8892.0,8801,7973,14937,2025-04-01 01:00:00,Onyx bolts,9342
1743472800,8897.0,8853,503,9996,2025-04-01 02:00:00,Onyx bolts,9342
1743476400,8850.0,8841,34262,12629,2025-04-01 03:00:00,Onyx bolts,9342
1743480000,8896.0,8759,27505,5592,2025-04-01 04:00:00,Onyx bolts,9342
1743483600,8894.0,8797,979,6212,2025-04-01 05:00:00,Onyx bolts,9342
1743487200,8894.0,8765,37408,2532,2025-04-01 06:00:00,Onyx bolts,9342
1743490800,8896.0,8754,10105,10301,2025-04-01 07:00:00,Onyx bolts,9342
1743494400,8889.0,8758,15002,645,2025-04-01 08:00:00,Onyx bolts,9342
1743498000,8833.0,8754,53715,18627,2025-04-01 09:00:00,Onyx bolts,9342
1743501600,8888.0,8767,13894,1589,2025-04-01 10:00:00,Onyx bolts,9342
1743505200,8950.0,8753,815,3056,2025-04-01 11:00:00,Onyx bolts,9342
1743508800,8863.0,8715,5282,2011,2025-04-01 12:00:00,Onyx bolts,9342
1743512400,,8721,0,3524,2025-04-01 13:00:00,Onyx bolts,9342
1743516000,8782.0,8726,12685,8321,2025-04-01 14:00:00,Onyx bolts,9342
1743519600,8838.0,8734,4782,1985,2025-04-01 15:00:00,Onyx bolts,9342
1743523200,8857.0,8715,26878,15402,2025-04-01 16:00:00,Onyx bolts,9342
1743526800,8846.0,8728,4474,4572,2025-04-01 17:00:00,Onyx bolts,9342
1743530400,8794.0,8731,16128,10939,2025-04-01 18:00:00,Onyx bolts,9342
1743534000,8832.0,8715,2211,13270,2025-04-01 19:00:00,Onyx bolts,9342
1743537600,8847.0,8712,14869,5663,2025-04-01 20:00:00,Onyx bolts,9342
1743541200,8759.0,8733,734,7239,2025-04-01 21:00:00,Onyx bolts,9342
1743544800,8833.0,8712,18742,17929,2025-04-01 22:00:00,Onyx bolts,9342
1743548400,8849.0,8839,22001,9133,2025-04-01 23:00:00,Onyx bolts,9342
1743552000,8829.0,8745,23907,11497,2025-04-02 00:00:00,Onyx bolts,9342
1743555600,8773.0,8705,2,25936,2025-04-02 01:00:00,Onyx bolts,9342
1743559200,8819.0,8701,39301,3040,2025-04-02 02:00:00,Onyx bolts,9342
1743562800,8700.0,8701,895,4537,2025-04-02 03:00:00,Onyx bolts,9342
1743566400,8759.0,8641,4728,4380,2025-04-02 04:00:00,Onyx bolts,9342
1743570000,8853.0,8678,10906,2613,2025-04-02 05:00:00,Onyx bolts,9342
1743573600,8766.0,8699,1140,3658,2025-04-02 06:00:00,Onyx bolts,9342
1743577200,8839.0,8839,85,10256,2025-04-02 07:00:00,Onyx bolts,9342
1743580800,8846.0,8772,9285,4083,2025-04-02 08:00:00,Onyx bolts,9342
1743584400,8683.0,8622,2,3123,2025-04-02 09:00:00,Onyx bolts,9342
1743588000,8788.0,8647,7745,4823,2025-04-02 10:00:00,Onyx bolts,9342
1743591600,8802.0,8796,21,2946,2025-04-02 11:00:00,Onyx bolts,9342
1743595200,8850.0,8657,4010,8486,2025-04-02 12:00:00,Onyx bolts,9342
1743598800,8792.0,8651,870,9619,2025-04-02 13:00:00,Onyx bolts,9342
1743602400,8796.0,8747,18553,13107,2025-04-02 14:00:00,Onyx bolts,9342
1743606000,8776.0,8656,7162,7225,2025-04-02 15:00:00,Onyx bolts,9342
1743609600,8705.0,8652,4762,3001,2025-04-02 16:00:00,Onyx bolts,9342
1743613200,8729.0,8650,931,5073,2025-04-02 17:00:00,Onyx bolts,9342
1743616800,8698.0,8650,13075,12649,2025-04-02 18:00:00,Onyx bolts,9342
1743620400,8655.0,8660,543,7984,2025-04-02 19:00:00,Onyx bolts,9342
1743624000,8728.0,8652,15362,4092,2025-04-02 20:00:00,Onyx bolts,9342
1743627600,8653.0,8648,14305,16497,2025-04-02 21:00:00,Onyx bolts,9342
1743631200,8636.0,8600,9617,5673,2025-04-02 22:00:00,Onyx bolts,9342
1743634800,8664.0,8564,15083,4341,2025-04-02 23:00:00,Onyx bolts,9342
1743638400,8711.0,8540,25414,19044,2025-04-03 00:00:00,Onyx bolts,9342
1743642000,8678.0,8622,8337,18139,2025-04-03 01:00:00,Onyx bolts,9342
1743645600,8600.0,8538,100,7692,2025-04-03 02:00:00,Onyx bolts,9342
1743649200,8568.0,8463,191,2293,2025-04-03 03:00:00,Onyx bolts,9342
1743652800,8480.0,8472,571,3083,2025-04-03 04:00:00,Onyx bolts,9342
1743656400,8600.0,8566,141,5034,2025-04-03 05:00:00,Onyx bolts,9342
1743660000,8611.0,8608,1,15083,2025-04-03 06:00:00,Onyx bolts,9342
1743663600,8667.0,8593,16707,3796,2025-04-03 07:00:00,Onyx bolts,9342
1743667200,8698.0,8601,2,1433,2025-04-03 08:00:00,Onyx bolts,9342
1743670800,8698.0,8601,21547,2643,2025-04-03 09:00:00,Onyx bolts,9342
1743674400,,8603,0,658,2025-04-03 10:00:00,Onyx bolts,9342
1743678000,8657.0,8603,185,2561,2025-04-03 11:00:00,Onyx bolts,9342
1743681600,8748.0,8608,110,2480,2025-04-03 12:00:00,Onyx bolts,9342
1743685200,8630.0,8608,38,4983,2025-04-03 13:00:00,Onyx bolts,9342
1743688800,8721.0,8618,19771,26252,2025-04-03 14:00:00,Onyx bolts,9342
1743692400,8718.0,8604,12762,5170,2025-04-03 15:00:00,Onyx bolts,9342
1743696000,8771.0,8611,40857,50874,2025-04-03 16:00:00,Onyx bolts,9342
1743699600,8759.0,8624,6922,4574,2025-04-03 17:00:00,Onyx bolts,9342
1743703200,8662.0,8608,14051,11318,2025-04-03 18:00:00,Onyx bolts,9342
1743706800,8674.0,8650,12802,8308,2025-04-03 19:00:00,Onyx bolts,9342
1743710400,8675.0,8653,51,15817,2025-04-03 20:00:00,Onyx bolts,9342
1743714000,8671.0,8602,22042,8736,2025-04-03 21:00:00,Onyx bolts,9342
1743717600,8645.0,8617,23786,4734,2025-04-03 22:00:00,Onyx bolts,9342
1743721200,8663.0,8628,19714,9040,2025-04-03 23:00:00,Onyx bolts,9342
1743724800,8660.0,8676,6023,15763,2025-04-04 00:00:00,Onyx bolts,9342
1743728400,8691.0,8642,17477,10132,2025-04-04 01:00:00,Onyx bolts,9342
1743732000,8750.0,8668,12151,33167,2025-04-04 02:00:00,Onyx bolts,9342
1743735600,8670.0,8677,18332,3818,2025-04-04 03:00:00,Onyx bolts,9342
1743739200,8675.0,8642,415,9540,2025-04-04 04:00:00,Onyx bolts,9342
1743742800,8687.0,8671,8654,5761,2025-04-04 05:00:00,Onyx bolts,9342
1743746400,8749.0,8676,33904,14545,2025-04-04 06:00:00,Onyx bolts,9342
1743750000,8697.0,8675,11201,7927,2025-04-04 07:00:00,Onyx bolts,9342
1743753600,8736.0,8643,8699,6178,2025-04-04 08:00:00,Onyx bolts,9342
1743757200,8737.0,8627,12478,2745,2025-04-04 09:00:00,Onyx bolts,9342
1743760800,8748.0,8627,20751,3306,2025-04-04 10:00:00,Onyx bolts,9342
1743764400,8724.0,8641,1448,2994,2025-04-04 11:00:00,Onyx bolts,9342
1743768000,8689.0,8645,10757,3895,2025-04-04 12:00:00,Onyx bolts,9342
1743771600,8685.0,8691,12786,9388,2025-04-04 13:00:00,Onyx bolts,9342
1743775200,8793.0,8726,22000,11581,2025-04-04 14:00:00,Onyx bolts,9342
1743778800,8680.0,8676,10514,4159,2025-04-04 15:00:00,Onyx bolts,9342
1743782400,8680.0,8678,13446,9994,2025-04-04 16:00:00,Onyx bolts,9342
1743786000,8680.0,8677,1822,4195,2025-04-04 17:00:00,Onyx bolts,9342
1743789600,8729.0,8642,9025,14895,2025-04-04 18:00:00,Onyx bolts,9342
1743793200,8689.0,8679,1254,15333,2025-04-04 19:00:00,Onyx bolts,9342
1743796800,8723.0,8646,39506,7628,2025-04-04 20:00:00,Onyx bolts,9342
1743800400,8735.0,8699,12443,13430,2025-04-04 21:00:00,Onyx bolts,9342
1743804000,8773.0,8712,20356,16163,2025-04-04 22:00:00,Onyx bolts,9342
1743807600,8760.0,8665,18611,7938,2025-04-04 23:00:00,Onyx bolts,9342
1743811200,8700.0,8668,10145,8561,2025-04-05 00:00:00,Onyx bolts,9342
1743814800,8762.0,8623,3113,4271,2025-04-05 01:00:00,Onyx bolts,9342
1743818400,8743.0,8633,28075,4854,2025-04-05 02:00:00,Onyx bolts,9342
1743822000,8679.0,8622,1931,4958,2025-04-05 03:00:00,Onyx bolts,9342
1743825600,8710.0,8672,4149,6611,2025-04-05 04:00:00,Onyx bolts,9342
1743829200,8768.0,8681,88,6383,2025-04-05 05:00:00,Onyx bolts,9342
1743832800,8710.0,8681,6418,3579,2025-04-05 06:00:00,Onyx bolts,9342
1743836400,8680.0,8629,6232,992,2025-04-05 07:00:00,Onyx bolts,9342
1743840000,8680.0,8649,143,1950,2025-04-05 08:00:00,Onyx bolts,9342
1743843600,8680.0,8629,6697,3067,2025-04-05 09:00:00,Onyx bolts,9342
1743847200,,8641,0,2261,2025-04-05 10:00:00,Onyx bolts,9342
1743850800,8679.0,8679,3846,8636,2025-04-05 11:00:00,Onyx bolts,9342
1743854400,8680.0,8668,4064,13761,2025-04-05 12:00:00,Onyx bolts,9342
1743858000,8680.0,8622,12607,4817,2025-04-05 13:00:00,Onyx bolts,9342
1743861600,8690.0,8617,9772,12281,2025-04-05 14:00:00,Onyx bolts,9342
1743865200,8709.0,8556,7660,5517,2025-04-05 15:00:00,Onyx bolts,9342
1743868800,8682.0,8594,14400,11728,2025-04-05 16:00:00,Onyx bolts,9342
1743872400,8672.0,8566,14069,6769,2025-04-05 17:00:00,Onyx bolts,9342
1743876000,8655.0,8541,53431,4567,2025-04-05 18:00:00,Onyx bolts,9342
1743879600,8681.0,8588,10022,17604,2025-04-05 19:00:00,Onyx bolts,9342
1743883200,8638.0,8581,20298,12516,2025-04-05 20:00:00,Onyx bolts,9342
1743886800,8700.0,8604,23009,10704,2025-04-05 21:00:00,Onyx bolts,9342
1743890400,8696.0,8551,3106,6496,2025-04-05 22:00:00,Onyx bolts,9342
1743894000,8627.0,8558,10332,8038,2025-04-05 23:00:00,Onyx bolts,9342
1743897600,8621.0,8604,17598,7240,2025-04-06 00:00:00,Onyx bolts,9342
1743901200,8639.0,8582,13490,3748,2025-04-06 01:00:00,Onyx bolts,9342
1743904800,8647.0,8582,3610,4949,2025-04-06 02:00:00,Onyx bolts,9342
1743908400,8625.0,8588,4381,5367,2025-04-06 03:00:00,Onyx bolts,9342
1743912000,8690.0,8615,1503,16341,2025-04-06 04:00:00,Onyx bolts,9342
1743915600,8669.0,8590,12324,8009,2025-04-06 05:00:00,Onyx bolts,9342
1743919200,8680.0,8586,12003,4506,2025-04-06 06:00:00,Onyx bolts,9342
1743922800,8689.0,8589,1474,35066,2025-04-06 07:00:00,Onyx bolts,9342
1743926400,,8613,0,1628,2025-04-06 08:00:00,Onyx bolts,9342
1743930000,8682.0,8587,4358,5862,2025-04-06 09:00:00,Onyx bolts,9342
1743933600,8688.0,8617,23776,40511,2025-04-06 10:00:00,Onyx bolts,9342
1743937200,8665.0,8586,10983,2999,2025-04-06 11:00:00,Onyx bolts,9342
1743940800,8688.0,8652,1944,7603,2025-04-06 12:00:00,Onyx bolts,9342
1743944400,8660.0,8606,4340,5184,2025-04-06 13:00:00,Onyx bolts,9342
1743948000,8617.0,8578,8632,3476,2025-04-06 14:00:00,Onyx bolts,9342
1743951600,8636.0,8640,11155,4239,2025-04-06 15:00:00,Onyx bolts,9342
1743955200,8625.0,8586,462,3760,2025-04-06 16:00:00,Onyx bolts,9342
1743958800,8592.0,8578,11343,8698,2025-04-06 17:00:00,Onyx bolts,9342
1743962400,8629.0,8590,3639,9831,2025-04-06 18:00:00,Onyx bolts,9342
1743966000,8635.0,8627,2834,15282,2025-04-06 19:00:00,Onyx bolts,9342
1743969600,8640.0,8571,11359,7424,2025-04-06 20:00:00,Onyx bolts,9342
1743973200,8638.0,8615,24379,9808,2025-04-06 21:00:00,Onyx bolts,9342
1743976800,8646.0,8641,15113,8007,2025-04-06 22:00:00,Onyx bolts,9342
1743980400,8643.0,8603,25320,21480,2025-04-06 23:00:00,Onyx bolts,9342
1743984000,8642.0,8647,4197,9956,2025-04-07 00:00:00,Onyx bolts,9342
1743987600,8647.0,8629,41140,26737,2025-04-07 01:00:00,Onyx bolts,9342
1743991200,8679.0,8605,1384,6756,2025-04-07 02:00:00,Onyx bolts,9342
1743994800,8632.0,8624,7376,7075,2025-04-07 03:00:00,Onyx bolts,9342
1743998400,8659.0,8656,6267,10648,2025-04-07 04:00:00,Onyx bolts,9342
1744002000,8641.0,8639,9767,6698,2025-04-07 05:00:00,Onyx bolts,9342
1744005600,8640.0,8649,12524,12332,2025-04-07 06:00:00,Onyx bolts,9342
1744009200,8646.0,8635,38351,5241,2025-04-07 07:00:00,Onyx bolts,9342
1744012800,,8618,0,2721,2025-04-07 08:00:00,Onyx bolts,9342
1744016400,8637.0,8602,6982,7298,2025-04-07 09:00:00,Onyx bolts,9342
1744020000,8638.0,8630,1941,12869,2025-04-07 10:00:00,Onyx bolts,9342
