timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,datetime,item_name,item_id
1743465600,2194.0,2167,13850,13572,2025-04-01 00:00:00,Papaya fruit,5972
1743469200,2202.0,2168,14899,8308,2025-04-01 01:00:00,Papaya fruit,5972
1743472800,2225.0,2170,18775,18066,2025-04-01 02:00:00,Papaya fruit,5972
1743476400,2251.0,2172,15130,6354,2025-04-01 03:00:00,Papaya fruit,5972
1743480000,2205.0,2165,6279,2403,2025-04-01 04:00:00,Papaya fruit,5972
1743483600,2205.0,2168,3665,9352,2025-04-01 05:00:00,Papaya fruit,5972
1743487200,2241.0,2179,8700,2064,2025-04-01 06:00:00,Papaya fruit,5972
1743490800,2241.0,2172,4846,6300,2025-04-01 07:00:00,Papaya fruit,5972
1743494400,2304.0,2195,14881,6053,2025-04-01 08:00:00,Papaya fruit,5972
1743498000,2225.0,2194,1355,7769,2025-04-01 09:00:00,Papaya fruit,5972
1743501600,2234.0,2179,7044,1314,2025-04-01 10:00:00,Papaya fruit,5972
1743505200,2229.0,2182,4558,2396,2025-04-01 11:00:00,Papaya fruit,5972
1743508800,2253.0,2211,25091,4521,2025-04-01 12:00:00,Papaya fruit,5972
1743512400,2233.0,2177,7083,15002,2025-04-01 13:00:00,Papaya fruit,5972
1743516000,2218.0,2199,11136,12571,2025-04-01 14:00:00,Papaya fruit,5972
1743519600,2216.0,2191,11865,8093,2025-04-01 15:00:00,Papaya fruit,5972
1743523200,2216.0,2185,6955,8670,2025-04-01 16:00:00,Papaya fruit,5972
1743526800,2241.0,2178,15473,22858,2025-04-01 17:00:00,Papaya fruit,5972
1743530400,2203.0,2170,8874,11766,2025-04-01 18:00:00,Papaya fruit,5972
1743534000,2193.0,2157,8213,6667,2025-04-01 19:00:00,Papaya fruit,5972
1743537600,2209.0,2161,11617,15691,2025-04-01 20:00:00,Papaya fruit,5972
1743541200,2217.0,2174,12115,8690,2025-04-01 21:00:00,Papaya fruit,5972
1743544800,2215.0,2176,8105,11476,2025-04-01 22:00:00,Papaya fruit,5972
1743548400,2210.0,2171,8036,11260,2025-04-01 23:00:00,Papaya fruit,5972
1743552000,2221.0,2175,3431,8505,2025-04-02 00:00:00,Papaya fruit,5972
1743555600,2204.0,2172,8845,3376,2025-04-02 01:00:00,Papaya fruit,5972
1743559200,2230.0,2178,15668,18172,2025-04-02 02:00:00,Papaya fruit,5972
1743562800,2204.0,2172,5458,17438,2025-04-02 03:00:00,Papaya fruit,5972
1743566400,2188.0,2155,983,4157,2025-04-02 04:00:00,Papaya fruit,5972
1743570000,2189.0,2155,10333,4391,2025-04-02 05:00:00,Papaya fruit,5972
1743573600,2180.0,2157,12949,2689,2025-04-02 06:00:00,Papaya fruit,5972
1743577200,2172.0,2125,14093,7612,2025-04-02 07:00:00,Papaya fruit,5972
1743580800,2158.0,2124,3844,11045,2025-04-02 08:00:00,Papaya fruit,5972
1743584400,2199.0,2140,9340,5117,2025-04-02 09:00:00,Papaya fruit,5972
1743588000,2218.0,2166,6000,4246,2025-04-02 10:00:00,Papaya fruit,5972
1743591600,2219.0,2168,14289,5086,2025-04-02 11:00:00,Papaya fruit,5972
1743595200,2219.0,2167,2993,30887,2025-04-02 12:00:00,Papaya fruit,5972
1743598800,2214.0,2168,16855,12148,2025-04-02 13:00:00,Papaya fruit,5972
1743602400,2224.0,2179,10520,10911,2025-04-02 14:00:00,Papaya fruit,5972
1743606000,2118.0,2111,22618,26307,2025-04-02 15:00:00,Papaya fruit,5972
1743609600,2122.0,2109,7243,5157,2025-04-02 16:00:00,Papaya fruit,5972
1743613200,2141.0,2115,6452,4280,2025-04-02 17:00:00,Papaya fruit,5972
1743616800,2222.0,2169,19398,24196,2025-04-02 18:00:00,Papaya fruit,5972
1743620400,2113.0,2110,11967,25750,2025-04-02 19:00:00,Papaya fruit,5972
1743624000,2128.0,2114,7928,6636,2025-04-02 20:00:00,Papaya fruit,5972
1743627600,2099.0,2045,10731,3972,2025-04-02 21:00:00,Papaya fruit,5972
1743631200,2067.0,2057,3276,7060,2025-04-02 22:00:00,Papaya fruit,5972
1743634800,2106.0,2066,6182,17897,2025-04-02 23:00:00,Papaya fruit,5972
1743638400,2084.0,2050,6174,1526,2025-04-03 00:00:00,Papaya fruit,5972
1743642000,2083.0,2052,8422,7157,2025-04-03 01:00:00,Papaya fruit,5972
1743645600,2089.0,2075,4694,7235,2025-04-03 02:00:00,Papaya fruit,5972
1743649200,2185.0,2108,23501,15411,2025-04-03 03:00:00,Papaya fruit,5972
1743652800,2090.0,2055,3364,7377,2025-04-03 04:00:00,Papaya fruit,5972
1743656400,2108.0,2054,4040,6763,2025-04-03 05:00:00,Papaya fruit,5972
1743660000,2136.0,2067,5536,1923,2025-04-03 06:00:00,Papaya fruit,5972
1743663600,2094.0,2061,6941,2518,2025-04-03 07:00:00,Papaya fruit,5972
1743667200,2173.0,2087,6689,17996,2025-04-03 08:00:00,Papaya fruit,5972
1743670800,2111.0,2069,7616,10336,2025-04-03 09:00:00,Papaya fruit,5972
1743674400,2085.0,2063,3449,1584,2025-04-03 10:00:00,Papaya fruit,5972
1743678000,2127.0,2072,6704,1431,2025-04-03 11:00:00,Papaya fruit,5972
1743681600,2141.0,2087,11879,5126,2025-04-03 12:00:00,Papaya fruit,5972
1743685200,2190.0,2120,7903,13511,2025-04-03 13:00:00,Papaya fruit,5972
1743688800,2112.0,2077,7417,3728,2025-04-03 14:00:00,Papaya fruit,5972
1743692400,2099.0,2082,5036,2357,2025-04-03 15:00:00,Papaya fruit,5972
1743696000,2112.0,2107,5069,6517,2025-04-03 16:00:00,Papaya fruit,5972
1743699600,2280.0,2177,7710,11396,2025-04-03 17:00:00,Papaya fruit,5972
1743703200,2417.0,2350,17234,9304,2025-04-03 18:00:00,Papaya fruit,5972
1743706800,2348.0,2314,10087,13291,2025-04-03 19:00:00,Papaya fruit,5972
1743710400,2343.0,2330,3323,12588,2025-04-03 20:00:00,Papaya fruit,5972
1743714000,2350.0,2305,11043,8862,2025-04-03 21:00:00,Papaya fruit,5972
1743717600,2321.0,2313,7542,25765,2025-04-03 22:00:00,Papaya fruit,5972
1743721200,2275.0,2250,3761,7017,2025-04-03 23:00:00,Papaya fruit,5972
1743724800,2267.0,2245,5630,13716,2025-04-04 00:00:00,Papaya fruit,5972
1743728400,2259.0,2216,10235,10180,2025-04-04 01:00:00,Papaya fruit,5972
1743732000,2254.0,2191,13505,8080,2025-04-04 02:00:00,Papaya fruit,5972
1743735600,2161.0,2302,2211,12428,2025-04-04 03:00:00,Papaya fruit,5972
1743739200,2128.0,2162,5530,5104,2025-04-04 04:00:00,Papaya fruit,5972
1743742800,2115.0,2089,3983,1634,2025-04-04 05:00:00,Papaya fruit,5972
1743746400,2125.0,2078,1046,2241,2025-04-04 06:00:00,Papaya fruit,5972
1743750000,2137.0,2085,4339,11458,2025-04-04 07:00:00,Papaya fruit,5972
1743753600,2126.0,2092,4926,8314,2025-04-04 08:00:00,Papaya fruit,5972
1743757200,2136.0,2133,3443,4279,2025-04-04 09:00:00,Papaya fruit,5972
1743760800,2136.0,2143,2063,3004,2025-04-04 10:00:00,Papaya fruit,5972
1743764400,2139.0,2115,6214,2640,2025-04-04 11:00:00,Papaya fruit,5972
1743768000,2130.0,2126,15470,2803,2025-04-04 12:00:00,Papaya fruit,5972
1743771600,2154.0,2209,2953,5434,2025-04-04 13:00:00,Papaya fruit,5972
1743775200,2274.0,2349,4299,12714,2025-04-04 14:00:00,Papaya fruit,5972
1743778800,2462.0,2441,7526,4959,2025-04-04 15:00:00,Papaya fruit,5972
1743782400,2497.0,2400,6766,14902,2025-04-04 16:00:00,Papaya fruit,5972
1743786000,2177.0,2092,7587,13520,2025-04-04 17:00:00,Papaya fruit,5972
1743789600,2132.0,2093,3909,5366,2025-04-04 18:00:00,Papaya fruit,5972
1743793200,2129.0,2094,1841,6383,2025-04-04 19:00:00,Papaya fruit,5972
1743796800,2116.0,2095,3131,5676,2025-04-04 20:00:00,Papaya fruit,5972
1743800400,2175.0,2109,11700,12420,2025-04-04 21:00:00,Papaya fruit,5972
1743804000,2157.0,2100,17291,10103,2025-04-04 22:00:00,Papaya fruit,5972
1743807600,2184.0,2125,9305,5994,2025-04-04 23:00:00,Papaya fruit,5972
1743811200,2184.0,2135,2687,6831,2025-04-05 00:00:00,Papaya fruit,5972
1743814800,2182.0,2129,13128,20965,2025-04-05 01:00:00,Papaya fruit,5972
1743818400,2234.0,2267,8044,12462,2025-04-05 02:00:00,Papaya fruit,5972
1743822000,2142.0,2097,7635,3435,2025-04-05 03:00:00,Papaya fruit,5972
1743825600,2141.0,2110,11690,4094,2025-04-05 04:00:00,Papaya fruit,5972
1743829200,2140.0,2110,4448,3044,2025-04-05 05:00:00,Papaya fruit,5972
1743832800,2162.0,2103,10089,9214,2025-04-05 06:00:00,Papaya fruit,5972
1743836400,2148.0,2118,6799,6803,2025-04-05 07:00:00,Papaya fruit,5972
1743840000,2135.0,2118,5802,3913,2025-04-05 08:00:00,Papaya fruit,5972
1743843600,2140.0,2113,5217,2884,2025-04-05 09:00:00,Papaya fruit,5972
1743847200,2157.0,2112,3607,2541,2025-04-05 10:00:00,Papaya fruit,5972
1743850800,2178.0,2121,10991,8319,2025-04-05 11:00:00,Papaya fruit,5972
1743854400,2148.0,2118,13638,11298,2025-04-05 12:00:00,Papaya fruit,5972
1743858000,2141.0,2115,6710,7603,2025-04-05 13:00:00,Papaya fruit,5972
1743861600,2156.0,2113,4663,5232,2025-04-05 14:00:00,Papaya fruit,5972
1743865200,2189.0,2109,2197,5627,2025-04-05 15:00:00,Papaya fruit,5972
1743868800,2168.0,2116,18568,10782,2025-04-05 16:00:00,Papaya fruit,5972
1743872400,2150.0,2104,4471,10603,2025-04-05 17:00:00,Papaya fruit,5972
1743876000,2124.0,2106,9180,16812,2025-04-05 18:00:00,Papaya fruit,5972
1743879600,2144.0,2105,3626,11077,2025-04-05 19:00:00,Papaya fruit,5972
1743883200,2166.0,2110,16438,26881,2025-04-05 20:00:00,Papaya fruit,5972
1743886800,2146.0,2103,19170,11458,2025-04-05 21:00:00,Papaya fruit,5972
1743890400,2124.0,2098,8749,15451,2025-04-05 22:00:00,Papaya fruit,5972
1743894000,2130.0,2108,8479,7983,2025-04-05 23:00:00,Papaya fruit,5972
1743897600,2149.0,2108,6047,5267,2025-04-06 00:00:00,Papaya fruit,5972
1743901200,2181.0,2100,13987,21901,2025-04-06 01:00:00,Papaya fruit,5972
1743904800,2122.0,2053,5989,1905,2025-04-06 02:00:00,Papaya fruit,5972
1743908400,2126.0,2068,6604,7870,2025-04-06 03:00:00,Papaya fruit,5972
1743912000,2125.0,2085,4303,7053,2025-04-06 04:00:00,Papaya fruit,5972
1743915600,2159.0,2091,9764,6959,2025-04-06 05:00:00,Papaya fruit,5972
1743919200,2123.0,2071,6527,7135,2025-04-06 06:00:00,Papaya fruit,5972
1743922800,2132.0,2068,4743,6286,2025-04-06 07:00:00,Papaya fruit,5972
1743926400,2091.0,2063,4292,1728,2025-04-06 08:00:00,Papaya fruit,5972
1743930000,2086.0,2050,2049,5884,2025-04-06 09:00:00,Papaya fruit,5972
1743933600,2137.0,2077,6721,3645,2025-04-06 10:00:00,Papaya fruit,5972
1743937200,2155.0,2093,8586,6990,2025-04-06 11:00:00,Papaya fruit,5972
1743940800,2139.0,2093,5624,3976,2025-04-06 12:00:00,Papaya fruit,5972
1743944400,2121.0,2092,9707,7658,2025-04-06 13:00:00,Papaya fruit,5972
1743948000,2138.0,2092,2220,5161,2025-04-06 14:00:00,Papaya fruit,5972
1743951600,2124.0,2093,9873,16007,2025-04-06 15:00:00,Papaya fruit,5972
1743955200,2121.0,2080,7402,13918,2025-04-06 16:00:00,Papaya fruit,5972
1743958800,2113.0,2069,4030,5187,2025-04-06 17:00:00,Papaya fruit,5972
1743962400,2122.0,2082,3499,6211,2025-04-06 18:00:00,Papaya fruit,5972
1743966000,2122.0,2079,29125,17404,2025-04-06 19:00:00,Papaya fruit,5972
1743969600,2111.0,2078,9592,16570,2025-04-06 20:00:00,Papaya fruit,5972
1743973200,2110.0,2070,14617,19563,2025-04-06 21:00:00,Papaya fruit,5972
1743976800,2113.0,2064,9623,8242,2025-04-06 22:00:00,Papaya fruit,5972
1743980400,2097.0,2061,14843,5371,2025-04-06 23:00:00,Papaya fruit,5972
1743984000,2118.0,2068,6956,9863,2025-04-07 00:00:00,Papaya fruit,5972
1743987600,2116.0,2074,5282,7421,2025-04-07 01:00:00,Papaya fruit,5972
1743991200,2123.0,2071,9628,15174,2025-04-07 02:00:00,Papaya fruit,5972
1743994800,2116.0,2075,4190,5774,2025-04-07 03:00:00,Papaya fruit,5972
1743998400,2106.0,2061,1772,4921,2025-04-07 04:00:00,Papaya fruit,5972
1744002000,2103.0,2069,5124,4200,2025-04-07 05:00:00,Papaya fruit,5972
1744005600,2115.0,2076,6787,4303,2025-04-07 06:00:00,Papaya fruit,5972
1744009200,2116.0,2087,1456,5018,2025-04-07 07:00:00,Papaya fruit,5972
1744012800,2116.0,2092,7453,4180,2025-04-07 08:00:00,Papaya fruit,5972
1744016400,2105.0,2070,516,5544,2025-04-07 09:00:00,Papaya fruit,5972
1744020000,2093.0,2067,1446,1855,2025-04-07 10:00:00,Papaya fruit,5972
1744023600,2102.0,2063,7453,2571,2025-04-07 11:00:00,Papaya fruit,5972
1744027200,2093.0,2055,5752,8331,2025-04-07 12:00:00,Papaya fruit,5972
